word,count
모르다,18823
보이다,14760
다르다,7425
나가다,6797
올리다,6614
힘들다,6531
들어가다,5483
지키다,4983
다니다,4793
생기다,4511
지나다,4508
느끼다,4289
어렵다,4265
따르다,4240
보내다,4131
바라다,4101
좋아하다,4069
떨어지다,3969
오르다,3870
미치다,3715
바꾸다,3714
걸리다,3557
이기다,3495
버리다,3480
어쩌다,3458
괜찮다,3401
바뀌다,3223
알리다,3152
망하다,3128
들어오다,3111
나쁘다,3032
밝히다,2989
당하다,2963
돌리다,2728
빠지다,2673
만나다,2651
싸우다,2617
차리다,2524
부르다,2480
웃기다,2437
터지다,2436
욕하다,2429
끝나다,2367
심하다,2365
돌아가다,2303
내리다,2292
아프다,2256
무섭다,2238
원하다,2208
똑같다,2163
챙기다,2040
마시다,1968
배우다,1950
시키다,1939
넘어가다,1922
올라오다,1899
죽이다,1896
빠르다,1888
나서다,1870
달리다,1846
키우다,1838
어리다,1755
고맙다,1731
비싸다,1722
일어나다,1716
기다리다,1700
편하다,1689
해보다,1673
떠나다,1673
때리다,1671
사라지다,1633
열리다,1632
맞추다,1626
비추다,1612
없애다,1599
남기다,1591
올라가다,1583
나누다,1571
따지다,1541
찾아보다,1513
엄청나다,1506
아쉽다,1473
줄이다,1443
구하다,1409
계시다,1409
안타깝다,1405
모으다,1393
재밌다,1390
새롭다,1376
외치다,1363
싫어하다,1350
맛있다,1348
이쁘다,1326
던지다,1318
강하다,1316
틀리다,1276
부럽다,1275
가깝다,1269
이루다,1262
돌아오다,1239
붙이다,1228
비하다,1226
버티다,1221
세우다,1203
넘기다,1171
힘내다,1166
모이다,1136
가져오다,1114
정하다,1104
가리다,1095
