word,count
민주당,33271
모르다,18823
보이다,14760
국민,14369
의원,13954
대통령,13825
페미,13567
정치,12173
정부,12094
이재명,12061
나라,11358
선거,11199
개혁,10108
언론,9587
여성,9239
가능,9080
이낙연,8460
대선,8351
대표,8123
미국,8115
지지,8016
조국,7883
정책,7875
남자,7734
필요,7720
일본,7589
검찰,7482
시장,7468
새끼,7443
다르다,7425
댓글,7358
서울,7249
한국,7159
백신,7006
지지자,6932
얘기,6797
나가다,6797
상황,6657
문재인,6642
올리다,6614
이유,6537
힘들다,6531
이야기,6372
기사,6302
당원,6060
후보,5964
정권,5885
본인,5796
오세훈,5775
시작,5744
이해,5691
중국,5689
마음,5602
다음,5584
들어가다,5483
부동산,5476
감사,5466
인간,5416
뉴스,5157
코로나,5112
지키다,4983
자체,4974
수준,4949
결과,4918
아이,4847
관련,4832
다니다,4793
세대,4783
윤석열,4705
초선,4566
장관,4549
생기다,4511
지나다,4508
국가,4461
정신,4444
의견,4419
내용,4367
지원,4310
반대,4291
느끼다,4289
어렵다,4265
친구,4253
따르다,4240
경제,4235
보내다,4131
바라다,4101
시민,4070
좋아하다,4069
보수,4049
남성,4008
세월,3988
이후,3974
떨어지다,3969
개인,3942
지지율,3942
중요,3920
안철수,3881
오르다,3870
기억,3848
투표,3811
주장,3810
박근혜,3780
부분,3770
말씀,3760
미치다,3715
바꾸다,3714
입장,3632
재앙,3624
아파트,3614
조사,3586
검사,3566
걸리다,3557
사용,3529
비판,3521
방역,3509
운동,3496
이기다,3495
자리,3480
버리다,3480
현실,3459
어쩌다,3458
지역,3436
세상,3427
회사,3412
괜찮다,3401
정치인,3390
사건,3342
작성자,3300
걱정,3275
책임,3257
세력,3228
바뀌다,3223
가족,3191
차이,3173
예전,3169
느낌,3165
국회의원,3157
관심,3155
알리다,3152
망하다,3128
들어오다,3111
세금,3099
노무현,3095
당시,3095
인정,3086
가격,3086
기자,3064
정당,3049
정상,3042
나쁘다,3032
집값,3031
하루,3007
시절,3006
추천,3002
밝히다,2989
의미,2978
당하다,2963
이준석,2949
병신,2938
방법,2933
사진,2933
결국,2907
방송,2897
권리,2895
문재,2844
해결,2840
최고,2823
발언,2802
여론,2795
능력,2794
단체,2789
교수,2779
나이,2746
돌리다,2728
선택,2728
기준,2725
학교,2724
이름,2712
이용,2699
사고,2693
빠지다,2673
논리,2671
만나다,2651
접종,2650
행동,2646
시대,2635
청년,2625
민주,2619
싸우다,2617
교육,2615
정보,2596
응원,2595
모습,2595
주택,2593
북한,2591
친문,2582
출신,2571
인사,2568
기업,2545
차리다,2524
보궐,2521
똥파리,2516
세계,2514
처음,2493
부르다,2480
기대,2475
수사,2470
레기,2463
공부,2462
공정,2455
기본,2446
웃기다,2437
터지다,2436
욕하다,2429
김어준,2423
머리,2421
확인,2420
부모,2407
결정,2393
활동,2389
효과,2380
끝나다,2367
