word,count
모르다,11161
민주당,10838
페미,10734
보이다,8864
가능,6235
나라,6049
여성,6042
정치,5353
대통령,5147
국민,5123
감사,4506
정부,4393
남자,4385
백신,4361
한국,4324
필요,4272
댓글,4254
대표,4176
언론,4174
다르다,4140
의원,4096
올리다,4078
이유,3816
이야기,3775
상황,3770
이재명,3681
힘들다,3666
미국,3603
기사,3574
검찰,3467
시작,3433
얘기,3389
들어가다,3315
중국,3275
새끼,3269
대선,3266
이해,3244
자체,3241
접종,3169
개혁,3144
이준석,3138
나가다,3116
다음,3088
본인,3051
생기다,3009
일본,2999
내용,2991
지지,2943
수준,2937
마음,2930
친구,2893
사진,2865
사용,2838
정권,2752
후보,2752
정책,2748
남성,2741
뉴스,2739
관련,2725
회사,2724
다니다,2695
선거,2691
부분,2678
인간,2675
코로나,2586
개인,2566
작성자,2535
사건,2494
떨어지다,2476
좋아하다,2474
느끼다,2473
말씀,2457
느낌,2437
어렵다,2431
시장,2425
국가,2416
따르다,2401
기업,2384
서울,2376
지원,2371
지나다,2328
보내다,2316
문재인,2290
추천,2260
괜찮다,2259
이후,2222
경제,2213
바라다,2194
기억,2187
차이,2179
지역,2173
세상,2169
미치다,2155
보수,2147
결과,2135
세대,2124
바꾸다,2112
아이,2099
걸리다,2092
주장,2071
중요,2066
반대,2065
이슈,2062
예전,2061
관심,2054
현실,2022
교육,2018
정신,2013
의견,2005
가격,1997
지키다,1956
윤석열,1940
조국,1924
운동,1923
정상,1905
입장,1884
의미,1853
하루,1851
조사,1844
이미지,1835
어쩌다,1832
혐오,1831
최고,1824
영상,1818
걱정,1793
들어오다,1785
아프다,1780
알리다,1780
바뀌다,1770
레기,1753
가족,1749
지지자,1735
나쁘다,1727
정치인,1718
시대,1709
박근혜,1705
기자,1704
부모,1688
세계,1679
인정,1669
페미니즘,1655
자리,1653
처음,1643
병원,1638
일반,1632
망하다,1629
확인,1618
검사,1615
당하다,1615
지지율,1613
논리,1609
돌리다,1606
청년,1604
세력,1602
방법,1597
이낙연,1592
결국,1590
수사,1589
당시,1585
이기다,1577
비판,1575
장관,1570
부르다,1562
정보,1559
기준,1551
사고,1536
나이,1535
프로,1533
정당,1515
경찰,1514
기본,1508
빠지다,1507
갈등,1506
버리다,1506
시절,1504
전화,1501
영화,1501
기대,1498
해결,1494
상태,1475
시민,1470
심하다,1461
이름,1457
이용,1456
능력,1453
단체,1449
방송,1448
선택,1444
오르다,1441
넘어가다,1439
당원,1434
사과,1430
터지다,1426
병신,1415
세금,1415
애초,1413
사랑,1409
부동산,1403
비싸다,1378
여론,1375
내리다,1369
무섭다,1368
동네,1366
행동,1359
비교,1345
자유,1345
공감,1340
만나다,1337
집단,1335
발언,1330
최근,1322
책임,1322
나경원,1313
머리,1312
싸우다,1309
주변,1306
모양,1304
투표,1304
효과,1295
돌아가다,1293
관리,1290
공격,1288
쓰레기,1288
아들,1286
유튜브,1280
건강,1277
모습,1264
올라오다,1262
출신,1260
웃기다,1259
응원,1257
상대,1252
좌파,1251
보통,1250
대한민국,1241
해당,1239
똑같다,1238
표현,1232
설명,1229
전체,1211
존재,1208
행복,1206
나중,1201
검색,1177
밝히다,1172
죽이다,1172
유지,1168
끝나다,1161
욕하다,1158
배우다,1157
동의,1156
경험,1150
일부,1149
재앙,1146
고민,1145
추가,1143
편하다,1140
판단,1131
어리다,1130
마지막,1130
기다리다,1126
재미,1122
빠르다,1122
이쁘다,1118
인생,1113
다행,1110
올라가다,1098
순간,1098
무시,1098
찾아보다,1088
아쉽다,1084
기분,1066
재밌다,1063
