word,count
가능,6235
나라,6049
여성,6042
정치,5353
대통령,5147
국민,5123
감사,4506
정부,4393
남자,4385
백신,4361
필요,4272
댓글,4254
대표,4176
언론,4174
의원,4096
이유,3816
이야기,3775
상황,3770
기사,3574
검찰,3467
시작,3433
얘기,3389
새끼,3269
대선,3266
이해,3244
자체,3241
접종,3169
개혁,3144
다음,3088
본인,3051
내용,2991
지지,2943
수준,2937
마음,2930
친구,2893
사진,2865
사용,2838
정권,2752
후보,2752
정책,2748
남성,2741
뉴스,2739
관련,2725
회사,2724
선거,2691
부분,2678
인간,2675
개인,2566
작성자,2535
사건,2494
말씀,2457
느낌,2437
시장,2425
국가,2416
기업,2384
지원,2371
추천,2260
이후,2222
경제,2213
기억,2187
차이,2179
지역,2173
세상,2169
보수,2147
결과,2135
세대,2124
아이,2099
주장,2071
중요,2066
반대,2065
이슈,2062
예전,2061
관심,2054
현실,2022
교육,2018
정신,2013
의견,2005
가격,1997
조국,1924
운동,1923
정상,1905
입장,1884
의미,1853
하루,1851
조사,1844
이미지,1835
혐오,1831
최고,1824
영상,1818
걱정,1793
가족,1749
지지자,1735
정치인,1718
시대,1709
기자,1704
부모,1688
세계,1679
인정,1669
페미니즘,1655
자리,1653
처음,1643
병원,1638
일반,1632
확인,1618
검사,1615
지지율,1613
논리,1609
청년,1604
세력,1602
방법,1597
결국,1590
수사,1589
당시,1585
비판,1575
장관,1570
정보,1559
기준,1551
사고,1536
나이,1535
프로,1533
정당,1515
경찰,1514
기본,1508
갈등,1506
시절,1504
영화,1501
전화,1501
기대,1498
해결,1494
상태,1475
시민,1470
이름,1457
이용,1456
능력,1453
단체,1449
방송,1448
선택,1444
당원,1434
사과,1430
병신,1415
세금,1415
애초,1413
사랑,1409
부동산,1403
여론,1375
동네,1366
행동,1359
자유,1345
비교,1345
공감,1340
집단,1335
발언,1330
최근,1322
책임,1322
머리,1312
주변,1306
투표,1304
모양,1304
효과,1295
관리,1290
쓰레기,1288
공격,1288
아들,1286
건강,1277
모습,1264
출신,1260
응원,1257
상대,1252
좌파,1251
보통,1250
해당,1239
표현,1232
설명,1229
전체,1211
존재,1208
행복,1206
나중,1201
검색,1177
유지,1168
동의,1156
경험,1150
일부,1149
재앙,1146
고민,1145
추가,1143
판단,1131
마지막,1130
재미,1122
인생,1113
다행,1110
무시,1098
순간,1098
기분,1066
