word,count
이재명,432
민주당,258
나가다,207
이해찬,194
선거,190
이낙연,171
대표,95
개혁,75
모르다,65
당원,63
재명,60
탈당,60
언론,58
정신,56
내부,55
의원,49
지지,48
꺼지다,48
국민,45
책임,45
똥파리,45
차리다,43
대통령,42
대선,42
지사,39
비대위,38
게시판,38
지지자,36
보이다,35
총질,34
인간,33
후보,33
망치다,33
데리다,31
책임지다,31
이기다,30
지지율,29
사면,29
정책,28
정부,27
사퇴,25
검찰,25
망하다,24
공감,24
지키다,22
권리,22
보궐,22
박영선,22
오렌지,22
터트리다,21
헛소리,20
올리다,20
반대,20
제명,20
본인,19
출당,19
오세훈,19
지도부,19
문재,18
다음,18
서울,17
부동산,17
터뜨리다,17
필요,17
당게,16
댓글,16
정치,16
고생,15
통과,15
친문,15
터지다,15
대회,15
전당,15
민심,15
얘기,15
말씀,15
지원금,15
패배,15
결과,14
눈치,14
시키다,14
법안,14
위원장,14
패거리,14
재난,14
보편,13
역적,13
쓰레기,13
시장,13
수준,13
감사,13
뻐꾸기,13
김태년,13
세작,12
무능,12
부산,12
분열,12
문재인,12
말아먹다,12
폭탄,12
바라다,12
선별,12
참패,12
좋아하다,12
장관,12
조국,11
투표,11
대권,11
수고,11
뭉치다,11
상황,11
사태,11
지급,10
웃기다,10
엄중,10
창당,10
원인,10
이해,10
이유,10
측근,10
