word,count
민주당,11365
언론,5269
선거,4721
개혁,4033
모르다,3955
의원,3906
보이다,3231
페미,2640
여성,2583
투표,2577
대통령,2565
대선,2528
정치,2509
국민,2445
지지자,2437
이낙연,2411
부동산,2326
정부,2289
정책,2010
대표,1998
필요,1992
이재명,1983
시장,1845
서울,1801
댓글,1777
감사,1767
이기다,1723
힘들다,1683
지지,1645
조국,1620
마음,1607
이해,1563
결과,1557
새끼,1552
초선,1550
다르다,1541
오세훈,1539
검찰,1539
얘기,1534
남자,1508
다음,1504
나라,1474
올리다,1447
후보,1438
상황,1420
가능,1390
딴지,1388
세대,1377
이유,1349
장관,1310
이야기,1309
말씀,1297
정신,1296
지키다,1214
공감,1201
인간,1198
시작,1178
오르다,1151
느끼다,1143
뉴스,1133
남성,1131
나가다,1123
정권,1109
현실,1069
중요,1053
들어가다,1031
추천,1002
어렵다,989
여론,966
기사,957
총선,934
시민,926
미치다,920
싸우다,920
집값,912
보내다,906
비추다,902
당원,901
걱정,893
바꾸다,890
레기,889
중도,888
비추,885
바라다,883
부분,878
지지율,877
부산,867
본인,865
총수,859
비판,854
당하다,851
세상,850
차리다,849
국회의원,846
돌리다,843
주택,842
관심,841
생기다,822
의견,819
박주민,803
반대,801
떨어지다,792
강남,786
어쩌다,785
터지다,783
지도부,779
자체,776
욕하다,776
지나다,774
똥파리,772
이슈,769
병신,768
자리,762
조사,755
다니다,754
문통,745
지원,741
지역,740
버리다,739
포털,739
세금,738
코로나,737
최고,736
수준,733
망하다,728
청년,727
세력,721
책임,718
내용,710
아파트,709
선별,707
이후,702
차이,701
바뀌다,699
친구,689
추미애,686
힘내다,680
좋아하다,675
모습,670
나쁘다,666
패배,661
해결,660
시대,658
박영선,657
커뮤니티,654
고생,652
방법,645
결국,639
동의,635
민주,635
통과,629
당선,627
원인,624
응원,620
선택,619
개인,619
방송,617
엄중,614
반성,613
기억,612
법안,611
인정,608
적폐,607
공격,596
지원금,595
능력,594
빠지다,594
원하다,594
보궐,591
입장,591
관련,588
넘어가다,579
정당,577
예전,577
분노,576
따르다,573
정치인,572
판단,564
행동,564
문재인,563
기회,563
하루,554
분위기,552
박근혜,548
걸리다,547
고맙다,528
