word,count
모르다,173
보이다,127
아프다,98
올리다,63
힘들다,62
지나다,62
생기다,62
나가다,62
다르다,60
빠르다,58
부럽다,56
다니다,56
괜찮다,47
걸리다,46
고맙다,46
보내다,46
기다리다,42
떨어지다,41
들어가다,40
싸우다,39
멋지다,37
미치다,36
알리다,35
바라다,35
어렵다,34
바꾸다,33
바뀌다,32
좋아하다,31
해보다,30
나쁘다,29
어쩌다,29
올라가다,29
지키다,28
오르다,28
비추다,28
심하다,27
느끼다,27
돌리다,27
가깝다,27
버리다,27
밝히다,27
배우다,27
망하다,26
따르다,25
강하다,25
이기다,25
누르다,24
죽이다,24
키우다,24
맛있다,24
이쁘다,24
부르다,23
어리다,23
웃기다,23
아쉽다,23
사라지다,23
힘내다,23
무섭다,22
빠지다,22
들어오다,22
비싸다,22
똑같다,22
당하다,21
내리다,21
끝나다,21
붙이다,20
귀엽다,20
때리다,19
열리다,19
차리다,19
터지다,19
맞추다,19
계시다,19
챙기다,19
약하다,19
마시다,18
돌아가다,18
떠나다,18
가즈아다,18
안타깝다,18
시키다,18
나서다,17
올라오다,17
편하다,17
만나다,16
찾아보다,16
세우다,16
뿌리다,16
급하다,16
던지다,16
욕하다,15
달리다,15
지나가다,15
넘어가다,15
남기다,14
그리다,14
고치다,14
비하다,14
원하다,14
바쁘다,14
엄청나다,13
버티다,13
바르다,13
이루다,13
알아보다,13
없애다,12
외치다,12
생각나다,12
정하다,12
가리다,12
거르다,12
자르다,12
내놓다,12
슬프다,12
부끄럽다,12
닥치다,11
모으다,11
귀찮다,11
따지다,11
달라지다,11
다녀오다,11
풀리다,11
견디다,11
움직이다,10
변하다,10
구하다,10
놀랍다,10
흐르다,10
줄이다,10
아무렇다,10
잡히다,10
일어나다,10
꺼지다,10
예쁘다,10
가져오다,9
받아들이다,9
모이다,9
처먹다,9
역겹다,9
고르다,9
더럽다,9
낮추다,9
돌아다니다,9
전하다,9
태어나다,9
나누다,9
팔리다,9
벌어지다,9
막히다,9
흘리다,9
데리다,9
꺼내다,9
자라다,9
들리다,8
지켜보다,8
묻히다,8
일으키다,8
놀라다,8
따라가다,8
재밌다,8
책임지다,8
아깝다,8
겁나다,8
나타나다,8
가볍다,8
먹이다,8
기쁘다,8
커지다,7
옮기다,7
반갑다,7
자빠지다,7
싫어하다,7
느리다,7
밀리다,7
즐기다,7
가르치다,7
물어보다,7
높이다,7
다치다,7
넘기다,7
몰리다,7
