word,count
조국,292
백신,256
접종,177
감사,165
전화,143
나라,142
예약,137
대통령,125
장관,123
대표,122
병원,121
검찰,108
가능,94
국민,91
정치,87
기사,84
잔여,84
개혁,84
대선,81
마음,74
사진,74
인간,73
정부,68
동네,66
다음,66
작성자,66
의원,66
지지,66
새끼,60
주문,60
회사,59
기자,55
사면,55
지지율,54
하루,53
후보,52
대구,50
가족,50
수준,48
시작,48
비판,47
코로나,47
댓글,47
언론,46
필요,46
부모,45
선거,44
정책,43
건강,43
이해,43
뉴스,43
사건,43
지역,43
친구,42
느낌,42
걱정,42
수사,42
다행,42
본인,42
시민,42
상황,41
얘기,41
추천,41
초선,41
축하,40
이유,40
주사,39
이후,39
세상,39
가격,38
국가,38
최고,38
사랑,37
제도,36
역사,36
가슴,36
정신,36
사과,36
자리,35
대기,35
관련,34
자체,34
말씀,34
왜구,34
아이,34
세계,34
응원,34
지지자,34
이야기,34
지사,33
근처,33
촛불,33
경제,33
확인,33
기준,32
사용,32
총리,32
개인,31
남자,31
대만,31
주자,31
내용,31
고생,31
쌈장,31
인물,30
시절,30
중산,30
미안,30
이용,30
검사,30
반대,30
나중,30
이름,29
증상,29
인증,29
마지막,29
아침,29
완료,29
기억,29
인정,29
아들,29
여론,29
사고,28
연락,28
포기,28
부분,28
검색,28
신청,27
중요,27
쓰레기,27
표현,27
마트,27
예전,27
준비,27
지원,27
기분,27
원칙,26
시장,26
토착,26
기원,26
방송,26
인생,26
기술,26
방법,26
차이,26
조사,25
법무부,25
난리,25
진심,25
지랄,25
목사,25
출간,25
구매,24
소탕,24
기업,24
비추,24
반응,24
정상,24
행복,24
능력,24
시스템,24
설명,24
고기,23
의심,23
시대,23
남편,23
당시,23
약속,23
머리,23
나이,22
소식,22
경선,22
바람,22
프로,22
통과,22
딴지,22
아빠,22
장사,22
관심,22
현실,22
운동,22
의리,22
결과,22
약국,22
공감,21
무시,21
상대,21
평가,21
입장,21
눈물,21
부동산,21
모양,21
기본,21
처벌,21
의사,21
이미지,21
선택,21
지도,21
성공,21
진행,21
대사,20
반성,20
보궐,20
발언,20
시노,20
대신,20
실패,20
사태,20
주변,20
여성,20
판단,20
선수,20
정권,20
정치인,20
군대,20
추억,19
분위기,19
사이,19
복지,19
상처,19
변호사,19
덕분,19
쾌유,19
적폐,19
