,neg_words,count,documents
0,아프다,98,"['어제 백신 접종후 타이레놀 구매하는 데약사가 같은 말을 하더라구여죽도록 아픈거 아니면 먹지말라고 효과 떨어진다.뭐가 맞는말인지는 모르겠내요근데 하나도 안아파서 안먹었어요', '아픈데 참으면서 진통제 안먹는 사람들이 뭔가 제일 바보 같아요. 머리좋은 사람들이 아프면 참지말고 먹으라고 고생고생해서 만든걸 왜 안먹고 고생을 사서 하는 건지. ㅜㅜ', '면역력이 좋은 사람이 반응이 쎄게 나타난다는 데 건강하셨나보네요 이 백신은 아파도 걱정 안아파도 걱정임']"
1,힘들다,62,"['aap 1일 최대 권장량 4g은 예전꺼구요요즘은 좀 낮춰서 권합니다er정으로 2정 3회가 최대용량이긴 한데힘들 때만 2정씩 복용하고 유지시에는 1정 권하는 게 보통입니다', '로또대박1등가즈아 사람마다 잘하는 게 있고 못하는 게 있잔아요. 적성 안맞는 사람은 힘들죠. 잘 할 사람을 뽑아 쓰는 게 좋구요. 능력이 되는데까지 시키는 게 좋습니다.', '라면 햄버거 보다는 낫지만 압착 귀리는 맛이 별로 없어서 지속 가능이 좀 힘들어요 . 퀘이커가 젤 유명하고 한포식 포장 돼 있는 것도 있으니 그렇게 시작 해 보세요']"
2,부럽다,56,"['덴마크는 진짜 치마입고 로드타는 나라더만요. 그 정도로 자전거가 활성화 된 나라. 영국은 자전거 신호등도 있던데. 부러움.', '우와 외국 사는 저로서는 정말 부럽네요.지금처럼 하루 6070만명씩 접종한다면 3개월 안에 전국민 접종 완료 하겠네요.', '싸울 수 있긴 한가요? 부럽습니다 . 전 그냥 일방적으로 당해요 ㅠㅠ 밥은 저보고 차리라 그러지 않으면 다행 ㅠㅠ']"
3,비판,47,"['두리뭉실하게 양쪽 진영의 지지를 다 얻고 싶어서 말하는 스타일인게 분명하네요. 조장관도 비판하면서 동시에 mb도 비판. 결과는 둘 다 잃음.', '찢지사가 검찰한테 한마디도 못할때 한결같이 윤석렬 비판한 분입니다.이런 분이 검찰개혁 마무리 하실거라 믿습니다.이재명처럼 검찰한테 목줄 잡힌 인간은 검찰의 개가 될 뿐이죠', 'faustino81 .faustino81 20210519 001204 기사엄선 에혀 계속 올리세요. 저는 계속 빈댓 달고 계속 님의 의도를 비판 하는 글을 올릴겁니다.']"
4,걸리다,46,"['간식을 요구할 수 있다고 생각해흠.법적으로 전혀 걸릴 것이 없는 완벽한 워딩입니다.본인의 생각을 말한 것임. 달라 고 협박한 것이 아님.엄마가 준다면 그것은 엄마의 자발적 행위임.', '제가 5월 초에 대기 예약 걸어 놨는데 그때 대기순위 80명이었거든요저번주 연락와서 다음 주 월요일 맞기로 했습니다.이미 걸려있는 전화예약 먼저 처리하고 나머지 소화할듯 보이네요', '저도 자다가 오한과 통증이 장난 아니었는데 24시간 지나니깐 그렇게까지 심한 통증은 없고 나른하고 팔 좀아프고 살짝열감 있어요. 오한 올때는 진짜 진짜 심한독감 걸린거 같았습니다']"
5,걱정,42,"['면역력이 좋은 사람이 반응이 쎄게 나타난다는 데 건강하셨나보네요 이 백신은 아파도 걱정 안아파도 걱정임', '집 없는 사람도 영끌해서 투기할 수 있게 해달라는.공공주택 공급이 많아도 쪽 팔려서 못 들어가겠다는.이러다가 베네수엘라 될거라서 걱정이 많다는 일부 젊은 층이 바라는 바 아닌가요?', '승꽁이xa0경쟁이 있고 없고는 님 주관적 기준.xa0nn중도층은 외려 극단적인 변화를 싫어하죠xa0nn그리고 민주당 지지도 안 하면서 뭘 그리 걱정을 작성자 승꽁이']"
6,떨어지다,41,"['밤중에 산에 갔다가 소변 보러 길 옆으로 들어갔다가 쭉 미끄러져서 낭떠러지실제로는 한 56m 정도에서 떨어질 뻔 한 적 있죠. 컴컴한 곳에서는 길을 벗어나는 게 아닙니다.', '어제 백신 접종후 타이레놀 구매하는 데약사가 같은 말을 하더라구여죽도록 아픈거 아니면 먹지말라고 효과 떨어진다.뭐가 맞는말인지는 모르겠내요근데 하나도 안아파서 안먹었어요', '민주당 초선수박들은 지들이 누구 때문에 의원이 됐는지 확실히 인지해야 할 겁니다.그리고 가려낼 놈들 가려내서 담 총선때 경선에서 떨어지게 해야 합니다.']"
7,싸우다,39,"['우리 아들은 싸움 시작 할 거 같은면.어 어 .언성이 높아져요.싸울거 같아요. 그럼 와이프랑 저는 안싸워 애기 하는 거야.', '총수21년팬n 그러게나 말입니다. 저도 저희 부모님덕에 트라우마가 남아있는데. 다시는 싸우지 않는 걸로. 근데 항상 말싸움의 시작이 아이학교 문제 라서 ㅠㅠ', '조 장관님 ㅠㅠ우리는 당신을 절대 포기하지도 버리지도 않았습니다 우리가 조국입니다절대 좌절절망하지 마시고 끝까지 맞서 싸우셔서 명예를 되찾으셔야 합니다']"
8,어렵다,34,"['기사 보고 바로 주문했는데 저는 몇 쇄 버전으로 받을지 궁금하네요 더 이상 현실 정치로 뛰어들지 않으면 본인과 가족을 지키기 어려운 현실이 참 슬픕니다', 'faustino81 그니까요. 저도 화이자 보관방법이 어려워 그럴 수 있는지 물어보니. 그건 모르겠지만 가능하니 팔지않겠 ㅑ고', '뭐 이럴 수도 있고 저럴 수도 있어서 아직 평가를 하기 어렵네요 다만 30대 당대표라는 표면적인 변화의 간판은 뼈아프긴 합니다']"
9,고생,31,"['오늘 열링민주당tv에서 마지막 꽃다발 받으시고 울컥하시는데. 저도 겉이 울었네요. 그간의 마음이 느껴져서. ㅠㅠ 고생하셨다는. 그리고 버텨주셔서 고맙다는 마음이 절로 느껴졌네요.', '아픈데 참으면서 진통제 안먹는 사람들이 뭔가 제일 바보 같아요. 머리좋은 사람들이 아프면 참지말고 먹으라고 고생고생해서 만든걸 왜 안먹고 고생을 사서 하는 건지. ㅜㅜ', '용용이입니다 왜 다들 고현정님이 그분 때문에 고생했을거란 댓글을 다는지 모르겠네요무릎팍나와서 좋은 사람이라고 강조하고 만난거 후회안하는 거 같던데둘사이는 좋았다잖아요']"
