from,to,depth,documents
"이낙연
in community","이낙연
in community",0,"['이낙연 더불어민주당 전 대표69가 27일 자서전 을 내고 대권 의지와 국가운영 비전을 밝혔다. httpnews.v.daum.netv2021052 7210851038자서전에는 삶에 대한 회고와 함께 정치 경제 외교 등 분야별 정책 비전이 담겼다. 신복지 가 대표적이다. 이 전 대표는 책에서 소득 주거 노동 교육 등에서 인간다움을 훼손하지 않고 회복할 수 있게 하는 기준을 제도로 확보하는 정책이 바로 신복지제도 라고 설명했다.', '이낙연 검찰의 소탕에 가까운 과잉 수사로 조국 가족 상처여권의 대권 주자인 이낙연 전 더불어민주당 대표는 31일 검찰의 거의 소탕에 가까운 과잉수사로 한 가정조국 전 법무부 장관이 입었던 상처에 대해 우리가 충분히 배려해야 한다고 생각한다 고 밝혔다. httpnews.v.daum.netv202105311307031482019년 10월 1일 이낙연 조국 수사 이례적으로 요란해. 과도하다는 느낌httpswww.google.ieampsm.ytn.co.krnews view.amp.php3fparam0101 201910010350578516 2019년 9월 27일 이낙연 여성 둘만 있는 집 11시간 압수수색 과도하다httpswww.upinews.krnewsviewupi201909 2700 25 2019년 10월 1일 이낙연 조국 검찰개혁의 적임자라 생각한다 httpswww.google.comampswww.news1.kramparticles3f3733619 2019년 9월 5일 이낙연 검찰 조국 수사에 영역 넘지 말라 비판 검찰. 정치하겠다는 식으로 덤비는 건 영역 넘는 것이다.httpscontent.v.daum.netv5d70c81f1c46710a5ab49dfb 이낙연의 윤석열 저격 잊을만 하면 경계 넘어 윤석열 저격한 이낙연 국민의 검찰? 개혁에 집단 저항 이낙연 윤석열의 5 18? 노무현 소탕한 검찰은 어찌 설명할 건가?이런 분이 검찰과 싸우는 분들이죠.문재인 조국 이낙연등.이런 분들이.', '이낙연 중산층 경제 777 목표 제시 사람을 위한 성장 사람에 의한 성장 httpn.news.naver.commnewsarticle0110003916763?sid100 httpm.yna.co.krampviewakr2021053 10432001? twitter impressiontrue 좋은 경제학은 사회복지를 강화해 사회적 약자를 돕고 우수한 복지전문가를 양성해 형평성에 맞게 정책을 입안하는 경제학 이라며 좋은 경제란 힘든 시대를 살아가는 국민들께 힘이 되는 경제 이며 나쁜 경제는 불평등에 눈감고 약자의 삶을 돕지 못하는 경제다. 신복지와 중산층 경제의 두 날개로 국민의 삶을 지키며 경제성장도 이루겠다']"
"이낙연
in community",이낙연,1,"['근데 저발언 이낙연 아들이 한거 아니예요?nxa0n근데 왜 제목은xa0xa0이낙연. 코로나는 코로 나온다 실언 이낙연이 말한것 처럼 했죠?', 'httpbbs.ruliweb.comcommunityboard300148read34909783오늘은 이러고 다니심.유쾌한 이낙연의원문파들은 이낙연 의원님의 진심을 알지요', '별것 아닌 일에도 무조건 이낙연 최고다 짱이다 이러는듯.진짜 이낙연 대통령 낙선해서 단체로 빡쳐서커뮤니티 접는 꼴이 보고 싶네 들']"
"이낙연
in community",조국,1,"['역시 조국에 마음에 빚이 많은 모양이네요.xa0nxa0n진지하게 이재명 지사 vs 조국 전 장관이면n조국 전 장관 지지합니다.xa0n꼭 대선 후보로 나와 주시길 기원합니다.', '50 3호 조국 장관님 옹호하다가 우연히 누가 조국장관님에 대해서 다르게 말하는 사람이 있다고 알려줘서 알았는데. 처음에는 특이한 분인가 보다 했어요. 그런데 점점 이상해지더군요.', '지들 선거에 이용하는 거죠 조국에 마음에 빛진 지지자들 표가 필요하니깐또 선거지면 조국탓추미애탓 하면서 뒤로 숨을 거면서 우리도 냉정하게 저들을 이용하고 속지는 말자구요']"
"이낙연
in community",백신,1,"['괜찮아요대구 젊은이들이 잔여백신 줍줍할겁니다.오늘 저희 직원 잔여백신 겟 해서 병원가니젊은이가 절반 이라더군요.60대들 계속 그렇게 살아주길 바랍니다.그덕에 저라도 빨리 백신 맞게', '잔여백신 접종자 6만명 이러니 하나도 없지 ㅠㅠ아놔 제발좀 맞아보자 백신 좀그나저나 지금 어딜가도 최고의 화제거리네요 잔여 백신무슨 허니버터칩 대유행 보는거 같음', '옥스포드백신 좋네요az 백신 또는 아스트라제네카도 더 쉬운 표현이고 꽃히는 표현이고앞으로 옥스포드 백신이라고 하고 다녀야 할 것 같습니다']"
"이낙연
in community",민주당,1,"['민주당의 수박들은 조금도 부끄럽지 않습니다. 민주당을 까면 국짐당의 공천이 가까워집니다 국짐당 집권의 비결이. 배신자 내부총질러. 완장들을 항상 우대 영입하기 때문이 아닌지??', '승리는 못해도 민주당 정신은 지켜낼 수 있는 분입니다. nxa0민주당의 가치를 훼손하면서 까지 정권을 창출해야 한다면 분당하고 새로운 정당을 만드는 게 맞는 겁니다.', '춤추는곰돌이 민주당에서도 . 코로나 1년을 보상 해 주자는 거고요. 기재부에서 완고하게 반대하니. 힘든거 . 내용 좀 알고 이야기 를. 민주당은 쫄은거.ㅠ.ㅠ.']"
"이낙연
in community",접종,1,"['마지막 짤의 멘트가 진정 키워드일 겁니다.백신 접종만 빠른 것이 아니라 적당한 비율로 접종하게 되면 집단면역이 형성되는 데 그 비율은 한 국이 약간 더 낮을 거라는 거.', '딴딴한복근 1차 접종만 되어도 70 이상 감염 예방효과가 있다고 하고 중증진행 및 사망 예방효과는 100라네요.2차 접종후 1년 이상 면역이 지속된다고 합니다.', '상하이외노자 중국은 상호 백신 접종자 격리면제가 안 되거나 잴 늦을꺼 같아요. 어쨋든 전 혹시 몰라서 시노팜 1차 접종은 했습니다.']"
"이낙연
in community",모르다,1,"['neko07 28 시위진압을 경찰이 아니고 군인이 저렇게 하겠다는 건 다 쏴 죽이겠다는 얘기죠그럼에도 저기에 꽃병 하나 날라들면 아비규환되는데 아무리 생각해도 모르겠는 훈련', '어제 백신 접종후 타이레놀 구매하는 데약사가 같은 말을 하더라구여죽도록 아픈거 아니면 먹지말라고 효과 떨어진다.뭐가 맞는말인지는 모르겠내요근데 하나도 안아파서 안먹었어요', '완벽한 선별이란 것도 불가능하고 더군다나 선별 자체에 불필요한 돈과 시간이 소요되는 게 문제인데 아직도 이걸 모르는혹은 모르는척 하는 사람이 권력을 가져서는 안 됩니다.']"
"이낙연
in community",감사,1,"['대한민국 국군 만세응원하고 또 응원합니다. 현역 만기제대한 선배로써 우리 후배 현역 장병 여러분들의 희생에 감사하고 또 감사합니다. 사랑합니다 대한민국 국군 장병 여러분', '삼다다수 음. 저 표현과 관련해서 이런 용례는 없습니다만 감사의 드립을 위해 한 번 해보겠습니다.무플방지에 앞장서 주시니 그 지대한 고마움에 눈물이 따룹니다. ㅠ.ㅠ', '산돌0505 저는 계산대에 물건 놔두고 온거 영수증 검사에서 찾아줬어요. 저희도 영수증 검사 엄청 짜증내다가 그 이후로 감사해하고 있습니다.']"
"이낙연
in community",전화,1,"['장대인 전화로 해보세요 저도 앱 개통 전이었지만 전화로 했어요. 여유가지시는 것도 좋지만 2차 맞으려면 11주 후라서. 하루라도 빨리 맞으시면 좋긴 합니다.', '호의호의하다호구 어제 기사보고 전화했었는데 오늘은 어떻게 바뀌었을지는 모르겠네요헛걸음 하기 싫어서 먼저 삼성전자 서비스 대표번호로 전화해본거라서요', '문프지상주의 3주전인가 전화로 한군데2주전에 방문해서 전화접수안된다함 한군데혔는데 아직 연락이 음네요.네이버 앱 깔고 새로고침 중임당']"
"이낙연
in community",나라,1,"['아스트라제네카가 잘못했어요. 잘 사는 나라에는 모더나 정도 가격에 팔고 대신 아프리카나 못 사는 나라에는 거의 무료나 완전 무료로 풀었어야 했는데.그래야 싸구려 소리 안 듣죠.', '진짜 요즘 같아선 우리나라가 여느 선진국보다 더 자부심을 느낄 만한 나라 라고 생각합니다. 기레기 끼들만 각성하면 좋겠는데 쳐맞기 전엔 정신 못차리겠죠?', '벨기에 대사 사건도 우리가 진짜 힘 없고 그런 나라였다면 대꾸도 안했을겁니다벨기에가 1960년대까지 흑인을 우리?에 가두고 동물원 구경 했던 나라입니다']"
