,pos_words,count,documents
0,감사,165,"['대한민국 국군 만세응원하고 또 응원합니다. 현역 만기제대한 선배로써 우리 후배 현역 장병 여러분들의 희생에 감사하고 또 감사합니다. 사랑합니다 대한민국 국군 장병 여러분', '삼다다수 음. 저 표현과 관련해서 이런 용례는 없습니다만 감사의 드립을 위해 한 번 해보겠습니다.무플방지에 앞장서 주시니 그 지대한 고마움에 눈물이 따룹니다. ㅠ.ㅠ', '산돌0505 저는 계산대에 물건 놔두고 온거 영수증 검사에서 찾아줬어요. 저희도 영수증 검사 엄청 짜증내다가 그 이후로 감사해하고 있습니다.']"
1,지지,66,"['진주에서는 잃을 표가 없음국당 지지세가 강한 도시고저런곳의 민주당 지지자는 어떤 일에도 흔들림 없는 강성 지지도를 가짐', '역시 조국에 마음에 빚이 많은 모양이네요.xa0nxa0n진지하게 이재명 지사 vs 조국 전 장관이면n조국 전 장관 지지합니다.xa0n꼭 대선 후보로 나와 주시길 기원합니다.', '승꽁이xa0경쟁이 있고 없고는 님 주관적 기준.xa0nn중도층은 외려 극단적인 변화를 싫어하죠xa0nn그리고 민주당 지지도 안 하면서 뭘 그리 걱정을 작성자 승꽁이']"
2,빠르다,58,"['마지막 짤의 멘트가 진정 키워드일 겁니다.백신 접종만 빠른 것이 아니라 적당한 비율로 접종하게 되면 집단면역이 형성되는 데 그 비율은 한 국이 약간 더 낮을 거라는 거.', '100만명당 발생자수입니다. 상위 30개국과 주요국 정보입니다. 한국은 2698명0.27으로 153위입니다. 이제 백신 접종률만 계획대로 빠르게 높여가면 됩니다.', '나이도 52밖에 안 되었던데 못된 짓하다가 명퇴금도 못 받고 빠른 나이에 백수가 되었네요. 어디 가서 쿠팡이츠 라이더나 해라. 그거 의외로 짭짤하다고 하더라.']"
3,괜찮다,47,"['괜찮아요대구 젊은이들이 잔여백신 줍줍할겁니다.오늘 저희 직원 잔여백신 겟 해서 병원가니젊은이가 절반 이라더군요.60대들 계속 그렇게 살아주길 바랍니다.그덕에 저라도 빨리 백신 맞게', 'blur. 맞습니다. 저도 미국산 소고기 비린내 육향이라고 하더라고요 때문에 못 먹어요.호주산이 그래서 좀 괜찮습니다. 트레이더스에서는 호주산 미국산 한우 다 팔더라고요.', '곧 괜찮아 질겁니다 저두 비슷하게 그러다 4일차부터 괜찮더군요저녁에 술 퍼먹었습니다']"
4,고맙다,46,"['그냥 한없이 고맙고 고마우신 분 ㅜㅜ책 한권 만으로 덜어질 부채감은 아니지만책 한권 사는 것으로 그분의 손을 한 번 잡아 드렸다고 생각합니다.', '오랜 숙원이었던 검찰개혁 하시려고 애쓰셨는데 고맙고 미안하죠xa0xa0n너무너무너무너무너무xa0 고맙고 미안하네요 작성자 danikim', '오늘 열링민주당tv에서 마지막 꽃다발 받으시고 울컥하시는데. 저도 겉이 울었네요. 그간의 마음이 느껴져서. ㅠㅠ 고생하셨다는. 그리고 버텨주셔서 고맙다는 마음이 절로 느껴졌네요.']"
5,친구,42,"['이런 친구는 평생을 멱살잡고 같이 가야함.이런 친구둔 사람은 인생성공 한거지.', 'n 아내는 친구 60세 이상 1차접종 끝나면 빠르면 6월중순 늦어도 7월부터는 큐알인증으로 인원수 풀릴겁니다 89월에는 재난지원금으로 역대급 여름이 될듯', '살아온 환경에 따라 틀린거죠.상대도 님 이해못합니다.그냥 정치적인 문제는 아예 이야기 안하는 게 맞아요.특히 친한 친구일수록 돈정치 이야기는 금물']"
6,축하,40,"['축하드려요 저도 미리 전화로 대기 걸어둔 곳에서 어제 맞았습니다 맞고 나니 기부니가 좋습니다', '축하합니다. 딴게이들 모두 칭찬합니다. 훈훈합니다. 기분이 매우 좋아졌습니다. 감사합니다.', '생신 축하드립니다 보내주신 임의원님께는 죄송하지만.전 케이크 뒤에 화분이 먼저 보이네요.']"
7,최고,38,"['정부와 언론 미디어의 가짜 뉴스로 한없이 자위를 하니코로나 검사도 1일 최고 5만회로 제한 하는데 10의 양성이 나오는데 그 숫자만 가지고 코로나 관리 모범국으로 자위 하는 나라', '저 사람 특징이 아군과 적군도 구별없이 철저하게 박정희과 같은 기회주의자로 보여짐.n나에게 정치는 단순 최고 권력자가 되기 위한 수단일 뿐 그 이상 그이하도 아닌거죠', '잔여백신 접종자 6만명 이러니 하나도 없지 ㅠㅠ아놔 제발좀 맞아보자 백신 좀그나저나 지금 어딜가도 최고의 화제거리네요 잔여 백신무슨 허니버터칩 대유행 보는거 같음']"
8,사랑,37,"['현선사랑 자신의 귀를 믿으시면 됩니다.녹취록 글자 하나 하나까지의 진실과 보도자료 뿌린 측에 의도를 따라 가느냐 마느냐그 무엇을 선택하느냐는 각 언론사들이 판단하니까요.', '대한민국 국군 만세응원하고 또 응원합니다. 현역 만기제대한 선배로써 우리 후배 현역 장병 여러분들의 희생에 감사하고 또 감사합니다. 사랑합니다 대한민국 국군 장병 여러분', '오늘은 꼭 듣고만 싶어그대의 목소리나에게 다짐을 하며떨리는 수화기를 들고너를 사랑해눈물을 흘리며 말해도아무도 대답하지 않고야윈 두손에 외로운 동전 두개 뿐']"
9,멋지다,37,"['폰카인가요? 사진을 정말 탐스럽게 잘찍으세요 멋져요 이정도면 먹방유튜버하셔도 될것 같아요', 'kanamomonogi 저번에 매물로 나온 제공호 전투기만 가져다 두면 멋지겠.', '멋져요. 서울은 노을을 기대하고 신나서 퇴근했는데 구르미ㅠㅠ']"
