word,count
이낙연,320
조국,292
백신,256
민주당,204
접종,177
모르다,173
감사,165
전화,143
나라,142
예약,137
보이다,127
대통령,125
장관,123
대표,122
병원,121
검찰,108
아프다,98
레기,94
가능,94
국민,91
한국,90
정치,87
이재명,84
기사,84
잔여,84
개혁,84
대선,81
마음,74
사진,74
인간,73
일본,71
정부,68
지지,66
의원,66
작성자,66
다음,66
동네,66
올리다,63
나가다,62
생기다,62
힘들다,62
지나다,62
주문,60
새끼,60
다르다,60
회사,59
빠르다,58
부럽다,56
다니다,56
사면,55
기자,55
지지율,54
하루,53
후보,52
대구,50
가족,50
중국,50
시작,48
수준,48
비판,47
댓글,47
괜찮다,47
추미애,47
코로나,47
윤석열,47
언론,46
필요,46
이준석,46
보내다,46
고맙다,46
걸리다,46
부모,45
선거,44
이해,43
뉴스,43
건강,43
사건,43
지역,43
정책,43
걱정,42
수사,42
느낌,42
시민,42
다행,42
친구,42
미국,42
본인,42
기다리다,42
얘기,41
초선,41
떨어지다,41
상황,41
서울,41
추천,41
들어가다,40
축하,40
이유,40
대한민국,39
싸우다,39
주사,39
이후,39
세상,39
국가,38
최고,38
가격,38
멋지다,37
사랑,37
미치다,36
제도,36
사과,36
문재인,36
정신,36
가슴,36
역사,36
자리,35
대기,35
알리다,35
바라다,35
자체,34
코스트코,34
관련,34
이야기,34
말씀,34
응원,34
어렵다,34
지지자,34
왜구,34
세계,34
아이,34
바꾸다,33
지사,33
근처,33
확인,33
경제,33
촛불,33
기준,32
사용,32
총리,32
바뀌다,32
개인,31
주자,31
고생,31
남자,31
대만,31
좋아하다,31
내용,31
쌈장,31
시절,30
중산,30
검사,30
미안,30
나중,30
인물,30
이용,30
화이팅,30
반대,30
네이버,30
해보다,30
인정,29
올라가다,29
증상,29
인증,29
아들,29
여론,29
완료,29
기억,29
이름,29
나쁘다,29
아침,29
어쩌다,29
마지막,29
사고,28
연락,28
부분,28
검색,28
지키다,28
오르다,28
비추다,28
포기,28
중요,27
준비,27
가깝다,27
신청,27
돌리다,27
기분,27
예전,27
배우다,27
느끼다,27
쓰레기,27
밝히다,27
버리다,27
심하다,27
표현,27
마트,27
지원,27
인생,26
기술,26
기원,26
토착,26
차이,26
시장,26
원칙,26
방송,26
방법,26
망하다,26
법무부,25
출간,25
조사,25
진심,25
이기다,25
지랄,25
목사,25
강하다,25
따르다,25
난리,25
기업,24
정상,24
소탕,24
설명,24
반응,24
누르다,24
행복,24
구매,24
비추,24
능력,24
키우다,24
죽이다,24
맛있다,24
시스템,24
이쁘다,24
시대,23
고기,23
약속,23
부산,23
머리,23
힘내다,23
의심,23
남편,23
사라지다,23
웃기다,23
부르다,23
송영길,23
어리다,23
아쉽다,23
당시,23
경선,22
아빠,22
들어오다,22
프로,22
나이,22
결과,22
약국,22
소식,22
노무현,22
장사,22
통과,22
비싸다,22
의리,22
똑같다,22
빠지다,22
무섭다,22
운동,22
현실,22
관심,22
바람,22
딴지,22
모양,21
카톡,21
상대,21
당하다,21
이미지,21
기본,21
지도,21
눈물,21
끝나다,21
무시,21
평가,21
의사,21
입장,21
처벌,21
선택,21
내리다,21
진행,21
성공,21
공감,21
부동산,21
주변,20
정치인,20
발언,20
군대,20
정권,20
