word,count
모르다,370
보이다,236
던지다,126
다르다,125
이기다,118
올리다,102
들어가다,99
힘들다,97
나가다,89
다니다,88
떨어지다,88
바라다,81
따르다,81
생기다,76
괜찮다,75
보내다,74
지나다,72
오르다,70
무섭다,70
바꾸다,69
어쩌다,68
돌리다,67
미치다,67
걸리다,66
좋아하다,63
당하다,63
버리다,61
알리다,61
어렵다,61
이쁘다,61
빠지다,60
터지다,58
느끼다,57
마시다,56
지키다,55
아프다,54
힘내다,54
올라가다,53
비추다,52
넘어가다,52
망하다,52
들어오다,51
싸우다,50
나쁘다,49
심하다,48
만나다,48
기다리다,48
부르다,46
고맙다,45
맞추다,45
달리다,43
죽이다,42
돌아가다,42
욕하다,41
바뀌다,41
때리다,41
부럽다,40
뿌리다,40
시키다,38
내리다,38
웃기다,37
끝나다,37
차리다,35
싫어하다,35
키우다,33
떠나다,32
빠르다,32
들리다,32
멋지다,31
배우다,31
맛있다,31
원하다,30
똑같다,30
따지다,30
가깝다,30
비싸다,29
잡히다,29
안타깝다,29
어리다,29
챙기다,29
엄청나다,29
비하다,27
편하다,27
해보다,27
없애다,27
나누다,26
생각나다,26
바르다,25
사라지다,25
올라오다,25
남기다,24
붙이다,24
약하다,24
버티다,23
일어나다,23
아쉽다,23
먹히다,23
지나가다,22
계시다,22
찾아보다,22
앞서다,22
움직이다,22
나서다,22
틀리다,22
강하다,21
꺼내다,21
밝히다,21
털리다,21
나타나다,21
구하다,21
가리다,21
누르다,21
예쁘다,20
줄이다,19
줄어들다,19
정하다,19
빌리다,19
재밌다,19
놀라다,19
지우다,19
내놓다,18
뒤집다,18
건드리다,18
새롭다,18
피하다,18
날리다,17
알아보다,17
내려가다,17
귀엽다,16
대놓다,16
외치다,16
역겹다,16
꺼지다,16
저지르다,16
들이다,15
변하다,15
띄우다,15
놀아나다,15
세우다,15
잘나다,15
돌아오다,15
커지다,14
멈추다,14
비비다,14
전하다,14
몰리다,14
바쁘다,14
자라다,14
뻔하다,14
막히다,14
사이다다,14
떠들다,14
맛나다,13
착하다,13
고치다,13
가져오다,13
드러나다,13
다녀오다,13
넘치다,13
받아들이다,13
흘리다,13
늘어지다,13
낮추다,13
벌어지다,13
모으다,13
팔아먹다,13
뒤지다,13
태어나다,13
달라지다,13
밀리다,13
겁나다,12
날아가다,12
옮기다,12
찍히다,12
내세우다,12
늘어나다,12
모이다,12
살리다,12
이루다,12
가즈아다,12
부끄럽다,12
지내다,12
가져가다,12
급하다,11
갖추다,11
벗어나다,11
쓰러지다,11
쓰이다,11
열리다,11
풀리다,11
바라보다,11
모자라다,11
거르다,11
늘리다,11
물어보다,11
날라가다,11
취하다,11
물리다,11
지켜보다,11
고르다,11
넘기다,11
노리다,11
내뿜다,10
더불다,10
관하다,10
끼어들다,10
조지다,10
이어지다,10
자르다,10
가볍다,10
쌓이다,10
자빠지다,10
씌우다,10
찾아오다,10
상관없다,10
살아남다,10
깨지다,10
빨갛다,10
괴롭히다,10
끼치다,10
일으키다,10
무겁다,10
나아지다,10
매달다,10
알아듣다,10
귀찮다,10
말리다,10
여기다,10
굴리다,10
찌르다,10
뛰어나다,10
이끌다,9
오지다,9
더럽다,9
채우다,9
견디다,9
숨기다,9
팔리다,9
데리다,9
도와주다,9
먹이다,9
망치다,9
말아먹다,9
처먹다,9
건들다,9
마르다,9
설치다,9
맡기다,9
높이다,9
놀랍다,9
내보내다,9
돌아서다,8
앞두다,8
꺼리다,8
놓치다,8
놔두다,8
갈아입다,8
뺏기다,8
주어지다,8
즐겁다,8
아깝다,8
지껄이다,8
묻히다,8
지치다,8
끝내다,8
놀래다,8
어울리다,8
그리다,8
드러내다,8
책임지다,8
욕먹다,8
누리다,8
모시다,8
그립다,8
들어보다,8
땡기다,7
잡아먹다,7
뜨겁다,7
뽑아내다,7
도지다,7
만지다,7
무너지다,7
부리다,7
봐주다,7
튀기다,7
끌리다,7
즐기다,7
나르다,7
바래다,7
상하다,7
지나치다,7
친하다,7
느리다,7
써먹다,7
흐르다,7
다가오다,7
흔들리다,7
쓸데없다,7
댕기다,7
흔들다,7
권하다,7
닥치다,7
숙이다,7
발리다,6
쏠리다,6
건너다,6
두렵다,6
겹치다,6
받치다,6
치르다,6
반갑다,6
아무렇다,6
아끼다,6
바치다,6
어이없다,6
뜬금없다,6
쪽팔리다,6
달라다,6
뭉개다,6
물어뜯다,6
지르다,6
애쓰다,6
갈기다,6
쏟아지다,6
박히다,6
부치다,6
떠올리다,6
사귀다,6
까다롭다,6
꼬시다,6
벗기다,6
접하다,6
불리다,6
돌아다니다,6
슬프다,6
가늘다,6
살아오다,6
부러지다,6
기울이다,6
좆같다,6
끊어지다,6
해내다,5
거슬리다,5
우습다,5
멕이다,5
집어넣다,5
떠오르다,5
거치다,5
귀하다,5
머물다,5
내밀다,5
가르다,5
얽히다,5
어설프다,5
설레다,5
어리석다,5
보태다,5
깨물다,5
잊히다,5
뽑히다,5
휘둘리다,5
적히다,5
따라가다,5
부시다,5
화나다,5
갈리다,5
번뜩이다,5
못생기다,5
끌어들이다,5
반하다,5
끓이다,5
알아먹다,5
혜자다,5
미루다,5
알아주다,5
나뉘다,5
나대다,5
합치다,5
올바르다,5
터트리다,5
달구다,5
드럽다,5
펼치다,5
데려가다,5
독하다,5
냅두다,5
다물다,5
다루다,5
놔주다,5
놀리다,5
토하다,4
작아지다,4
짜르다,4
더하다,4
맺히다,4
까먹다,4
앞장서다,4
그만두다,4
지겹다,4
매기다,4
나아가다,4
야무지다,4
끌려가다,4
다지다,4
어긋나다,4
두껍다,4
벌리다,4
속하다,4
맛보다,4
하얗다,4
다치다,4
습하다,4
받아먹다,4
의하다,4
뒤쳐지다,4
편들다,4
기어들다,4
이루어지다,4
싸이다,4
씨부리다,4
퍼지다,4
끼우다,4
묵히다,4
아름답다,4
아리다,4
밀어주다,4
가르치다,4
신나다,4
진하다,4
과하다,4
몰아가다,4
넘어오다,4
기르다,4
태우다,4
시끄럽다,4
갈구다,4
안되다,4
속상하다,4
지니다,4
때려치다,4
찢어지다,4
꼬이다,4
떠벌리다,4
논하다,4
녹이다,4
피우다,4
갇히다,4
고프다,4
조그맣다,4
들어주다,4
장난치다,4
비꼬다,4
붙잡다,4
내뱉다,4
게으르다,4
깨닫다,4
제끼다,4
들여다보다,4
새기다,4
데우다,4
홀리다,4
행하다,4
따라하다,4
좁히다,4
빼먹다,4
빼돌리다,4
까불다,4
얼리다,4
해먹다,4
덤비다,4
빡세다,4
내려오다,4
격하다,4
잘생기다,4
갈아타다,3
후려치다,3
불타다,3
기울어지다,3
빼앗기다,3
저쩌다,3
갔다오다,3
끝장나다,3
파랗다,3
비웃다,3
밀어붙이다,3
넘어서다,3
가리키다,3
분하다,3
박살나다,3
퍼뜨리다,3
까발리다,3
거두다,3
성나다,3
헷갈리다,3
튀어나오다,3
벌이다,3
노랗다,3
혼나다,3
두드리다,3
깔리다,3
가꾸다,3
살피다,3
잡아내다,3
솟아오르다,3
조르다,3
수많다,3
살펴보다,3
