word,count
조국,397
대선,326
대통령,290
백신,243
대표,241
가능,234
나라,213
감사,209
정부,195
국민,191
정치,185
후보,180
새끼,177
지사,152
정책,152
지지,149
소득,148
지역,143
작성자,142
지지율,140
언론,136
검찰,128
필요,128
얘기,124
접종,124
상황,123
다음,121
시장,119
개혁,114
사과,114
인간,113
이유,112
의원,112
장관,111
수준,110
기본,106
본인,105
추천,105
자체,104
이야기,101
효과,98
기사,97
재명,96
경제,95
마음,94
전화,90
시작,88
예약,88
조사,87
개인,87
지지자,87
발언,86
대구,84
결과,84
기자,84
번호판,83
경선,83
세금,82
기억,81
병원,81
이해,80
말씀,79
국가,78
지원금,78
지원,78
댓글,77
정신,77
선거,77
친문,76
입장,76
정권,76
부분,75
친구,74
부동산,74
내용,73
걱정,73
인정,73
여론,72
회사,70
남자,69
화폐,69
재난,69
출신,68
사용,68
보수,67
가족,67
이후,66
주자,66
동네,65
안심,65
정치인,64
관심,64
관련,64
토론,63
지급,63
차이,63
부자,63
의미,62
중요,62
에어컨,61
반대,61
코로나,61
하루,61
경기,61
주문,60
능력,60
뉴스,59
복지,59
현실,58
수류탄,58
치료,58
머리,58
최고,57
공기,56
가격,56
잔여,55
공격,55
사진,55
딴지,54
설명,54
주장,54
예전,54
당시,53
이미지,53
방법,53
공정,53
오토바이,53
기대,53
중도,53
상대,51
주변,51
결국,50
고양이,50
부모,50
인물,50
기준,50
공감,49
훈련,49
기업,49
세계,49
느낌,49
일반,49
비추,49
비판,49
실제,48
현금,48
언급,48
비교,48
유지,48
바람,48
세상,47
냄새,47
문자,47
사고,46
의견,46
나이,46
애초,46
카드,45
의사,45
시절,45
선별,45
사면,45
차선,45
검사,45
처음,45
나중,44
피해,44
선택,44
코인,44
지랄,44
저항,44
교수,43
이슈,43
판단,43
시기,43
도움,43
수사,43
시민,43
계곡,42
재원,42
지방,42
사기,42
책임,42
얀센,42
과실,42
다행,41
불안,41
지지층,41
운동,41
거리,41
대권,41
발음,40
세력,40
이름,40
여성,40
사격,40
사랑,40
정보,39
무시,39
영화,39
실패,39
응원,39
사건,39
변경,39
보편,39
쓰레기,39
확인,39
보통,38
국회의원,38
발생,38
선수,37
자리,37
이용,37
사태,37
위험,37
모습,36
병신,36
영어,36
대상,36
아파트,36
단속,36
제도,35
민주,35
신경,35
여권,35
대출,35
기회,35
논리,35
바보,35
차량,35
시스템,35
대신,34
과정,34
타령,34
방식,34
마지막,34
방역,34
체장,34
재정,34
검증,34
상태,33
프레임,33
사이,33
건강,33
운전,33
찬성,32
인식,32
재벌,32
제습,32
미래,32
포기,32
영상,32
청년,32
정리,32
전국,32
관리,32
문재,32
재앙,32
대책,32
세대,31
금융,31
반응,31
온도,31
수술,31
습도,31
주행,31
순간,31
지자,31
난리,31
노력,31
인기,31
주택,31
집값,30
시대,30
차기,30
행동,30
개소리,30
정상,30
과거,30
주식,30
호남,30
서민,30
보도,30
통과,30
마련,30
제목,29
폭탄,29
투표,29
예상,29
신청,29
행복,29
소비,29
양반,29
선생,29
당원,29
경험,29
아이,29
적극,29
시발,29
배달,28
방향,28
성공,28
질문,28
밭갈이,28
평가,28
사업,28
민심,28
형수,28
일부,28
작년,28
준비,28
비율,28
결정,28
승리,28
전략,28
총장,28
실험,28
해체,27
상관,27
존재,27
구입,27
매출,27
행정,27
군대,27
홍보,27
관계,27
유배지,27
공약,27
증세,27
장모,27
취소,27
기존,27
똥파리,27
해당,27
분위기,27
준석,27
옛날,26
표현,26
아빠,26
공급,26
기간,26
권력,26
인생,26
엄마,26
자랑,26
의리,26
여름,26
해결,26
얼굴,26
네거티브,26
국산,26
재판,26
좌파,26
마찬가지,26
당장,26
회복,26
내년,25
당선,25
금리,25
대학,25
공부,25
초선,25
고생,25
공무원,25
피해자,25
학생,25
희망,25
주인,25
대가리,25
기관,25
대안,25
내부,25
번호,25
상승,25
존중,25
성향,25
전체,24
변호사,24
안전,24
속도,24
논란,24
커피,24
싸움,24
진행,24
과세,24
생활,24
아래,24
국회,24
판사,24
상식,24
신념,24
야당,24
손가락,24
업무,24
카메라,24
기분,23
학교,23
도시,23
연락,23
방송,23
고기,23
인사,23
추진,23
정확,23
메시,23
전문가,23
환자,23
확률,23
추가,23
최근,23
총리,23
포함,23
와인,23
규모,23
눈치,22
발표,22
예산,22
위기,22
교육,22
도지사,22
근처,22
역사,22
자유,22
검색,22
차별,22
시즌,22
투척,22
처리,22
집단,22
연기,22
지도,22
왜곡,22
성과,22
눈물,22
대결,22
단어,22
아침,22
담배,22
변화,21
완료,21
기원,21
최악,21
나머지,21
설치,21
인증,21
구조,21
정의,21
한마디,21
투자,21
프로,21
부족,21
보궐,21
조건,21
정당,21
최대,21
저녁,21
중간,21
비마나,21
증상,21
진실,21
불편,21
조교,21
진보,21
인구,21
취급,20
조정,20
본문,20
상상,20
야옹,20
덕분,20
법안,20
아저씨,20
최소,20
제품,20
목소리,20
역대,20
대비,20
아이유,20
격차,20
자식,20
요청,20
단체,20
보상,20
자본주의,20
진심,20
전형,20
구도,20
지자체,20
콘크리트,20
상품권,20
신용,20
동일,20
판매,19
아버지,19
중앙,19
비난,19
부담,19
여당,19
가치,19
중심,19
혼자,19
직원,19
지도부,19
문통,19
