word,count
이재명,1050
민주당,528
윤석열,255
이준석,213
이낙연,173
문재인,135
일본,122
오세훈,122
레기,121
서울,105
경기도,104
기본소득,104
페미,103
송영길,91
미국,87
벤츠,62
한국,61
화이자,61
대한민국,57
제습기,56
추미애,54
윤희숙,51
나경원,48
중국,47
올림픽,44
정세균,41
박근혜,41
이명박,34
디젤,32
포퓰리즘,31
홍준표,30
노무현,30
바이크,30
유승민,29
음주운전,29
성남,29
파비스,28
페북,26
박용진,26
네이버,24
비엠,23
이동형,21
퓰리스,21
피싱,20
독도,20
윤석렬,19
화이팅,19
청와대,19
스톤,18
이해찬,18
광주,18
안철수,18
윈드,17
유튜브,17
영국,17
김경수,17
경북,17
매드,16
부산,16
박시영,16
김용민,15
경기도지사,15
박정희,15
모더,14
인천,14
서울대,14
남불,14
충청,14
강남,13
허경영,13
김남국,13
조중동,13
디즈니,12
도쿄,12
혜경궁,12
전남,12
보이스,12
경상도,12
피터팬,12
로키스,12
삼성,12
충청도,12
디언,12
주호영,11
이보디보,11
스펙,11
유시민,11
대우건설,11
논산,11
쉴드,10
대구시,10
안희정,10
투데이,10
이명,10
포털,10
북한,10
스터,10
한예슬,10
아스트라,10
우왕,10
원희룡,10
클라시,10
권영진,10
전두환,10
다저스,9
비트코인,9
도르,9
베네수엘라,9
독일,9
김대중,9
인도,9
떡검,8
샤오미,8
블루,8
충북,8
로우,8
전라도,8
퀄리티,8
클라스,8
까스,8
세종,8
러시아,8
충남,8
박영선,8
이스라엘,8
김형석,7
김종인,7
튜버,7
리우스,7
클리앙,7
까롤,7
챕터,7
랭군,7
대만,7
남북,7
박주민,7
조선일보,7
이재용,7
실버링,7
아노,7
국수호,7
성남시,7
성북구,7
소말리아,7
경남,7
스마일,7
급발진,7
영남,7
유럽,7
김부선,7
히틀러,7
울산,7
나르도,6
수원,6
스기,6
박원순,6
순이,6
아시아,6
스가,6
전북,6
코리아,6
미뉴,6
최배근,6
메가,6
아이파크,6
샤인,6
김어준,6
혜자,6
갤러,6
보헤미안,6
캐나다,6
마켓,6
란스,6
징징,6
짜파게티,6
문크,6
제네시스,6
랭보,6
내라,5
이철희,5
심상정,5
브라,5
키타,5
루리웹,5
아베,5
홍남기,5
토리,5
안드로,5
화수동,5
애프터,5
황교안,5
이동학,5
파키스탄,5
더락,5
위키,5
프랑스,5
페이스북,5
제갈량,5
지니,5
보드,5
찰스,5
샌더스,5
서울시,5
정동영,5
최규하,5
복지부,5
진중권,5
임정엽,5
제주도,5
권성수,5
북경,5
하태경,5
스팸,5
스트리밍,5
김선희,5
쥴리,5
티티카카,4
블로우,4
디스,4
티벳,4
티키,4
이대로,4
사막여우,4
요홍,4
양키스,4
집행유예,4
연양갱,4
유재일,4
윤석,4
코스트코,4
알라딘,4
산림조합,4
맥도날드,4
승수효과,4
카톡,4
미래한국,4
싸이코,4
클라우드,4
인지부조화,4
바바,4
최동석,4
이인제,4
셀러,4
타카,4
테디,4
반기문,4
아즈,4
이수진,4
악바르,4
커리어,4
이소영,4
시스,4
cg,4
호주,4
남경필,4
김지예,4
고일석,4
김오수,4
네스,4
나이트,4
노통,4
농심,4
필립,4
게릿,4
필리핀,4
구석,4
폴러,4
폭스,4
김무성,4
김진표,4
싸이카,3
방지법,3
한동훈,3
레전드,3
매경,3
체샤,3
한명숙,3
턱스,3
한문철,3
빈디젤,3
조응천,3
어니언,3
레드,3
빌보드,3
김포,3
하마스,3
김부겸,3
싱가포르,3
맥스,3
오브,3
어그,3
오사카,3
조경태,3
미트볼,3
홍산,3
최광호,3
오스트리아,3
양정철,3
음모론,3
탄소세,3
쿠스,3
김한규,3
르윈스키,3
미미,3
은평구,3
에쿠스,3
번뇌,3
창동,3
보이진,3
에메리,3
김정은,3
아산,3
부끄,3
리버,3
곡반정동,3
크레,3
평창,3
에게,3
중동,3
후니,3
스미스,3
불법행위,3
붕가,3
김영삼,3
아련,3
아라,3
브라질,3
로이,3
닥터페퍼,3
개콘,3
배철수,3
삼국지,3
욱일기,3
금강산,3
데어,3
전우용,3
황소,3
드래곤,3
경제성장,3
밀크,3
이토준지,3
가스공사,3
바그다드,3
행정명령,3
미얀마,3
동남아,3
이프,3
남미,3
힐러리,3
스카이,3
도담,3
미투,3
최순,3
최저임금,3
확증편향,3
무라,3
쇼우,3
헬리오,3
해양경찰,3
이니,3
김남훈,3
라섹,3
민규,3
신천지,3
야쿠르트,3
민노당,3
핀란드,3
시진핑,3
정유라,3
김혜경,3
스스,3
서울특별시,3
박서원,3
푸쉬,3
다현,3
문정부,3
무상급식,3
나우,2
김태구,2
이승만,2
최태원,2
버라이어티,2
창동역,2
백암,2
참이슬,2
김진흥,2
아프리카,2
아이바네즈,2
안궁,2
김진홍,2
버스비,2
박정아,2
이순신,2
바이든,2
김학,2
아카,2
아카이브,2
하록,2
최고봉,2
박용근,2
박형준,2
이스라,2
박범계,2
박경미,2
초코,2
초이,2
박가분,2
나견,2
발리,2
최문순,2
청주,2
홍콩,2
방탄소년단,2
나나,2
고려대,2
청담동,2
아임,2
초코파이,2
원내대표,2
짬짜면,2
이지만,2
승부조작,2
세인트,2
전광훈,2
시경,2
전라,2
금성,2
금왕,2
금태섭,2
곽도원,2
전지현,2
시중금리,2
전효성,2
정봉주,2
기네,2
호랭이,2
이철우,2
신용도,2
신용카드,2
김기현,2
세훈,2
센타,2
승부사,2
스텔라,2
스머프,2
인도네시아,2
헤럴드,2
인권위,2
슈테른,2
허재,2
스탠리,2
쉐보레,2
국민은행,2
스포티파이,2
수리온,2
잉여인간,2
스투,2
그랜드,2
스파,2
잭슨,2
그레이트,2
쟈니,2
상임위,2
정치성향,2
하버드,2
신현영,2
블라디,2
브리즈,2
죽령,2
곳도,2
브레,2
북유럽,2
북구,2
김완,2
아바타,2
하이패스,2
지섭,2
진핑,2
김조,2
이완용,2
아우,2
보레,2
하세용,2
보건복지위,2
병역면제,2
씨티,2
주루,2
한나라당,2
한반도기,2
김동연,2
ost,2
김문수,2
제이미,2
김병민,2
과천,2
공화춘,2
이즈,2
사라스,2
이제석,2
사드,2
뽐뿌,2
빌드,2
한반도,2
비하,2
조훈현,2
존슨,2
비너,2
고딩,2
나윤,2
고고씽,2
너겟,2
터키,2
레어,2
육군훈련소,2
레비아탄,2
강원도,2
테리,2
유진,2
예수,2
오구,2
테크,2
오리온스,2
럭키,2
넷플릭스,2
강북구,2
프라다,2
랠리,2
훼이,2
랄라,2
풀무원,2
오즈,2
라이터,2
태영,2
레파,2
태국,2
류현진,2
리아,2
키즈,2
리뷰,2
리모,2
프로게이머,2
엘라,2
킹메이커,2
리뉴,2
르비,2
윤석민,2
윤보선,2
여동수,2
타이네,2
프레,2
로칼,2
네요,2
타임로드,2
여수,2
연씨,2
로드맵,2
오지,2
오지헌,2
오피셜,2
데미지,2
요르단,2
윌슨,2
다나까,2
히스토리,2
우앙카,2
우진,2
데일리,2
패티,2
웬디,2
데르,2
왕십리,2
웨어,2
포스코,2
더나,2
대위변제,2
울트론,2
원투,2
평택,2
원샷,2
워싱턴,2
돌로레스,2
동교동,2
투스,2
뉴스타파,2
유엔,2
투싼,2
라모스,2
옥스포드,2
강기정,2
올드,2
뛰어라,2
올리버,2
유림면,2
뉴시스,2
니모,2
올인,2
트리거,2
흥덕,2
와이파이,2
드라군,2
유니,2
동훈,2
왕동,2
니니스,2
엑셀,2
로또,2
스마트폰,2
무왕,2
콜라보,2
카파도키아,2
콜러,2
콜크,2
쿠루,2
없음,2
쿠마,2
문장인,2
쿠팡,2
에디션,2
이글스,2
내도,2
카카오톡,2
에릭,2
애드웨어,2
맥콜,2
몽블랑,2
낙동강,2
이라니,2
남양주시,2
이동식,2
황진이,2
멕스,2
케냐,2
모피아,2
목수정,2
케이트,2
메인,2
황현,2
남주,2
코멘트,2
이낙,2
이나,2
플레,2
마시스,2
모가디슈,2
에바,2
내사,2
리차드,2
내지,2
리파,2
에일리언,2
클레이모어,2
이문덕,2
린다,2
에이전트,2
립니,2
마끄,2
알람,2
알바,2
에버그린,2
이동용,1
화원읍,1
이마트,1
이형종,1
원효대교,1
이라,1
이세돌,1
인덕션,1
인덕원,1
