,neg_words,count,documents
0,힘들다,97,"['이준석은 지금 당장은 힘들죠. 핫하다고는 하나 0선이고 라인 탄탄하게 만들어놔야 되는데. 라인이 아직 부실해서 힘듦. 자기쪽 사람 계속해서 많이 만들어놔야죠. 대통령 해보고 싶으면', '준비 없이 졸속 추진하면 더 욕을 먹기 때문이겠죠. 게다가 지방자치단체 단독으로 추진하기도 힘들구요. 일단 정책의 기조만 명확히 한다면 시기는 다소 조정해도 무방하다 생각합니다.', '짱수님 안갚으면 신용불량자 될텐데 안갚을 사람이 얼마나 될까요? 정말 힘든 사람은 못 갚을테지만 기본대출 시행하면 고금리 대출 받는 사람들은 좀 줄어들지 않을까 싶습니다.']"
1,떨어지다,88,"['httpsnews.v.daum.netv20210527130816346 짜장이는 아무것도 안하는 데 계속 떨어지네 검증 제대로 하면 10 로 떨어질 수도 있을듯', '여기 딴게에서도 이재명 얘기 좀 할라치면 니들땜에 이재명 표 떨어진다 며 이재명은 지지자들이 문제라며 닥치라고 압박하는 이들 있는데요. 이재명 관련 글이 뭐 얼마나 된다 고.', 'e3pizzicato 180석 가지고 왜 못함? 등신들임?이번 국회에서 민주당 아무것도 안하면 민주당의 존재의미가 사라져다음 국회는 소수당으로 나가 떨어진다는 거나 명심하길']"
2,걱정,73,"['이재명 안뽑을거니 걱정마시구요.nxa0n그렇다고 국짐당 뽑을일은 더더욱없을테니 기대도 하지 마시구요.nxa0n이재명말고 다른 경쟁력 있는 좋은 대선후보 낼겁니다.n이건 기대해주세요', '파비스님 그러신다고 귀에서 피 안나니까 걱정하지 마시구요 허위사실 유포하시면 고발당하셔도 할 말 없으신거 아시죠?httpspressian.compagesarticles196550', '영원한 민주님 제가 진짜 이재명지사 싫어했거든요. 근데 요즘은 정말 마음에 듭니다 저같은 사람이 많아졌으면 좋겠어요 이재명이면 절대 안뽑는다 이런 분들이 많아서 걱정입니다ㅠㅠ']"
3,무섭다,70,"['무섭다 이런애들이 선동 잘함 보면진짜 정치 잘하는 것 처럼 매도해서 지지율 높이고 또 즈그진영 가끔식 비판하면서 깨어있는척 하고 이런애들 대통령 되면 진짜 대한민국 개폭망.', '수류탄 받쳐들고 호 안에 들어가면 그 무섭던 di들이 나긋나긋하게 부드럽게 대해줬었던 .생각보다 무겁고 그래서 거리도 생각보다 안가고. 연못안에 던지면 물기둥이 .', '민주당이니 지지하시는 건가요? 근데 무슨 다른 의견을 주시나요 이 글이 뭐라고 ㅜㅜ 정치자유게시판에서 자유롭게 글도 못쓰겠네요 무서워서']"
4,재난,69,"['제 친구가 당시 닭집을 했었는데 매출 수직 상승했다고 좋아하던게 기억납니다.저도 재난지원금 들어오자마자 집앞 정육점 야식배달 등등아주 유용하고 즐겁게 썼어요효과는 확실하더군요', '클라시커님 재난지원금을 보편지급이나 지역상품권 형태로 하지 않으면 왜 답정너가 되는 건지 이해를 못하겠네요 님의 바람은 잘 알겠습니다 만답은 님이 정해놓으신거 같은데.', '글쎄요 지난 4차재난지원금 때만 해도 대통령뜻이 이러셨는데 정부에서 받아들일지 의문입니다 대통령은 코로나 종식에 임박해서나 보편지급을 언급하셨던 적이 있죠']"
5,걸리다,66,"['이낙연 저 화상은 선별 하느냐 시간걸려 비용 더들어 와중에 아슬하게 못받는 사람들 원성 생겨.보궐선거 패배하게 만들고 개혁 동력도 상실하게 만들어 놓고 아직도 정신 못차렸네요.', '수염난피터팬 오백만분의 1이죠 확률이. 이 정도 확률의 부작용때문에 백신을 못맞는다면 이 세상 모든 백신을 맞지 말아야 합니다 그냥 감기걸려 폐렴으로 사망할 확률이 더 높을듯', '주식 작전하다 걸리면 몇 년씩 살다나오는데 집가지고 장난친것들은 몇 배 더 강하게 처벌해야죠.주식은 없어도 살지만 집은 없으면 살 수 없는 필수재니까요.']"
6,당하다,63,"['그니. 넵 다만 근무 중이탈 외에 성매매이것도 유죄 확정이 아닌에 대해서만 조리돌림을 당하는 현실이 좀. 확실하지 않은 것에 마구 비판하는 대중들의 모습이 좀 씁쓸하더라구요', '캐나디언로키스 그 반페미를 절대로 대놓고 안하지난 친구가 이재명한테 직접 당하는 과정 봤는데 교묘하게 프레임짜서 정당하게 만듦 오히려 피해본사람을 극단적인 사람으로 몰아감', '거비마나 정봉주 의원처럼 당하는 사람들이 더 나올 수도 있어요.대선 후보에게 저런 비리 의혹이 생기면 어떻게 대응할 겁니까???출당 시킬겁니까?대선이 1년도 안남았는데.']"
7,어렵다,61,"['선거를 모르시는군요. 선거에 선명한 각이 없으면 그 선거는 오히려 답이 안 나옵니다. 중도라는 이상한 길을 가는 순간 망합니다. 민주당의 어려운 선거를 복기해보면 보이실거에요.', '칼을 아무때나 휘두르면 정작 쓰고싶을때 쓰기가 어렵죠. 아직은 입장을 밝혀서 좋을 것이 없을 때라 생각합니다. 물어뜯기기가 딱 좋죠. 적절한 입장표명같습니다. 작성자 구르는범', '밀월의 그 특정조건이 까다로움 예시로 좋은 컨트롤과 전략만 잇으면 이영호 이기기쉬움 이렇게 글로만 보면 당연한 이야기지만 실제 적용하기에는 그 특정조건을 갖추는 게 어렵지']"
8,버리다,61,"['운전하면서 창밖으로 담뱃재 털거나 꽁초 튕구거나 버리는 새끼들은 잠재적 방화범.나도 담배 피던 시절에는 내 차안 재떨이에 털고 버렸음.신고당해서 벌금 몇 백만원씩 내고 해봐야.', '이낙연이나 송영길이나 참 올드해요옛날방식을 버리지 못하는 군요 이래서야 이준석을 감당할 수 있을까꼰대 이미지를 민주당이 갖게 될줄이야민주당이 젊음도 매력도 잃어가네', '곽노현도 버렸고 한명숙도 버렸는데 조국인들 못 버릴까요. 이노무 당은 의리라고 는 눈 씻고 찾을래야 찾을 수가 없습니다. 소인배들. 절대 같이 비를 안맞으려 하죠']"
9,아프다,54,"['수류탄 투척 훈련 전 날 미친듯이 아파서 던지기 직전까지 참다가 도저히 안될거 같아서 얘기하고 못 던졌는데 진짜 후회 되요. 별거 아니였다곤 하지만 그래도 경험 해보는 건데.', '1day1waste 감사합니다.자기 손가락만 아프죠. 아니 1분 참아가며 비추 누르는게 참 착실해서요. 근데 바람처럼 탈퇴했던데 그분이 다른 닉으로 새로 가입했나???', '저희 엄마도 점심전에 맞으시고 맞은 부위만조금 아프시다고 해서 증상이 나타나나하고 타이레놀 2알 드셨는데 그 이후 아무이상없이잘 지나가셨네요. 2차는 22일이고요.']"
10,망하다,52,"['가지가 지한다. 한국을 베네주엘라 못 만들어서 난리네.세금이 니 돈이야? 은행 망하면 니가 다 갚을거야? 대통령될 수만 있으면 한국을 다른 나라에 몇 번이고 팔아먹고도 남을 듯.', '선거를 모르시는군요. 선거에 선명한 각이 없으면 그 선거는 오히려 답이 안 나옵니다. 중도라는 이상한 길을 가는 순간 망합니다. 민주당의 어려운 선거를 복기해보면 보이실거에요.', 'httpsn.news.naver.commnewsarticle008000459441 4?sid1001조7천억이 껌값인가 보네 이재명 이늠 진짜 나라 망하게 만드는구만']"
