from,to,depth,documents
"이재명
in community","이재명
in community",0,"['제발 조국 경선에 뛰어라. 지금 민주당도 조국때문에 골머리인데 이재명도 조국은 상당히 까다롭다.', '이명박 박근혜 시즌2지 지금 민주당이근데 갑자기 조국센세 등장하면서 이재명 시나리오 꼬이기 시작', '조국 추미애 민주당 이런애들은 짜증나거나 어이없어서 비웃는데난 이재명은 진짜로 무섭다']"
"이재명
in community",이재명,1,"['여기 딴게에서도 이재명 얘기 좀 할라치면 니들땜에 이재명 표 떨어진다 며 이재명은 지지자들이 문제라며 닥치라고 압박하는 이들 있는데요. 이재명 관련 글이 뭐 얼마나 된다 고.', '민주당끄나풀 그냥 토론에서 남는 이미지만 보면 이재명이 챙겨갈 건 챙겨가는 토론이었다고 봐야 함그 정도 토론이면 여권이나 이재명호감층에서는 이재명이 이겼다 정신승리 쌉가능한 정도라', '알고 지지하는 것임 난 잃을게없으니 이재명이 일단 한국을 박살내고 다시 시작하자 이재명이 잘할것이다 라는 이재명지지자? 이건 사람취급해줄 지능에 도달했는지 심각한 의심이 필요함']"
"이재명
in community",민주당,1,"['가우쵸딩요 민주당이 멀 잘못했는대요? 사과안하면 오만한 민주당 이라고 도배 틀텐데.민주당에선 조국이름만 꺼내고. 원론적인 이야기만 해서. 일부로 프렘 짠거 같은데.', '야롤잉 페미가 민주당 코어 권력층에 자리잡고 있어서 민주당에서 나올 생각이라면 모를까 민주당 간판 걸고 대선 나오려면 못한다고 봄', '아노리우스 민주당 10명 찬성 국민의힘 1명 찬성 6명은 외부 설치 찬성이라네요. 총원은 24명입니다. 6명 중 4명이 국민의힘이고 1명은 민주당 1명은 무소속 이용호 입니다.']"
"이재명
in community",조국,1,"['윤석열이랑 붙을때 다른거 말고 조국에 대해서 어떻게 생각하냐고 물어보고조국은 잘못했다 궁색한 변명이 나올 수밖에 없음조국은 잘못안했다 조국과 함께 침몰하는 거임', '조국 묻으면 2030표 날라가고 대선 지는거 누구보다 잘 알고 있는데 조국을 옹호안하면 대깨들이 장악한 민주당 경선을 뚫기 힘들고 내가 찢이면 조국 존나 싫을듯', '조국 까기 시작하면 경선 통과 못해. 가뜩이나 대깨문들과 사이도 안좋은데 조국을 깐다? 조국 2차 대전은 일도 아니지.']"
"이재명
in community",모르다,1,"['비를맞다 말이 안통하는 분들 많아요.초딩들도 다 아는걸 본인이 아는데 민주당은 모른다 며 자체 흥분하시는 분들을 보면. 정말로 몰라서 그런가 하는 생각이 먼저 듭니다.', '조중동 mbn포함 경제지는 그냥 쓰레기라니까요.n제네들은 지들 유리한 문항 만들어서 여론 조작하는 놈들입니다.xa0n그걸 모르고 믿는건지 믿으니까 모르는 건지.', '아마 잘 모르지 않을까?누가 유갤에 올려도 묻히면 아무도 모르는 거고사실 기사까지 나야 누구나 알게될건데 기사도 잘 안나니까']"
"이재명
in community",대선,1,"['저 이준석 코인 타려는거보소정치력 냄새맡는건 1티어네 진짜국힘 틀딱 중진이 저거 보고 정치력 반만 배워와도다음 대선 대승한다 걍 제발 대선 전에 대깨문이랑 붙어서 자멸해라', '거비마나 정봉주 의원처럼 당하는 사람들이 더 나올 수도 있어요.대선 후보에게 저런 비리 의혹이 생기면 어떻게 대응할 겁니까???출당 시킬겁니까?대선이 1년도 안남았는데.', '현 상황으로는 이재명이 후보가 되도 대선 어렵습니다. 그런데 이낙연 기타등등이 주제파악 못하고 대선 나가겠다고 하고 있죠. 이재명 아니면 처참하게 발릴겁니다.']"
"이재명
in community",대통령,1,"['깜도 안 되는 게.어이가 없음. 김대중 대통령 노무현 대통령 문재인 대통령은 모든 분들이 깜이 되었다 이늠아발톱에 때도 안 되는 게.어이 없네.', 'fortuna님 위에서 대통령의 입장을 보셨을 텐데도 애꿎은 모피아 타령만하시는건 좀 웃기지 않습니까?모피아가 아무리 찧고 까불어도 대통령의 재가 없이는 아무짓도 못합니다', '그 시절그때님 어떤 면에서 그렇다고 생각을 하는지 말을 해야지 다짜고짜 아무리봐도 뭘 보았는데요?이재명지사가 대통령입니까?대통령이 되고 나서 판단을 하는 게 맞지 않나?']"
"이재명
in community",윤석열,1,"['지금 저쪽 대선후보 1순위가 윤석열이고윤석열 떨어진다고 2순위 3순위다른 대안도 없는 것도 아니기에윤석열 하나에 너무 매몰되도 안 되는 말씀 공감합니다', '윤석열이 되든 이재명이 되든 문재인을 칠텐데 윤석열이 치면 정치공세 보복이라고 할 수 있지만 이재명이 치면 그냥 오명 뒤집어 쓰고 감방가는 거라 다 나쁘다 보는 사람들이 많다', 'sktbroad 나경원 붙으면 된다는 거 자체로 윤석열 손에 달려 있다고 보기는 힘들지.윤석열이 안 나오면 희망이 없지만 나와도 나경원 묻으면 된다는 건데']"
"이재명
in community",백신,1,"['이미 백신 접종순서가 다 공표가 되었는데 뭐가 이러쿵 저러쿵인가요나라에서 연락와서 맞으라고 하면 그때 맞으면 되는 겁니다.너무 잔여백신 잔여백신 할 필요 없는데.', '20억은 누군가의 목구멍으로 이미 넘어갔고백신 확보 안되면 정부가 깽판놓아서 못했다고 핑계거리는 이미 만들어졌고대구 시민들은 이제 권징징이 백신을 똥꼬에서 뿜어낸다고 해도 믿을거고', '수염난피터팬 오백만분의 1이죠 확률이. 이 정도 확률의 부작용때문에 백신을 못맞는다면 이 세상 모든 백신을 맞지 말아야 합니다 그냥 감기걸려 폐렴으로 사망할 확률이 더 높을듯']"
"이재명
in community",대표,1,"['aosrla 그러게 저런 능력 없는 대표 선출되지 않게 더 노력하시지.송영길 대표에게 투표했다면 본인 바보 인증이요.송영길 대표에게 투표하지 않았다면 당신의 선택은 똥손일수도.', '당 대표가 개나소나 윷가락 던지기로 뽑는것도 아니고 대표정도 내공이면 말을 가려해야죠개레기가 왜곡했다?? 쓸대없는 말을 해대니빌미잡히고 이용당하는 겁니다', '이준석 당대표 윤석열 대선후보 vs 송영길 당대표 이재명 대선후보n와 나도 참 친절하다. 이런 걸 다 가르치고']"
"이재명
in community",보이다,1,"['바이폴러 굉장히 깔끔해 보이는 양반이거든요속으로 흠칫했습니다 저래 깔끔해 보이는 양반이 저런 소리를 내가 이상한 건가??? 싶어서 나는 깔끔해 보이지도 않는데', '관심없으면 대충 크게 보이는 것만 보고 믿으니까.계곡 응급헬기 신천지본진공격 등 관심끌기로 보이는 것만 시원시원하게 보여줌', '전투력을 보여주지 못하는 당대표라 걱정되는군요덩치값못하는 정당이란 모습을 보여주니 다음 대선이 불안하고 요시민들의 지지만 믿고 저돌적으로 나가는 모습이 있어야 하는데.']"
이재명,지사,2,"['빵꾸뿡뿡 난 이재명 지사 비난 한 적 없는데.이낙연 의원 띄운 적도 없고.당신이나 다른 후보는 조롱하지 마세요.우연히 오늘 이재명 지사 페북글에 찬성의 댓글 달았는데.', '이재명지사도 마냥 좋은 후보가 아닌건 맞는데 그 집단들 때문에 제대로 비판도 못하겠어요. 오히려 이들이 이재명지사의 건전한 비판과 검증을 막게 분위기를 만들었어요.', '부티애스 그런 티키타카를 이제 와서 하는 지.꼭 찝어 이재명 지사만 뺀 거 보니.이재명 지사 지지자인 척 하는 이간질러 한 명 추가 인듯.']"
이재명,후보,2,"['별일 없는 한은 이재명이 대선후보 될거고n그러면 친문이라도 이재명 찍겠죠 n이재명 본인이 그걸 잘 알고 있을테니 굳이 친문 눈치 볼 필요는 없을듯', '빵꾸뿡뿡 난 이재명 지사 비난 한 적 없는데.이낙연 의원 띄운 적도 없고.당신이나 다른 후보는 조롱하지 마세요.우연히 오늘 이재명 지사 페북글에 찬성의 댓글 달았는데.', '이재명지사도 마냥 좋은 후보가 아닌건 맞는데 그 집단들 때문에 제대로 비판도 못하겠어요. 오히려 이들이 이재명지사의 건전한 비판과 검증을 막게 분위기를 만들었어요.']"
민주당,이낙연,2,"['windblade님 그래도 강력한 친문인물이라 결국에는 이낙연이나 정세균이 민주당 대선후보로 가지 않을까 합니다. 말도 안 되지만 민주당에서는 개연성있다고 봅니다.', '이낙연이나 송영길이나 참 올드해요옛날방식을 버리지 못하는 군요 이래서야 이준석을 감당할 수 있을까꼰대 이미지를 민주당이 갖게 될줄이야민주당이 젊음도 매력도 잃어가네', '이낙연도 송영길도 똑같이 올드한 구식 정치를 보여주네요민주당이 매력을 잃어가는 이유를 알겠구만내탓 아니야 조국탓이야 조국잘못 미안 20대야 돌아와 이건가요참 게으르고 비겁하네요']"
민주당,정치,2,"['지금 상황에서 다른 곳으로 가는 건 어렵고책 내신다는 거 보니까 현실정치 뛰어드실 것 같다는 느낌이 강하게 오네요. 민주당으로 가실지 열린 민주당으로 가실지.', '웃긴게 본인들은 정치 아마추어고 민주당은 프로들인데. 본인이 1을 알았다고 10을 알고 있는 민주당이 어떻느니 욕을 하는 거 보면 웃기긴함.', '이낙연도 송영길도 똑같이 올드한 구식 정치를 보여주네요민주당이 매력을 잃어가는 이유를 알겠구만내탓 아니야 조국탓이야 조국잘못 미안 20대야 돌아와 이건가요참 게으르고 비겁하네요']"
