,pos_words,count,documents
0,감사,209,"['저건 감사원 소관이죠? 집행이 잘 돼었는지 감사 하는 거니까 지금 감사원은 해야 할 감사는 아니하고 수사하는 기관으로 별질이 돼어서 참 열일했다 채원장놈아', '부르면 안 돼는닉 면 고 면 라 오오 제주도에 가족이 있으신데. 괜찮으실까요? 감사먼저드리고 걱정은 나중에 하겠습니다. 감사합니다', '헬로퐌 답변 감사합니다. 헬로퐈님 설명까지 들으니 이제 완벽하게 이해가 갑니다. 감사합니다']"
1,지지,149,"['지금 문재인 대통령께서는 힘들어지시지 않을까요? 여론 돌아가는거 보니 정권 넘어갈 것 같던데 민주당 지지 하시는 분들 께서는 요즘 이재명 지지하시나요?', '개장수 이재명 형수한테 욕한거 여배우랑 불륜 등 이런 거2030여성한테 안먹혀 이낙연이 지금 11프로지지받는거 3분의 2가 민주당 지지 여성층들임', '그러게요 이낙연이 친문지지 얻으면 또 그림이 달라지겠네요.xa0 대선후보로 나와도 강경 이재명 보다는 좀 더 중도층 지지를 얻을거같고']"
2,소득,148,"['종합 소득세에 합산하는 게 맞다고 보는데요. 소득이 많으면 많이 물리고 소득이 적으면 적게 물리고. 청년들 소득이 적고 시드가 적은 편일테니.', '현 복지제도 개편으로 증세 없이 가능한 안심소득 vs 상위소득자 대상 증세 불가피한 기본소득어느 쪽이 조세저항이 더 심할지는 뻔한 거 아닌가.', '기본소득을 위해서 어차피 상위소득자들은 안심소득 얘네보다 세금 더 걷게되지 않음? 조삼모사']"
3,이기다,118,"['헛소리 좀 하지 마요. 이낙연으로 이길 수 있으면 이낙연이 돼야죠. 이낙연으로 이길 리도 없고 남은 후보는 이재명뿐인 상황인 점이니 이런 논의 자체가 무의미하지만요', '이해찬도 그랬듯이 대선에서 이길 후보를 지지하기 때문에 별 어려움이 없죠n사람사는 세상만 추구한다 면야 민주당 후보 누구든 이기는 사람으로 고고', '그건 윤희숙을 이기냐 못이기냐가 아니라 저런 하꼬 초선이랑 싸워봤자 본인만 손해란걸 아는거지 체급이 맞는 애들이랑 싸우려고 무시하는 거']"
4,괜찮다,75,"['저희 부모님도. 31일날 두분 화이자 접종하시고.아버지는 괜찮으셨다고 하고. 엄마는 팔 부위만 좀 아파서 미리 사다드린 타이레놀 드셨고.지금은 괜찮으시다고네요.', '아프면 먹을려고 구입은 했는데.막상 근육통 빼고는 괜찮아서 안먹고 있네요.지인은 좀 몸살기가 있다고 하든데. 대체로 남자들은 괜찮은가 봐요.', '연비 생각보다 괜찮은게 분당에서 성북구로 출퇴근하시는 분 차에 가끔 타는데 평균연비 9km대가 찍혀 있더라구요. 워낙 여기저기 많이 다니는 분이라 출퇴근만은 아니겠지만 요.']"
5,친구,74,"['머대리사냥꾼 그런친구들도 있더라구요 근데 어차피 정치인들 다 새기들은데 일이라도 잘하는놈 지지한다 이런친구들도 많아요', '제 친구가 당시 닭집을 했었는데 매출 수직 상승했다고 좋아하던게 기억납니다.저도 재난지원금 들어오자마자 집앞 정육점 야식배달 등등아주 유용하고 즐겁게 썼어요효과는 확실하더군요', '6학년 때 맨날 4등만 하던 날 위해 친구들이 합심해서 1등 만들어줌. 고맙다 친구들아']"
6,인정,73,"['합성아님 그냥 인정하기 싫어서 경찰에 넘겨서 조사도 했었어요 그런데 일이 커질 수도 있는 상황이었던 지라 그냥 인정하고 말았어요. 보험료는 제 차 수리비만으로도 할증확정이었어서.', '파비스님 공직자의 도의적 책임 이 뭔지 생각해보세요.사과했다고 인정이면 조국 장관님도 도의적 책임 을 지고 사과하셨으니 유죄를 인정하신건가요?', '이제 법인으로 고가챠량 사도 비용인정은 연 800만원밖에 안 됩니다. 그와중에 운행일지도 또박또박 잘써야해요.법인세를 올리는 것보단 이렇게 편법을 막는 방향이 맞는 것 같습니다만.']"
7,안심,65,"['저번에 윤희숙한테 반박했다가 개털린이후에 윤희숙이 아무리 뭐라해도 이악물고 못본척함거의 담당일진급으로 전담마크하고 있는데도 아무언급 안하다가 뜬금없이 안심소득으로 오세훈한테 시비검', '안심소득은n기존 복지혜택 없애고n돈으로 퉁치는 제도예요nxa0n기초생활수급자한테n수급비 전기요금할인 쌀지원 의료비 지원 등 다 빼고n돈 하나로 퉁치는겁니다', '현 복지제도 개편으로 증세 없이 가능한 안심소득 vs 상위소득자 대상 증세 불가피한 기본소득어느 쪽이 조세저항이 더 심할지는 뻔한 거 아닌가.']"
8,부자,63,"['부자편들어주는 게 아니라 부자편들어주는척 하는 거지세금폭탄때리고 인심쓰듯 조금 돌려주고 대기업과 부자한테 세금폭탄 안때리면 기본소득을 할 수가 없음', '돌아온광마 항간에 떠도는 유명한 말이. 부자 3대 못간다.이건. 흙수저들을 위로하는.또는 자위하는.세상 둘도 없는 낭설이쥬진실은.부자는 망해도 3대가 간다', '머 전지현도 부동산 부자인데.코엑스 건너편에 있던 갈비집 땅도 현금주고 샀다 고 했죠.전지현은 항상 부동산 구입할 때 대출 없이 현금으로 산다고.']"
9,좋아하다,63,"['제 친구가 당시 닭집을 했었는데 매출 수직 상승했다고 좋아하던게 기억납니다.저도 재난지원금 들어오자마자 집앞 정육점 야식배달 등등아주 유용하고 즐겁게 썼어요효과는 확실하더군요', '집에서 짜장볶고 중화면 삶아서 넣어먹어요. 애들한태 짜장라면 끓여주면 와이프가 시러하는 대저렇게 해주면 와이프가 좋아해요 난 머가 다른지 몰겟어요. 어차피 msg 맛인데', '원래부터 조국수호대를 자처하는 친문들과 이재명은 사이가 많이 안 좋았죠.n그래서 이재명도 자기를 허구헌날 엄청나게 까대는 친문들의 화신인 조국을 별로 안 좋아하는 거죠']"
10,이쁘다,61,"['클라세 건조기 저도 쓰는데 괜찮더라구요이쁜 사람이 이쁜 일을 하는 건지이쁜 일을 하니 이쁜 사람이 되는 건지선후는 불명확하지만 이쁜 사람이 이쁜 일 했네요.', '숨만 쉬어도 응원하기로 한 아이유 계속 흥해라 이쁜게 이쁜 짓만 하는 구나.', '아이고 이뻐라 ㅜㅜ 너무 이쁘네요 이쁘게 자라렴']"
11,능력,60,"['aosrla 그러게 저런 능력 없는 대표 선출되지 않게 더 노력하시지.송영길 대표에게 투표했다면 본인 바보 인증이요.송영길 대표에게 투표하지 않았다면 당신의 선택은 똥손일수도.', '거비마나 .거비마나?송씨 능력으론. 내년 대선지방선거 불감당. 이거든요? 그러니송씨가 그나마 욕 덜먹을 이때빨리 대표직 내놓고 스스로 나가라 하소. 으 이?.', '지들 무능력을 덮는데는 이웃 국가와의 갈등을 부각시키는 게 제일 효과적이라고 여지껏 믿나 보네요 초계기 갈등도 무역분쟁도 그래서 크게 저질렀던 거 아니겠어요?']"
12,최고,57,"['특정 정치인 누구 거명하실 필요는 없고요.법인세 최고세율 실효세율 모두 문재인 정부에서 인상했고 인상하고 있습니다. 지금은 oecd 중상위입니다. 그전에는 중하위', '아죠씨 저 순위 딴게이들 다 알고 있거든요? 20위권이라는거 알면서도 그냥 딴지가 최고야 이러고 커뮤하는 건데 뭘 바보취급을 그렇게 하시는 지요.', '아산병원이 간은 최고라고 합니다.저도 아버님 간 관련해서 여기저기 알아봤었거든요.보호자가 정신 똑바로 차리고 있어야 보호자가 덜 불안해합니다.']"
