word,count
디젤 국 뽕,24
국민의 힘,20
이재명 페북 업데이트,14
이재명 경기 지사,13
이준석이 당,11
차기 대선 후보,11
이준석 남자 친구,10
대선 후보 적합,10
이재명이 대통령,10
와사비 맛 아몬드,9
오세훈 서울 시장,9
이준석 당 대표,9
오세훈 안심 소득,8
민주당 대선 후보,8
나라를 팔아먹다,7
국민 재난 지원금,7
다저스 시즌 우승,7
급 차선 변경,7
블루 벨 존,7
삶의 주인,7
무료 입장 유료,6
행복 회로 돌리다,6
보헤미안 랍 스터,6
차선 변경 후,6
미스터 션 샤인,6
방법이 없다,6
입장 유료 퇴장,6
남성 인권 보호,6
성북구 똑 순,6
임정엽 재판장 김선희,5
잔여 백신 맞다,5
검찰 개혁 언론,5
권성수 주심 임정엽,5
표 냄새 맡다,5
재난 지원금 지급,5
민주당이 조국,5
잔여 백신 예약,5
지역 화폐 지급,5
오리발 떡검 해체,5
이재명 경기도 지사,5
달에게 듣다,5
공기 저항 운운,5
주심 임정엽 재판장,5
관심이 없다,5
국민의 피해,5
매출이 늘다,5
베 카레 풀,5
정치에 관심,5
지원금을 지역,5
자격이 없다,5
유일신 메시 화이팅,5
병원에 전화,5
개혁 언론 개혁,5
유력 대권 주자,5
지지율이 높다,5
정쟁의 수단,5
태그를 지원,4
안심 소득 재원,4
사유의 넘버,4
표 퓰리스 트,4
지역 화폐 방식,4
시장의 안심,4
망조의 짐승,4
지역 사랑 상품권,4
마음에 드다,4
대안이 없다,4
부자한테 세금,4
경제를 살리다,4
재명을 지지,4
이재명을 지지,4
통화에서 지역,4
씹 세기 폭스,4
국산 고추 가루,4
필립 운동 센터,4
이재명이 윤석열,4
골방 담배 연기,4
화산 논 검,4
힘 전당 대회,4
힘 당 대표,4
민주당에서 이재명,4
기초 생활 수급,4
정부의 정책,4
당 대표 시절,4
세기 폭스 사,4
선별 현금 지급,4
역사에 남다,3
입장을 존중,3
관련이 없다,3
당 대표 선거,3
피해를 광범위,3
이날 방송사 인터뷰,3
덕분에 가계,3
계약 갱신 청구,3
피해를 적극,3
여권 대선 주자,3
스트리밍 유형 라이브,3
지원이 가계,3
노무현 문재인 대통령,3
세계에서 국가,3
검찰의 희생양,3
이재명 우세 서울,3
여권 이재명 우세,3
기본소득 재원 마련,3
기 레기 농간,3
오차 범위 밖,3
기 레기 새끼,3
인물이 없다,3
세력이 붙다,3
딸기 맛 카레,3
강 테 우스,3
비율 챕터 챕터,3
민주당을 찍다,3
글에 비추,3
에어컨의 제습,3
왜구 박멸 소탕,3
몸이 재산,3
여론 조사 결과,3
강약 약 강,3
표차 여권 이재명,3
고기 요정 사랑,3
인터뷰에서 조국,3
조국 사태 사과,3
벤츠 차선 변경,3
방역에 적극,3
차별 급식 시즌,3
민주당 국 힘,3
회복에 도움,3
민주당에 이재명,3
이니의 품격,3
검찰 총장 한동훈,3
전화로 예약,3
