word,count
이재명,1050
민주당,528
조국,397
모르다,370
대선,326
대통령,290
윤석열,255
백신,243
대표,241
보이다,236
가능,234
이준석,213
나라,213
감사,209
정부,195
국민,191
정치,185
후보,180
새끼,177
이낙연,173
정책,152
지사,152
지지,149
소득,148
지역,143
작성자,142
지지율,140
언론,136
문재인,135
검찰,128
필요,128
던지다,126
다르다,125
접종,124
얘기,124
상황,123
오세훈,122
일본,122
레기,121
다음,121
시장,119
이기다,118
개혁,114
사과,114
인간,113
이유,112
의원,112
장관,111
수준,110
기본,106
서울,105
본인,105
추천,105
기본소득,104
자체,104
경기도,104
페미,103
올리다,102
이야기,101
들어가다,99
효과,98
힘들다,97
기사,97
재명,96
경제,95
마음,94
송영길,91
전화,90
나가다,89
다니다,88
예약,88
시작,88
떨어지다,88
미국,87
지지자,87
개인,87
조사,87
발언,86
결과,84
대구,84
기자,84
경선,83
번호판,83
세금,82
바라다,81
기억,81
병원,81
따르다,81
이해,80
말씀,79
국가,78
지원금,78
지원,78
선거,77
정신,77
댓글,77
생기다,76
정권,76
입장,76
친문,76
괜찮다,75
부분,75
보내다,74
부동산,74
친구,74
내용,73
인정,73
걱정,73
지나다,72
여론,72
무섭다,70
오르다,70
회사,70
재난,69
바꾸다,69
남자,69
화폐,69
사용,68
어쩌다,68
출신,68
보수,67
미치다,67
돌리다,67
가족,67
걸리다,66
이후,66
주자,66
안심,65
동네,65
정치인,64
관심,64
관련,64
좋아하다,63
당하다,63
부자,63
토론,63
지급,63
차이,63
의미,62
중요,62
벤츠,62
코로나,61
반대,61
하루,61
버리다,61
이쁘다,61
에어컨,61
한국,61
알리다,61
경기,61
화이자,61
어렵다,61
능력,60
주문,60
빠지다,60
복지,59
뉴스,59
머리,58
수류탄,58
터지다,58
치료,58
현실,58
최고,57
대한민국,57
느끼다,57
제습기,56
공기,56
가격,56
마시다,56
공격,55
잔여,55
사진,55
지키다,55
힘내다,54
딴지,54
추미애,54
주장,54
아프다,54
설명,54
예전,54
방법,53
이미지,53
기대,53
당시,53
올라가다,53
오토바이,53
공정,53
중도,53
비추다,52
넘어가다,52
망하다,52
윤희숙,51
들어오다,51
상대,51
주변,51
기준,50
부모,50
고양이,50
인물,50
싸우다,50
결국,50
기업,49
훈련,49
일반,49
공감,49
비추,49
느낌,49
나쁘다,49
비판,49
세계,49
현금,48
유지,48
바람,48
기다리다,48
실제,48
비교,48
만나다,48
나경원,48
언급,48
심하다,48
냄새,47
문자,47
중국,47
세상,47
의견,46
나이,46
사고,46
애초,46
부르다,46
검사,45
선별,45
차선,45
카드,45
의사,45
사면,45
맞추다,45
고맙다,45
처음,45
시절,45
나중,44
코인,44
피해,44
올림픽,44
지랄,44
저항,44
선택,44
이슈,43
시민,43
시기,43
도움,43
수사,43
달리다,43
판단,43
교수,43
사기,42
과실,42
죽이다,42
재원,42
얀센,42
돌아가다,42
계곡,42
지방,42
책임,42
바뀌다,41
박근혜,41
지지층,41
욕하다,41
때리다,41
대권,41
거리,41
다행,41
정세균,41
운동,41
불안,41
여성,40
이름,40
발음,40
부럽다,40
세력,40
사랑,40
뿌리다,40
사격,40
실패,39
무시,39
보편,39
확인,39
영화,39
응원,39
쓰레기,39
정보,39
변경,39
사건,39
시키다,38
내리다,38
보통,38
국회의원,38
발생,38
자리,37
웃기다,37
끝나다,37
선수,37
사태,37
위험,37
이용,37
대상,36
모습,36
아파트,36
병신,36
단속,36
영어,36
기회,35
신경,35
대출,35
제도,35
싫어하다,35
시스템,35
여권,35
차량,35
논리,35
바보,35
민주,35
차리다,35
검증,34
타령,34
마지막,34
대신,34
과정,34
방역,34
방식,34
체장,34
재정,34
이명박,34
건강,33
프레임,33
키우다,33
상태,33
운전,33
사이,33
미래,32
빠르다,32
들리다,32
인식,32
관리,32
떠나다,32
포기,32
대책,32
디젤,32
문재,32
전국,32
청년,32
정리,32
재앙,32
찬성,32
영상,32
제습,32
재벌,32
금융,31
온도,31
지자,31
포퓰리즘,31
주택,31
주행,31
인기,31
난리,31
멋지다,31
수술,31
습도,31
노력,31
맛있다,31
순간,31
세대,31
반응,31
배우다,31
통과,30
차기,30
개소리,30
정상,30
보도,30
원하다,30
호남,30
가깝다,30
서민,30
과거,30
마련,30
주식,30
홍준표,30
집값,30
따지다,30
행동,30
똑같다,30
시대,30
노무현,30
바이크,30
챙기다,29
행복,29
엄청나다,29
경험,29
당원,29
성남,29
제목,29
아이,29
양반,29
잡히다,29
안타깝다,29
투표,29
음주운전,29
소비,29
적극,29
시발,29
어리다,29
선생,29
유승민,29
예상,29
신청,29
폭탄,29
비싸다,29
사업,28
전략,28
일부,28
질문,28
방향,28
준비,28
민심,28
평가,28
파비스,28
배달,28
밭갈이,28
총장,28
실험,28
성공,28
승리,28
비율,28
작년,28
형수,28
결정,28
없애다,27
분위기,27
똥파리,27
장모,27
행정,27
홍보,27
편하다,27
비하다,27
공약,27
해당,27
기존,27
증세,27
해보다,27
관계,27
준석,27
취소,27
상관,27
구입,27
유배지,27
존재,27
해체,27
매출,27
군대,27
옛날,26
엄마,26
재판,26
기간,26
여름,26
국산,26
페북,26
표현,26
인생,26
나누다,26
권력,26
좌파,26
박용진,26
공급,26
네거티브,26
아빠,26
당장,26
의리,26
해결,26
얼굴,26
회복,26
생각나다,26
마찬가지,26
자랑,26
번호,25
사라지다,25
성향,25
공무원,25
상승,25
바르다,25
초선,25
올라오다,25
피해자,25
고생,25
금리,25
공부,25
희망,25
당선,25
대학,25
대가리,25
주인,25
기관,25
내부,25
존중,25
대안,25
학생,25
내년,25
아래,24
붙이다,24
안전,24
손가락,24
야당,24
카메라,24
네이버,24
싸움,24
전체,24
판사,24
속도,24
과세,24
상식,24
업무,24
신념,24
남기다,24
커피,24
국회,24
생활,24
변호사,24
논란,24
진행,24
약하다,24
학교,23
와인,23
추가,23
환자,23
버티다,23
아쉽다,23
인사,23
연락,23
도시,23
포함,23
총리,23
방송,23
비엠,23
기분,23
최근,23
전문가,23
일어나다,23
메시,23
고기,23
추진,23
확률,23
규모,23
정확,23
먹히다,23
위기,22
아침,22
성과,22
지나가다,22
계시다,22
찾아보다,22
교육,22
예산,22
차별,22
근처,22
지도,22
틀리다,22
나서다,22
투척,22
처리,22
발표,22
집단,22
앞서다,22
검색,22
자유,22
눈치,22
대결,22
연기,22
단어,22
도지사,22
움직이다,22
시즌,22
담배,22
역사,22
왜곡,22
눈물,22
구하다,21
정당,21
투자,21
보궐,21
인증,21
한마디,21
중간,21
부족,21
설치,21
구조,21
이동형,21
프로,21
진실,21
인구,21
퓰리스,21
최대,21
꺼내다,21
증상,21
누르다,21
비마나,21
조건,21
저녁,21
조교,21
털리다,21
완료,21
진보,21
강하다,21
가리다,21
최악,21
밝히다,21
나머지,21
기원,21
정의,21
나타나다,21
변화,21
불편,21
콘크리트,20
최소,20
야옹,20
본문,20
자본주의,20
동일,20
덕분,20
구도,20
조정,20
보상,20
요청,20
상품권,20
제품,20
독도,20
상상,20
예쁘다,20
목소리,20
격차,20
신용,20
단체,20
역대,20
자식,20
피싱,20
아이유,20
전형,20
아저씨,20
취급,20
대비,20
법안,20
진심,20
지자체,20
혜택,19
아재,19
비난,19
출마,19
경찰,19
수도,19
업데이트,19
아버지,19
빌리다,19
계산,19
모델,19
줄어들다,19
사칭,19
나무,19
줄이다,19
판매,19
부담,19
지도부,19
재밌다,19
화이팅,19
윤석렬,19
연습,19
도박,19
문통,19
중앙,19
혈전,19
정하다,19
가치,19
격리,19
의도,19
놀라다,19
중심,19
여당,19
지우다,19
청와대,19
혼자,19
양자,19
직원,19
보관,19
기록,18
기술,18
뒤집다,18
결론,18
미군,18
어머니,18
지적,18
자료,18
스톤,18
사법,18
건드리다,18
부작용,18
새롭다,18
안철수,18
피하다,18
항암,18
음주,18
대응,18
링크,18
해석,18
증명,18
광주,18
차례,18
선점,18
고민,18
운전자,18
일정,18
수염,18
운영,18
개발,18
사망,18
수치,18
아들,18
한계,18
주작,18
거지,18
아내,18
처벌,18
자격,18
핑계,18
철학,18
이해찬,18
현재,18
일본인,18
반성,18
내놓다,18
근거,18
공장,18
노인,18
특정,18
천사,18
가짜,17
