word,count
보이다,26
밝히다,22
모르다,20
고치다,18
숙이다,13
따르다,9
다르다,9
싸우다,9
올리다,8
지나다,8
느끼다,7
역겹다,7
이기다,7
다니다,7
나쁘다,6
미치다,6
열리다,6
생기다,5
나가다,5
들어오다,5
힘들다,5
떨어지다,5
지키다,5
전하다,5
일으키다,4
엄청나다,4
마르다,4
드러나다,4
바꾸다,4
누르다,4
놀라다,4
자라다,4
넘기다,4
지켜보다,4
아리다,4
죽이다,4
아깝다,4
우습다,4
외치다,4
이어지다,4
비싸다,3
웃기다,3
넘어가다,3
원하다,3
편하다,3
귀엽다,3
뿌리다,3
먹히다,3
강하다,3
좋아하다,3
추하다,3
바라다,3
받아치다,3
키우다,3
달리다,3
모으다,3
달려들다,3
알리다,3
심하다,3
내려가다,3
어쩌다,3
떠나다,3
어리다,3
나서다,3
뒤집다,3
드러내다,3
들어가다,3
향하다,3
이끌다,2
튀어나오다,2
똑같다,2
흘리다,2
망하다,2
퍼지다,2
가르다,2
이루다,2
멋지다,2
만나다,2
만지다,2
없애다,2
찾아보다,2
버리다,2
싸잡다,2
어렵다,2
어둡다,2
어기다,2
어긋나다,2
약하다,2
올라타다,2
아쉽다,2
지껄이다,2
저지르다,2
슬퍼하다,2
벗어나다,2
숨지다,2
사이다다,2
사라지다,2
잡히다,2
부럽다,2
부드럽다,2
부끄럽다,2
치르다,2
변하다,2
상관없다,2
가깝다,2
나타나다,2
가즈아다,2
괴롭다,2
높이다,2
다물다,2
걸리다,2
거세다,2
놀랍다,2
거르다,2
그립다,2
갖추다,2
고맙다,2
갈아엎다,2
돌아가다,2
내보내다,2
도와주다,2
관하다,2
끼치다,2
낯설다,2
가소롭다,2
가리다,2
날리다,2
때리다,2
구하다,1
의하다,1
괴롭히다,1
알아보다,1
앞서다,1
나대다,1
으르다,1
귀찮다,1
귀하다,1
그리다,1
앞두다,1
욕하다,1
응하다,1
끌리다,1
애꿎다,1
기어나오다,1
깨닫다,1
끌어들이다,1
끼우다,1
어설프다,1
까다롭다,1
기어들다,1
여기다,1
깨물다,1
기르다,1
기대다,1
엿보다,1
올라오다,1
기다리다,1
그만두다,1
올바르다,1
저쩌다,1
계시다,1
파묻다,1
처하다,1
쳐다보다,1
쳐들어가다,1
취하다,1
갈라지다,1
가하다,1
태어나다,1
태우다,1
팔리다,1
자빠지다,1
가져오다,1
피하다,1
하얗다,1
해먹다,1
가볍다,1
헷갈리다,1
화내다,1
힘내다,1
채우다,1
감싸다,1
짜집다,1
짜르다,1
잠자다,1
게으르다,1
장난치다,1
걸맞다,1
안쓰럽다,1
점잖다,1
정하다,1
좀스럽다,1
좆같다,1
건드리다,1
줄어들다,1
지겹다,1
지나가다,1
거두다,1
지니다,1
지우다,1
갔다오다,1
안치다,1
떠밀다,1
악물다,1
아프다,1
미루다,1
밀리다,1
밀어붙이다,1
도둑맞다,1
바뀌다,1
던지다,1
바라보다,1
박히다,1
반갑다,1
받아들이다,1
대놓다,1
발가벗기다,1
당하다,1
달라붙다,1
다치다,1
버티다,1
번지다,1
벌어먹다,1
벌어지다,1
몰아쉬다,1
몰아가다,1
몰리다,1
두렵다,1
따지다,1
뛰어나가다,1
뛰어나다,1
뜯어내다,1
띄우다,1
따라오다,1
마치다,1
막히다,1
두들기다,1
몰려오다,1
말리다,1
말아먹다,1
두근거리다,1
맞받아치다,1
매달다,1
돌아보다,1
돌아다니다,1
돌리다,1
다스리다,1
변함없다,1
보내다,1
시달리다,1
새파랗다,1
생각나다,1
냅두다,1
설익다,1
세우다,1
솟아오르다,1
내세우다,1
내뱉다,1
시키다,1
넘치다,1
실리다,1
내리다,1
싸돌다,1
남기다,1
쑤시다,1
떠오르다,1
아무렇다,1
나르다,1
새롭다,1
살펴보다,1
다루다,1
비틀다,1
보태다,1
다듬다,1
다녀오다,1
늘리다,1
부리다,1
부수다,1
불리다,1
비추다,1
비하다,1
살아오다,1
빠져나오다,1
빠지다,1
빨아먹다,1
빼먹다,1
빼앗다,1
뻔하다,1
노하다,1
노리다,1
배우다,1
