word,count
총리,51
정치,41
세균,29
장유유서,28
국민,24
조국,24
검찰,24
발언,24
보이콧,21
관련,20
정부,20
의혹,20
국무총리,19
후보,19
뉴스,17
동물,17
나이,17
비판,17
새끼,16
독도,16
부족,15
기업,15
꼰대,14
총장,14
식이,14
의원,14
나라,14
대선,14
놀이,14
대표,13
언론,13
필요,13
개혁,13
행동,13
경륜,13
정책,12
고개,12
대통령,12
경제,12
문화,11
어린이,11
정치인,11
오징어,11
주자,11
검증,11
불법,10
가능,10
선수,10
공약,10
반대,9
장관,9
피해자,9
인간,9
소송,9
제기,9
지지율,9
강제,9
평가,9
경선,9
임명,8
폐기물,8
사건,8
운전자,8
노역,8
재생,8
백신,8
방법,8
이법,8
주장,8
라이브,8
지지자,8
진실,8
신문,8
범죄,8
세금,8
서브타이틀,8
타령,7
내용,7
민주,7
콜라,7
의심,7
전환,7
사과,7
파시즘,7
경쟁,7
당시,7
상대,7
기사,7
작성자,7
정당,7
처벌,7
대권,7
자체,6
재원,6
가짜,6
전체,6
난리,6
공정,6
비리,6
젊은이,6
변호사,6
부수,6
부분,6
조작,6
중요,6
지적,6
다음,6
세상,6
국가,6
이날,6
역사,6
반려,6
애초,6
도덕,6
개정,6
의견,6
의문,6
지도,6
의미,6
티켓,6
개인,6
사체,6
영토,6
시발,6
이용,6
인사,6
이해,6
부모,5
본인,5
소득,5
기본,5
아이,5
시장,5
로드,5
세대,5
목소리,5
수준,5
스쿨,5
증여세,5
일제,5
선거,5
재판,5
능력,5
인증,5
이후,5
이유,5
사례,5
이야기,5
이름,5
사진,5
기억,5
사기,5
사고,5
유사,5
인터뷰,5
기자,5
위원,5
운동,5
기준,5
복주머니,5
초선,5
현행법,5
최근,5
혐오,5
화면,5
최고,5
통과,5
해당,5
표현,5
풍년,5
가족,5
코인,5
지정,5
태세,5
책임,5
지원,5
밀월,4
태그,4
초년생,4
고민,4
기존,4
강아지,4
반일,4
선대,4
청년,4
반응,4
위반,4
정신,4
고약,4
인종주의,4
감정,4
전범,4
수정,4
동의,4
합법,4
말씀,4
자연,4
자모,4
자리,4
논란,4
실체,4
노인,4
연륜,4
장모,4
요구,4
시절,4
무리,4
재명,4
마음,4
마련,4
친문,4
해명,4
외모,4
공감,4
업체,4
서구,4
화이,4
법률,4
보험,4
유형,4
법원,4
음소,4
주인,4
구태,4
계산,4
판단,4
비율,4
비시,4
비난,4
브라우저,4
지자체,4
특정,4
병신,4
분류,4
결국,4
좌파,4
유행,4
사용,4
처리,4
발행,4
상속세,4
제도,4
상속,4
기간,4
호남,4
삭제,4
지도자,4
차량,4
지역주의,4
조직,4
이미지,4
갈등,4
부작용,4
판결,3
여성,3
여야,3
마인드,3
드립,3
응원,3
댄스,3
염병,3
검사,3
왜구,3
댓글,3
도로,3
표시,3
우리나라,3
결과,3
폐지,3
유리,3
위원장,3
지역,3
여권,3
얼굴,3
박테리아,3
현실,3
선언,3
발상,3
생활,3
감사,3
방식,3
사태,3
배송,3
사망,3
간담회,3
확보,3
확인,3
가치,3
가중,3
보궐,3
부자,3
보수,3
부인,3
부엉이,3
보호,3
성공,3
세계,3
소각,3
무죄,3
얘기,3
머리,3
면책,3
쓰레기,3
할배,3
무능,3
개새끼,3
무시,3
시작,3
항의,3
행위,3
시민,3
물자,3
스트로크,3
미안,3
해석,3
경험,3
수사,3
소수,3
강탈,3
대체,3
동지,3
계란,3
단어,3
꼬라지,3
촛불,3
공작,3
나중,3
전체주의,3
남자,3
대전,3
공격,3
논리,3
잣대,3
논의,3
잘못,3
공개,3
작년,3
복지,3
느낌,3
케이,3
과거,3
정모,3
정의,3
주차,3
지랄,3
지난번,3
지난달,3
국내,3
지급,3
중공업,3
준석,3
집단,3
참여,3
근거,3
종량제,3
존중,3
존재,3
금수,3
조건,3
제철,3
일정,3
가격,3
대안,3
대법원,3
고도,3
특별,3
대법원장,3
단체,3
대리,3
대리인,3
외교,2
협회,2
선고,2
청구,2
석사,2
천박,2
유교,2
서류,2
생명,2
정직,2
척결,2
창고,2
유권자,2
상태,2
상식,2
상승,2
찬성,2
혜택,2
유력,2
청문회,2
정리,2
위탁,2
헌장,2
소비자,2
소름,2
전형,2
세포,2
행정력,2
세리,2
세력,2
총선,2
허위,2
절반,2
정면,2
성립,2
절차,2
평등,2
헛발,2
이익,2
설득,2
선임,2
위원회,2
젠더,2
상대방,2
조사,2
태사,2
삼나무,2
주축,2
준비,2
불행,2
분위기,2
중간,2
이란,2
부탁,2
중과실,2
환상,2
직장인,2
지지,2
통장,2
의료,2
회부,2
효과,2
훈련,2
패럴림픽,2
희락,2
희망,2
블랙박스,2
환경,2
주제,2
토착,2
차례,2
전합,2
홈페이지,2
조항,2
페어,2
사전,2
토론,2
사이,2
사안,2
주정차,2
유지,2
종이,2
주동,2
화장터,2
화폐,2
주문,2
주식,2
집중,2
웨딩,2
폐주,2
일반,2
소식,2
용품,2
프레임,2
자극,2
자식,2
여부,2
여론,2
취지,2
에티켓,2
에서,2
자폭,2
업자,2
업계,2
케이크,2
우량주,2
피해,2
핑계,2
어르신,2
양심,2
야당,2
하루,2
애새끼,2
지분,2
자국,2
연설,2
예외,2
인턴,2
왜곡,2
옹호,2
오해,2
오페라,2
용납,2
오염,2
오랜만,2
예정,2
예약,2
열정,2
표창장,2
예상,2
예산,2
친필,2
입증,2
영진,2
영지,2
자격,2
친구,2
크랩,2
애견,2
안심,2
수칙,2
태극기,2
추가,2
재판부,2
시너지,2
시기,2
적발,2
적용,2
적폐,2
스스로,2
수출,2
재앙,2
전국,2
원인,2
전달,2
최소,2
수록,2
수긍,2
손바닥,2
행복,2
손님,2
출간,2
출신,2
안동,2
실수,2
악용,2
한국인,2
포부,2
아버지,2
아내,2
쓰레기봉투,2
운영,2
운전,2
실제,2
한방,2
재산,2
한복,2
신경,2
장난,2
충성,2
장례,2
시점,2
장묘,2
시전,2
출전,2
축산,2
식품,2
고문,2
강조,2
당사자,2
방사능,2
당권,2
방역,2
금지,2
고향,2
게재,2
강성,2
동네,2
구분,2
겨냥,2
배상,2
배출,2
배후,2
갑오징어,2
견제,2
광고비,2
리그,2
메시지,2
공장,2
목적,2
물가,2
교통사고,2
박람회,2
방문객,2
다행,2
방문,2
거래,2
무기,2
골인,2
발견,2
기분,2
기성,2
박탈,2
개장사,2
모임,2
기대,2
대가리,2
발생,2
딱지,2
걱정,2
기일,2
개별,2
구조,2
기회,2
김치,2
공산주의,2
대응,2
대접,2
동시,2
공중위생,2
몽중,2
법무부,2
관리,2
고대,2
광장,2
별거,2
과정,2
법안,2
병원,2
관계자,2
도움,2
관념,2
보도,2
가슴,2
근로,2
계약,2
미래,2
보편,2
그동안,2
고갯길,2
망언,2
논쟁,2
도전,2
논문,2
계획,2
눈길,2
농림,2
가정,2
돌풍,2
민초,2
뭉치,2
감각,2
독자,2
공포,2
법주,2
변론,2
마른오징어,2
법정,2
변화,2
물량,2
민주주의,2
민족,2
복제,2
결여,2
중상,1
중산,1
주행,1
규모,1
중앙,1
극락,1
중국인,1
그간,1
중단,1
군단,1
주전,1
규제,1
균형,1
규탄,1
귀신,1
주지,1
군소,1
군요,1
권한,1
본부,1
지독,1
국판,1
구경,1
교체,1
교차,1
지칭,1
교육,1
진돗개,1
진리,1
교수,1
진심,1
진지,1
진출,1
짐작,1
광화문,1
집잡기,1
짓거리,1
징계,1
징역,1
징용,1
짜임,1
짜집기,1
짭새,1
짱깨,1
쭉정이,1
찍소리,1
찡찡이,1
차기,1
교통,1
구독,1
중진,1
지원금,1
즉답,1
증거,1
증세,1
증언,1
국제법,1
지구,1
국적,1
구현,1
구체,1
지난해,1
지능,1
지도부,1
구제역,1
주의,1
구입,1
지명,1
지목,1
지법,1
구심점,1
지사,1
지속,1
지수,1
구상유취,1
지연,1
구라,1
주의자,1
조치,1
주요,1
납득,1
전근대,1
전날,1
남성,1
전당,1
전략,1
전문가,1
남녀,1
전산,1
전원,1
전입,1
전쟁,1
전직,1
난사,1
난모,1
나흘,1
나주,1
전화,1
나락,1
절감,1
끝판,1
끄뎅이,1
꼬장,1
점심,1
점유,1
접근성,1
남편,1
낭비,1
주역,1
내로,1
장사,1
장어,1
장유,1
노골,1
장점,1
넥타이,1
재벌,1
냉동,1
냄새,1
재선,1
내일,1
내음,1
재임,1
내역,1
내부,1
재판장,1
저격,1
저능아,1
저분,1
저열,1
저자,1
저조,1
적국,1
적대,1
적반하장,1
접촉,1
정계,1
정권,1
깜냥,1
조상,1
조율,1
조장,1
금어기,1
조짐,1
금액,1
조현,1
존경,1
금메달,1
금권,1
종교,1
글귀,1
종목,1
근원,1
종이컵,1
주금,1
주당,1
극우,1
주류,1
주머니,1
주목,1
극성,1
주변,1
주시,1
극복,1
조삼모사,1
금지법,1
급감,1
정확,1
기타리스트,1
정상,1
정서,1
기원,1
정신대,1
기수,1
정인군자,1
정자,1
기세,1
기반,1
정화,1
정황,1
급사,1
기미,1
제노사이드,1
기득,1
제목,1
제발,1
제외,1
제육,1
제자리,1
제정,1
제정신,1
긍정,1
광역,1
초보,1
차별,1
허락,1
학파,1
한계,1
개짓,1
개죽,1
한축,1
개소리,1
합리,1
개선,1
합의체,1
개비,1
항쟁,1
항적,1
해결,1
개독,1
개놈,1
해소,1
해제,1
해체,1
햄스터,1
햇빛,1
개념,1
강화,1
행정가,1
강점기,1
행정부,1
학생,1
학살,1
하키,1
거짓,1
편협,1
평생,1
평지풍파,1
폐쇄,1
게시판,1
게르,1
포기,1
검토,1
검새,1
표정,1
걸림돌,1
풍어,1
하오,1
풍요,1
거보,1
피고,1
피땀,1
피랍,1
피부,1
거론,1
거대,1
개환,1
하락,1
개판,1
허경,1
허용,1
견제구,1
강수,1
가축,1
환장,1
활동,1
활용,1
회고록,1
회담,1
회로,1
가입,1
회장,1
회피,1
회합,1
가운데,1
효능,1
효율,1
후설,1
후유증,1
후임,1
가스,1
훈장,1
흉년,1
흉터,1
흥미,1
흥업,1
가소,1
가상,1
가해자,1
각각,1
화합,1
형식,1
강변,1
헛소리,1
혁명,1
현대,1
현장,1
현피,1
감탄,1
감성,1
혐의,1
협상,1
감사원,1
감도,1
각본,1
감당,1
호당,1
호랑이,1
호소,1
호주머니,1
갈대,1
화물선,1
화분,1
간주,1
화장,1
각종,1
펜스,1
펀드,1
차원,1
측근,1
총알받이,1
공장장,1
총출동,1
공인,1
공염불,1
최소한,1
최악,1
최우선,1
공식,1
추인,1
추천,1
