word,count
정세균,67
일본,48
민주당,30
올림픽,25
이준석,25
이재명,24
윤석열,19
기본소득,17
중국,15
페이스북,11
한국,10
이낙연,9
챕터,8
허경영,7
김웅,6
전북,5
서울,5
보호구역,5
트램,5
추미애,5
홍콩,5
스트리밍,4
화이자,4
오세훈,4
코로나,4
홍정욱,4
레기,3
미쓰,3
미국,3
베네수엘라,3
한동훈,3
북한,3
도쿄,3
이재용,2
스톤,2
주문진,2
송영길,2
주호영,2
서초동,2
연합뉴스,2
김어준,2
진안,2
이명박,2
유색인,2
팔로,2
최문순,2
페미,2
김영삼,2
탄방동,2
만주,2
네이버,2
파키,2
튜버,2
대한민국,2
태평양,2
로펌,2
킨텍스,2
리니어,2
히틀러,2
박근혜,2
충남,2
찌아,1
프래,1
포퓰리즘,1
이인영,1
이윤열,1
이영호,1
이어,1
이승만,1
평창,1
탈레반,1
트윈스,1
화양,1
이라니,1
이대로,1
최재형,1
윤설,1
최순,1
홍산,1
카시,1
키즈,1
카지,1
지암,1
클라스,1
하태경,1
카더라,1
체르노빌,1
조차,1
임유,1
첼시,1
조로,1
쵸우,1
한상호,1
장손무기,1
장덕환,1
윤석,1
가락시장,1
윤서,1
롯데,1
당현,1
대구,1
대조영,1
데블스,1
두산,1
레전드,1
루보,1
윤미향,1
말린,1
모더,1
무네,1
문재인,1
미츠,1
민경욱,1
노벨상,1
내지,1
내라,1
내기,1
남불,1
남북,1
나경원,1
김양호,1
김민식,1
급발진,1
굴리트,1
구석,1
공시송달,1
고상민,1
경제성장,1
개콘,1
강철수,1
박용진,1
버르,1
법무법인,1
신일철,1
유튜브,1
유럽,1
울산,1
영국,1
연씨,1
에드,1
어나더,1
강릉,1
양승태,1
야마구치,1
야구복,1
애프터매스,1
압수수색,1
쌍용,1
시카고,1
블루,1
시진핑,1
시노부,1
시경,1
스미,1
쉴드,1
손해배상,1
세키,1
서울대,1
상계동,1
삼성전자,1
삭스,1
빈센조,1
비젼,1
비대위,1
어그,1
