,neg_words,count,documents
0,비판,17,"['정세균총리의 기본소득에 대한 비판은 매우 합리적인 데요.공약에 대한 활발한 검증 반드시 필요합니다.우린 민주당이지 기본소득당이 아닙니다.', '우선 장유유서는 아무 문제가 없다고 생각합니다. 나이 많은 사람이 더 대접받는 문화는 성경에도 나올 만큼 전 인류적인 보편문화입니다. 사회 변화가 별로 없던 전근대에는 아무래도 많은 경험이 있는 노인들의 말을 듣는 것이 생존에 가장 유리했기에 생긴 문화일 것입니다. 현대에도 어르신들이 젊은 이에 비해 조금 더 대접받는 것은 나쁜 문화라고 생각하지 않습니다.다만 장유유서를 젊은이가 노인을 무조건 따라야 한다는 도그마라고 왜곡하는 꼰대들이 문제입니다. 오히려 문제라고 생각하는 부분은 여기입니다. .경륜이 없이 이게 할 수 있겠는가. 꼭 물론 나이로만 가지고 따질 수는 없지만 그런 측면에서 아마 고민이 많을 거라고 보고요. 나이 이야기를 한 것을 보면 경륜을 연륜 정도와 비슷한 말로 쓴 것 같습니다. 그러나 경륜이라는 명사의 사전적 정의는 다음과 같습니다. 1.일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. 2.세상을 다스림. 또는 그런 능력. 어디에도 나이와 관련된 의미가 없습니다. 포부 또는 능력을 뜻하는 단어입니다. 적확하지 못한 단어를 씀으로써 젊으면 능력이 부족하다는 편협한 꼰대의 꼬장 같은 느낌을 주게 되었습니다. 이후의 내용들을 봐도 젊은 대표는 당을 이끌기 힘들 것이라는 말을 하고 있는데 아무래도 연륜 부족이 경륜 부족으로 이어진다는 인식은 있는 것 같습니다. 그러나 젊은이가 경험은 부족할 수 있어도 경륜까지 부족하다고 보기는 근거가 부족합니다. 우리나라 민주주의는 젊은이들이 발전시켜왔습니다.4.19 혁명은 대학생 및 10대 학생들이 주동하였고 민주화를 이룬 6.10 민주항쟁도 넥타이 부대라는 젊은 직장인들이 주동하였습니다.당장 민주당의 주축인 86세대가 청년시절 민주화운동의 주역이었습니다.민주화를 이루어낸 젊은이들이 경륜이 부족했겠습니까? 이준석은 나이를 떠나 안 그래도 경륜부족을 많이 드러냈던 정치인입니다. 그런 것을 지적하며 경륜이 부족한 사람임을 비판했다면 어땠을까 싶습니다. 이를 테면 이준석 전 최고위원은 지난 날 박근혜 전 대통령의 2시간 발언을 듣고 투신할 정도로 부족한 식견을 지녔고 문재인 대통령 참수 만화를 sns에 올리는 경솔한 행동을 하는 등 경륜 부족을 드러냈던 사람입니다. 최근에도 방역수칙을 위반한 회합을 하고 또 그것이 수칙위반이 아님을 강변하다가 사과하는 등 지난 수년간 그런 경륜 부족이 극복되었는지 의문입니다. 그런데도 국민의힘 같은 거대정당을 조율하는 것이 가능할 지 의문입니다. 이런 말을 좀 부드럽게 했다면 꼰대 논란이 있었을까 싶습니다. 물론 기레기들은 그래도 다른 트집을 잡았겠지만 딱 봐도 보이는 이준석의 경륜 부족의 근거로 연륜 부족을 들었다는 것은 발언 자체에도 문제가 있다고 생각합니다. 무리한 논리를 끌고 가려다 보니 정당 관리가 정부 운영보다도 어렵다는 다소 무리한 주장으로 이어진 것 같습니다. 젊은이들이 변혁을 원할 때 경륜 내지는 연륜이 부족하다고 찍어누르려던 것은 지난 수십년간 수구의 논리였습니다. 젊었던 민주화 세력이 주축이 된 민주당의 지도자격인사인 정세균 전 총리가 사용하기에는 매우 아쉬운 언사입니다.정 전 총리는 언론이 왜곡보도했다 고 역정내기 전에 한 번 스스로의 발언을 돌아보셨으면 좋을 것 같습니다.', '정세균 장유유서 발언에 에서도 깜짝 놀랐다 꼰대정당이냐정세균 장유유서 발언에 에서도 깜짝 놀랐다 꼰대정당이냐정세균 전 국무총리가 국민의힘 당대표 경선과 관련 우리나라에는 장유유서 문화가 있다고 발언한 것을 두고 여권에서도 비판의 목소리가 나오고 있다. 박용진 더불어민주당 의원은 25일 페이스북에 정 전 총리의 말에 깜짝 놀랐다 라며 40대 기수론 정당인 우리 민주당이 어쩌다가 장유유서를 말하는 정당이 됐나라고 지적했다. 이어 젊은 사람의 도전과 새 바람을 독려해야 할 시점에httpswww.asiae.co.krarticle2021052608285434581 정세균 전 국무총리가 국민의힘 당대표 경선과 관련 우리나라에는 장유유서 문화가 있다고 발언한 것을 두고 여권에서도 비판의 목소리가 나오고 있다.']"
1,부족,15,"['우선 장유유서는 아무 문제가 없다고 생각합니다. 나이 많은 사람이 더 대접받는 문화는 성경에도 나올 만큼 전 인류적인 보편문화입니다. 사회 변화가 별로 없던 전근대에는 아무래도 많은 경험이 있는 노인들의 말을 듣는 것이 생존에 가장 유리했기에 생긴 문화일 것입니다. 현대에도 어르신들이 젊은 이에 비해 조금 더 대접받는 것은 나쁜 문화라고 생각하지 않습니다.다만 장유유서를 젊은이가 노인을 무조건 따라야 한다는 도그마라고 왜곡하는 꼰대들이 문제입니다. 오히려 문제라고 생각하는 부분은 여기입니다. .경륜이 없이 이게 할 수 있겠는가. 꼭 물론 나이로만 가지고 따질 수는 없지만 그런 측면에서 아마 고민이 많을 거라고 보고요. 나이 이야기를 한 것을 보면 경륜을 연륜 정도와 비슷한 말로 쓴 것 같습니다. 그러나 경륜이라는 명사의 사전적 정의는 다음과 같습니다. 1.일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. 2.세상을 다스림. 또는 그런 능력. 어디에도 나이와 관련된 의미가 없습니다. 포부 또는 능력을 뜻하는 단어입니다. 적확하지 못한 단어를 씀으로써 젊으면 능력이 부족하다는 편협한 꼰대의 꼬장 같은 느낌을 주게 되었습니다. 이후의 내용들을 봐도 젊은 대표는 당을 이끌기 힘들 것이라는 말을 하고 있는데 아무래도 연륜 부족이 경륜 부족으로 이어진다는 인식은 있는 것 같습니다. 그러나 젊은이가 경험은 부족할 수 있어도 경륜까지 부족하다고 보기는 근거가 부족합니다. 우리나라 민주주의는 젊은이들이 발전시켜왔습니다.4.19 혁명은 대학생 및 10대 학생들이 주동하였고 민주화를 이룬 6.10 민주항쟁도 넥타이 부대라는 젊은 직장인들이 주동하였습니다.당장 민주당의 주축인 86세대가 청년시절 민주화운동의 주역이었습니다.민주화를 이루어낸 젊은이들이 경륜이 부족했겠습니까? 이준석은 나이를 떠나 안 그래도 경륜부족을 많이 드러냈던 정치인입니다. 그런 것을 지적하며 경륜이 부족한 사람임을 비판했다면 어땠을까 싶습니다. 이를 테면 이준석 전 최고위원은 지난 날 박근혜 전 대통령의 2시간 발언을 듣고 투신할 정도로 부족한 식견을 지녔고 문재인 대통령 참수 만화를 sns에 올리는 경솔한 행동을 하는 등 경륜 부족을 드러냈던 사람입니다. 최근에도 방역수칙을 위반한 회합을 하고 또 그것이 수칙위반이 아님을 강변하다가 사과하는 등 지난 수년간 그런 경륜 부족이 극복되었는지 의문입니다. 그런데도 국민의힘 같은 거대정당을 조율하는 것이 가능할 지 의문입니다. 이런 말을 좀 부드럽게 했다면 꼰대 논란이 있었을까 싶습니다. 물론 기레기들은 그래도 다른 트집을 잡았겠지만 딱 봐도 보이는 이준석의 경륜 부족의 근거로 연륜 부족을 들었다는 것은 발언 자체에도 문제가 있다고 생각합니다. 무리한 논리를 끌고 가려다 보니 정당 관리가 정부 운영보다도 어렵다는 다소 무리한 주장으로 이어진 것 같습니다. 젊은이들이 변혁을 원할 때 경륜 내지는 연륜이 부족하다고 찍어누르려던 것은 지난 수십년간 수구의 논리였습니다. 젊었던 민주화 세력이 주축이 된 민주당의 지도자격인사인 정세균 전 총리가 사용하기에는 매우 아쉬운 언사입니다.정 전 총리는 언론이 왜곡보도했다 고 역정내기 전에 한 번 스스로의 발언을 돌아보셨으면 좋을 것 같습니다.', '정세균 장유유서 발언에 에서도 깜짝 놀랐다 꼰대정당이냐정세균 장유유서 발언에 에서도 깜짝 놀랐다 꼰대정당이냐정세균 전 국무총리가 국민의힘 당대표 경선과 관련 우리나라에는 장유유서 문화가 있다고 발언한 것을 두고 여권에서도 비판의 목소리가 나오고 있다. 박용진 더불어민주당 의원은 25일 페이스북에 정 전 총리의 말에 깜짝 놀랐다 라며 40대 기수론 정당인 우리 민주당이 어쩌다가 장유유서를 말하는 정당이 됐나라고 지적했다. 이어 젊은 사람의 도전과 새 바람을 독려해야 할 시점에httpswww.asiae.co.krarticle2021052608285434581 정세균 전 국무총리가 국민의힘 당대표 경선과 관련 우리나라에는 장유유서 문화가 있다고 발언한 것을 두고 여권에서도 비판의 목소리가 나오고 있다.', '정세균 조국의 시간']"
2,불법,10,"['죽은 동물 땅에 묻어주는 게 왜 불법인지 이해가 안가네요 흙이되서 땅을 풍요롭게 해주는 자연의 법칙 아닌가요? 그럼 구제역 때문에 가축 땅에 묻는건?', '불법 여부 때문에 애견화장터를 이용해 본 적이 있습니다. 화장을 해서 집 화분에 묻었네요.문제는 당시 애견 화장터마저 대부분 불법이더라구요.', '어른도 보호하기 위해 불법주차 관련 법을 개정해서 불법주차 걸렸다간 자차 유지가 힘들게 만들어야 합니다']"
3,싸우다,9,"['싸울거면 좀 급 되는 놈이 달려들어야지 정세균 달려들어봐야 타격도 없어 후.', '좋네요. 정책으로 싸우는 모습. 계속 그렇게 정책 검증들 해주시길 바랍니다', '싸워라 싸워라. 머리 끄뎅이 잡고 싸워라.']"
4,범죄,8,"['크랩케이크 자해공갈은 운전자 책임 면책되긴 한데 문제는 애들이 저걸 범죄로 알고 하느냐 아니냐의 문제임', '정세균 윤석열 장모 아내 범죄의혹 스스로 밝혀라', '윤석열을 검찰총장 임명할 때는 이정도 규모인지 잘 몰랐겠죠. 그 부분은 이번 정부의 잘못이라고 봅니다. 그래서 조국은 윤석열 검찰총장 임명에 반대했다잖아요.xa0nxa0n그럼 그때는 윤석열 반대를 주구장창 외치던 사람들은 그 가족범죄의 실체가 서서히 드러나고 있는데 그때처럼xa0 윤석열아웃을 외치지 않고 있나요?']"
5,역겹다,7,"['초선 5적 그 배후가 누군지 다들 짐작 하고 있는데. 태세 전환해서 저러는거 보면 참 역겹네요.', '저런 사건은 한국인이라면 아무도 안받아야 하는 거 아닌가 싶은데.진짜 역겹네요ㅜㅜ', '진짜 이새끼들은 일 저질러놓고 아님말고 하는 게 제일 역겹다혐오를 안할 수가 없다']"
6,의심,7,"['진짜 처음 봤을 때 눈과 귀를 의심함 근데 한두명이 아니지?이재명만 나름 자존심세우나 한국말로 하더라', '진짜 이쯤되면 국적 의심해봐야 함', '의학적으로 조현병이 의심됩니다']"
7,가짜,6,"['환상 속몽중인xa0nn나이타령하며 경륜이 없어서 이거 할수 있겠냐 이러면서n나이타령하는 데nxa0n저 사례로 든 영국 사례도 가짜고', '저거 알고 보니 오히려 이준석 칭찬하는 말이었는데.n왜 당신들부터 먼저 가짜뉴스에 넘어갑니까?????', '이분은 가짜뉴스에 넘어간게 아니라 정세균 까는 목적으로 쓴글입니다.n진실은 중요치 않다. 그냥 깐다.']"
8,나쁘다,6,"['세상의 진리비싸고 나쁜건 있어도싸고 좋은건 없다', '우선 장유유서는 아무 문제가 없다고 생각합니다. 나이 많은 사람이 더 대접받는 문화는 성경에도 나올 만큼 전 인류적인 보편문화입니다. 사회 변화가 별로 없던 전근대에는 아무래도 많은 경험이 있는 노인들의 말을 듣는 것이 생존에 가장 유리했기에 생긴 문화일 것입니다. 현대에도 어르신들이 젊은 이에 비해 조금 더 대접받는 것은 나쁜 문화라고 생각하지 않습니다.다만 장유유서를 젊은이가 노인을 무조건 따라야 한다는 도그마라고 왜곡하는 꼰대들이 문제입니다. 오히려 문제라고 생각하는 부분은 여기입니다. .경륜이 없이 이게 할 수 있겠는가. 꼭 물론 나이로만 가지고 따질 수는 없지만 그런 측면에서 아마 고민이 많을 거라고 보고요. 나이 이야기를 한 것을 보면 경륜을 연륜 정도와 비슷한 말로 쓴 것 같습니다. 그러나 경륜이라는 명사의 사전적 정의는 다음과 같습니다. 1.일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. 2.세상을 다스림. 또는 그런 능력. 어디에도 나이와 관련된 의미가 없습니다. 포부 또는 능력을 뜻하는 단어입니다. 적확하지 못한 단어를 씀으로써 젊으면 능력이 부족하다는 편협한 꼰대의 꼬장 같은 느낌을 주게 되었습니다. 이후의 내용들을 봐도 젊은 대표는 당을 이끌기 힘들 것이라는 말을 하고 있는데 아무래도 연륜 부족이 경륜 부족으로 이어진다는 인식은 있는 것 같습니다. 그러나 젊은이가 경험은 부족할 수 있어도 경륜까지 부족하다고 보기는 근거가 부족합니다. 우리나라 민주주의는 젊은이들이 발전시켜왔습니다.4.19 혁명은 대학생 및 10대 학생들이 주동하였고 민주화를 이룬 6.10 민주항쟁도 넥타이 부대라는 젊은 직장인들이 주동하였습니다.당장 민주당의 주축인 86세대가 청년시절 민주화운동의 주역이었습니다.민주화를 이루어낸 젊은이들이 경륜이 부족했겠습니까? 이준석은 나이를 떠나 안 그래도 경륜부족을 많이 드러냈던 정치인입니다. 그런 것을 지적하며 경륜이 부족한 사람임을 비판했다면 어땠을까 싶습니다. 이를 테면 이준석 전 최고위원은 지난 날 박근혜 전 대통령의 2시간 발언을 듣고 투신할 정도로 부족한 식견을 지녔고 문재인 대통령 참수 만화를 sns에 올리는 경솔한 행동을 하는 등 경륜 부족을 드러냈던 사람입니다. 최근에도 방역수칙을 위반한 회합을 하고 또 그것이 수칙위반이 아님을 강변하다가 사과하는 등 지난 수년간 그런 경륜 부족이 극복되었는지 의문입니다. 그런데도 국민의힘 같은 거대정당을 조율하는 것이 가능할 지 의문입니다. 이런 말을 좀 부드럽게 했다면 꼰대 논란이 있었을까 싶습니다. 물론 기레기들은 그래도 다른 트집을 잡았겠지만 딱 봐도 보이는 이준석의 경륜 부족의 근거로 연륜 부족을 들었다는 것은 발언 자체에도 문제가 있다고 생각합니다. 무리한 논리를 끌고 가려다 보니 정당 관리가 정부 운영보다도 어렵다는 다소 무리한 주장으로 이어진 것 같습니다. 젊은이들이 변혁을 원할 때 경륜 내지는 연륜이 부족하다고 찍어누르려던 것은 지난 수십년간 수구의 논리였습니다. 젊었던 민주화 세력이 주축이 된 민주당의 지도자격인사인 정세균 전 총리가 사용하기에는 매우 아쉬운 언사입니다.정 전 총리는 언론이 왜곡보도했다 고 역정내기 전에 한 번 스스로의 발언을 돌아보셨으면 좋을 것 같습니다.', '정세균 저놈들 고약하고 치사.올림픽 보이콧해야 daum.net 정세균 저놈들 고약하고 치사.올림픽 보이콧해야 서울 연합뉴스 고상민 기자 더불어민주당 대선 주자인 정세균 전 총리는 29일 일본 정부가 도쿄 올림픽 지도에 독도를 자국 영토로 표시한 데 대해 개정이 안 되면 국민 동의를 받아 올림픽을 보이콧 해야 한다 고 주장했다. 정 전 총리는 이날 충남지역 시 도의원 간담회에서 이같이 밝히고 일본이 좀 고약하고 치사하지 않냐. 우리를 자극하지 않고 도httpsnews.v.daum.netvcydiabhzb2 발언 하나는 사이다 네요. 정세균 전 총리님. 근데 굳이 독도 사례가 아니더라도 우리가 올림픽 보이콧해야 할 이유는 많죠. 사실 독도 역시 도 생각해보면 보이콧 생각할 만도 한 것이 지난번 ioc의 항의 때문에 우리들은 결국 한국 영토에서 독도를 공식적으로는삭제하거나 그랬었는데. 일본 쟤네들은 뭐죠? 도대체?????? 어디 독도 뿐인가요??방사능이라던가 이런 것들을 생각하면. 제 개인적인 생각이지만 굳이 일본과 우리나라 간의 사이 나쁘냐 안나쁘냐를 삭제하더라도 이건 체르노빌에서 올림픽 여는 꼴과 비슷한 느낌을 받고 있기에 올림픽 보이콧해야 한다고 보네요.']"
9,떨어지다,5,"['그 전에 외교 잘해놔서 일본팰수있게만 했다 면야 모를까지금은 우리가 뭘해도 일본에게 일방적으로 쳐발릴수준까지 떨어졌는데 반일운동?표팔이짓일 뿐.', '짜장사태로 180석 얻어넣고 검찰개혁 언론개혁 제대로 못해서 지지율 떨어지니까 한다는 소리가 적반하장도 유분수지송영길이 사쿠라같은놈', '아 이건 이해라도 가네요.n출살율도 떨어지는데 좋은 정책 같아보이네요']"
