from,to,depth,documents
"정세균
in community","정세균
in community",0,"['정세균 저놈들 고약하고 치사.올림픽 보이콧해야 daum.net 정세균 저놈들 고약하고 치사.올림픽 보이콧해야 서울 연합뉴스 고상민 기자 더불어민주당 대선 주자인 정세균 전 총리는 29일 일본 정부가 도쿄 올림픽 지도에 독도를 자국 영토로 표시한 데 대해 개정이 안 되면 국민 동의를 받아 올림픽을 보이콧 해야 한다 고 주장했다. 정 전 총리는 이날 충남지역 시 도의원 간담회에서 이같이 밝히고 일본이 좀 고약하고 치사하지 않냐. 우리를 자극하지 않고 도httpsnews.v.daum.netvcydiabhzb2 발언 하나는 사이다 네요. 정세균 전 총리님. 근데 굳이 독도 사례가 아니더라도 우리가 올림픽 보이콧해야 할 이유는 많죠. 사실 독도 역시 도 생각해보면 보이콧 생각할 만도 한 것이 지난번 ioc의 항의 때문에 우리들은 결국 한국 영토에서 독도를 공식적으로는삭제하거나 그랬었는데. 일본 쟤네들은 뭐죠? 도대체?????? 어디 독도 뿐인가요??방사능이라던가 이런 것들을 생각하면. 제 개인적인 생각이지만 굳이 일본과 우리나라 간의 사이 나쁘냐 안나쁘냐를 삭제하더라도 이건 체르노빌에서 올림픽 여는 꼴과 비슷한 느낌을 받고 있기에 올림픽 보이콧해야 한다고 보네요.', '정세균 전 국무총리가 일본 정부를 저 놈들이라고 지칭하고 일본 정부를 향해 고약하다 고 표현하는 등 강한 비판 목소리를 냈다. 일본 정부가 도쿄 올림픽 패럴림픽 조직위원회 홈페이지에 게재한 지도에 독도를 자국 영토로 표시한 것에 대한 비판이다.정 전 총리는 일본 측 지도가 수정되지 않으면 올림픽을 보이콧 해야 한다 고도 주장했다.정 전 총리는 29일 충남지역 시 도의원들과의 간담회에서 해당 사안에 대해 좋은 게 좋다 며 넘어갈 일이 아니다 라며 일본이 좀 고약하지 않느냐 치사하지 않느냐. 얼마든지 우리를 자극하지 않고도 올림픽을 할 수 있는 것 아니냐 고 지적했다.정 전 총리는 또 일본 정부가 한국 대법원의 강제 징용 관련 판결을 문제 삼으며 2019년부터 유지하고 있는 수출규제 조치를 언급하며 원래 적국한테 전쟁 물자는 금수 해도 생활 물자 산업 물자는 금수하지 않는 것인데 어떻게 그걸 우리한테 금수하느냐 나쁜 사람들이라고 했다.이어 말하기도 부끄럽지만 우리가 일본에 여러 번 대화하자고 신호를 보냈는데 가장 이웃국가에 대해 정상회담도 전혀 안 된다고 한다 며 독도를 저 놈들이 빼앗아 가려고 하는 짓을 절대 용납 못한다 고 말했다.경우에 따라 올림픽 보이콧도 검토해야 한다 고 했다. 정 전 총리는 계속해서 해당 지도가 개정이 안 되면 국민의 동의 받아 올림픽 보이콧을 해야 한다고 생각한다 며 물론 정치권에서도 시민사회에서도 국민적 공감대가 만들어져야 한다 고 말했다.앞서 일본 정부는 지난 28일 도쿄 올림픽 패럴림픽 조직위원회 홈페이지에 게재된 지도에 마치 일본 영토처럼 표시해둔 독도를 삭제하라는 한국측 요구를 수용할 수 없다 고 밝힌 바 있다. httpsnews.naver.commainread.nhn?modelsdmidsecsid1100oid008aid000459418 7 맞는 말이긴한데 전 총리가 저렇게 북한마냥 말해도 되나? 반일코인인가', '정세균이 하는 거부터가 그냥 이제는 의심부터 안들수가 없지.후임총리 아직 인사청문회도 안했는데 런한거만 봐도 씹새끼인거 뻔한데 여기에 대선에 희망도 안보이는 쩌리가 무슨 일본이 어쩌구 또또 감정 이용해 먹는거지 정부가 반응하는 것도 아니고 아무런 힘도 없는 새끼가']"
"정세균
in community",정세균,1,"['희락생 정세균이 민주당 대표할때 친노세력 많이 끌어들여서 지금 친문중에 정세균 측근 출신이 꽤 되는 걸로 알고 있음', '진짜 김영삼때나 먹히는거 아니냐? 나도 일본 지금하는 거 꼴보기싫긴한데 이건 너무 노골적이잖아 정세균도 원래 저런 스타일이 아닌데 왜 대선만 앞두면 다들 추한 노인이 되는 지.', '맞어지금 친문들이 정세균밀려고 하는데 정세균도 대권욕심있으니 갑자기 발언이 쎄진거임']"
"정세균
in community",총리,1,"['정세균총리의 기본소득에 대한 비판은 매우 합리적인 데요.공약에 대한 활발한 검증 반드시 필요합니다.우린 민주당이지 기본소득당이 아닙니다.', '총리시절 뭔가좀하지n야당도아니고 총리시절 뭐했나요nxa0n한심스럽네요', '총리까지 한사람이 저정도 발언밖에 못하나?분위기 파악도 못하고 당대표후보인 0선에게 이겨보겠다고 저러는게 되게 저열해보임.']"
"정세균
in community",일본,1,"['그 전에 외교 잘해놔서 일본팰수있게만 했다 면야 모를까지금은 우리가 뭘해도 일본에게 일방적으로 쳐발릴수준까지 떨어졌는데 반일운동?표팔이짓일 뿐.', '진짜 김영삼때나 먹히는거 아니냐? 나도 일본 지금하는 거 꼴보기싫긴한데 이건 너무 노골적이잖아 정세균도 원래 저런 스타일이 아닌데 왜 대선만 앞두면 다들 추한 노인이 되는 지.', '스트로크댄스 맞긴 맞지 근데 중국 한텐 찍소리도 못하면서 일본 한테만 저러니까 진정성도 없어 보이고 정치적으로 이용한다고 느껴지지.']"
"정세균
in community",정치,1,"['하. 다행히 다시 끼우니 입력은 돼서 다행인데 프레임 여기저기 아작났네 고작 정치 뉴스 보다가 개빡돈건 오랜만인듯직장인이 제일 정직하게 세금내고 제일 불쌍한 사람인건데이게 나라냐?', '구태정치는 정치 데뷔도 안한사람한테 파일드립친 그쪽 당대표가 하는 거고요', '그 뭐더라 아무리 잘나가던 밈이더라도 한방에 죽여버리는 게 정치권에서 그걸 어설프게 따라할때 라던데 근데 애초에 감도 제대로 못잡고 있네']"
"정세균
in community",민주당,1,"['민주당은 법을 만드는 것도 너무 쉽고 우습게 만들고 법 위에 서는 것도 우습게 할려함 법을 지키는 사람을 바보로 만들려고 하는 게 너무 싫타', '정세균총리의 기본소득에 대한 비판은 매우 합리적인 데요.공약에 대한 활발한 검증 반드시 필요합니다.우린 민주당이지 기본소득당이 아닙니다.', '강강수얼래 한번씩 유리한 이슈에서 튀어나오는데 민주당이 병신짓 해왔던 것들 하는 것들 너무 많아서 내일만되도 그냥 다시 쳐맞고 기어들어감']"
"정세균
in community",세균,1,"['아리팍 나는 솔직히 나이 든 분들은 그냥 나이값하는 게 더 멋지다고 생각함진짜 세균은 세균이라는 생각밖에 안듬', '그 말대로라면 세균맨 본인이 나이에 맞게 점잖아야 하는데 하는 걸 보니까 그냥 존경 받을 가치도 없는 사람이네.', '두산첼시츠무기 오늘 세균맨이 준스톤보고 벼는 익을수록 고개를 숙여야 한다 며 또 꼰대발언 시전']"
"정세균
in community",장유유서,1,"['뉴스가 아니라 인터뷰를 보고 쓰라는 겁니다.nxa0n장유유서가 어떤 의미를 사용되었는지.nxa0n앞뒤 맥락 짜른 뉴스가 아니라요.', '아리팍 느그 대가리 속에 장유유서가 박혀있는 걸 알았는데 명존쎄 하고 다니면 누가 믿냐', '구라라고 백만번은 얘기했고 죄는 검사가 입증해야지장유유서 71세가 구태타령']"
"정세균
in community",보이다,1,"['여론조사도 안 나왔고 특별한 반응도 아직 모르는 데태도 가지고 어르신 표 걱정하는 게 ?나이로 당대표 정함? 자기 비젼 보여주고 상대방한테 이겨서 설득 시키는 토론회 인데?', '홍콩트램님 퍼진다음에 고치는거보다 기미가 보일때 고치는 게 좋지 않나요?그만큼 피해보는 사람이 줄어들 수 있는 건데소잃고 외양간 고치는거보단 좋죠 작성자 주인놈아밥줘', '이준석은 일베의 양지화죠.어두운 구석 보이지 않는 곳에 서식하는 바퀴벌레가 대낮에 돌아다니는 게 발견되면 사람들이 할 행동은 하나죠.']"
"정세균
in community",이준석,1,"['덮을 수 있는 복주머니라는 워딩은 전혀 하지 않았는데 진짜 이준석은 뭔 말만 해도 뭔가 붙어서 논란 만들어버리는 것이 이준석이 잘하고 있다는 것을 다시 한 번 느끼게 해준다', '이준석은 일베의 양지화죠.어두운 구석 보이지 않는 곳에 서식하는 바퀴벌레가 대낮에 돌아다니는 게 발견되면 사람들이 할 행동은 하나죠.', '저거 알고 보니 오히려 이준석 칭찬하는 말이었는데.n왜 당신들부터 먼저 가짜뉴스에 넘어갑니까?????']"
