,pos_words,count,documents
0,진실,8,"['우리나라는 법치주의가 아니라 진실이 통치하는 나라인거 같은데 진실의 실체는 없고 진실 쫓는 무리들만 있는 거 같습니당', '이분은 가짜뉴스에 넘어간게 아니라 정세균 까는 목적으로 쓴글입니다.n진실은 중요치 않다. 그냥 깐다.', '이낙연 추미애 이어 정세균도 조국 옹호당당하게 진실 밝혀지길정 조국의 시간은 역사의 고갯길태극기와 촛불 갈라이낙연 검찰개혁 완성에 힘 바치겠다추미애 중단없는 개혁더불어민주당의 대권 주자인 정세균 국무총리는 28일 조국 전 법무부 장관의 회고록 출간 소식을 전하면서 부디 조국의 시간이 법의 이름으로 당당하게 그 진실이 밝혀지길 기원한다 고 밝혔다.정 전 총리는 이날 오후 페이스북을 통해 조국의 시간은 역사의 고갯길이었다. 광화문에서 태극기와 서초동의 촛불을 가른 고개라며 이같이 말했다.이어 공정과 불공정이 교차하고 진실과 거짓이 숨을 몰아쉰 넘기 참으로 힘든 고개였다 고 평가했다.조 전 장관은 다음 달 1일 조국의 시간 아픔과 진실 말하지 못한 생각을 펴낸다. 조 전 장관은 전날27일 자신의 페이스북에 2019년 8월 9일 제가 법무부 장관 후보로 지명된 이후 벌어진 일련의 사태를 정리하고 알려지지 않은 이야기를 책으로 출간한다고 알렸다. 정 전 총리는 언제나 역사 앞에 선 개인은 힘이 없다 며 공인 이라는 이름으로 검증이라는 이름으로 발가벗겨지고 상처 입은 그 가족의 피로 쓴 책이라는 글귀에 자식을 둔 아버지로 아내를 둔 남편으로 가슴이 아리다고 했다.조 전 장관은 자녀의 허위 인턴 확인서 발급 의혹과 고교시절 논문 1저자 등재 등 입시 비리 의혹으로 더불어민주당의 내로남불 논란을 낳았다는 비판을 받는다. 민주당이 4 7 재보궐 선거에서 참패한 원인으로도 지목됐다. 기레기들이 왜 이러는거죠??그리고 초선5적은 총알받이로 쓰고 버려진건가요????']"
1,이기다,7,"['여론조사도 안 나왔고 특별한 반응도 아직 모르는 데태도 가지고 어르신 표 걱정하는 게 ?나이로 당대표 정함? 자기 비젼 보여주고 상대방한테 이겨서 설득 시키는 토론회 인데?', '밀월의 그 특정조건이 까다로움 예시로 좋은 컨트롤과 전략만 잇으면 이영호 이기기쉬움 이렇게 글로만 보면 당연한 이야기지만 실제 적용하기에는 그 특정조건을 갖추는 게 어렵지', '총리까지 한사람이 저정도 발언밖에 못하나?분위기 파악도 못하고 당대표후보인 0선에게 이겨보겠다고 저러는게 되게 저열해보임.']"
2,최고,5,"['우선 장유유서는 아무 문제가 없다고 생각합니다. 나이 많은 사람이 더 대접받는 문화는 성경에도 나올 만큼 전 인류적인 보편문화입니다. 사회 변화가 별로 없던 전근대에는 아무래도 많은 경험이 있는 노인들의 말을 듣는 것이 생존에 가장 유리했기에 생긴 문화일 것입니다. 현대에도 어르신들이 젊은 이에 비해 조금 더 대접받는 것은 나쁜 문화라고 생각하지 않습니다.다만 장유유서를 젊은이가 노인을 무조건 따라야 한다는 도그마라고 왜곡하는 꼰대들이 문제입니다. 오히려 문제라고 생각하는 부분은 여기입니다. .경륜이 없이 이게 할 수 있겠는가. 꼭 물론 나이로만 가지고 따질 수는 없지만 그런 측면에서 아마 고민이 많을 거라고 보고요. 나이 이야기를 한 것을 보면 경륜을 연륜 정도와 비슷한 말로 쓴 것 같습니다. 그러나 경륜이라는 명사의 사전적 정의는 다음과 같습니다. 1.일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. 2.세상을 다스림. 또는 그런 능력. 어디에도 나이와 관련된 의미가 없습니다. 포부 또는 능력을 뜻하는 단어입니다. 적확하지 못한 단어를 씀으로써 젊으면 능력이 부족하다는 편협한 꼰대의 꼬장 같은 느낌을 주게 되었습니다. 이후의 내용들을 봐도 젊은 대표는 당을 이끌기 힘들 것이라는 말을 하고 있는데 아무래도 연륜 부족이 경륜 부족으로 이어진다는 인식은 있는 것 같습니다. 그러나 젊은이가 경험은 부족할 수 있어도 경륜까지 부족하다고 보기는 근거가 부족합니다. 우리나라 민주주의는 젊은이들이 발전시켜왔습니다.4.19 혁명은 대학생 및 10대 학생들이 주동하였고 민주화를 이룬 6.10 민주항쟁도 넥타이 부대라는 젊은 직장인들이 주동하였습니다.당장 민주당의 주축인 86세대가 청년시절 민주화운동의 주역이었습니다.민주화를 이루어낸 젊은이들이 경륜이 부족했겠습니까? 이준석은 나이를 떠나 안 그래도 경륜부족을 많이 드러냈던 정치인입니다. 그런 것을 지적하며 경륜이 부족한 사람임을 비판했다면 어땠을까 싶습니다. 이를 테면 이준석 전 최고위원은 지난 날 박근혜 전 대통령의 2시간 발언을 듣고 투신할 정도로 부족한 식견을 지녔고 문재인 대통령 참수 만화를 sns에 올리는 경솔한 행동을 하는 등 경륜 부족을 드러냈던 사람입니다. 최근에도 방역수칙을 위반한 회합을 하고 또 그것이 수칙위반이 아님을 강변하다가 사과하는 등 지난 수년간 그런 경륜 부족이 극복되었는지 의문입니다. 그런데도 국민의힘 같은 거대정당을 조율하는 것이 가능할 지 의문입니다. 이런 말을 좀 부드럽게 했다면 꼰대 논란이 있었을까 싶습니다. 물론 기레기들은 그래도 다른 트집을 잡았겠지만 딱 봐도 보이는 이준석의 경륜 부족의 근거로 연륜 부족을 들었다는 것은 발언 자체에도 문제가 있다고 생각합니다. 무리한 논리를 끌고 가려다 보니 정당 관리가 정부 운영보다도 어렵다는 다소 무리한 주장으로 이어진 것 같습니다. 젊은이들이 변혁을 원할 때 경륜 내지는 연륜이 부족하다고 찍어누르려던 것은 지난 수십년간 수구의 논리였습니다. 젊었던 민주화 세력이 주축이 된 민주당의 지도자격인사인 정세균 전 총리가 사용하기에는 매우 아쉬운 언사입니다.정 전 총리는 언론이 왜곡보도했다 고 역정내기 전에 한 번 스스로의 발언을 돌아보셨으면 좋을 것 같습니다.', '지난해 4 15 총선 부정선거 의혹을 주장해 온 민경욱 전 미래통합당현 국민의힘 의원이 최근 당권 경쟁에서 이준석 전 최고위원이 돌풍을 일으킨 것에 대해 자연스럽지 않다 며 배후설 을 제기했다.민 전 의원은 31일 페이스북에 중국인들을 연상시키는 이상한 무리들이 국민의힘 당대표 후보 연설 인터넷에 떼로 몰려와 나락과 극락이란 모를듯한 암어로 도태우 최고위원 후보와 나경원 당 대표 후보의 연설을 방해했다 며 그들은 이준석 전 최고위원을 응원한 뒤 홀연히 사라졌다 고 밝혔다. 민 전 의원은 자연스럽지 않다 며 모든 인위적인 것은 그 배후를 의심해봐야 한다 고 의문을 제기했다. 아울러 이 전 최고위원과 관련해서도 그가 갑자기 입당하거나 정계에 진출한 것도 아니라며 11년 동안 그냥 그 자리에 있던 자다. 갑자기 나이가 젊어진 것도 아니고 원래 어린 친구였다 라고 설명했다. 이어 갑자기 성형수술을 한 것도 아니다. 서울시장에 당선된 자도 아니다 라면서 그런데 갑자기 세상의 모든 주목을 받고 있다. 자연스러운가라고 의문을 제기했다.', '정세균 장유유서 발언에 에서도 깜짝 놀랐다 꼰대정당이냐정세균 장유유서 발언에 에서도 깜짝 놀랐다 꼰대정당이냐정세균 전 국무총리가 국민의힘 당대표 경선과 관련 우리나라에는 장유유서 문화가 있다고 발언한 것을 두고 여권에서도 비판의 목소리가 나오고 있다. 박용진 더불어민주당 의원은 25일 페이스북에 정 전 총리의 말에 깜짝 놀랐다 라며 40대 기수론 정당인 우리 민주당이 어쩌다가 장유유서를 말하는 정당이 됐나라고 지적했다. 이어 젊은 사람의 도전과 새 바람을 독려해야 할 시점에httpswww.asiae.co.krarticle2021052608285434581 정세균 전 국무총리가 국민의힘 당대표 경선과 관련 우리나라에는 장유유서 문화가 있다고 발언한 것을 두고 여권에서도 비판의 목소리가 나오고 있다.']"
3,능력,5,"['님 자기 능력으로 국민들 지지 받을 수 없으니 하던 대로 올라타기나 반복하는 수 밖에요.', '우선 장유유서는 아무 문제가 없다고 생각합니다. 나이 많은 사람이 더 대접받는 문화는 성경에도 나올 만큼 전 인류적인 보편문화입니다. 사회 변화가 별로 없던 전근대에는 아무래도 많은 경험이 있는 노인들의 말을 듣는 것이 생존에 가장 유리했기에 생긴 문화일 것입니다. 현대에도 어르신들이 젊은 이에 비해 조금 더 대접받는 것은 나쁜 문화라고 생각하지 않습니다.다만 장유유서를 젊은이가 노인을 무조건 따라야 한다는 도그마라고 왜곡하는 꼰대들이 문제입니다. 오히려 문제라고 생각하는 부분은 여기입니다. .경륜이 없이 이게 할 수 있겠는가. 꼭 물론 나이로만 가지고 따질 수는 없지만 그런 측면에서 아마 고민이 많을 거라고 보고요. 나이 이야기를 한 것을 보면 경륜을 연륜 정도와 비슷한 말로 쓴 것 같습니다. 그러나 경륜이라는 명사의 사전적 정의는 다음과 같습니다. 1.일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. 2.세상을 다스림. 또는 그런 능력. 어디에도 나이와 관련된 의미가 없습니다. 포부 또는 능력을 뜻하는 단어입니다. 적확하지 못한 단어를 씀으로써 젊으면 능력이 부족하다는 편협한 꼰대의 꼬장 같은 느낌을 주게 되었습니다. 이후의 내용들을 봐도 젊은 대표는 당을 이끌기 힘들 것이라는 말을 하고 있는데 아무래도 연륜 부족이 경륜 부족으로 이어진다는 인식은 있는 것 같습니다. 그러나 젊은이가 경험은 부족할 수 있어도 경륜까지 부족하다고 보기는 근거가 부족합니다. 우리나라 민주주의는 젊은이들이 발전시켜왔습니다.4.19 혁명은 대학생 및 10대 학생들이 주동하였고 민주화를 이룬 6.10 민주항쟁도 넥타이 부대라는 젊은 직장인들이 주동하였습니다.당장 민주당의 주축인 86세대가 청년시절 민주화운동의 주역이었습니다.민주화를 이루어낸 젊은이들이 경륜이 부족했겠습니까? 이준석은 나이를 떠나 안 그래도 경륜부족을 많이 드러냈던 정치인입니다. 그런 것을 지적하며 경륜이 부족한 사람임을 비판했다면 어땠을까 싶습니다. 이를 테면 이준석 전 최고위원은 지난 날 박근혜 전 대통령의 2시간 발언을 듣고 투신할 정도로 부족한 식견을 지녔고 문재인 대통령 참수 만화를 sns에 올리는 경솔한 행동을 하는 등 경륜 부족을 드러냈던 사람입니다. 최근에도 방역수칙을 위반한 회합을 하고 또 그것이 수칙위반이 아님을 강변하다가 사과하는 등 지난 수년간 그런 경륜 부족이 극복되었는지 의문입니다. 그런데도 국민의힘 같은 거대정당을 조율하는 것이 가능할 지 의문입니다. 이런 말을 좀 부드럽게 했다면 꼰대 논란이 있었을까 싶습니다. 물론 기레기들은 그래도 다른 트집을 잡았겠지만 딱 봐도 보이는 이준석의 경륜 부족의 근거로 연륜 부족을 들었다는 것은 발언 자체에도 문제가 있다고 생각합니다. 무리한 논리를 끌고 가려다 보니 정당 관리가 정부 운영보다도 어렵다는 다소 무리한 주장으로 이어진 것 같습니다. 젊은이들이 변혁을 원할 때 경륜 내지는 연륜이 부족하다고 찍어누르려던 것은 지난 수십년간 수구의 논리였습니다. 젊었던 민주화 세력이 주축이 된 민주당의 지도자격인사인 정세균 전 총리가 사용하기에는 매우 아쉬운 언사입니다.정 전 총리는 언론이 왜곡보도했다 고 역정내기 전에 한 번 스스로의 발언을 돌아보셨으면 좋을 것 같습니다.', '트윈스29 3xa0그러면 님 언어능력이 심각하게 바닥이시네요.nnxa0nn당력을 하나로 집중시켜야 되는데 우리나라가 가지고 있는 특별한 문화가 있지 않느냐.xa0장유유서xa0이런 문화도 있다nnnxa0nnn젊은 층들과 함께 당력을 하나로 모아야 하는데xa0nnnxa0nnn장유유서라는 문화가 걸림돌 및 어려움이 될 수 있다는 의미로nnnxa0nnn사용한 건데. 무슨 소리에요.']"
4,소득,5,"['다음에는 국힘당 기본소득이나 뭐 그런 거 있으면 부탁드립니다.', '기본소득에 대한 비판은 가능합니다.정치인이 자기 생각 없는 것이 더 나쁜 일이죠.그런데 오히려 오세훈보다 못한 주장을 폅니다.자 오세훈과 이재명이 어떤 경선에서 붙었다고 가정해 봅니다. 그럼 패자가 승자와 함께 힘을 모아 선거에서 시너지를 낼 수 있으려면안심소득 vs 기본소득과 같은 정책 경쟁을 해야 합니다.물론 안심소득에 공감하는 것은 아니며 예를 든 것 뿐입니다.그런데 정세균의 워딩을 보면 경선 후에 같이 할 수 있을런지 의문이 들지 않을 수가 없습니다. 왜냐면 방법론을 비판하며 자신의 컨텐츠가 대안이라 주장하는 것이 아니라 아예 취지 자체에 공감하지 않고 그 이유를 국힘쪽에서나 하는 말로 채우고 대안은 하나마나하여 기억조차 되지 않는 기존 정책을 다듬겠다는 식입니다.노회한 정치인이 뒤가 없다는 말은 무슨 뜻일까요.두가집니다. 하나는 원수지간. 또 하나는 동지로 여기지 않는 거죠.이외에는 없다고 봅니다. 단순 경쟁상대라면 이렇게 뒤가 없는 발언이 아니라 자신이 더 나은 부분을 강조하고 상대의 약점을 공격하여내가 더 나은 대안임을 내세워야 합니다.그래야 경선 이후로도 화합하고 동지로서 계속 할 수 있는 것이죠.', '사실 기본소득은 시장경제 신봉자인 시카고 학파 쪽에서도 주장하는 정책이기는 함. 나도 특정 조건만 갖춰진다면 기본소득 찬성함. 기존에 해오던 대부분의 복지정책 싹 다 없애고 기본소득만 존재한다면 찬성 아니면 기본소득이냐 기존의 복지혜택이냐 양자택일을 하게 하는 거임. 기본소득을 선택한다면 그 동안 받아오던 혹은 받을 수 있는 복지 혜택을 전부 포기하는 방식.']"
5,부자,3,"['아니 부자들 그만 좀 괴롭혀저 중에서 개 노력하고 자수성가한 부자도 있는데 싸잡아서 그러지 말자', '우리희망있냐 부자만 괴로운게 아니라 일반적인 중산층도 괴로움', '우선 장유유서는 아무 문제가 없다고 생각합니다. 나이 많은 사람이 더 대접받는 문화는 성경에도 나올 만큼 전 인류적인 보편문화입니다. 사회 변화가 별로 없던 전근대에는 아무래도 많은 경험이 있는 노인들의 말을 듣는 것이 생존에 가장 유리했기에 생긴 문화일 것입니다. 현대에도 어르신들이 젊은 이에 비해 조금 더 대접받는 것은 나쁜 문화라고 생각하지 않습니다.다만 장유유서를 젊은이가 노인을 무조건 따라야 한다는 도그마라고 왜곡하는 꼰대들이 문제입니다. 오히려 문제라고 생각하는 부분은 여기입니다. .경륜이 없이 이게 할 수 있겠는가. 꼭 물론 나이로만 가지고 따질 수는 없지만 그런 측면에서 아마 고민이 많을 거라고 보고요. 나이 이야기를 한 것을 보면 경륜을 연륜 정도와 비슷한 말로 쓴 것 같습니다. 그러나 경륜이라는 명사의 사전적 정의는 다음과 같습니다. 1.일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. 2.세상을 다스림. 또는 그런 능력. 어디에도 나이와 관련된 의미가 없습니다. 포부 또는 능력을 뜻하는 단어입니다. 적확하지 못한 단어를 씀으로써 젊으면 능력이 부족하다는 편협한 꼰대의 꼬장 같은 느낌을 주게 되었습니다. 이후의 내용들을 봐도 젊은 대표는 당을 이끌기 힘들 것이라는 말을 하고 있는데 아무래도 연륜 부족이 경륜 부족으로 이어진다는 인식은 있는 것 같습니다. 그러나 젊은이가 경험은 부족할 수 있어도 경륜까지 부족하다고 보기는 근거가 부족합니다. 우리나라 민주주의는 젊은이들이 발전시켜왔습니다.4.19 혁명은 대학생 및 10대 학생들이 주동하였고 민주화를 이룬 6.10 민주항쟁도 넥타이 부대라는 젊은 직장인들이 주동하였습니다.당장 민주당의 주축인 86세대가 청년시절 민주화운동의 주역이었습니다.민주화를 이루어낸 젊은이들이 경륜이 부족했겠습니까? 이준석은 나이를 떠나 안 그래도 경륜부족을 많이 드러냈던 정치인입니다. 그런 것을 지적하며 경륜이 부족한 사람임을 비판했다면 어땠을까 싶습니다. 이를 테면 이준석 전 최고위원은 지난 날 박근혜 전 대통령의 2시간 발언을 듣고 투신할 정도로 부족한 식견을 지녔고 문재인 대통령 참수 만화를 sns에 올리는 경솔한 행동을 하는 등 경륜 부족을 드러냈던 사람입니다. 최근에도 방역수칙을 위반한 회합을 하고 또 그것이 수칙위반이 아님을 강변하다가 사과하는 등 지난 수년간 그런 경륜 부족이 극복되었는지 의문입니다. 그런데도 국민의힘 같은 거대정당을 조율하는 것이 가능할 지 의문입니다. 이런 말을 좀 부드럽게 했다면 꼰대 논란이 있었을까 싶습니다. 물론 기레기들은 그래도 다른 트집을 잡았겠지만 딱 봐도 보이는 이준석의 경륜 부족의 근거로 연륜 부족을 들었다는 것은 발언 자체에도 문제가 있다고 생각합니다. 무리한 논리를 끌고 가려다 보니 정당 관리가 정부 운영보다도 어렵다는 다소 무리한 주장으로 이어진 것 같습니다. 젊은이들이 변혁을 원할 때 경륜 내지는 연륜이 부족하다고 찍어누르려던 것은 지난 수십년간 수구의 논리였습니다. 젊었던 민주화 세력이 주축이 된 민주당의 지도자격인사인 정세균 전 총리가 사용하기에는 매우 아쉬운 언사입니다.정 전 총리는 언론이 왜곡보도했다 고 역정내기 전에 한 번 스스로의 발언을 돌아보셨으면 좋을 것 같습니다.']"
6,좋아하다,3,"['피부색깔도 다르고 분위기도 너무 다른 사람이죠. 곱상함을 좋아한다면 하얗고 부드러운 조국 좀 강하고 터프한 이미지는 홍정욱인거 같네요', '20대들도 이재명을 좋아하지 70먹은 할배새끼 좋아하진 않을거 같은데', '우선 장유유서는 아무 문제가 없다고 생각합니다. 나이 많은 사람이 더 대접받는 문화는 성경에도 나올 만큼 전 인류적인 보편문화입니다. 사회 변화가 별로 없던 전근대에는 아무래도 많은 경험이 있는 노인들의 말을 듣는 것이 생존에 가장 유리했기에 생긴 문화일 것입니다. 현대에도 어르신들이 젊은 이에 비해 조금 더 대접받는 것은 나쁜 문화라고 생각하지 않습니다.다만 장유유서를 젊은이가 노인을 무조건 따라야 한다는 도그마라고 왜곡하는 꼰대들이 문제입니다. 오히려 문제라고 생각하는 부분은 여기입니다. .경륜이 없이 이게 할 수 있겠는가. 꼭 물론 나이로만 가지고 따질 수는 없지만 그런 측면에서 아마 고민이 많을 거라고 보고요. 나이 이야기를 한 것을 보면 경륜을 연륜 정도와 비슷한 말로 쓴 것 같습니다. 그러나 경륜이라는 명사의 사전적 정의는 다음과 같습니다. 1.일정한 포부를 가지고 일을 조직적으로 계획함. 또는 그 계획이나 포부. 2.세상을 다스림. 또는 그런 능력. 어디에도 나이와 관련된 의미가 없습니다. 포부 또는 능력을 뜻하는 단어입니다. 적확하지 못한 단어를 씀으로써 젊으면 능력이 부족하다는 편협한 꼰대의 꼬장 같은 느낌을 주게 되었습니다. 이후의 내용들을 봐도 젊은 대표는 당을 이끌기 힘들 것이라는 말을 하고 있는데 아무래도 연륜 부족이 경륜 부족으로 이어진다는 인식은 있는 것 같습니다. 그러나 젊은이가 경험은 부족할 수 있어도 경륜까지 부족하다고 보기는 근거가 부족합니다. 우리나라 민주주의는 젊은이들이 발전시켜왔습니다.4.19 혁명은 대학생 및 10대 학생들이 주동하였고 민주화를 이룬 6.10 민주항쟁도 넥타이 부대라는 젊은 직장인들이 주동하였습니다.당장 민주당의 주축인 86세대가 청년시절 민주화운동의 주역이었습니다.민주화를 이루어낸 젊은이들이 경륜이 부족했겠습니까? 이준석은 나이를 떠나 안 그래도 경륜부족을 많이 드러냈던 정치인입니다. 그런 것을 지적하며 경륜이 부족한 사람임을 비판했다면 어땠을까 싶습니다. 이를 테면 이준석 전 최고위원은 지난 날 박근혜 전 대통령의 2시간 발언을 듣고 투신할 정도로 부족한 식견을 지녔고 문재인 대통령 참수 만화를 sns에 올리는 경솔한 행동을 하는 등 경륜 부족을 드러냈던 사람입니다. 최근에도 방역수칙을 위반한 회합을 하고 또 그것이 수칙위반이 아님을 강변하다가 사과하는 등 지난 수년간 그런 경륜 부족이 극복되었는지 의문입니다. 그런데도 국민의힘 같은 거대정당을 조율하는 것이 가능할 지 의문입니다. 이런 말을 좀 부드럽게 했다면 꼰대 논란이 있었을까 싶습니다. 물론 기레기들은 그래도 다른 트집을 잡았겠지만 딱 봐도 보이는 이준석의 경륜 부족의 근거로 연륜 부족을 들었다는 것은 발언 자체에도 문제가 있다고 생각합니다. 무리한 논리를 끌고 가려다 보니 정당 관리가 정부 운영보다도 어렵다는 다소 무리한 주장으로 이어진 것 같습니다. 젊은이들이 변혁을 원할 때 경륜 내지는 연륜이 부족하다고 찍어누르려던 것은 지난 수십년간 수구의 논리였습니다. 젊었던 민주화 세력이 주축이 된 민주당의 지도자격인사인 정세균 전 총리가 사용하기에는 매우 아쉬운 언사입니다.정 전 총리는 언론이 왜곡보도했다 고 역정내기 전에 한 번 스스로의 발언을 돌아보셨으면 좋을 것 같습니다.']"
7,귀엽다,3,"['귀엽네요 kt치어리더', '국민의적 다들귀엽네', '입이 커서 귀엽']"
8,강하다,3,"['피부색깔도 다르고 분위기도 너무 다른 사람이죠. 곱상함을 좋아한다면 하얗고 부드러운 조국 좀 강하고 터프한 이미지는 홍정욱인거 같네요', '요즘 발언 수위가 점점 강해지시는데 근데 정세균은 의원이 아니라 전총리라고 불리지 않나', '정세균 전 국무총리가 일본 정부를 저 놈들이라고 지칭하고 일본 정부를 향해 고약하다 고 표현하는 등 강한 비판 목소리를 냈다. 일본 정부가 도쿄 올림픽 패럴림픽 조직위원회 홈페이지에 게재한 지도에 독도를 자국 영토로 표시한 것에 대한 비판이다.정 전 총리는 일본 측 지도가 수정되지 않으면 올림픽을 보이콧 해야 한다 고도 주장했다.정 전 총리는 29일 충남지역 시 도의원들과의 간담회에서 해당 사안에 대해 좋은 게 좋다 며 넘어갈 일이 아니다 라며 일본이 좀 고약하지 않느냐 치사하지 않느냐. 얼마든지 우리를 자극하지 않고도 올림픽을 할 수 있는 것 아니냐 고 지적했다.정 전 총리는 또 일본 정부가 한국 대법원의 강제 징용 관련 판결을 문제 삼으며 2019년부터 유지하고 있는 수출규제 조치를 언급하며 원래 적국한테 전쟁 물자는 금수 해도 생활 물자 산업 물자는 금수하지 않는 것인데 어떻게 그걸 우리한테 금수하느냐 나쁜 사람들이라고 했다.이어 말하기도 부끄럽지만 우리가 일본에 여러 번 대화하자고 신호를 보냈는데 가장 이웃국가에 대해 정상회담도 전혀 안 된다고 한다 며 독도를 저 놈들이 빼앗아 가려고 하는 짓을 절대 용납 못한다 고 말했다.경우에 따라 올림픽 보이콧도 검토해야 한다 고 했다. 정 전 총리는 계속해서 해당 지도가 개정이 안 되면 국민의 동의 받아 올림픽 보이콧을 해야 한다고 생각한다 며 물론 정치권에서도 시민사회에서도 국민적 공감대가 만들어져야 한다 고 말했다.앞서 일본 정부는 지난 28일 도쿄 올림픽 패럴림픽 조직위원회 홈페이지에 게재된 지도에 마치 일본 영토처럼 표시해둔 독도를 삭제하라는 한국측 요구를 수용할 수 없다 고 밝힌 바 있다. httpsnews.naver.commainread.nhn?modelsdmidsecsid1100oid008aid000459418 7 맞는 말이긴한데 전 총리가 저렇게 북한마냥 말해도 되나? 반일코인인가']"
9,감사,3,"['zenplay님 아.그러네요. 절차가 조금 다르긴 하지만 결국엔 전부 소각이 맞네요 감사합니다.', '감사합니다 세균맨', '선대의원장 감사']"
