word,count
정세균,67
총리,51
일본,48
정치,41
민주당,30
세균,29
장유유서,28
보이다,26
이준석,25
올림픽,25
조국,24
이재명,24
검찰,24
발언,24
국민,24
밝히다,22
보이콧,21
모르다,20
관련,20
의혹,20
정부,20
후보,19
윤석열,19
국무총리,19
고치다,18
기본소득,17
동물,17
뉴스,17
나이,17
비판,17
새끼,16
독도,16
중국,15
기업,15
부족,15
총장,14
꼰대,14
나라,14
놀이,14
식이,14
대선,14
의원,14
숙이다,13
행동,13
필요,13
언론,13
대표,13
경륜,13
개혁,13
대통령,12
경제,12
정책,12
고개,12
검증,11
주자,11
정치인,11
페이스북,11
어린이,11
오징어,11
문화,11
공약,10
한국,10
가능,10
선수,10
불법,10
장관,9
따르다,9
경선,9
다르다,9
피해자,9
인간,9
지지율,9
소송,9
제기,9
강제,9
싸우다,9
반대,9
평가,9
이낙연,9
노역,8
서브타이틀,8
범죄,8
주장,8
백신,8
임명,8
방법,8
사건,8
라이브,8
신문,8
이법,8
운전자,8
세금,8
재생,8
진실,8
올리다,8
지나다,8
폐기물,8
지지자,8
챕터,8
처벌,7
다니다,7
느끼다,7
허경영,7
민주,7
사과,7
작성자,7
타령,7
의심,7
상대,7
콜라,7
파시즘,7
역겹다,7
정당,7
대권,7
기사,7
당시,7
내용,7
이기다,7
전환,7
경쟁,7
애초,6
시발,6
개정,6
개인,6
난리,6
사체,6
국가,6
비리,6
김웅,6
가짜,6
부수,6
부분,6
변호사,6
열리다,6
나쁘다,6
반려,6
다음,6
역사,6
미치다,6
도덕,6
중요,6
세상,6
영토,6
의견,6
조작,6
지도,6
지적,6
젊은이,6
전체,6
재원,6
자체,6
인사,6
티켓,6
공정,6
이날,6
의미,6
의문,6
이용,6
이해,6
기자,5
초선,5
스쿨,5
인증,5
목소리,5
로드,5
들어오다,5
떨어지다,5
인터뷰,5
일제,5
생기다,5
태세,5
책임,5
시장,5
최고,5
재판,5
능력,5
풍년,5
표현,5
지정,5
아이,5
지원,5
운동,5
전하다,5
통과,5
지키다,5
기준,5
이후,5
혐오,5
화면,5
사고,5
선거,5
위원,5
유사,5
현행법,5
세대,5
사진,5
사례,5
사기,5
증여세,5
소득,5
해당,5
보호구역,5
서울,5
홍콩,5
전북,5
이름,5
코인,5
추미애,5
이야기,5
수준,5
부모,5
본인,5
복주머니,5
트램,5
이유,5
최근,5
나가다,5
힘들다,5
기본,5
기억,5
가족,5
비율,4
제도,4
태그,4
분류,4
정신,4
고민,4
고약,4
코로나,4
마르다,4
전범,4
브라우저,4
비난,4
비시,4
반응,4
드러나다,4
재명,4
장모,4
구태,4
특정,4
사용,4
공감,4
판단,4
기간,4
법원,4
자모,4
자리,4
바꾸다,4
반일,4
강아지,4
부작용,4
차량,4
계산,4
지자체,4
지역주의,4
법률,4
지도자,4
처리,4
병신,4
청년,4
동의,4
초년생,4
넘기다,4
보험,4
결국,4
화이자,4
놀라다,4
홍정욱,4
주인,4
누르다,4
좌파,4
갈등,4
발행,4
감정,4
조직,4
친문,4
삭제,4
자연,4
밀월,4
자라다,4
오세훈,4
해명,4
요구,4
외치다,4
우습다,4
마련,4
스트리밍,4
연륜,4
이어지다,4
일으키다,4
무리,4
선대,4
죽이다,4
말씀,4
지켜보다,4
업체,4
호남,4
화이,4
실체,4
수정,4
시절,4
기존,4
엄청나다,4
외모,4
위반,4
상속세,4
아깝다,4
이미지,4
마음,4
음소,4
유형,4
논란,4
인종주의,4
아리다,4
노인,4
서구,4
유행,4
합법,4
상속,4
폐지,3
참여,3
판결,3
표시,3
배송,3
확인,3
무능,3
면책,3
방식,3
촛불,3
확보,3
무시,3
검사,3
발상,3
항의,3
근거,3
스트로크,3
할배,3
특별,3
케이,3
해석,3
미안,3
물자,3
행위,3
결과,3
무죄,3
박테리아,3
현실,3
집단,3
조건,3
경험,3
성공,3
공개,3
공격,3
일정,3
공작,3
과거,3
응원,3
생활,3
유리,3
위원장,3
선언,3
우리나라,3
왜구,3
세계,3
작년,3
염병,3
소각,3
여야,3
여성,3
여권,3
소수,3
얼굴,3
얘기,3
수사,3
쓰레기,3
시작,3
시민,3
사태,3
잘못,3
계란,3
종량제,3
지역,3
지랄,3
지난번,3
지난달,3
지급,3
보궐,3
보수,3
중공업,3
준석,3
주차,3
보호,3
복지,3
존중,3
잣대,3
존재,3
부엉이,3
부인,3
부자,3
도쿄,3
제철,3
고도,3
정의,3
정모,3
전체주의,3
국내,3
사망,3
머리,3
가격,3
대법원장,3
뿌리다,3
내려가다,3
넘어가다,3
댓글,3
댄스,3
가치,3
논의,3
남자,3
강탈,3
받아치다,3
좋아하다,3
단체,3
나중,3
대체,3
달려들다,3
마인드,3
비싸다,3
느낌,3
대전,3
도로,3
논리,3
금수,3
동지,3
강하다,3
드립,3
심하다,3
한동훈,3
어리다,3
어쩌다,3
가중,3
감사,3
귀엽다,3
웃기다,3
나서다,3
원하다,3
바라다,3
단어,3
모으다,3
추하다,3
대법원,3
키우다,3
개새끼,3
미쓰,3
미국,3
대리인,3
들어가다,3
베네수엘라,3
꼬라지,3
간담회,3
떠나다,3
먹히다,3
편하다,3
향하다,3
레기,3
대리,3
알리다,3
뒤집다,3
북한,3
드러내다,3
달리다,3
대안,3
적용,2
숨지다,2
적폐,2
멋지다,2
재산,2
슬퍼하다,2
이익,2
공장,2
전국,2
장묘,2
인턴,2
싸잡다,2
이란,2
공중위생,2
공포,2
아쉽다,2
의료,2
망하다,2
전달,2
공산주의,2
변하다,2
골인,2
벗어나다,2
부끄럽다,2
자폭,2
부드럽다,2
자식,2
부럽다,2
고향,2
재판부,2
장난,2
자극,2
자국,2
버리다,2
재앙,2
장례,2
자격,2
입증,2
사라지다,2
적발,2
사이다다,2
상관없다,2
일반,2
유교,2
약하다,2
에서,2
야당,2
양심,2
치르다,2
어르신,2
업계,2
업자,2
찾아보다,2
에티켓,2
애견,2
지껄이다,2
여론,2
여부,2
저지르다,2
잡히다,2
관리,2
연설,2
애새끼,2
안심,2
이루다,2
실수,2
시너지,2
흘리다,2
시전,2
시점,2
광장,2
식품,2
신경,2
실제,2
안동,2
퍼지다,2
튀어나오다,2
쓰레기봉투,2
아내,2
아버지,2
광고비,2
악용,2
열정,2
영지,2
어긋나다,2
어렵다,2
관계자,2
없애다,2
운영,2
운전,2
과정,2
원인,2
웨딩,2
위원회,2
우량주,2
위탁,2
만나다,2
유권자,2
유력,2
어둡다,2
유지,2
어기다,2
가정,2
용품,2
영진,2
오염,2
예산,2
예상,2
이끌다,2
예약,2
예외,2
예정,2
오랜만,2
관념,2
용납,2
오페라,2
오해,2
옹호,2
왜곡,2
가슴,2
외교,2
올라타다,2
만지다,2
대한민국,2
똑같다,2
충남,2
강성,2
진안,2
주호영,2
패럴림픽,2
페어,2
평등,2
걱정,2
폐주,2
주문진,2
강조,2
포부,2
표창장,2
프레임,2
피해,2
거래,2
최문순,2
통장,2
하루,2
토착,2
팔로,2
친필,2
파키,2
케이크,2
겨냥,2
게재,2
갑오징어,2
크랩,2
튜버,2
태평양,2
태극기,2
태사,2
탄방동,2
킨텍스,2
토론,2
핑계,2
한국인,2
전합,2
홈페이지,2
화폐,2
만주,2
리니어,2
