,neg_words,count,documents
0,힘들다,6836,"['장경태 의원은 다른 걸 떠나. 이준석이랑 술마시고 뒷수습 하는 과정에서 이미 마음에서 멀어졌습니다 그래도 지켜봤는데.시간이 지날 수록 아니더군요', '2030대는 저런 부조리를 개혁하는 민주당을 기대하며 표를 줬지만 민주당의 병신짓을 보고 개혁에 대한 기대는 접고차라리 자신이 저런 부류에 들어가는 게 낫다고 맘이 바뀌고 있습니다', '밭갈이 3명 최종 확인받고 그나마 안심을 했지만. 특정 지역 투표율이 높다길레 너무 긴장되네요. 도저히 못 버틸 것 같아서 청심환 2개 까먹었습니다. 제발 기적의 역전승을 ㅠㅠ']"
1,어렵다,3958,"['대출을 땡겨서 상가을 매입할 수 있으면 하시는 게 좋죠.다들 대출을 땡겨도 남는 돈을 준비할 수 없어서 매입하지 못하는 건데요.괜찮은 목에 상가라면 땡겨야죠.', '로봇청소기 만큼은.가성비 뿐만 아니라 메이저 가전제품 기업 중에 중국산새오미 치후 등등보다 센서나 인공지능이 더 좋은 로봇청소기 없지 않나요??', '전 세 곳 모두 틀어놓을 예정입니다.특히 ytn 라디오에 이작가 사단들 총 출동이라 화력 지원 요청한다 고 강조하더군요.']"
2,떨어지다,3879,"['슈퍼도 좀 깔끔하게 하면 되는데물건 늘여놓고 쌓아놓고 마이크대고 고등어가 얼많이 .뭐라고 하고 음악크게틀어놓고 그런 게 문제슈퍼밖까지 물건 나와 있는 게 당연하다고 생각함', '동감합니다. 독재정권을 끝내고 박근혜를 탄핵시킨 국민들입니다. 정치는 어쩔 수 없이 다수결입니다. 나만 옳다고 생각하고 스스로 고립된다면 태극기부대와 다를 바가 없겠죠.', '총 잘쏘는 여배우 등극이요간신 그 배우였다니요 드라마 멜로가 체질영화 언니가 죽었다 33살이라네요 워 관심 있게 응원할께요']"
3,걱정,3734,"['따는 이게 맞죠 정확하게 진단하고 치료할생각이면 이렇게 말해야지 다 모두 잘못한 게 맞고 책임질 두 주체 중에 한명은 확실하게 책임물을수 있으니까 책임물고 있는 정도로 해야지', '사은품 때문에 2200원짜리 2개에 0원 짜리 한개. 3.3만짜리 개인용 이렇게 4개입니다. 모두 알뜰폰이고 작년 sk 1회선보다 50 이상 유지비가 적게 드네요', '어딘가의 입김종교?이 아닐까 생각해 봅니다. 저런거에 관심가질 나랏님들이 아닐거거든요. 에휴.vollago']"
4,걸리다,3550,"['정부랑민주당이 뭘잘해야 밭을 갈던가 말던가하죠이번만큼 밭갈면서 얼굴이 화끈거린적 처음임.밭은 선거되면 다같이 갈면되니깐우선 실탄확보가 우선임.', '진보는 전통적으로 left wing의 견해에서 노동자를 대변하는 정당입니다 변화가 꼭 그 핵심은 아니란 말씀드리고 싶었습니다.', '어느 보건소 공무원이 매일 저녁 노래방 입구에 서서 입장객에게 검사를 하나요?아무나 콧구멍 쓰시면 되는줄 아나봐요?진짜 무식해서 기가 막히네요.']"
5,아프다,3120,"['누구 좋으라고 탈퇴를 쟤네들은 권리당원 줄어들면 더 좋아해요 지들이 당을 갖고 놀기 쉬우니깐요김한길 포함 토호세력들 복귀하는 꼴 보기 싫으면 남아서 지킵시다', 'httpswww.google.co.krampm.newspim.comnewsampview20210407000984 50층늘리면서 교통지옥 사회인프라 비용은 니들이 다 대는거', '니르바나. 그러게요 예전부터 오냐오냐 분위기에 한마디 하면 비추가. 제 말은 조롱이 아니라 이제태도를 바꿧음 한다는 거죠']"
6,나쁘다,2979,"['식약처는 웬 봉변식약처장이 식약처에 신청이 된 자가 진단 키트도 없다는데 오세훈은 뭔 식약처가 빨리 승인을 해달라는겨?진단 키트갖고 정치질한거야?', '미러링의 일환이기 때문에 과다한 의미 부여 맞습니다. 일베 미러링한 워마드가 똑같은 괴물이 되었듯 레디컬 페미니스트들 미러링 하는 남자들 또한 같은 수준으로 떨어질겁니다.', '최재성 박원순 이재명 겨냥 지방선거를 차기 대선 발판으로 생각?.멋지지 않다httpsnews.v.daum.netv201707250 60059498대선 나갈 수 있는 거죠']"
7,당하다,2847,"['두 사람 다 아니라는 말은 물타기하는 의도의 사람들이 써먹는 말이기 때문에 그런 것 같습니다. 저도 61님처럼 할 겁니다. 전 그게 현명하다 판단했거든요. 작성자 이재명을 지킨', '사법개혁을 위해서 판사탄핵을 제일 앞에서 주도하셨으면서 같은 맥락의 검찰 개혁을 제일 앞에서 주도한 분을 손절하는 행보는 정말 아무리 행복회로 를 돌려봐도 이해가 안 되네요.', '무조건 젊고 참신한 인물로 싹다 갈아야 합니다 초선 이런 거 따지지 말고이탄희 김용민 이재정 이런 분들이 나서야 함']"
8,버리다,2798,"['땡오뉴스 시작인가요. 이제 기레기들은 자신들의 잘못을 덮기 위해 저들의 잘못에는 눈감고 미화하고 할 겁니다. 민주당 내부개혁과 동시에 언론은 언론대로 잡아야죠.', '티셔츠 같은 거 입은 팔자국도 남잖아요. 마스크가 제법 두꺼운데 자외선 차단이 어느 정도는 되지 않을까요?저희 아들이 유난히 하얀 피부라서 그럴까요?', '국민연금이 지수 1300에 사서 3000 넘으니 좀 판 것인데.국민연금이 안 팔았으면 삼성전자 9만원대가 아니라 13만원에 샀을 듯']"
9,망하다,2772,"['끝까지 믿음 50 3탄핵의 시발점이 이대 입시비리였지요촛불정부는 다를 줄 알았는데 똑같네. 이렇게 느낀거죠 ㅠㅠㅠ언론이 문제인건 맞는데 언론탓만 할 수도 없는 거죠', '이럴 때 민주당이 빨리빨리 움직여야 하는데.안타깝네.민주당이 저러고 있으니 언론은 거의 패륜이 되어가고.이런 언론과 대화를 하겠다는 것들 다 나가 뒤져라 그냥.', '.살이 자꾸 빠짐.ㅡㅡ .1월에도 82 였는데. .현재 75.응?? .의사가 좀만더빼서 정상범위 찍자고. .이냥반아. 나죽어 .장점임. 암튼.장점임']"
