from,to,depth,documents
"community
in comu","community
in comu",0,"['단순하게 조국과 박오 기사량만 따져봐도 비교불가라서 그닥 동의가 안됩니다. 그리고 언론이 민심따라 움직이는거 자체가 정상은 아니고요.', '엇그제 박유하도 언론이 왜곡해서 과도하게 비난 받는다는 의견도 보이더군요.저런 인간들이 학생들에게 지식을 전달해도 되는 건지 정말 모르겠습니다.', '이낙연 답이 나왔네요.빨리 치워야지.언제적 대선용 선거 방식을 쓰고 있는 지.지금 우린 일하고 끝까지 문재인 대통령님지킬 후보가 필요합니다']"
"community
in comu",민주당,1,"['대천사님 httpswww.clien.netserviceboardpark14174975clienhttpswww.clien.netserviceboardpark16004254clien', '저는 뒷모습중에삼각형 팬티뭔지 아시죠?그거 보이는 게 참 보기 싫어서.그거좀 안보이게 만들순 없는지.백바지얇은거나 얇은바지는 가능하면.좀.안입으려고진한색 입으려고 합니다.', '용형 목표가 50살까지만 엔터사장하고 그 이후 회사는 다른 이에게 넘기고 남은 재산 싹 정리해서 무료급식 봉사로 남은 평생 벌은돈 쓰는 거라고.진심 대단한 마인드인거 같음 .']"
"community
in comu",모르다,1,"['냇시조니 동교동계는 설훈하고 김한정 정도이고 이사람들도 승산 있는 사람한테 가죠 이들도 범 정세균계고요 동교동계는 사실상 없는 거나 마찬가지죠 정대철 입당 불허', '화딱지 나서 찬찬히 본적이 없음 간혹 착한 외국 신부도 있긴 하더만 진짜 간혹이고 대부분 싸가지 없음 지 입장 밖에 모름 외국며늘 들이는 시부모들도 대부분 똑같고 안봄', '게임 스트리머들 정말 이렇게 합니다.찐팬들은 풀영상까지 보는 거고대부분 510분 정도로 일하다 쉴 때 보거나 밥먹으면서 보거나 하거든요 제가 그렇습니다']"
"community
in comu",보이다,1,"['서프라이즈 한답시고 집앞에 찾아가기 절대하지 마세요 특히 집에 있는 거 확인 하고 집에 들어간지 2시간 이상 된 상황에 잠깐 나와봐 하는 거 절대하지 마세요 진짜임', '네. 규칙이 있음 그 규칙을 따라야죠.입사한 지 얼마 되지 않아서 사용할 수 있는 연차가 없어서 우짜든지 퇴근후 가려고 했는데 다른 가족이랑 상의 해 봐야겠어요.', '이번 보궐 국힘으로 넘어간 것도 언론의 역할이컷죠다들2030이 어쩌니 페미가 어쩌니 부동산이 어쩌니 하지만 개인적인 생각으로는 언론이 사회분열 조장하고 허위 왜곡기사써서 넘어간거죠']"
"community
in comu",감사,1,"['ㅣ아스트라ㅣ님 일단 그런 경우는 아이폰에서도 동일하더군요. darwin kernel 의 특성인가 싶기도 한데 폴더명을 영어로 잘 만들어 놓으면 그런 경우가 적은거 같긴 합니다.', '백수건달한량 제가 돈많은 부자라면 현 뉴스 공장 공장장 한테 회당 최소한 5천만 주고 싶습니다. 트럼프 정도 부자라면 쎤하게 1억으로 통크게', '울산 선거개입 무혐의 속보조국 임종석 이광철 무혐의httpmobile.twitter.compatriameastatus1380400145179668483?prefetchtimest.']"
"community
in comu",언론,1,"['가정주부인데도 자주 해먹는 음식이 아니면 밀키트 선호합니다.밀키트는 배달보다 저렴하되 맛있으면 될 것 같아요.대신 쓰레기 좀 줄이는 아이디어가 있으면 더 좋겠어요', '잘자요. 컴앞에선 즐딴게침소에선 즐꿈하세요 무명 관심종자이만 물러갑니다. 자정을 잊을만큼 섹무새같은 오이냉국과 가 하고 싶다.', 'ㅡn할많하않 ㅡ 맞습니다. 대의원제를 빨리 고쳐야 합니다.한표면 똑같은 한표고 똑같은 영향력이 있어야지 아오']"
"community
in comu",의원,1,"['사과로 어설프게 넘어가는 순간 더 큰 참극의 예고편이 될 것입니다.조금 더 당의 대응을 두고 보겠지만 저는 무기한 지지철회도 생각중입니다.초선 5적과 대선? 말이 안 나옵니다.', '특혜를 없애고 공정경쟁하게 하면 되는 겁니다.그리고 나이드신 패미니스트님들 입단속도 중요하죠.이번 보궐이 성인지 감수성을 학습할 기회라는 말을 하는 게 정상인가 싶기도 하고.', '운이 좋으셨네요.저처럼 마이너스여서 못팔고 강제존버하는 사람도 있땁니다.포스코는 2년 존버했는데 얼마 전에 수익나서 매도했어요.장기존버하면 매도해도 별로 미련 안남더라구요.']"
"community
in comu",대통령,1,"['갑자기 이유도 없이 자기 기분 나쁘면 남들 무시하는 큰형님 생각나서 분노가 치밀더군요.진짜 사람들 앞에서 어떻게 저렇게 사람을 무시하죠.둘다 다시 안보고 싶어요.', '어제 얼마나 쌤통이었는지 몰라요. 그래도 여기 지지자들 아직도 정신 못 차리네요자기들과 의견 다르면 무조건 알바 토왜 일베 노래 부르고 참 손꾸락 이것도 빼 놓을 수 없죠', '학군지역 아이들 학력수준이나 패턴을 보면 고등 입학전 3학년 수능 1등급 찍고 들어갑니다.이 방식이면 학군 비학군 양극화 심화되겠죠.']"
"community
in comu",나라,1,"['온라인에서는 젊은 여자 얘기가 많더라구요개인적으로 젊은 남자들이 잘 비키는 것같긴 해요아저씨들은 일부러 가까이 하는 경우가 많아 제가 멀찍이서부터 양보합니다', '윗님 부쉐론 사고 저도 티파니 티스마일 예뻐 보여서 상태좋은 중고로 들였어요. 티스마일은 셔츠류 입을때 너무 예쁘던데요? 부쉐론과는 다른 예쁨이 있죠 멋지게 착용하셔요', '2030대는 저런 부조리를 개혁하는 민주당을 기대하며 표를 줬지만 민주당의 병신짓을 보고 개혁에 대한 기대는 접고차라리 자신이 저런 부류에 들어가는 게 낫다고 맘이 바뀌고 있습니다']"
"community
in comu",개혁,1,"['끝까지 문통 그런 기준들을 하나씩 들이 대면 세상에 같은 것은 하나도 없을 거에요. 그럼 애당초 다르다 고 놀랄 필요도 없고 해결해야 할 문제도 없죠.', '펭러뷰 훈계라 들렸다면 죄송합니다.힘든 애들한테 무식이니 생각이 없다느니 지껄이는 사람들 때문에 쓸때없이 오바했네요.다시 한 번 죄송합니다', '의견 감사합니다. 제가 기사 검색해 보니 선거 전에 이미 정당심판 후보자질이 20 씩 넘게 가장 큰 이유였습니다.']"
"community
in comu",가능,1,"['냅두세요. 입고싶어서 입은걸. 오늘 동네산에 올라가니 50대 아줌마도 레깅스입고 위에는 등산잠바 입고 왔어요. 무슨패션 조화인지 모르겠지만 입는건 자유이니', '총수감사 ㅠㅠ우리가 여론 만들어서 정경심 교수님 하루 빨리 보석으로 나오게 해드리고 진실을 제대로 알릴 수 있게 해드려야죠', '애월쪽 오늘 가능하면 여기 가보세요 제친구 떡방 전화했더니 시식하실려면 오늘 오셔도 된답니다 모든재료 제주산이라 담백하고 맛있어요 전화하고 가세요 종류별로 맛볼 수 있어요']"
민주당,지지자,2,"['용형 목표가 50살까지만 엔터사장하고 그 이후 회사는 다른 이에게 넘기고 남은 재산 싹 정리해서 무료급식 봉사로 남은 평생 벌은돈 쓰는 거라고.진심 대단한 마인드인거 같음 .', '정직하고 깨끗한 정치인 안맞아 겠죠.만약에 민주당 측 인사로 부터 이런 발언이 나오면 그사람이나 관계된 사람은 정계은퇴 또는 그에 준하는 상황이 되었겠죠.', '이노미 해먹을라고 작정했구먼스마트워치 6개째 쓰는 저로서는 지가 어떻게 사람들의 취향을 파악할 수 없는 건데.전시민을 준다 고.이건 백퍼 사기 또는 해먹기죠 야 이노마']"
민주당,선거,2,"['대천사님 httpswww.clien.netserviceboardpark14174975clienhttpswww.clien.netserviceboardpark16004254clien', '저는 뒷모습중에삼각형 팬티뭔지 아시죠?그거 보이는 게 참 보기 싫어서.그거좀 안보이게 만들순 없는지.백바지얇은거나 얇은바지는 가능하면.좀.안입으려고진한색 입으려고 합니다.', '두바이왕서방님 욕망을 표출하던 사람들만 피해를 볼 수 있다면 모르겠는데 부동산 시장 규모상 부동산이 경착륙폭락 하면 온 국가 경제가 파탄지경에 이를 수도 있어요.']"
모르다,정치,2,"['김용민은 얼마 전에 더 이상 나꼼수가 아니라 선언했고 선 그었어요원글이 정체가 뭐에요?이낙연 사면론 주장 후 맛간 거 아는 사람은 다 알아요22', '당연히 알죠 냄새도 촉감도 다를텐데요 아이둘다 모유수유했었는데 모유먹다가 올려다보면서 웃던 모습이 지금도 눈에 선해요윗님 말씀대로 한 달만 그때로 되돌아가고 싶네요', '재건축 되는 집은 새로 짓는 집이니 새로운 시세가 형성된다.난 그걸 안올리도록 조정.기존 5억 재건축 후 15억?']"
모르다,국민,2,"['두바이왕서방님 욕망을 표출하던 사람들만 피해를 볼 수 있다면 모르겠는데 부동산 시장 규모상 부동산이 경착륙폭락 하면 온 국가 경제가 파탄지경에 이를 수도 있어요.', '보복의 시님 이낙연이 똥볼러라는 것도 들통났고 많은 것들이 들통났죠. 성과가 없었다고 는 할 수 없습니다.', '내부 적이 이래서 무서워요트로이목마 이야기도 있지요얼마든지 민주당 초토화시킵니다 안희정 박원순 조국 여권주자들 다 날리고 이낙연 날렸다 고 투표지고도 좋아서 죽던데요 22']"
모르다,정부,2,"['게임 스트리머들 정말 이렇게 합니다.찐팬들은 풀영상까지 보는 거고대부분 510분 정도로 일하다 쉴 때 보거나 밥먹으면서 보거나 하거든요 제가 그렇습니다', 'gogo햇님 그리고 상대방이 있는 경쟁에서 점으로 승패를 논하려면 양쪽의 점괘를 다 뽑아서 비교해보는 편이 낫다고 봅니다', '저는 찬성. 아기낳는거랑 비교할건 아니죠. 아기를 강제로낳나요? 자기들이 좋아서 원해서 낳는거지. 군대는 제일 좋은 시기에 강제로 가서 봉사하는 거잖아요. 제대로 대우해줘야죠.']"
모르다,이야기,2,"['냇시조니 동교동계는 설훈하고 김한정 정도이고 이사람들도 승산 있는 사람한테 가죠 이들도 범 정세균계고요 동교동계는 사실상 없는 거나 마찬가지죠 정대철 입당 불허', '엇그제 박유하도 언론이 왜곡해서 과도하게 비난 받는다는 의견도 보이더군요.저런 인간들이 학생들에게 지식을 전달해도 되는 건지 정말 모르겠습니다.', '화딱지 나서 찬찬히 본적이 없음 간혹 착한 외국 신부도 있긴 하더만 진짜 간혹이고 대부분 싸가지 없음 지 입장 밖에 모름 외국며늘 들이는 시부모들도 대부분 똑같고 안봄']"
보이다,모습,2,"['이건 무상급식 주다 안주는 거와 같습니다 시작한 이상 계속 진행되지 않으면 욕먹는거고보편이 아닌 선별로 가면 없던 상대적 박탈감이 새로 생기는 겁니다', '네. 규칙이 있음 그 규칙을 따라야죠.입사한 지 얼마 되지 않아서 사용할 수 있는 연차가 없어서 우짜든지 퇴근후 가려고 했는데 다른 가족이랑 상의 해 봐야겠어요.', '그 용감한 형제 라는 사람이 그렇게 나쁜 사람이었다고 하던데용. 10대에 이미 전과가 몇범이었고 나쁜짓 많이 했다고 해서 곱게는 안보여요. 브걸이 그래서 더 안쓰러워요']"
보이다,필요,2,"['붕어빵냠냠님 발망치때문에 시끄러워서 올라가서 대화하는 도중 윗윗집의 발망치소리가 크게 나고 있는 걸 와이프 와 통화하면서 그동안 들었던 소리가 윗윗집인걸 알았습니다.', '기이임밥 오잉 제가 비추드린 건 아닙니다.저는 적극 공감합니다.다만 여러모로 게임이 비주류 취급을 받기에 공론화를 먼저 시키는 게 중요하다고 생각했습니다', '바부 그렇군요. 제 공부가 짧아서 좋게만 봤습니다. 님의 말씀대로 이번 선거의 패배가 다음번 대선에 좋은 결과를 이끄는 희생양이 되었으면 좋겠습니다.']"
감사,정보,2,"['내란죄 급의 범죄자 아이들 밥 안 준다 며 시장직을 던져버린 무뢰한 그러면서 지네 집안만 잘 먹고 살겠다 며 투기에 열올리던 자를 시장에 앉힐 수는 없죠. 8시까지 고고', '깜깜이라고 하는데 깜깜이가 아니라 서요. 지금 고딩들은 꽤많은 외부요소가 제한안되는 거 투성되어 있고 내신성적과 생기부기록그것도 외부요소가 상당히 제한된만갖고도 순위가 매겨집니다.', '원래 안좋았던 기억이나 상대의 약점 등에 대해서 선뜻 말꺼내지 않는 게 예의인데.윗님 손절 잘 하셨네요. 기미가 보이면 빨리 손절해야지 상처받다가 너덜너덜할때까지 둘 이유 없어요.']"
감사,댓글,2,"['httpwww.goodmorningcc.comnewsarticleview.html?idxno249879조국사태 는 최성해의 정략적 거짓말 이 불씨국민의힘 공천설?', '벤츠가 별껀가요 나도 그에 대한 환상으로 구입했지만 차 별것없던데 모르긴해도 내가 진작에 주식을 시작했음 전에타던차 고쳐가며 평생을 탓을꺼란 차살돈으로 한주라도', '지더라도.유의미한 득표율이 나올 것 같긴합니다 전통적 민주당.강세 지역을 아직 개표도.안한 상황이라고 하니']"
감사,말씀,2,"['국내 주식 늘린다던 연기금 뒤에선 곱버스 에 연일 베팅httpwww.newsway.co.krnewsview?tp1ud20210 4 15 15351623794', '지금 일부 초재선들 본색드러내는 거 보면.차라리 고인물이 낫다고 생각합니다. 검찰 출신 몇몇은 교체하는 게 나을 지 몰라도 김종민 등등은 괜찮다고 봅니다.', '러시아백신을 왜 시노백에 비교하는지 이래도까고 저래도까고부동산으로 까대더니 오세훈이가 더 올릴거같으니 부동산은 오세훈효과라고 하지 않나흥 니들이 그렇지']"
감사,마음,2,"['저도 프리랜서로 일하는 데 계약서 쓰는 거 있고 안쓰는 게 있습니다. 세금계산서는 발급하지만 요. 구두계약을 계약으로 안보는 거 자체가 좀 미친거 같아요. 깔 게 오죽 없었으면.', '벤츠가 별껀가요 나도 그에 대한 환상으로 구입했지만 차 별것없던데 모르긴해도 내가 진작에 주식을 시작했음 전에타던차 고쳐가며 평생을 탓을꺼란 차살돈으로 한주라도', '스티봉님 저도 위에 댓글은 길게 썼지만 저런 답변은 반발이 강하니 회피성으로 하는 소리고실제 속내 추정은. 말씀하시는 시각에 동의 합니다.']"
언론,검찰,2,"['공공임대주택 파격적으로 늘려서 자산으로써의 부동산 시장과 생활공간으로써 부동산을 분리시켜야 한다 생각합니다. 싱가포르가 그렇게 한다고 하더라구요.', '가정주부인데도 자주 해먹는 음식이 아니면 밀키트 선호합니다.밀키트는 배달보다 저렴하되 맛있으면 될 것 같아요.대신 쓰레기 좀 줄이는 아이디어가 있으면 더 좋겠어요', '파랑주의보님 저는 kfc 타워버거 였습니다. 고딩 때 타워버거에 비스켓 먹으면 얼마나 맛있던지']"
의원,대표,2,"['일단 전원 끄고 위에쏟은거 다 닦고 분해해 봤는데 다행히 기판까지는 안내려가고 키보드 선에서 막힌것 같네요. 일단 다 말려보고 키보드 죽으면 키보드나 갈러 가야겠습니다 ㅠㅠ', '어느 정도의 프로그래밍을 생각하는지 몰라도 수학적사고가 없어도 가능한 부분이 있습니다 다만 수학적 사고력이 질 좋은 프로그래밍을 가능케 합니다.', '서울시 의견은 잘 들었으니 정부는 하던 대로 열심히 합시다. 들어 줬으면 됐지.']"
의원,초선,2,"['운이 좋으셨네요.저처럼 마이너스여서 못팔고 강제존버하는 사람도 있땁니다.포스코는 2년 존버했는데 얼마 전에 수익나서 매도했어요.장기존버하면 매도해도 별로 미련 안남더라구요.', '게으르다 책한 권후드려팬거죠 그래도 생각해서 살살팬건데책한권 읽은놈이 제일 위험하다 이 의미를 알면싸대기 후려 쌔린거죠', '승패 관계없이.쎈걸로.이 언론이란 탈을 쓴 조폭들에게 맞설 수 있는 법을 선량한시민들에게줘야죠.조민씨 뒤 못 따라 다니게100배짜리최소 10억 짜리로']"
의원,박주민,2,"['일단 전원 끄고 위에쏟은거 다 닦고 분해해 봤는데 다행히 기판까지는 안내려가고 키보드 선에서 막힌것 같네요. 일단 다 말려보고 키보드 죽으면 키보드나 갈러 가야겠습니다 ㅠㅠ', '빡고양이님 네. 아마도 여러 개솔중에 그런 말도 뱉어내긴 할겁니다. 그러니 걍 귀 닫고 백정이 돼지 목 따듯이 개혁 해야 합니다.', '이런 통계가 나오니까 억지로 뭐라도 하려고 남자 는 대신 자기 가족들이 하려고 하면 반대함 소유물로 보는 것이라고 하네요']"
의원,김용민,2,"['eothd님 빨갱이놈들이 무슨 정책을 펼치던 알 바 아니고요. 우리편이라 생각한 민주당이 같이 구니까 정의고 지랄이고 대봐라 하고 빨갱이당 뽑았나보죠.', '대깨문 문파 어쩌구는 저 빨간당 사람들이 쓰는 말이잖아요. 빨간당으로 옮겨가면 되지 국민들이 반발하니까 지들이 집주인 행세함 . 그러다가 국민들한테 역풍 씨게 맞는다??', '전 이번에 2 30대들 저 득표는 정신차리라는 질책의 의미로 봅니다 이걸 공격의 의미로 보고 공격하는 순간 10년 야당짓 해야죠 이제 다시 질책받고 잘할때입니다']"
대통령,문재인,2,"['갑자기 이유도 없이 자기 기분 나쁘면 남들 무시하는 큰형님 생각나서 분노가 치밀더군요.진짜 사람들 앞에서 어떻게 저렇게 사람을 무시하죠.둘다 다시 안보고 싶어요.', '네. 규칙이 있음 그 규칙을 따라야죠.입사한 지 얼마 되지 않아서 사용할 수 있는 연차가 없어서 우짜든지 퇴근후 가려고 했는데 다른 가족이랑 상의 해 봐야겠어요.', 'gif문주시 도해원 의원님할머니인데 이쁨.나이들어도 예뻤던 배우가예전에 전인화 김희애 한고은 정도밖에 없던걸로 기억합니다. 아래는 60대 일본 여배우']"
대통령,노무현,2,"['갑자기 이유도 없이 자기 기분 나쁘면 남들 무시하는 큰형님 생각나서 분노가 치밀더군요.진짜 사람들 앞에서 어떻게 저렇게 사람을 무시하죠.둘다 다시 안보고 싶어요.', '그다지 추천작은 아닙니다. 마지막회를 보며 오랜만에 욕이 튀어 나왔네요. 작감 역량이 아쉬웠습니다. 그리고 cg퀄리티도 도무지 돈 200억을 어디에 쓴건지 모르게 허접합니다.', '2700x이면 cpu만 바꿔도 20 80ti라면 게임 프레임은 엄청 튈것 같습니다 다만 해상도가 4k가 아니라는 가정하에요']"
대통령,이재명,2,"['12 4님이게 작은 일로 보이세요?180석 가진 여당 대선후보일일수도 있는데요?쉬쉬해야 좋은 당.좋은 나라 되는 겁니까?님에겐?', '김현 화장실 갈때하고 나올때 다른 것들 불법을 눈감아주면서 동후니 한명숙사건을 어떻게 해결하겠다는 건지 면도칼도 안들고 적폐를 청산하겠다는 들', '민주당이 싫었다 저는 그렇게 생각합니다할말은 많지만 더 하진 않겠습니다 민주당 지도부하고 국회의원들은 내일이 없다는 생각을 가져야 할 겁니다.']"
대통령,동일,2,"['whoracle 사실 스타트렉은 전쟁 드라마가 아니거든요.극장판은 짧은 시간에 많은 걸 보여주다 보니 전투장면에 할애를 많이 하지만 드라마는 말 그대로 드라마를 보여주다 보니.', '그러고서는 문제될 만한 사항 지적하면 국장 전결 주장해서 이해충돌 문제와 책임 문제 회피하고 본인은 빠져 나가려는 모습 1년여 임기 동안 또 다시 선 보일 수도 있겠지요.', 'nojap머슬링님 자기가 만든거라고 하기도 애매하긴 합니다. 블링크엔진은 구글이 애플의 웹킷을 포크해서 만든거고 웹킷은 kde가 만든 khtml을 포크해서 만든거니까요.']"
나라,미국,2,"['차량번호 341로 시작하는 차들이 4호선으로 갈 차량들이 지요. 1호선은 311로 나가구요. 1호선 차 중에도 구형이긴 하지만 4호선으로 넘어가서 뛰던 칸이 있었지요.', '윗님 부쉐론 사고 저도 티파니 티스마일 예뻐 보여서 상태좋은 중고로 들였어요. 티스마일은 셔츠류 입을때 너무 예쁘던데요? 부쉐론과는 다른 예쁨이 있죠 멋지게 착용하셔요', '바로 눕는거랑 옆으로 눕는거중 어떤자세가 무리 안갈까요 그리고 허리는 왜 아픈건가요갑자기 바닥에 손을 짚고도 일어나기가 힘이 드네요남이 보면 꾀병인줄 알겠어요 ㅜ']"
나라,일본,2,"['알퐁스 도데 증언 나와도 전혀 보도를 안 하고 막습니다 그리고 지들 선수 시켜서 떠들게 하고 그거 방송 신문에 내서 문정부 무능이라 씨부리며 선동합니다 당연히 국민은 또 속죠', '메주가루인지는 몰라도홈쇼핑같은데서세트로 파는데물까지 다 오는 재료 부어서 섞으면 되는 거 팔잖아요.그거 찾아서거기 오는 재료를 봐가면서양 에 따라 비율 해서 만들면 안 될라나요?', '새누리 양아치들이 놀러가서 교통사고 난건더 왜 국가에 책임을 요구하냐고 gr떨었죠.저들은 인간도 아니에요. 그때 어벙하게 서서 변호사했던 박주민 의원.좀 더분발해주길 바랍니다.']"
나라,중국,2,"['민변출신이면 뭐 어쩌라는 건지 모르겠네요. 정의감 있다? 진보진영이 다? 모르겠네요.당장 서울시장도 민변 출신인데', '범죄는 얼마나 쉽냐 보다는 얼마나 잡힐 가능성이 높냐가 결정한다고 하더라고요.요즘 길거리에 떨어져 있는 카드 아무도 안 줏어가요.대부분 잡히는 거 아니까.', '본문이 무슨 의미인지 잘 이해가 안가지만 출입자 명부 제대로 작성하지 않는 업장을 보게 되시면 지나치지 말고 신고를 부탁드립니다.2단계 격상 중인 마당에 제 정신이 아니군요.']"
개혁,대선,2,"['전세 담보 대출 때문에 대출 한도까지 전세금도 올려버리고 전세 낀 갭투기도 만연했죠. 임대료 부담을 낮춰주려고 한 제도인데 주택 시장을 뒤틀어버렸네요.', '펭러뷰 훈계라 들렸다면 죄송합니다.힘든 애들한테 무식이니 생각이 없다느니 지껄이는 사람들 때문에 쓸때없이 오바했네요.다시 한 번 죄송합니다', '그럼요. 선비정치 청산해야죠. 적폐청산 앞장서온 도지사님이니까요. 작성자 crystals 20210409 2024']"
개혁,조국,2,"['좋은 글이라 생각합니다.전공자의 시선이라 그런지 이해하기 쉽게 풀어서 잘 쓴 글이고 공감이 가네요이번 기회에 민주당이 정신 번쩍 차리고 변하길 바랍니다', '저는 봉하쌀 오분도미만 먹습니다. 현미만 먹기엔 잘 안넘어가서 오분도미 먹고 있는데 건강도 챙기고 맛도 챙기고 굿입니다', '이낙연 패거리는 이재명만 떨어뜨리면 자기들이 대권 잡을 것같이 생각하네. 지금은 딱히 방법이 없어 보이지만. 내가 니들 뽑을 일은 없다.']"
개혁,입법,2,"['음주운전으로 아이를 죽게 해놓고 8년형이 무겁다 고 항소를 해?무기징역을 때려야 하는데판새들 초범이고 잘못을 반성한다고 정상참작 하겠지? 버러지들', '무슨 연예인에 대해 네거티브한 글만 올리면 고소한다느니.저는 그런 사람들이 더 의심스러워요. 소속사같아서.연예인은 칭송만 해야 해요???', '저 아파트 앞에가서 대리수령후 개별배달해 주는 업체를 하나 차리서배달은 다마스 같은거 구해서 하고 건당 를 받는 거죠배달알바보다 이거하는 게 더 이익이지 않을까요?']"
개혁,민생,2,"['ㅡn할많하않 ㅡ 맞습니다. 대의원제를 빨리 고쳐야 합니다.한표면 똑같은 한표고 똑같은 영향력이 있어야지 아오', '우량주 위주로 적금보다 조금 더 수익난다 마음가지고 편안하게 생각하면 벌어요.근데 수익 크게 낼 생각하고 들어오시면 너무 고점이에요.', '문재인 대통령 지지층이 콘크리트이지지들 지지층이 콘크리트 라고 착각하는 군요.그만 착각에서 빨리 벗어나는 게 민주당을 조금이라도 빨리 살리는 길입니다.']"
