,pos_words,count,documents
0,감사,12358,"['ㅣ아스트라ㅣ님 일단 그런 경우는 아이폰에서도 동일하더군요. darwin kernel 의 특성인가 싶기도 한데 폴더명을 영어로 잘 만들어 놓으면 그런 경우가 적은거 같긴 합니다.', '백수건달한량 제가 돈많은 부자라면 현 뉴스 공장 공장장 한테 회당 최소한 5천만 주고 싶습니다. 트럼프 정도 부자라면 쎤하게 1억으로 통크게', '울산 선거개입 무혐의 속보조국 임종석 이광철 무혐의httpmobile.twitter.compatriameastatus1380400145179668483?prefetchtimest.']"
1,친구,4681,"['님 봐봐요. 조리돌림해서 입틀어막는거지 무슨 의미가 있습니까?제가 말한 그 모습 자체잖아요. 대화 자체를 원천봉쇄 작성자 심야너굴', '노사장인가 하는 분일것 같네요. 지오메트리 운운하시면서 난잡한 유튭으로 가길래 차단해버렸습니다 오직 오토뷰만 보고 있습니다', '대만 tsmc 공장 6시간 가량 정전.반도체 수급 악화 예상httpsnews.v.daum.netv20210415120555649 정전 지진 가뭄산업용수부족 다시 정전']"
2,지지,4253,"['대천사님 httpswww.clien.netserviceboardpark14174975clienhttpswww.clien.netserviceboardpark16004254clien', '정말 힘드네요. 저런 비리자들을 둘씩이나 당선되게 하다니요. mb의 재림을 보았습니다. 속상해서 딴게 안왔어요. 지금도 마음이 공허하고 여러모로 그렇습니다. ㅠㅠ', '엠팍도 여느 커뮤니티들처럼 주류의견에 반 하면 다굴이 맞는 건 똑같긴 하죠.그리고 신고 되는 비속어가 있어서 그 비속어 피해 조롱하는 기술이 진짜 대박임']"
3,좋아하다,4228,"['님 그들이 40년 넘는 기간 동안 국짐에만 투표할거라는 보장은 있나요? 지금은 반문 프레임에 씌여져서 무조건 민주당은 안찍는다지만 언제 또 바뀔지 모릅니다', 'httpm.bobaedream.co.krboardbbs viewbest416 14624 접종 후기라 정보차원에서 퍼옵니다 모두에게 도움이 되길 바랍니다', '추암님 일본에서 운행되는 차량은 운전석이 오른쪽에 있습니다. 차선 방향이 우리와 반대에요쓰고보니 그러네요 미국 직수입차 아닐까요?']"
4,괜찮다,3798,"['2030대는 저런 부조리를 개혁하는 민주당을 기대하며 표를 줬지만 민주당의 병신짓을 보고 개혁에 대한 기대는 접고차라리 자신이 저런 부류에 들어가는 게 낫다고 맘이 바뀌고 있습니다', '스페로 열린 공감tv에서 20대 남녀 초청해서 듣는 방송을 어제 올린게 있는데 들어볼만 합니다. 그런 식의 소통방법도 필요하고 오늘 꾹변이 하는 방법도 필요하고다 하면 좋죠.', '날아오르라님 그래도 유리합니다 갈등이 심해질 수록 고정표의 가치가 올라가는데 보수가 고정표가.더 많거든요 애시당초 진보안에서 페미반대 목소리가.나왔다면 여기까지 오지도 않았죠']"
5,사랑,3628,"['이번달엔 그냥 공짜로 주네요원래 신한플러스에서 매달 주다가언젠가부터 그냥은 안주더니.이달은 주네요이번달 말까지니까 까먹지 말고 쓰세요', '페페론치노님 지금 주문을 받을 수 없는 상태인 것 같긴합니다.혼란스럽지 않게 실제 주문 가능한 시간도 표시해줬으면 좋겠네요.그럼 이렇게 배고픔을 참아가며 기다리진 않았을 텐데요', '용형 목표가 50살까지만 엔터사장하고 그 이후 회사는 다른 이에게 넘기고 남은 재산 싹 정리해서 무료급식 봉사로 남은 평생 벌은돈 쓰는 거라고.진심 대단한 마인드인거 같음 .']"
6,이기다,3553,"['저번 전당대회 보니까 이낙연 대표 대의원들로부터 엄청 지지 받았던데 권리당원 비율을 높여서대의원들보다는 권리당원 의견이 더 많이 반영될 수 있도록 바꿔야 하지 않을까요???', 'summilux님 6급 이하 공무원은 전부 주무관으로 통일해서 부릅니다. 현실에서 만나는 공무원은 그냥 다 주무관이에요. 직책 맞춰서 불러주는 거가 아니고 그냥 다 주무관이라구요.', '위로받네요ㅡㅡ큰애데리고 사전투표 했거든요여기 50대부터는 진짜 솔직히 말이 안통해요오늘 오후에 30대 부부로 보이는 데둘다 파란 옷 입고 투표장 가더라구요']"
7,최고,3323,"['똥똥이후님 httpswww.clien.netserviceboardpark160666 21clien 제가 오늘 작성한 글입니다. 기회가 되시면 한번 읽어주세요.', '돌이켜보니애가 어릴 때 기관에 가기 싫어하면 안보낼껄 후회했어요 그냥 더 정서가 안정된 아이로키웠어야 되는데 지금도 그게 안되니까 중3인데매일 불안해요', '예전 아이돌 사생팬은 명함도 못내밀게문재인이라면 닥치고 최고라고 하니 뭐 신도 아니고 이젠 그냥 웃고 맙니다.그러던지 말던지 이젠 대선 때 뽄때를 보여주마 하고 벼르게 되네요22']"
8,고맙다,3219,"['조선일보 논리대로라면 만약 안철수가 뭔가 되면 공공기관에선 안랩 전부 퇴출 되야 하는 건가요? 보니까 저양반은 다 정리하고 지분도 없는 것 같구만. 안철수는 아직 지분 많을텐데.', 'httpsyoutu.begdpogdffayo 상록수 마지막 구절을 부르는 데.걍 전체 다 불렀어도 좋았을 거란 생각이 들었네유올린지 얼마 안되서 화질 처리되는 데는 시간이 걸려유', '인정하고 싶지 않겠지만 선거 결과가 수치로 딱 말해주니 현실이 그런 걸 어쩌겠어요 82 에서 1당 100하며 이렇게 몰려다니는댓글 부대들 이제 이빨 빠진 호랑이네요']"
9,이쁘다,2581,"['맥주 마시며 지인들이랑 온라인 축배들고 있네요 역시 대깨들은 남의글댓글에서도 입만 열면 반말에 쌍욕에. 사필귀정이에요.버러지쓰레기들 원래 있던 곳으로 돌아가야죠. 너무 사이다 에욬', '이기라고 경고한걸. 협치 뭐. 이런 걸로 생각하나봄. 미쳤나봄. 그거라고 촛불정국만든줄 아나벼. 이기라고 제대로 싸우고 성과를 내라고. 싸우지 말고 이기라고.', 'bekindbegentle 10대 영향은 훨씬 큽니다.그래도 10대는 정권재창출만 잘하면 붙잡아 놓을 수 있을 겁니다.일자리문제가 해결될 조짐을 보일때 취압전선에 들어갈 세대리']"
10,정상,2542,"['밥 먹으러 가야 하는데 커리가 이세상 플레이가 아닌 걸 계속 보여주고 있어서 못 가고 있습니다.3쿼터도 안 끝났는데 45점 3점 9개 . 헐 밥 좀 먹자 커리야', '위에도 적혀 있지만 정말 이기적으로 행복하시길 진심으로 응원합니다.이혼을 하루에도 수십번을 생각하는 애 하나 아빠', 'pacman님 전체 평균의 함정입니다. 사실 고가 주택 또는 상위 20퍼센트 주택가격 동향 또는 수도 권역내 비교만 해야 맞을것 같습니다. 역시 정확한 지적해주셨네요.']"
11,기대,2496,"['이준석 하태경이 그 블루오션에 열심히 밭갈고 있었죠. 180명 중에 20대 남성 목소리 대변하는 사람이 하나 없다니. 청년대표위원 몫으로 뽑아 놓은 사람은 조국 탓이나 하고 있으니', '집 없는 사람들은 너무 올라가는 집값 때문에 빡쳐서집 있는 사람들은 자기 집값 떨어질까 겁나고세금 한푼이라도 더 내기 싫어서 의 합작품이죠', 'httpswww.aladin.co.krmmproduct.aspx?itemid125394118전 실물로 다 가지고 있어서 안사겠지만.달리실 분들은 달리세요4월 28일까지 입니다.']"
12,멋지다,2464,"['이미 했어요 안알려져서 그렇죠다만 개인정보 유출때문에 정보를 퍼블릭 체인에 못 싫고프라이빗으로 내부 구성하기 때문에 장점을 못살리고dbms 보다 무조건 느려서 가치도 줄어들었죠', '저가매수로 수익권에 있는 주린이에요.오늘보니 무섭게 빠지던데뭘사두면 좋을까요?sk하이닉스lg네이버 지켜보고 있는데 하이닉스 들어갈까요?종합선물세트같은 날 이라 고민되네요.', '오늘 계속 쓱하고 들고 나오시는데 오늘도 진리에 거봐 내말이 맞지 처럼 이것도 이작가 말이 맞을것 같네여이재명계라고로 이작가보다 더 기량을 키운다음 반론하시면 인정']"
13,배우다,2449,"['또먹어님 임산부 인데도 자리 안 비켜주는 여성분 봤습니다. 미안해 하시던 분도 보고. 자리 안 비켜 주던 여성이 더 많았고.자리 안 비켜줘서 비켜준 적도 있었고요', '트럼프가 똘x이인건 맞는 것 같은데 적어도 우리나라 기준으로는 더 나았던 것 같은 느낌이네요.', '이게 정답입니다.그렇다고 국힘당찍냐? 라는 말은 필요가 없습니다.인국공도 페미도 부동산도 당장 체감하는 이슈지만대의적인 이슈는 체감이 안 되는 것이니 당연히 반발이 있을 수 있죠.']"
14,인정,2418,"['학점관리 잘해서 보건교사 자격증까지 따면 더하죠. 보건교사 자격증은 교대원에서 주는 데도 없고 요즘 보건교사 기간제든 정교사든 많이 뽑더구만요. 12년 임용공부하고 교사되던데요.', '입사의지는 취업자에게 있는 건데 그게 무승 뚱딴지같은 소리인지. 그쪽이야말로 협박으로 신고 가능할 모양새이니 이상한 얘기 하지 말아야죠. 그런 게 있으면 사전이 고지를 하던가.', '똑같이 해줘보세요.엄마나 아빠가 사온거 딸아이는 주지 말고요.너도 니가산거 너혼자만 먹으니까엄마 아빠가 사온거 먹지 말라고 하고 주지 마세요.당해봐도 못 느끼면 답이 없네요.']"
15,맛있다,2331,"['맞습니다 거의 다 해놓은 과제들 밀어붙혀야 합니다. 그게 지지부진한 판에 lh가 터지고 페미논란 터진 것일 뿐이지본론은 검찰언론 개혁이죠.', '저 오늘 앗치메고 돌아댕겼어요. 무거워 그렇지 앗치만한 이쁜 가방도 별로 없는 것 같네요. 루이가방 중에서는 개인적으로 앗치가 젤 마음에 들어요. 제눈에는 고드 보다도 이뻐요', '그렇죠고작 1년짜리 시장직 내어주고 언론개혁 드라이브가 걸린다면 그게 훨씬 이득이 맞습니다 정신승리나 자위도 아니고요문제는 그렇게 안 할거 같다 라는 점이 절망적인 거죠']"
16,능력,2093,"['지금 다시뵈이다 를 보면서 홍영표 의원님 말씀을 하시는데 코로나 보편복지를 해야 하냐고 총수님이 물어보니까 대답을 안 하시네요. 원래 그런 건가요. 어렵네요ㅠ', '도대체 언제건지 기억도 안나는 메모리 스틱 16메가 지금 쓰는 데스크탑 ram도 32기가인데. 16메가면 요즘엔 이미지 몇장 저장 못하네요. raw 파일은 한장도 택도 없고요', '이공계면 노트북 좋은걸로 사세요. 프린터복합기 스캔너도 좋은걸로요.']"
17,편하다,2086,"['지금 보니까 손고모님 말씀이 다 맞았네요. 민주당 내에 썩은 부위가 심하게 곪아 있었다는 암시를 여러 번 주셨는데 어떤 사람들은 무작정 손고모를 깠었죠. ㅜㅜ', '에피네프린님 청원을 국힘에 하지도 않았고 얘네가 만들지도 않았어요.그리고 지금 민주당이 과반석 챙겨갔지 국힘에 챙겨간거 아니잖아요.180석의 무게란 말은 이런데서 필요한 겁니다.', '참 대단하네요.백신은 12 낮아서 불안하니 뭐니 제대로 확인도 안된 정보를 가지고 소설을 써대더니신속진단 키트는 일반검사보다 결과율이 한참 낮은데도 기사라고 내는거 보니.']"
18,행복,2043,"['머리 나쁜 여자들이 자기 자식들 자기처럼 공부 못 하는 건데 왜 저리 잡는지.저렇게 괴롭히느니 한 대 맞는 게 낫지.', '전 좀 생각이 다릅니다. 이번 경선때나 좀 사이다 스러웠지 평소엔 안 저럽니다. 그리고 폭탄주마시다 좃선한테 걸리기나하고.', '단원갑 시민입니다 가끔 문화광장 가면 의원님 사무실괜시레 한번 보곤 합니다 시작이 늦고 오해로 부산스러웠는데 의원님 진심이 많은 국민들과특히 10 20 에게 전해지길 바라겠습니다']"
19,빠르다,1949,"['네. 부산 떨며 휩쓸려들어가면 꼴만 우스워지요. 저러거나 말거나 냅두십시오. 그냥 팩트로 국짐당 청년정책 청년입법 세 가지만 말해 보라고 해야죠.', '아닌지가 아니라 이번 재판은 명예훼손에 관한 거래요.아직도 마약하냐 조롱하고 연애 사를 허언증이라 모욕한걸로트윗으로 올린 조롱글도 떠돌던데이번만큼은 김부선씨 화이팅입니다', '하태경 같이 제대로 긁어주는 민주당 인사가 한명도 없었다는 게 너무 크네요. 열린 민주당이 그나마 그 역할을 하긴 하는데 너무 의석수도 적고 영향력이 작다보니.']"
20,재미,1863,"['클릭질 유도를 위한 자극적인 양념 같은데요? 저교사가 도우미 투잡을 뛰지않은 이상. 물론 이시국에 거길간게 직업상 적절하지는 않네요', 'ssonhong 엄중이이나견 얘기죠. 똥파리들이 미는 엄중이 당대표되었지만 그저께 재보궐선거는 이미 패배예감였어요. 그러니 참패로 결과나왔죠.', '10원짜리 저는 그 일들로 혜택을 볼 수가 있었어서 절실했습니다 . 하지만 그 일은 이제 폐지되겠죠 damn단순 경고이길 저도 희망합니다 민주당이 입법으로 보여주기도 희망하고']"
21,도움,1846,"['그날아침 늦은 출근을하면서 본 뉴스 참 이게 뭔가 싶었던 날들 진실이 밝혀지는 날이 빨리 왔으면 합니다. 올초 목포가서 찍은 새월호의 모습입니다.', '크리미널마인드님 검찰 기소권 마음대로 못 휘드루게 할 수 있는데 민주당이 너무 질질 끌어왔어요 기소 권력 나누고 기소배심원제 등 도입하고 등등 검찰 기소 독점제도를 고쳐야죠', '180석을 엄중씨가 다 말아 먹었지만 우리 대통령이 직접 돌파구를 마련해 주시지 않을까 기대 섞인 희망을 가져봅니다.언제나 그래왔던 것 처럼 말이지요.']"
22,이익,1475,"['새누리 양아치들이 놀러가서 교통사고 난건더 왜 국가에 책임을 요구하냐고 gr떨었죠.저들은 인간도 아니에요. 그때 어벙하게 서서 변호사했던 박주민 의원.좀 더분발해주길 바랍니다.', '당신네들 기준으로 20대 일베 수꼴 한남충이자 고학력자이며 전문직인 내가 봤을 때는 당신들이 우리한테 무식하다고 시부릴때 이라도 꺼내는 것부터 자기 얼굴에 침뱉는겁니다', '폭스바겐 제타는 어떠세요??준중형이고 3000 정도면 구매 가능한 걸로 알아요휘발류고 연비도 괜찮다고 들었어요대신 내부 디자인은 기대 안 하시면 시승 예약해보세요']"
23,대상,1460,"['lh사건 터지고 나서 바로 여론조사 5대5에서 3대7이 되었는데 부동산 문제 부정하는 것보면 이해가 안가네요 100 200만원 못받았다 고 지지철회 할정도는 아닌 것 같은데요', '젊은 세대 무서운게 네트워크 활용도죠 부모님들 카톡이나 문자로 잘못된 정보 돌리던걸 생각해보시면 젊은 세대들을 등지고선 결코 이길 수 없다고 봅니다', '님 군대에서 말한마디로 산도 옮기는 사단장도 민간인이 보기엔 그냥 동네 아저씨일 뿐인데 공무원들 기대가 넘 큰가 보네요.']"
24,성공,1339,"['합성아님 눈 감는게 아니라 그런 거 하나만 가지고 판단하지 말라는 거에요.그럼 20대는 단순해서 그런 거 하나로 막 투표하고 그런단 소리밖에 안 됩니다.', '대천사님 httpswww.clien.netserviceboardpark14174975clienhttpswww.clien.netserviceboardpark16004254clien', '그들이 과연 몰랐을까. 사람의 마음과 건강을 갈기 갈기 너덜덜해 지도록 괴롭히고 시간을 질질 끌어댔을 뿐. 불쌍한 조민양과 정경심 교수님 . 검찰은 부끄러움이 없는 조직이구나.']"
25,강하다,1322,"['합성아님 눈 감는게 아니라 그런 거 하나만 가지고 판단하지 말라는 거에요.그럼 20대는 단순해서 그런 거 하나로 막 투표하고 그런단 소리밖에 안 됩니다.', '침 을 못놓으니까 비용도 비싼 약침 놓는 겁니다.침 잘 놓는 사람은 굳이 약침 안씁니다.요즘 외과 에서도 약침 놓잖아요.근육주사 뼈주사 같은 거.한방에서 아이디어 얻어간.', '제가 정치에 관심을 갖게 된 계기가 노무현 대통령 탄핵 시도였습니다.아니 이것들이 왜 국민이 뽑아놓은 대통령을 제멋대로 탄핵하겠다 고 xx이지?라는 생각이 들었었어요.']"
26,축하,1321,"['김남국 의원 하고 싶은거 다 했으면 좋겠어요 일단 부딪쳐보고 안되면 또하고 또하고 힘들지만 그런 서사가 정치인에겐 필요하죠남국찡 화이팅', '바퀴벌레 사진 저한테 보내왔어요 경찰이 이런 거 해결 못해줄거같아요저도 후기 쓸수 있어요. 무섭고 저한테보복할까요 못쓰겠어요.', '앤아버 에 잠시 살았었죠.아직도 살았던 곳 주소를 기억한다는 것은 안비밀. 2000년 1월 떠난 이후.가볼 기회가 없었네요. 가시면 사진 올려주세요']"
27,가치,1319,"['isahasa님 공급이 없었다면 이해하는 데 공급이 없던 것도 아니고 입주물량도 많았었죠. 언론에서 심리 건드리는 건 아무도 말씀 안 하시는 게 아쉽네요.', '세상만사 모든 일을 이재명 잘못이라 말하는 한줌도 안 되는 부류이니 너무 심란해 하실 필요는 없습니다. 이재명vs윤석열 구도에서 윤석열 찍을 분들입니다.', '카피하면 카피한 날짜가 나올텐데 그렇게 허술하게 하진 않았을 것 같고 뭔가 사전에 미리 준비한게 있지 않을까요 원문처럼 스크립트 같은 게.']"
28,희망,1288,"['연애 초보들만 계신가. 저렇게 한번 모른척 해줘야남자에게 믿음을 갖습니다.정말 이사람이다 생각드는 여자분이면 첫 밤은 손만 잡고 자보세요.', '브라키오사우루스님 버그 수정이란건 맞는데 다른 쿠키버그돈이 안 될거 같은 쿠키는 버그 제보 후 바로 다음 날 수정된 반면 라떼돈 좀 벌리는 쿠키는 한참뒤에 수정됬다는 게 요지죠.', '무슨맛으로 먹어요? 진짜 좋아하시는 분들 많던데 저는 풀떼기 맛같던데 ㅠ. 시모가 억지로 먹으라 주는데 먹기 너무 힘들었어요 가사도 있고 건강에는 좋아 보여요']"
29,재밌다,1226,"['윤석열 1주일 만에 7p 하락이재명 24 다시 1위nbs 국짐이 패배해야 새판짜기가 가능했을텐데 당분간 춘장에게는 어려워 보입니다.이번 투표에서 박영선 찍었을 거라는 의견도 많았죠', '바로 눕는거랑 옆으로 눕는거중 어떤자세가 무리 안갈까요 그리고 허리는 왜 아픈건가요갑자기 바닥에 손을 짚고도 일어나기가 힘이 드네요남이 보면 꾀병인줄 알겠어요 ㅜ', '저는 40대인데 명절에나 보고 그런 사이. 자매도 자매 나름이라서 저처럼 자매끼리 사이 남보다 못한 경우도 많더라고요. 82쿡에는 사이 좋은 자매가 많지만']"
30,안전,1215,"['근데 또 부동산 시장은 분위기 바뀌기 시작하면 한순간이라몰라요지금 정체상태인데 이대로 계속 하향추세로 간다면 전세가폭등 없다고 봐요', '제천역연고지의 가락국수입니다.제천역 안에도 있었지만 역 앞에도 국수집이 있어서 자주 갔는데 지금은 없어졌어요.ㅠㅠ오타수정', '뎅뎅이님 흑석동이면 어차피 서민들 사는 동네도 아니라 서.서민들은 노도강금관구 봐야죠2019년에 신정동 전용 59가 5.8억정도로 분양했습니다. 그런 걸 노려야 하지 않을까요']"
