word,count
민주당,24693
모르다,17901
보이다,14175
감사,12358
언론,11680
의원,10202
대통령,9778
나라,9189
개혁,9075
가능,8397
선거,7876
필요,7514
댓글,7202
정치,7005
국민,6955
다르다,6877
정부,6869
새끼,6846
힘들다,6836
올리다,6559
기사,6302
마음,6144
검찰,6128
미국,6115
백신,6072
추천,5938
대표,5900
레기,5845
이유,5812
다음,5779
들어가다,5740
이낙연,5700
대선,5661
얘기,5651
상황,5646
이해,5629
말씀,5609
페미,5492
조국,5484
지지자,5457
한국,5448
이야기,5447
일본,5362
시작,5258
이재명,5209
여성,5202
생기다,5152
다니다,5023
인간,5019
남자,4995
나가다,4918
딴지,4888
작성자,4822
서울,4725
사진,4722
친구,4681
중국,4503
정책,4432
시장,4427
뉴스,4420
느끼다,4358
부동산,4333
보내다,4331
지지,4253
좋아하다,4228
미치다,4176
기억,4105
세상,3981
본인,3976
어렵다,3958
접종,3941
투표,3939
수준,3915
바꾸다,3906
떨어지다,3879
결과,3867
사용,3842
장관,3837
정신,3833
아이,3832
가격,3807
괜찮다,3798
지키다,3786
중요,3778
회사,3762
후보,3755
자체,3737
걱정,3734
바라다,3710
오르다,3694
부분,3647
사랑,3628
내용,3599
이기다,3553
걸리다,3550
하루,3494
지나다,3479
예전,3459
개인,3452
정권,3429
느낌,3412
세대,3389
기자,3363
비추다,3361
따르다,3328
최고,3323
차이,3295
코로나,3267
고맙다,3219
비추,3201
방법,3186
현실,3177
돌리다,3150
운동,3123
아프다,3120
어쩌다,3096
아파트,3090
들어오다,3064
동네,3052
자리,3027
빠지다,3026
알리다,3006
똥파리,3004
응원,2984
관심,2983
나쁘다,2979
공감,2957
지역,2954
이후,2946
총수,2895
병원,2888
부르다,2863
초선,2850
당하다,2847
가족,2843
관련,2813
반대,2803
버리다,2798
나이,2788
이름,2778
망하다,2772
비싸다,2766
방송,2750
바뀌다,2740
전화,2737
시민,2699
건강,2686
쓰레기,2678
의미,2658
국가,2629
정보,2596
마시다,2595
부모,2593
이쁘다,2581
검사,2573
병신,2559
정상,2542
싸우다,2541
사고,2537
지원,2529
시절,2515
시대,2510
입장,2508
기대,2496
오세훈,2494
영화,2477
처음,2477
내리다,2468
멋지다,2464
배우다,2449
확인,2435
터지다,2432
인정,2418
의견,2407
고생,2406
선택,2405
