word,count
모르다,712
지키다,526
나가다,503
보이다,405
차리다,344
바라다,307
떨어지다,210
미치다,191
올리다,187
부끄럽다,177
당하다,153
싸우다,145
다르다,137
다니다,132
내려오다,118
내리다,114
망하다,114
물러나다,112
떠나다,112
힘들다,110
버리다,107
보내다,103
원하다,102
밝히다,101
따르다,98
이기다,98
오르다,95
나서다,94
꺼지다,93
나쁘다,87
느끼다,85
욕하다,84
돌리다,83
터지다,82
지나다,82
어쩌다,81
똑같다,77
생기다,73
외치다,72
챙기다,71
빠지다,71
바꾸다,71
말아먹다,71
죽이다,70
망치다,69
좋아하다,68
더럽다,68
무섭다,66
만나다,66
모자라다,65
어렵다,64
들어가다,63
버티다,61
돌아가다,61
떠들다,60
계시다,60
팔리다,59
알리다,58
던지다,58
아깝다,57
열리다,56
이루다,55
남기다,54
아프다,52
부르다,52
세우다,51
잡히다,51
배우다,50
더불다,50
모이다,49
바뀌다,49
가리다,48
걸리다,48
다물다,48
시키다,47
의하다,46
데리다,46
들어오다,46
역겹다,45
끝나다,44
앞장서다,44
잘나다,44
이끌다,43
올라가다,43
뿌리다,43
웃기다,43
고치다,42
변하다,42
지켜보다,41
일으키다,41
수많다,40
들리다,40
어이없다,39
도와주다,38
어울리다,37
내려놓다,37
사라지다,37
부럽다,36
막히다,36
뒤집다,36
모으다,36
내놓다,36
두렵다,36
놀아나다,36
책임지다,36
끌리다,36
자빠지다,36
손잡다,35
흘리다,34
향하다,34
빠르다,34
우습다,33
일어나다,33
맞추다,32
새롭다,32
괴롭히다,32
넘기다,32
쪽팔리다,32
맞서다,31
키우다,31
바르다,31
안타깝다,31
나아가다,31
넘어가다,31
해보다,30
감싸다,29
따지다,29
강하다,29
그만두다,29
저지르다,29
지껄이다,29
털리다,28
살리다,28
기다리다,28
바쁘다,28
말리다,27
나타나다,27
드러나다,27
뭉치다,26
못나다,26
무너지다,26
닥치다,26
설치다,26
틀리다,26
부리다,25
가볍다,25
돌아오다,25
어리다,25
일삼다,25
날리다,25
지나가다,25
헤아리다,24
사과드리다,24
나대다,24
붙이다,24
고맙다,24
휘둘리다,24
흔들다,23
정하다,23
편하다,23
치르다,23
심하다,23
가깝다,23
받아들이다,23
꺼내다,23
갇히다,23
들이다,23
끼치다,23
짓밟다,22
기울이다,22
내세우다,22
애쓰다,22
치밀다,22
고르다,22
싫어하다,22
올바르다,22
누리다,22
놔두다,21
움직이다,21
취하다,21
부치다,21
숙이다,21
관하다,21
올라오다,21
갖추다,21
돌아보다,21
바라보다,21
엄하다,21
가져오다,21
때리다,21
내주다,20
들이받다,20
놀리다,20
드러내다,20
찾아보다,19
지치다,19
넘치다,19
씌우다,19
멋지다,19
괜찮다,19
견디다,19
전하다,19
줄이다,19
쓸데없다,18
들먹이다,18
드럽다,18
날뛰다,18
늘어지다,18
열받다,18
대놓다,18
따라가다,18
살아오다,18
건드리다,18
뺏기다,18
불리다,18
새기다,17
편들다,17
더럽히다,17
힘내다,17
달라지다,17
같잖다,17
앞두다,17
끌어내리다,17
달리다,17
망가지다,17
지내다,17
늘리다,17
치루다,16
끼우다,16
욕먹다,16
내치다,16
구리다,16
피하다,16
채우다,16
흐르다,16
흔들리다,16
가하다,16
찌르다,16
반하다,16
힘쓰다,16
물어뜯다,16
살피다,16
돌아서다,16
멈추다,16
먹이다,16
돌아다니다,16
가르다,16
행하다,15
노리다,15
어리석다,15
바치다,15
사이다다,15
지우다,15
떨어뜨리다,15
속이다,15
시끄럽다,15
엄청나다,15
앞서다,15
없애다,15
아쉽다,15
누르다,15
안기다,15
알아보다,15
찾아가다,14
마시다,14
찢어지다,14
뽑히다,14
뜬금없다,14
추하다,14
태어나다,14
팔아먹다,14
내려가다,14
거르다,14
자르다,14
거두다,14
바래다,14
그리다,13
벌이다,13
처먹다,13
맡기다,13
벌어지다,13
착하다,13
흐리다,13
질리다,13
그립다,13
지겹다,13
이어지다,13
띄우다,13
내버리다,13
나누다,13
받들다,12
박히다,12
슬프다,12
다치다,12
밀리다,12
펼치다,12
보태다,12
터트리다,12
떠오르다,12
봐주다,12
쓰러지다,12
꿈꾸다,12
뒤지다,12
욕보이다,12
지나치다,12
미루다,11
써먹다,11
쌓이다,11
굴리다,11
내보내다,11
벗어나다,11
내뱉다,11
살아남다,11
놓치다,11
괴롭다,11
건너다,11
숨기다,11
다가오다,11
겁나다,11
망가뜨리다,11
앉히다,11
몰아주다,11
더하다,10
모질다,10
받치다,10
몰아내다,10
패하다,10
칭하다,10
사리다,10
때려치다,10
구하다,10
저버리다,10
