word,count
대표,3275
조국,3048
사과,2243
당원,1408
장관,1367
개혁,1195
대통령,1118
검찰,1085
사퇴,970
국민,906
의원,724
언론,651
정치,624
사태,572
지지,544
지지율,493
정신,490
대선,472
정부,453
지지자,438
민심,403
가족,394
탈당,368
인간,368
선거,365
후보,336
여당,282
지사,277
정책,277
야당,256
민주,256
권리,253
정권,247
본인,239
능력,236
자리,235
필요,231
나라,229
부동산,221
초선,221
이유,212
마음,212
탄핵,200
자격,198
촛불,197
국회의원,193
행동,180
다음,171
시민,169
적폐,168
당장,165
수사,163
시장,160
무능,160
조사,160
의리,155
반성,153
문재,151
발언,150
수준,148
기사,146
의견,146
관련,143
여론,143
국전,142
머리,139
게시판,136
투표,136
잘못,135
보궐,134
비판,130
프레임,127
쌍욕,126
책임,124
얘기,123
이해,123
비난,122
모습,122
사건,122
헛소리,121
정당,121
상황,120
교수,120
경선,120
정의,120
공정,119
재판,119
무시,118
똥파리,118
반대,117
결과,117
조작,115
인정,114
세력,114
응원,112
이름,112
세상,112
재명,112
대권,112
지도부,112
실망,112
행위,110
쓰레기,109
보수,109
권력,108
뉴스,107
총선,107
수박,107
눈치,105
시절,101
기본,100
백신,98
가능,98
방역,98
정치인,98
파악,98
목소리,97
개인,94
희생,93
청년,93
진실,93
현실,92
경기,92
입시,91
짓거리,91
당비,91
판단,91
사면,90
호남,89
국가,89
주장,89
소환,89
말씀,88
공격,88
시작,87
부정,85
청와대,84
분노,84
댓글,84
통령,84
총리,83
난리,83
당선,83
죄명,83
내부,82
하루,82
비리,81
중도,81
지역,80
요구,80
내용,78
자녀,78
반문,77
소득,77
주제,77
당게,76
걱정,76
패배,76
선택,75
헛발,75
기대,75
이야기,75
승리,74
해당,73
언급,73
이후,73
방법,72
진심,71
차기,71
대신,71
상식,71
운동,71
미래,70
격리,70
제도,69
부탁,69
출신,69
관심,69
바보,68
기억,68
감사,68
민주주의,67
미안,67
파리,67
민생,67
의혹,67
도움,66
준비,66
권당,66
노력,66
정보,65
역사,64
일부,64
도지사,62
입장,62
시기,62
세금,62
인사,61
행보,61
운운,61
증거,61
행태,61
분열,60
양심,60
기득,60
보호,59
주자,59
논란,59
오렌지,59
기자,59
처음,58
정체,58
자식,57
유지,57
연이,57
일반,57
한마디,57
부족,57
꼬라지,56
제정신,56
시대,56
사진,56
포럼,56
착각,55
대상,55
가짜,55
복지,55
원인,55
침묵,55
세대,54
창출,54
진행,54
도덕,54
정상,54
외면,54
공약,54
방향,53
참패,53
성공,53
사죄,53
집단,53
내년,53
중요,53
진보,53
부자,53
공개,53
당시,52
최고,52
위원장,52
입법,52
지급,52
순간,52
추진,52
무죄,51
지원,51
주택,51
대리,51
국회,50
수구,50
상처,50
감각,50
공감,50
고통,50
전국,50
가치,50
인물,50
경제,50
배신,49
기회,49
제명,49
최악,49
서명,49
최소한,49
임기,48
활동,48
원칙,48
접종,48
의미,48
무리,47
선족,47
집토끼,47
이용,47
참여,47
당내,47
인생,46
동의,46
아들,46
거리,46
소통,46
보도,46
경청,46
품격,46
통과,46
동지,46
발표,46
결정,45
상대,45
특혜,45
욕설,45
짜증,45
존재,45
논리,45
자체,45
가슴,45
주변,45
문통,45
표창장,45
처리,44
관리,44
적극,44
언행,44
이미지,44
성장,44
사법,44
집권,44
목적,44
부분,43
과거,43
희망,43
의지,43
총질,43
탈퇴,43
포기,43
찬성,42
모지리,42
마지막,42
거짓말,42
반정부,42
법안,42
덕분,42
얼굴,42
설명,42
임대,41
가격,41
전략,41
형수,41
검사,41
표현,41
창당,41
집값,41
대의원,41
문자,40
시점,40
거대,40
결국,40
난도질,40
대책,40
출당,40
기소,39
불법,39
작정,39
보선,39
혼자,39
세계,39
무식,39
종부,39
타령,39
대학,38
욕심,38
검증,38
징계,38
차이,38
당규,38
의심,38
하락,37
자랑,37
정무,37
안정,37
그동안,37
대응,36
취급,36
대출,36
판결,36
공식,36
인식,36
모양,36
회견,36
모두,36
선언,35
왜곡,35
꼰대,35
불륜,35
핑계,35
당대,35
조롱,35
거짓,35
해결,35
송영,35
지지층,35
포함,35
아이,35
공천,35
사랑,35
법무부,35
근거,34
보편,34
회고록,34
선출,34
당헌,34
부모,34
강성,34
신뢰,34
분위기,34
양반,34
대세,34
본질,34
예전,33
과정,33
친문,33
평가,33
고생,33
공부,33
약속,33
사고,32
청산,32
아래,32
확인,32
국정,32
태도,32
위원,32
가입,32
재난,32
명예,32
최근,32
인기,32
서민,32
심정,32
전체,31
스트레스,31
발전,31
주도,31
윤리,31
역할,31
장모,31
피해자,31
집회,31
허위,30
성과,30
사업자,30
극우,30
구분,30
아침,30
조직,30
진영,30
임명,30
방송,30
총장,29
신념,29
인권,29
엄중,29
대국민,29
검란,29
옹호,29
방해,29
혐오,29
쿠데타,29
태극기,29
시스템,29
친구,29
출마,29
막말,29
의식,28
자료,28
이익,28
최저,28
위원회,28
소속,28
노릇,28
모임,28
운영,28
천박,28
여성,28
사안,28
단어,27
수치,27
인터뷰,27
결론,27
지도,27
대변,27
후회,27
대다수,27
프로,27
혁신,27
숟가락,27
발목,27
가정,27
바닥,27
인성,27
지방,27
예상,27
집안,27
모욕,27
문파,27
역대,27
의도,27
의사,27
질문,27
칭찬,27
상태,26
발기인,26
장애,26
지원금,26
부대,26
임금,26
죄인,26
작년,26
주인,26
특위,26
나이,26
정경,26
고민,26
지요,26
공무원,26
의무,26
지도자,26
피해,26
변화,25
좌절,25
박스,25
도륙,25
거부,25
인턴,25
비교,25
표적,25
경험,25
토론,25
양아치,25
기업,24
분석,24
실패,24
주목,24
취임,24
재벌,24
바람,24
중심,24
사용,24
여니,24
자진,24
선별,24
벌레,24
삽질,24
차원,24
구나,24
변호사,24
처벌,23
