word,count
민주당,3552
송영길,1732
이재명,1124
이낙연,674
윤석열,436
노무현,239
이해찬,217
문재인,214
조중동,148
경기도,145
대한민국,130
이준석,119
박근혜,94
윤석렬,87
추미애,84
일본,80
조응천,75
김진표,72
코로나,70
레기,65
이명박,61
서초동,60
서울,56
기본소득,54
김대중,52
정세균,47
혜경궁,46
박원순,46
전남,43
포털,40
광주,40
정동영,37
뱃지,37
이재용,36
한국,36
성남,33
노통,32
부산,32
나경원,32
남불,32
음주운전,31
남경필,30
이명,28
박용진,26
화이팅,25
미국,24
김용민,24
튜버,22
김남국,21
삼성,20
엑스맨,19
인천,19
오세훈,19
유튜브,19
홍영표,19
김부선,19
박정희,19
김어준,19
홍남기,18
조선일보,18
압수수색,18
홍준표,17
중국,17
페미,16
테타,16
전두환,16
대구,16
리쉬,15
김경수,15
국수호,15
나견,15
이해충돌,14
정치검찰,14
안철수,14
전라도,14
쉴드,14
조선,13
최저임금,13
박주민,13
러시아,13
한동훈,12
정신줄,12
판문점,12
박형준,11
스펙,11
여의도,11
문정부,11
코스프레,10
재보궐선거,10
리플리,10
남북,10
