word,count
당 대표,1734
조국 장관,624
검찰 개혁,459
조국 사태,368
송영길 대표,299
언론 개혁,196
송 대표,157
국전 장관,141
이낙연 의원,133
조 국전,129
정신 차리다,129
송영길 사퇴,128
노무현 대통령,120
송영길 당,113
민주당 대표,111
민주당 의원,98
필요 없다,97
대선 후보,95
여당 대표,94
민주당 지지율,91
권리 당원,89
문재인 대통령,85
민주당 당원,84
민주당 당,83
대표 사퇴,80
조국 교수,79
보궐 선거,78
이재명 지지자,71
이재명 지사,70
문 대통령,70
조국 가족,70
여론 조사,68
개혁 언론,67
대표 자격,64
민주당 지지자,64
당장 사퇴,63
사태 사과,63
왜 사과,61
기 레기,60
대통령 지지율,57
왜 민주당,57
낙 연이,56
문재인 정부,51
검찰 언론,48
제발 정신,48
자격 없다,45
조국 탓,44
해당 행위,43
떵 파리,42
당원 게시판,42
대리 사과,40
왜 조국,40
이낙연 대표,40
촛불 시민,39
부동산 정책,38
초선 의원,35
다음 대선,35
내부 총질,35
내년 대선,35
대표 탄핵,35
조국 사과,34
민주당 권리,33
민주당 지지,32
사법 개혁,31
법무부 장관,31
대표 송영길,30
가짜 뉴스,30
김대중 노무현,30
노무현 문재인,29
대표 선거,29
기자 회견,29
이명 박근혜,28
조국 추미애,28
대표 자리,28
야당 대표,28
기본 소득,28
송영 길,27
의리 없다,27
윤석열 사태,27
입시 비리,27
민주당 국회의원,27
차기 대통령,27
주제 파악,27
대표 직,26
대통령 후보,26
대권 주자,26
거대 여당,26
못 차리다,26
대국민 사과,25
당 지지율,25
증거 조작,25
지지율 떨어지다,25
송영길 뽑다,24
송영길 탄핵,24
능력 없다,24
공식 사과,24
자녀 입시,24
민주당 대선,24
송영길 사태,23
선거 패배,23
민주당 망하다,23
재난 지원금,23
대표 필요,23
대선 주자,23
개혁 검찰,22
표적 수사,22
개인 정보,22
혜경궁 김,22
성남 시장,22
민주 시민,21
정무 감각,21
디 어문,21
발목 잡다,21
조 장관,21
부동산 특위,21
민주당 지도부,21
민심 경청,21
대권 후보,20
정부 정책,20
장관 가족,20
박스 떼다,20
당헌 당규,20
사과 운운,20
이재명 지지,20
다음 총선,20
최고 위원,20
당 지도부,20
대선 경선,20
추미애 장관,19
연이 형,19
선거 운동,19
민주당 말아먹다,19
시장 선거,19
입시 제도,18
유 튜버,18
공 수처,18
민주당 정신,18
그냥 사퇴,18
정치 인생,18
일반 당원,18
소득 주도,17
송영길 의원,17
장관 관련,17
당대 표직,17
대표 맞다,17
김진표 의원,17
박원순 시장,17
최저 임금,17
검찰 쿠데타,17
여당 당,16
대표 뽑다,16
정말 한심,16
전수 조사,16
주도 성장,16
촛불 민심,16
적폐 청산,16
제발 사퇴,16
개혁 입법,16
백신 접종,16
쿠 테타,16
강성 당원,16
경기도 지사,16
서초동 촛불,16
베 용어,15
조중동 프레임,15
자진 사퇴,15
박근혜 사면,15
정권 연장,15
서울 부산,15
대신 사과,15
조 국수호,15
민주 당원,15
무릎 꿇다,15
숟가락 얹다,14
보편 지급,14
태극기 부대,14
찢 파리,14
부산 시장,14
이재명 도지사,14
부자 감세,14
민주당 지지층,14
정말 모르다,14
당원 동지,14
쓰레기 같다,14
민주당 이름,14
인천 시장,14
개혁 법안,14
조국 관련,14
지지율 하락,14
도대체 조국,14
개혁 사법,14
윤석열 가족,14
윤리 위,14
관련 사과,13
다음 정권,13
잘못 뽑다,13
정말 답답,13
백신 맞다,13
언론 검찰,13
이명박 박근혜,13
대통령 병,13
정말 민주당,13
윤석열 검찰,13
욕 나오다,13
김용민 의원,13
대선 승리,13
촛불 집회,12
집권 여당,12
제발 민주당,12
종 부세,12
노 대통령,12
보수 언론,12
의원 나리,12
대표 시절,12
댓글 달다,12
민주당 망치다,12
뱃지 달다,12
당 차원,12
영 길씨,12
영 길이,12
차기 대선,12
이낙연 조국,12
이해찬 대표,12
이재명 윤석열,12
이낙연 송영길,12
이낙연 당,11
일반 국민,11
못 지키다,11
문재인 이낙연,11
당지 지율,11
조작 사건,11
민주당 후보,11
책 팔리다,11
이재명 같다,11
조국 수호,11
검찰 총장,11
보궐 패배,11
정치 생명,11
역대 급,11
수구 언론,11
송영길 찍다,11
송영길 이재명,11
다음 선거,11
당 심도,11
선거 참패,11
사과 같다,11
장관 탓,11
적폐 세력,11
패배 원인,10
특위 위원장,10
항명 사태,10
탈탈 털다,10
같이 나가다,10
대표 내려놓다,10
조국 지키다,10
바보 같다,10
대표 같다,10
대통령 만들다,10
리플리 증후군,10
민주 세력,10
민주당 내부,10
민주당 조국,10
당원 탈퇴,10
박근혜 탄핵,10
검찰 수사,10
당대 표면,10
논문 표절,10
의원 직,10
장관 책,10
전혀 모르다,10
정계 은퇴,10
제발 나가다,10
확증 편향,10
