,neg_words,count,documents
0,떨어지다,210,"['n 저거 함 mbc에서 방송하면 지지율 한자리수로 떨어질건데.어제 혜경궁이 등장해서 방송안해도 떨어질거 같다.', '조국 땜에 지지율이 떨어지는 게 아니라 입만 열면 나오는 소리가 남탓이라 지지율이 떨어지는 겁니다 송영길씨ㅡㅡ', '천지분간 못하고 자존심도 없는 덜 떨어진 쩜오 당대표 덕분에 당원들 속은 타들어간다당대표면 게시판 만 봐도 얼마나 헛발질을 한건지뉘우치고 인생 흑역사로 남지 않으려면 부디 사퇴해라']"
1,부끄럽다,177,"['n 그러게요 너무 부끄럽고 바보같은 최악이다 자신의 선거를 위해 잊지도 밝혀지지도 않은 일을 사과하다니 부끄럽다 이런 사람이 민주당인게 너무 부끄럽고 챙피하다', '오죽하면 살림만하는 가정주부가 이곳 게시판까지 들어와서 글을 써야 하나참 부끄럽다 당대표 탄핵 방법만 있으면 열일 제껴두고 나서서 하고 싶다. 당원으로써 송영길이 부끄럽다', '너무 부끄러워요어찌 이리 가벼울까요어찌 이리 깊이가 없을까요휴.너무 부끄러워요시간이 지나고.훗날 어떤 당대표로 기억되기 원하는 걸까요?']"
2,당하다,153,"['이낙엽이 하던 수박 쁘락치 짓처럼 하라는 개혁 지키라는 조국 추미애 등등 안할거면 끌려 내려와야지 머.이낙엽에게 한번 당한거 두번 당할 순 없지.', 'n 이런 사람도 징계를 안 당하는 데n다른 분들은 어떻게 된거죠?n우리가 신고를 안해서 안당한건지 아님 실세가 그 분이라 갈여주는 건지?', '우리가 조국이다 대관절 조국 장관님이 무얼 잘못했는가??도대체 그 분 가족들이 왜 이런 고통을 당해야 하는 가?헛소리하며 문정부에 방해할꺼면 사퇴하라고 요.진짜 열불나네.']"
3,싸우다,145,"['너같은가 당을 망치고 나라팔아먹을 놈이다.피흘려싸우고 억울하게 당한 사람 등에 칼을 꽂네?노무현 등에 깔꽂던 인간들하고 같은 부류인거 이제 확실히 알았다 쓰레기야.', '오늘 이 의병의 날인데 민주당은 관심도 없구나 하긴 임란 때 당상관 이상의 자제 중 이순신 장군의 아들 빼고 왜적과 싸우다 죽었다는 소리는 듣도보지도 못했으니까', '우리가 내 일처럼 함께 아파하고 싸우고 응원한 줄 아시나요? 어쩜 이리 대다수 국민의 마음을 모르는지.당대표 될때부터 한걱정이었는데.정말 너무너무 실망입니다.']"
4,잘못,135,"['뭘 사과 하십니까 본인 잘못부터 인지 하시기 바랍니다 대통령님 지지율은 오르는데 왜 민주당 지지율이 떨어 질끼오 원인은 조국장관님이 아니라 송영길 대표님 본인이 시듯합니다', 'n 당대표가 기레기에게. 국짐당 당원에게 잘 보이려고n꼬리 흔드는 것 같아서 치욕 스럽네요.n잘못은 윤석열이 한 것인데.n송영길 찍은 당원들 대의원들 반성도 해야 합니다', 'n 법적으로도 도덕적으로도 잘못이 1도 없는데 뭔 사과?n무엇보다 본인이 사과할 생각이 없다잖이요. 무슨권리로 대리 사과인가. 예의도 없고 상식도 없고. 참. 어휴']"
5,비판,130,"['n 아무리 비판하려고 해도 그렇지 너무하네 박근혜가 여기서 왜나와요. 짜증나네 비판하려면 주장이나 정책에 대해서 비판해요.어떻게 험담을 해보 이따위로 합니까', '개인사 내세울것 없는 이재명 뚝하면 선심성 돈살포어떻게 하면 민주당 말아 먹을까 연구중인 송영길국짐당 스파이 노릇 하는지 정부도 비판하고 당원도 비판하고 갈곳은 국짐당 뿐이던가', 'n 니가 기생충 이라는 자아비판을 장황하게 하는 구나 n너희 찢쫄병들은 일본 적군파와 똑같아서 매일 서로 자아비판하고 서로 죽창으로 찌르자나']"
6,비난,122,"['n 당린 민주당 지지자 맞아?n송영길 대표 할말했고 비난하려면 프레임 짠 언론 국짐 윤석열 검찰당 비난해.', '당린 민주당 지지자 맞아?송영길 대표 할말했고 비난하려면 프레임 짠 언론 국짐 윤석열 검찰당 비난해.', 'n 이재명 욕에 광분하기 전에 이재명이 욕 먹을 수 밖에 없는 맥락적 상황부터 보시죠n같은 당이란 사람이 같은 당 대통령과 정부를 비난하는 데 당 결속을 막는 해당행위를 하잖아요n']"
7,헛소리,121,"['어린이들에게 물어 봤어요? 민식이법놀이라는 게 있기나 한지?한줌 인터넷 커뮤니티와 유튜브 헛소리를 주워삼키시는 게 정치입니까? 제정신으로 이런 기사에 동조하시는 겁니까? 진심으로?', 'n 가짜뉴스 지가 만들어서 퍼트리고 있구만 nn카톡으로 막 헛소리 막 오고 그러세용? 교회도 족 같은거 댕기니까 그렇다이가 nn원팀은 느그 당대표 송영길이가 매일 깨고 있네?n', 'n 김경수 이재명이 하는 짓 다 따라하는 김경수요? 고인 되신 박 시상 장례식장에서 사실 관계를 다 떠나서 헛소리 했던 김경수요?nn그 외에도 너무 많은데 차차 올리겠음.n']"
8,무시,118,"['n 맞습니다.n그리고 지난 보궐선거 퀀리당 원들도 투표 못한 사람들이 다수인데 일반당원 비율 손까지 봐가면서 당댚 된걸로 아는데 권당들 무시하다간 민주당 공중분해 될것입니다.', '말이 되는 소리를 하세요대국민 사과요?누구맘대로 그렇게 합니까?당원들 무시하고 그렇게 해도 되는 겁니까?당신네들 때문에 지지율 떨어졌어어떻게 책임 지실겁니까송영길 사퇴하세요', '이 따위로 당원 무시하고 조중동 장단에만 맞춰서 정치 할 거면 사퇴하세요.아 나갈 때 꼭 자기일 똑바로 못하면서 희생한 선배들탓만 하는 없는 초선들 손 잡고 같이 나가세요.']"
9,망하다,114,"['n 초선들의 의견을 5적으로 단죄하는 당원이나 의원들 한심하고 개탄스럽다 이준석이 주목받는 이유를 모르는 가?n정신차려라 정신 떼거리 패거리 때문에 망하고 말거다', '민주당 정신차리는 길 송영길 대표 사퇴 부동산 특위 해체 김진표 out 조국 사과 하지 말고 강하게 싸워라아주 답답해 죽거따.망하는 길로만 가는 민주당아', 'n 대선 생각해서 사퇴 하라고 이 난리지 송영길 당대표로 대선 치루면 망하게 생겼으니깐 다른 능력 있는 당대표를 세울려고 이 난리인거지']"
