from,to,depth,documents
"minju
in minju","minju
in minju",0,"['미쳤냐 민주당조국 사태라니 사과라니조국 사태가 아닌 검찰사태 검찰의 역린이다 조국을 지키지 못한 민주당이 무능한 거다 사과는 조국에게 하고 송영길은 대표직에서 빨리 사퇴하라', '송영길 이네 진짜. 죄송합니다. 내가. 저 자에게 한 표 줬어요 ㅠㅠ 민주당 원도 아닌 조국님에 대해 사과하는 송영길에게 민주당 원으로 대표에 투표한 제가 사과합니다 조국교수님', '조국장관 일을 왜 사과하는 데? 뭘 잘못했다고 사과를 하시나? 사과하면 민주당 대표가 아닌 국민의힘 대표가 된다.사과 반대 송영길 의원님 대표직 사퇴하고 사과를 하든가 하셔.']"
"minju
in minju",민주당,1,"['민주당 지지층이 민주당을 지지하는 이유를 전면 부정하는데 누가 지지합니까?이런다고 민주당 비지지층이 민주당을 지지하지 않는데 당심도 못들으면서 민심은 어찌듣고 잡겠습니까?', '하는 말마다 민주당 지지율 떨어뜨리고 정부와 대립하고 대통령님 국벙에 딴지걸고민주당 당대표인지 야당 당대표인지 모를 지경민주당 송영길사태라고 해도 지나치지 않을 것 같다', 'n 송대표는 이해찬 흉내내지 말고 민주당의 본질을 직시하시라 전통적인 민주당의 정체성에 올곧게 일치하는 조국장관을 민주당인사라는 익명으로 폄훼하지 마시라고 경고한다.']"
"minju
in minju",대표,1,"['타당 대권주자에게 면죄부 주는 대표님은 어느당대표이신가요?야당 대표도 아니고 여당대표 자격이 없다고 생각됩니다. 당원을 내팽겨치는 당대표는 필요없습니다.', '당원을 대표하는 게 당대표 아닌가요?본인 맘데로 하고 싶으면 당대표 내려놓고 맘대로 하세요대표 되자마자 대통령 흔들고 당원들 흔드는 사람이 무슨 당대푭니까', '송영길 당대표가 지금 잘하고 있다고 생각하는 당원 당직자 국회의원 누구라도 생각이 있으면 게시판에 글좀 올려보시죠 정말 답답하네요 당원다수의 생각을 전혀 대표하지 못하는 당대표라니']"
"minju
in minju",조국,1,"['미쳤냐 민주당조국 사태라니 사과라니조국 사태가 아닌 검찰사태 검찰의 역린이다 조국을 지키지 못한 민주당이 무능한 거다 사과는 조국에게 하고 송영길은 대표직에서 빨리 사퇴하라', '조국가족이 뭘 잘못했는데 왜사과만 하냐팩트체크 좀 하고 사과를 하던지 말던지참 한심하다조국가족은 무죄다노무현 대통령님 한명숙총리님조국장관님등등 조작질조작질모르더냐한심하다', '조국 아니었으면 250석 정도로 압승했을텐데조국 때문에 겨우 180석.조국 아니었으면 서울 부산도 안졌을텐데 너무 아쉽다.털보도 한몫했고 휴.엑스맨이 너무 많아 ㅜㅜ']"
"minju
in minju",사과,1,"['조국장관 일을 왜 사과하는 데? 뭘 잘못했다고 사과를 하시나? 사과하면 민주당 대표가 아닌 국민의힘 대표가 된다.사과 반대 송영길 의원님 대표직 사퇴하고 사과를 하든가 하셔.', '사과 하면 탈당합니다.개혁을 위해 온가족이 희생당했는데 선거에서 졌다고 사과를 하냐. 문통이라면 사과 했겠나지도부는 방향성을 정확히 하시오. 사과하는 순간 분열은 시작된다', '사과는 저들이 해야지.왜 민주당에세 사과를?도대체 누구에게 사과를 한다는 건가미치지 않고 서야 조국장관을두번 죽이겠다는 건가?사과하는 거 반대']"
"minju
in minju",송영길,1,"['역대 최악의 당대표 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라 송영길 사퇴하라', '송영길송영길송영길송영길송영길송영길송영길송영길송영길송영길너는 남의 상처에 소금뿌리는 잡', '저는 민주당 원으로서 송영길 당대표의 취임 후 모든 언행에 대하여 사과드립니다.제가 뽑지 않았음에도 사과드립니다. 송영길 사퇴해라 송영길사퇴 송영길사태']"
"minju
in minju",당원,1,"['이제 그만 좀 속아요.한두 번도 아니고속는 당원들만 계속 속는 건지세작들이 당원으로 들어와서 폭망시키려는 수작인지진짜 모르겠네구김당 세작인지 당원인지 이제 진짜 모르겠다.', '여기 계시네요중도고 국민이고간에 먼저 당원부터 설득하십시오딱 이렇게 생각하시는 것 같으신데요 당원들이 내주는 당비는 어딘가에서 들어오는 거니까 내맘대로 할거야일단 당비부터 내립니다', '송영길 당대표가 지금 잘하고 있다고 생각하는 당원 당직자 국회의원 누구라도 생각이 있으면 게시판에 글좀 올려보시죠 정말 답답하네요 당원다수의 생각을 전혀 대표하지 못하는 당대표라니']"
"minju
in minju",장관,1,"['송영길이가 조국 장관님보다 깨끗할 자신은 있고?그라고 민주당에 조국 장관님 욕하는 치고 조국장관님보다 깨끗한 사람 있으면 손 들어봐라', '조국 장관이 유입한 스윙보터들 덕에 180석 대승하고 조국 장관 외면하니 그 중원들 다 떠나가서 보궐 참패한거 아냐고맙고 미안하다 고 사과해도 모자랄 판에 어디서 대못을 박어', '으아니 도대체 조국장관님이 뭘 잘못했죠?장관님 지켜내지 못했고 검찰개혁 게 만든 것에 대해 국민들께 사과 할 것 아니면입도 뻥끗 마세요당원으로서 지금 너무너무 화납니다']"
"minju
in minju",개혁,1,"['이젠 당도 말아먹으려고?사과할 시간 있으면 개혁하라고 검찰개혁 언론개혁 부동산 개혁제발 엉뚱한짓 그만하고 개혁하라고', '민주시민 촛불시민은 빠른 검찰 사법 언론개혁을 원하며 개혁이 민생이고 민생이 개혁입니다 개혁이 없는 속에서는 민생이 말살되고 있습니다', '능력도 없으면서 입터는거 보는 것도 속터지는데 왜 맨날 정부랑 반대로 갈 생각만하나요검찰개혁 언론개혁 사법개혁에 힘 쓰고정부랑 발 맞춰 가세요 여당이 뭔지 모르겠으면 탈당하고']"
"minju
in minju",이재명,1,"['대세는 당심도 이재명같은데 이재명이 친구비로 당원들도 매수하나요?여론조사를 이재명이 조작쳤나요?지지는 몰라도 망상은 그만합시다', 'n 저도 이재명 지지자지만nn대선에서 자신에게 불리하게 작용할까봐 입 처닫고 있는 지지율 1위 대선후보 이재명이란 색희는 뭐하나 몰라요.nn윤석열에게도 아닥하시더니 nn에휴 쓰레기', 'n 이재명 욕에 광분하기 전에 이재명이 욕 먹을 수 밖에 없는 맥락적 상황부터 보시죠n같은 당이란 사람이 같은 당 대통령과 정부를 비난하는 데 당 결속을 막는 해당행위를 하잖아요n']"
