,pos_words,count,documents
0,지지,544,"['민주당 지지층이 민주당을 지지하는 이유를 전면 부정하는데 누가 지지합니까?이런다고 민주당 비지지층이 민주당을 지지하지 않는데 당심도 못들으면서 민심은 어찌듣고 잡겠습니까?', 'n 아직도 쌍욕의 실체를 모르시군요?n조중동과 다를봐가 없다면 쌍욕을 들고 나오시요n이지사를 지지하지 않는 분이라면 그냥 지지하신 분만n지지하시는 게 헌명한 선택이요', '내 삶을 지켜주는 나라 이낙연수신제가 치국평천하 이낙연문프를 지지하는 마음으로 항상 응원하고 끝까지 지지합니다 1일 1지지 글 45 이낙연 내삶을지켜주는 나라']"
1,능력,236,"['민주당의 무능력한 모습은 이젠 더 볼 일 없다 고 지난 몇 년간 생각했건만대통령이 멱살 잡고 끌고 가는 민주당 지지율 일부러 개박살 내시려는지진짜 무능력의 화신 이시다', '누구 마음대로 사과 합니까?민주당 당대표가 고작 이정도 밖에 못해요?분위기 읽는 능력 없으면 당대표에서 내려오세요.그 자리에 걸맞는 능력도 없으면서 왜 버티고 계세요?', '어쩜 이렇게 틀린말만 골라하시는지 그것도 능력이라면 능력이네요 저쪽이 좋아하는 짓만 하시는데 그쪽으로 하루빨리 가시는 게 어떨지싶네요 정치인생 몇 년인데. 참.']"
2,인정,114,"['민주당 꼰대야적폐무리와 소통해라그것은 나도 적폐들을 인정하고 자신을 옹호해달라는 욕심에서 나오는 거여이낙연씨글구 송영길 조국의 시간에서왜 거기서 나와주제파악이 안 되네 송영길 꼰대', 'n 우리당 당원 수준이 어쩌다 태극기부대 수준 되었는지.조국박원순의 도덕적 사회적 해이를 인정 안하면 태극기부대가 박근혜를 무죄라 주장하는 것과 뭐가 다르나.', '온 가족이 피투성이 되어 쓰러지는 가운데검찰개혁 깃발을 결코 놓지 않았던 조국장관님.같이 목소리 내어주고 지켜주지 못해 미안하다 고.그런 사과라면 인정한다.']"
3,이기다,98,"['n 이낙연을 추켜세우고 싶으면 갸가 잘한걸 드러내라nn나무깎아내려봐짜 이낙연이 경선에서 못이긴다nn이 간단한걸 아직도 몰라?? nnn답답하네nn니들땜에 이낙연은 또 나가리각인겨', 'n 조국사과 안하면 정권 저쪽으로 간다는 건 뭔 뇌수 흘러터지는 소리인지? 이보세요 조국을 핍박한 적폐검새를 때리는 게 이기는 길이에요 어디서 국짐당 간자같은 나발을 부는지', '보궐 선거에서 조국 전 장관님 때문에 패배했다는 말들을 하시고 계신다는데 그럼 보궐보다 먼저 치룬 총선은 누구 때문에 이긴 겁니까?누구 답해줄 의원나리 없습니까?이런 .']"
4,진실,93,"['n 진실?????n아침부터 별 쉰소리를 다 듣겠네nn이재명이 진실돼서 이딴 짓을 하고 n지지모임 발기인 수에 가짜명단 n섞어놓고 그러는구나.n', '아무리 기레기들이 떠들어도 여기 민주당 당원들은 진실이 무엇인지 알고 있는데.뭐.??? 조국사태.???조국을 지켜주지 못할망정 뭐한다고.???이런 c발', '윤석y정치검찰 최성해 국힘당 언론 조국가족모함사건 사건 진상규명하라 조국의 시간 조국 전 장관님 책 나왔습니다. 아픔과 진실 말하지 못한 생각']"
5,소득,77,"['이재명은 김부선이나 넘고 와라 꿈에 나올까 무섭지도 않냐?무상이 뭐냐 무상이.그것도 소득이라면 소득이겠다 재명아', '경제민주화 양극화 극복을 위해 부동산 불로소득에 대한 과세를 강화하고 더 적극적으로 적폐청산에 나서야 할 지금 무슨 엉터리 같은 사과나 하고 자빠졌나당대표 잘못 뽑았나? ㅠㅠ', 'n 허경영이 다 짝둥이라고 입 꾹 하라고 큰 소리치네요 에휴 n부끄러움은 당원 몫ㅠnnn허경영 이재명 기본소득 오세훈 안심소득은 짝퉁 공약내가 원조 heraldcorp.com']"
6,기대,75,"['감히 대통령 꿈을 품는게 가당키나 합니까송대표님어차피 기대도 안하지만 그냥 입이나 다물고 계셔 주시면 좋겠네요엉뚱한 민심 조사나 하지 마시고당게 글이나 숙독하세요', 'n 반드시 전국민상대로 지급해야 약발이 좋겧지요 해외 교민들까지면 더줗겠구요 상당수 국민들 기대하고 있습니다 그많큼생활이 여유가 없다는 것일까요', '기대도 안했습니다만 상상 그 이상. 이군요역사적인 개혁의 기회 놓치지 않도록 노심초사 애태우는 국민들 앞에 모하는 겁니까 사퇴하십시오']"
7,좋아하다,68,"['최근 들어 조쭝동이 윤가를 조금씩 패기 시작.덕분에 지지율이 떨어지고 그 표가 이재명으로 일시적 가고 있는 중왜? 김동연을 밀 예정이라. 좋아할 거 없어요 이재명 지지자님.', 'n 진토벤 쟤 국짐당 극우가 왜 여기 기웃거리 지?n스파이짓 그만하고 나가야지?n나갈때 뭐만하면 10만원 준다는 것들도 데리고 가면 국힘당 준서기가 좋아할 텐데?', '어쩜 이렇게 틀린말만 골라하시는지 그것도 능력이라면 능력이네요 저쪽이 좋아하는 짓만 하시는데 그쪽으로 하루빨리 가시는 게 어떨지싶네요 정치인생 몇 년인데. 참.']"
8,감사,68,"['n 운동권 개할애비들 n대학때 잠깐 나라 위한거 가지고 평생 누렸으면 n업그레이드해가면서 국민 앞에 겸손하고 감사해할 것이지n열폭하며 모자란 짓만 골라서 하는 추한 늙은이가 되었군', 'n 조국장관님께서 회고록에 감사하다 고 n언급한 집회는 서초동 집회다nn검찰개혁 민심을 갈라놓은 n여의도 집회는 회고록에 n따로 언급도 안하심 nn케로로 자위하는 꼴 딱하네 . n', 'n 왜구는n느그 이죄명계 경태남국이n이준석과 참 친해요n천왕폐하 만만세냐?n이준석 한줄 답장에n기리길게도 감사 인사하는 느그들. .잔심 존심도 없는 종자들n찢계n']"
9,도움,66,"['조국 수호문재인 대통령 사랑해요 이재명도 탈당하라어휴 말 길게 하고 싶지도 않다 이제 민주당에 하나 도움되지도 않는송영길 나가라사람 고쳐쓰지 않는 다는 말 송영길 보고 하는 말', '개혁에 도움이 안 될 바엔 차라리 창당하세요. 전혀 신선하지도 않고 민주당의 노선과도 맞지가 않습니다. 국짐당이 흔드는 대로 이리 흔들 저리 흔들.요즘 존재감이 없어요 민주당', '그게 진짜 정부와 여당에 도움이 될 거라고 생각하고 행동 하시는 건가요??적폐청산 하라고 여당 만들었더니떡검 검찰만들고 기레기 기자 만들랬더니왜 떡검 기레기와 어울리려 하나요']"
10,이루다,55,"['민주당이 4년 동안 이뤄왔던 모든 개혁 활동을 전체 부정하는 말입니다. 최근 민주당의 행보가 실망만 줍니다. 내일 대표님의 발언결과를 보고 당원 탈퇴를 고려해볼겁니다.', '어떻게 이룬 3기 민주정부인데너 같은 게 말아먹으려고 작정을 해?조국 장관 발톱의 때만도 못한 놈자랑스러운 민주당 권리당 원들한테 죽기 싫으면알아서 대표에서 물러나라', '저희 가족들 친구들 모두 한마음으로 이낙연 의원님을 끝까지 지지합니다. 대통령 되셔서 문재인 정부의 주요 정책들을 끝까지 이뤄내주시고 국민들 삶 안정되게 도와주세요']"
