word,count
조 국전 장관,128
송영길 당 대표,108
국민의 힘,96
민주당 당 대표,79
개혁 언론 개혁,67
조국 사태 사과,60
검찰 개혁 언론,54
당 대표 사퇴,54
자격이 없다,43
당 대표 자격,40
민주당을 지지,35
민주당이 조국,31
당 대표 탄핵,26
당 대표 송영길,25
김대중 노무현 문재인,25
당 대표 선거,24
대표 자격 없다,23
개혁 검찰 개혁,22
대표 필요 없다,22
검찰 언론 개혁,22
언론 개혁 검찰,21
조국을 지키다,21
대표로 뽑다,20
국민의 짐,20
민주당이 사과,19
능력이 없다,19
낙 연이 형,19
당 대표 필요,18
민주당의 당,17
여당 당 대표,16
소득 주도 성장,16
지지율이 떨어지다,16
정신 못 차리다,16
민심을 읽다,15
개혁 사법 개혁,14
사태를 사과,14
당 대표 뽑다,14
당 대표 자리,14
민주당 대선 후보,14
민주당을 망치다,13
민주당에서 나가다,13
장관이 민주당,12
가족의 피,12
민주당 권리 당원,12
장관에게 사과,11
정부의 성공,11
대표의 사과,11
최악의 당,11
인간이 당,10
자격으로 사과,10
보궐 선거 패배,10
민주당의 정체,10
당 대표 맞다,10
당 대표 내려놓다,10
고초를 겪다,10
게시판에 글,10
