word,count
민주당,3552
대표,3275
조국,3048
사과,2243
송영길,1732
당원,1408
장관,1367
개혁,1195
이재명,1124
대통령,1118
검찰,1085
사퇴,970
국민,906
의원,724
모르다,712
이낙연,674
언론,651
정치,624
사태,572
지지,544
지키다,526
나가다,503
지지율,493
정신,490
대선,472
정부,453
지지자,438
윤석열,436
보이다,405
민심,403
가족,394
인간,368
탈당,368
선거,365
차리다,344
후보,336
바라다,307
여당,282
정책,277
지사,277
야당,256
민주,256
권리,253
정권,247
노무현,239
본인,239
능력,236
자리,235
필요,231
나라,229
초선,221
부동산,221
이해찬,217
문재인,214
이유,212
마음,212
떨어지다,210
탄핵,200
자격,198
촛불,197
국회의원,193
미치다,191
올리다,187
행동,180
부끄럽다,177
다음,171
시민,169
적폐,168
당장,165
수사,163
시장,160
무능,160
조사,160
의리,155
반성,153
당하다,153
문재,151
발언,150
조중동,148
수준,148
의견,146
기사,146
싸우다,145
경기도,145
관련,143
여론,143
국전,142
머리,139
다르다,137
게시판,136
투표,136
잘못,135
보궐,134
다니다,132
비판,130
대한민국,130
프레임,127
쌍욕,126
책임,124
얘기,123
이해,123
모습,122
비난,122
사건,122
정당,121
헛소리,121
경선,120
정의,120
상황,120
교수,120
재판,119
공정,119
이준석,119
내려오다,118
똥파리,118
무시,118
반대,117
결과,117
조작,115
망하다,114
인정,114
내리다,114
세력,114
실망,112
떠나다,112
물러나다,112
재명,112
지도부,112
응원,112
이름,112
대권,112
세상,112
힘들다,110
행위,110
쓰레기,109
보수,109
권력,108
수박,107
버리다,107
총선,107
뉴스,107
눈치,105
보내다,103
원하다,102
시절,101
밝히다,101
기본,100
가능,98
정치인,98
따르다,98
방역,98
백신,98
이기다,98
파악,98
목소리,97
오르다,95
개인,94
나서다,94
박근혜,94
꺼지다,93
진실,93
희생,93
청년,93
경기,92
현실,92
당비,91
판단,91
입시,91
짓거리,91
사면,90
국가,89
호남,89
주장,89
소환,89
말씀,88
공격,88
윤석렬,87
시작,87
나쁘다,87
부정,85
느끼다,85
청와대,84
욕하다,84
통령,84
분노,84
추미애,84
댓글,84
당선,83
죄명,83
난리,83
돌리다,83
총리,83
내부,82
터지다,82
하루,82
지나다,82
중도,81
비리,81
어쩌다,81
지역,80
요구,80
일본,80
내용,78
자녀,78
주제,77
반문,77
똑같다,77
소득,77
걱정,76
당게,76
패배,76
조응천,75
헛발,75
이야기,75
기대,75
선택,75
승리,74
이후,73
생기다,73
해당,73
언급,73
방법,72
김진표,72
외치다,72
말아먹다,71
대신,71
빠지다,71
상식,71
바꾸다,71
운동,71
진심,71
챙기다,71
차기,71
죽이다,70
격리,70
코로나,70
미래,70
제도,69
출신,69
부탁,69
망치다,69
관심,69
더럽다,68
기억,68
좋아하다,68
감사,68
바보,68
미안,67
파리,67
의혹,67
민주주의,67
민생,67
무섭다,66
노력,66
만나다,66
도움,66
권당,66
준비,66
레기,65
모자라다,65
정보,65
어렵다,64
일부,64
역사,64
들어가다,63
세금,62
시기,62
입장,62
도지사,62
운운,61
행태,61
인사,61
돌아가다,61
행보,61
이명박,61
증거,61
버티다,61
떠들다,60
기득,60
양심,60
분열,60
서초동,60
계시다,60
주자,59
논란,59
오렌지,59
보호,59
기자,59
팔리다,59
정체,58
알리다,58
처음,58
던지다,58
일반,57
연이,57
아깝다,57
부족,57
한마디,57
유지,57
자식,57
서울,56
시대,56
포럼,56
꼬라지,56
제정신,56
열리다,56
사진,56
침묵,55
원인,55
이루다,55
가짜,55
대상,55
복지,55
착각,55
정상,54
진행,54
창출,54
세대,54
외면,54
공약,54
남기다,54
도덕,54
기본소득,54
참패,53
성공,53
공개,53
진보,53
내년,53
사죄,53
방향,53
집단,53
중요,53
부자,53
지급,52
추진,52
아프다,52
순간,52
당시,52
김대중,52
입법,52
최고,52
부르다,52
위원장,52
잡히다,51
무죄,51
지원,51
세우다,51
대리,51
주택,51
가치,50
고통,50
감각,50
전국,50
상처,50
수구,50
배우다,50
더불다,50
국회,50
공감,50
인물,50
경제,50
최악,49
바뀌다,49
배신,49
제명,49
서명,49
최소한,49
모이다,49
기회,49
가리다,48
원칙,48
의미,48
걸리다,48
접종,48
다물다,48
활동,48
임기,48
참여,47
집토끼,47
당내,47
이용,47
시키다,47
정세균,47
선족,47
무리,47
아들,46
경청,46
동지,46
동의,46
의하다,46
소통,46
데리다,46
보도,46
통과,46
거리,46
박원순,46
발표,46
들어오다,46
품격,46
혜경궁,46
인생,46
존재,45
욕설,45
짜증,45
특혜,45
상대,45
자체,45
주변,45
표창장,45
가슴,45
논리,45
문통,45
결정,45
역겹다,45
적극,44
처리,44
앞장서다,44
성장,44
목적,44
이미지,44
끝나다,44
언행,44
잘나다,44
사법,44
집권,44
관리,44
희망,43
전남,43
웃기다,43
이끌다,43
올라가다,43
총질,43
의지,43
탈퇴,43
포기,43
뿌리다,43
부분,43
과거,43
반정부,42
얼굴,42
변하다,42
마지막,42
설명,42
찬성,42
거짓말,42
법안,42
고치다,42
덕분,42
모지리,42
전략,41
대의원,41
일으키다,41
임대,41
지켜보다,41
표현,41
가격,41
검사,41
집값,41
형수,41
창당,41
들리다,40
수많다,40
대책,40
거대,40
문자,40
출당,40
포털,40
결국,40
난도질,40
시점,40
광주,40
혼자,39
어이없다,39
기소,39
무식,39
보선,39
종부,39
불법,39
세계,39
작정,39
타령,39
차이,38
당규,38
도와주다,38
징계,38
검증,38
의심,38
대학,38
욕심,38
안정,37
뱃지,37
그동안,37
하락,37
자랑,37
어울리다,37
내려놓다,37
정동영,37
사라지다,37
정무,37
한국,36
판결,36
공식,36
대응,36
대출,36
모으다,36
취급,36
부럽다,36
막히다,36
책임지다,36
모두,36
끌리다,36
인식,36
내놓다,36
두렵다,36
뒤집다,36
자빠지다,36
모양,36
이재용,36
회견,36
놀아나다,36
손잡다,35
송영,35
포함,35
핑계,35
아이,35
사랑,35
공천,35
불륜,35
해결,35
왜곡,35
법무부,35
조롱,35
거짓,35
지지층,35
선언,35
꼰대,35
당대,35
신뢰,34
빠르다,34
근거,34
향하다,34
흘리다,34
회고록,34
강성,34
양반,34
대세,34
당헌,34
본질,34
선출,34
부모,34
분위기,34
보편,34
고생,33
공부,33
일어나다,33
평가,33
우습다,33
약속,33
성남,33
