word,count
모르다,277
나가다,257
보이다,248
지키다,202
바라다,180
차리다,146
올리다,116
떨어지다,104
다니다,96
이기다,93
다르다,90
따르다,86
미치다,85
느끼다,75
망하다,75
바꾸다,74
부끄럽다,70
말아먹다,70
힘들다,70
오르다,69
어쩌다,67
지나다,65
어렵다,54
보내다,53
망치다,53
떠나다,51
물러나다,51
원하다,51
생기다,47
싸우다,47
알리다,46
끝나다,45
세우다,45
버리다,44
미루다,43
나서다,43
돌아가다,42
똑같다,42
가리다,41
들어가다,40
내려오다,39
당하다,39
이루다,39
무섭다,39
데리다,38
빠지다,38
부르다,38
부럽다,38
밝히다,38
꺼지다,38
어리다,38
챙기다,38
내리다,37
정하다,37
걸리다,37
내세우다,36
더럽다,36
모으다,35
좋아하다,35
돌리다,35
뿌리다,35
새롭다,35
계시다,34
책임지다,34
나쁘다,34
올라가다,34
바뀌다,33
터지다,33
욕하다,32
잡히다,32
일어나다,31
나아가다,30
뺏기다,30
떠들다,30
시키다,30
살리다,30
치루다,29
모자라다,29
만나다,28
모이다,28
외치다,28
버티다,27
넘어가다,26
웃기다,26
사라지다,25
빠르다,25
고치다,25
들어오다,25
치르다,25
뭉치다,25
움직이다,25
따지다,25
아프다,25
변하다,24
해보다,24
배우다,24
죽이다,24
의하다,23
넘기다,23
기다리다,23
이끌다,23
두렵다,23
피하다,23
일으키다,23
붙이다,23
끌리다,22
바쁘다,22
나누다,22
열리다,22
무너지다,22
내뱉다,22
더불다,22
던지다,22
도와주다,22
향하다,21
손잡다,21
괜찮다,21
부리다,21
키우다,20
자빠지다,20
설치다,20
다물다,19
닥치다,19
바라보다,19
거치다,19
쪽팔리다,19
남기다,18
내놓다,18
드러나다,18
갖추다,18
지나가다,18
띄우다,17
맞추다,17
급하다,17
달리다,17
취하다,17
돌아서다,17
강하다,17
다루다,17
심하다,17
휘둘리다,17
들리다,17
치우다,17
지켜보다,17
내려놓다,17
나대다,17
가볍다,17
넘치다,17
찾아보다,17
지우다,16
날리다,16
뒤집다,16
지껄이다,16
저지르다,16
따라가다,16
높이다,16
올바르다,16
말리다,15
아깝다,15
가깝다,15
안타깝다,15
까먹다,15
처먹다,15
앞서다,15
지내다,14
없애다,14
놀아나다,14
팔리다,14
애쓰다,14
앞세우다,14
구하다,14
돌아오다,14
때리다,14
지치다,14
흘리다,14
채우다,14
먹히다,13
살아나다,13
가져오다,13
누르다,13
싫어하다,13
막히다,13
바치다,13
어울리다,13
우습다,13
옮기다,13
가르다,13
고르다,13
망가지다,13
뻔하다,12
놓치다,12
먹이다,12
올라오다,12
비하다,12
부치다,12
깨지다,12
흔들다,12
깨닫다,12
놔두다,12
아쉽다,12
대놓다,12
앉히다,12
엄청나다,12
싸지르다,12
역겹다,12
살아오다,12
바르다,11
잘나다,11
내주다,11
나타나다,11
늦추다,11
찌르다,11
노리다,11
모시다,11
고맙다,11
사이다다,11
물어뜯다,11
뽑히다,11
앞두다,10
끼치다,10
끌어내리다,10
해내다,10
전하다,10
끌어들이다,10
내보내다,10
마치다,10
돌아보다,10
틀리다,10
알아보다,10
즐기다,10
추하다,10
살아가다,10
멋지다,10
받아들이다,9
시끄럽다,9
정해지다,9
멈추다,9
기울어지다,9
묻히다,9
숨기다,9
커지다,9
마시다,9
부러지다,9
떨어뜨리다,9
어이없다,9
축내다,9
거르다,9
서두르다,9
앞장서다,9
어기다,9
찾아가다,9
불리다,9
편하다,9
찍히다,9
약하다,9
맡기다,9
낮추다,9
벗어나다,9
벌이다,8
사리다,8
쓸데없다,8
살아남다,8
밀리다,8
흔들리다,8
살피다,8
자르다,8
부추기다,8
일삼다,8
수많다,8
박히다,8
넘겨주다,8
그리다,8
댕기다,8
꿈꾸다,8
다치다,8
마르다,8
따라하다,8
관하다,8
감추다,8
모자르다,8
몰리다,8
구리다,8
내려가다,8
들이다,8
가져가다,8
그만두다,8
놀랍다,7
망가뜨리다,7
이어지다,7
씌우다,7
나르다,7
팔아먹다,7
밀어붙이다,7
떠나가다,7
부르짖다,7
도망가다,7
중하다,7
빼앗기다,7
가열차다,7
놀라다,7
빛나다,7
친하다,7
비싸다,7
드러내다,7
피우다,7
꺼내다,7
늘어지다,7
합치다,7
가하다,7
생각나다,7
이루어지다,7
쫓아내다,7
바래다,7
놀리다,7
돌아다니다,7
여기다,7
살펴보다,6
끌려가다,6
상관없다,6
고이다,6
그립다,6
기울이다,6
시달리다,6
속이다,6
때려치다,6
건너다,6
덤비다,6
달려가다,6
비추다,6
행하다,6
흘러가다,6
묵히다,6
무너뜨리다,6
바로잡다,6
욕먹다,6
흐리다,6
오가다,6
휩쓸리다,6
발리다,6
내치다,6
더럽히다,6
날뛰다,6
뛰어넘다,6
다름없다,6
터트리다,6
잃어버리다,6
슬프다,6
매달다,6
다가오다,5
느리다,5
알아주다,5
두드리다,5
아리다,5
저쩌다,5
아끼다,5
시원찮다,5
자라다,5
줄이다,5
야무지다,5
주어지다,5
이어받다,5
돌이키다,5
누리다,5
조지다,5
쌓이다,5
쏟아지다,5
어설프다,5
뭣하다,5
짠하다,5
견디다,5
만지다,5
벼르다,5
같잖다,5
뛰어나다,5
뚫리다,5
튀기다,5
지겹다,5
털리다,5
벌어들이다,5
감싸다,5
건드리다,5
헤치다,5
걸맞다,5
펼치다,5
헷갈리다,5
찌그러지다,5
못되다,5
기대다,5
관두다,5
귀하다,5
흐르다,5
드럽다,5
차오르다,5
굳히다,5
괴롭히다,5
힘내다,5
무겁다,5
냅두다,4
화나다,4
하얗다,4
갇히다,4
내걸다,4
헤아리다,4
내밀다,4
내쫓다,4
휩싸이다,4
풀리다,4
즐겁다,4
인정받다,4
거두다,4
지르다,4
질리다,4
좁히다,4
넘어지다,4
꺼리다,4
접하다,4
꼬이다,4
찾아오다,4
처하다,4
걸어오다,4
잠재우다,4
춤추다,4
끌어올리다,4
끝내다,4
건너가다,4
거칠다,4
거스르다,4
거들다,4
끼우다,4
임하다,4
엎드리다,4
힘쓰다,4
따라잡다,4
안기다,4
빌리다,4
도려내다,4
들어주다,4
아름답다,4
벌어지다,4
씨부리다,4
들어서다,4
올려놓다,4
들먹이다,4
돋보이다,4
들락거리다,4
맞서다,4
보태다,4
봐주다,4
되찾다,4
숙이다,4
뒤바뀌다,4
손대다,4
뜬금없다,4
속하다,4
붙들다,4
속상하다,4
덩달다,4
들이밀다,4
배부르다,4
늘리다,4
빠져나오다,4
빼앗다,4
물어보다,4
