word,count
대표,1360
대통령,857
국민,704
경선,666
언론,630
개혁,614
대선,555
후보,463
당원,457
연기,402
의원,402
지지율,373
정치,348
지지,318
사퇴,292
정권,282
검찰,242
정신,227
정부,220
인간,220
정책,216
지지자,211
원칙,203
나라,190
기사,189
조국,187
민주,185
부동산,179
선거,179
야당,174
능력,158
필요,156
이유,156
여당,156
지사,155
반대,146
자리,143
세력,136
똥파리,132
상황,131
뉴스,127
발언,121
정치인,118
국회의원,116
탈당,114
본인,112
사과,111
청년,109
마음,103
다음,102
문재,101
조사,100
버스,99
장관,96
사고,95
하루,90
수준,89
가능,86
창출,84
국가,83
민심,81
정당,81
여론,80
시장,80
재명,80
무능,79
코로나,79
권리,78
입법,78
이미지,78
주장,78
도지사,78
보도,77
탄핵,75
공정,75
내년,74
적폐,74
책임,73
승리,73
걱정,73
당장,72
게시판,72
쓰레기,72
행동,72
모습,71
사진,71
시민,71
대권,71
중요,71
당선,70
당규,69
인물,68
국회,68
비판,68
투표,67
당헌,67
흥행,66
머리,65
정상,65
의견,65
시절,64
나이,64
보수,64
말씀,64
기본,64
법안,63
검증,61
경제,61
관심,61
파리,61
성과,61
준비,60
통령,60
세대,60
무시,60
일정,60
쌍욕,59
세계,59
얘기,59
결정,58
차기,58
중도,58
민주주의,57
관련,57
헛소리,57
해외,57
집값,56
선택,56
시작,55
도움,55
세상,55
공격,55
총리,55
역사,54
이해,54
성공,54
꼰대,54
자격,54
선출,54
백신,54
변화,53
통과,53
자체,53
개인,53
눈치,53
권력,52
초선,52
운영,52
응원,51
지도부,51
방송,51
기득,51
최고,51
피해자,51
인사,50
순방,50
거짓말,50
공감,50
내용,49
처리,49
방법,49
망언,49
집단,48
실수,48
지도자,48
중심,48
복지,48
집권,48
댓글,48
현실,48
시대,48
도덕,48
국격,47
사면,47
반문,47
진행,46
품격,46
참사,46
시기,46
홍보,46
막말,46
미래,45
지역,45
외교,45
특정,45
운동,44
인정,44
이후,44
당내,44
기대,43
자랑,43
친구,43
꼼수,43
죄명,43
사건,43
추진,43
신뢰,43
연설,42
인성,42
내부,42
이슈,42
상식,42
주자,42
행위,42
얼굴,42
부족,41
혁신,41
의혹,41
가족,41
약속,40
여성,40
판사,40
재난,40
결국,39
상대,39
결과,39
부탁,39
보궐,39
판단,39
역대,39
이름,39
본능,38
공천,38
소식,38
찬성,38
이야기,38
조폭,38
출신,37
세금,37
총선,37
당게,37
지급,37
투기,37
사랑,36
반성,36
진심,36
순간,36
진보,35
정보,35
지원,35
지원금,35
가짜,35
민생,35
문통,34
의심,34
핑계,34
행보,34
최악,34
준석,34
비리,34
비난,34
상승,33
방향,33
기자,33
오렌지,33
방식,33
국정,33
업적,33
출당,33
발전,33
방문,33
정의,33
소득,32
수박,32
수사,32
참석,32
서민,32
건물,32
인생,32
감사,32
촛불,32
전략,32
작정,32
분노,32
포기,32
유지,32
논리,32
노력,32
목표,32
도배,31
주택,31
불법,31
기회,31
토론,31
공부,31
전국,31
양심,31
패배,31
자료,30
사태,30
임기,30
사법,30
주제,30
짓거리,30
시험,30
조직,30
확인,30
의미,30
목적,30
언급,29
요구,29
위기,29
위원장,29
한마디,29
거리,29
