word,count
민주당,1871
이재명,801
이낙연,602
송영길,470
이준석,325
문재인,171
대한민국,134
윤석열,116
노무현,90
이해찬,81
광주,72
조중동,67
박근혜,63
경기도,54
포털,48
한국,46
일본,44
서울,44
김대중,43
양정철,43
이동학,41
이명박,40
레기,38
청와대,35
김한규,34
정세균,33
추미애,32
미국,31
유튜브,30
김해영,29
엑셀,28
기본소득,27
남불,26
페미,26
정동영,26
윤석렬,25
이명,24
스페인,22
김양호,21
김진표,20
김구,19
유럽,18
나견,17
오스트리아,17
동아일보,17
음주운전,17
혜경궁,16
부산,16
판문점,15
남경필,14
북한,14
화이팅,13
홍영표,13
전두환,13
안철수,12
노통,12
박광온,12
하버드,12
김용민,12
조선,12
김부선,11
성남,11
성남시,11
중국,11
김명수,11
독도,11
스펙,11
박주민,11
이광재,10
전라도,10
인천,10
유시민,10
홍남기,10
이대로,10
홍준표,10
올림픽,9
이재선,9
스기,9
네이버,9
리플리,9
삼성,8
교섭단체,8
천촌,8
김어준,8
김현미,8
이재용,8
러시아,8
오세훈,8
메인,8
문정부,8
강남,8
박정희,8
박용진,7
캡쳐,7
영국,7
원내대표,7
레이터,7
이상민,7
남양주시,7
전남,7
여의도,7
조선일보,7
수신료,7
바이든,7
비대위,7
엑스맨,7
김남국,6
키즈,6
튜버,6
이지모,6
구석,6
사이코패스,6
포퓰리즘,6
윤영찬,6
독일,6
경기도지사,6
우상호,6
비젼,6
문흥식,6
불광동,6
연평,5
민경욱,5
나경원,5
남북,5
정청래,5
조수진,5
내지,5
조응천,5
스가,5
박영순,5
이기명,5
대구,5
쉴드,5
뱃지,5
올드,5
박수현,5
허경영,5
옵티머스,5
한반도,5
손혜원,5
백혜련,4
건희,4
김한길,4
메이,4
고양시,4
정신줄,4
조경태,4
코리아,4
개콘,4
한나라당,4
주호영,4
중동,4
공상허언증,4
선대위,4
재보궐선거,4
페이스북,4
트라우마,4
최저임금,4
김종인,4
박원순,4
아시나,4
이니스,4
분당,4
이대남,4
알바,4
네요,4
다고,4
박영선,4
아바타,4
이소영,4
유승민,4
오바마,4
압수수색,4
민사재판,3
세종,3
국당,3
균형발전,3
트위터,3
김혜영,3
리쉬,3
한미정상회담,3
한화갑,3
옥수동,3
만주,3
경북,3
박병석,3
리들,3
윤호중,3
킹메이커,3
보유국,3
나가라,3
나몰라,3
버스비,3
정성호,3
김정숙,3
싸이코,3
이문덕,3
내라,3
김경수,3
노태우,3
기쁨조,3
최시중,3
최지은,3
기동민,3
미애,3
케로로,3
안희정,3
이석기,3
