word,count
당 대표,762
경선 연기,268
언론 개혁,204
이낙연 의원,139
대선 후보,114
검찰 개혁,105
송영길 대표,85
문재인 대통령,81
송 대표,70
민주당 지지율,62
이재명 지사,59
문 대통령,56
당헌 당규,49
버스 기사,48
정신 차리다,48
떵 파리,42
연기 반대,41
민주당 의원,40
송영길 당,38
여당 대표,37
노무현 대통령,34
대통령 후보,33
노무현 문재인,33
대선 경선,33
필요 없다,33
개혁 입법,32
김대중 노무현,32
조국 장관,32
내년 대선,32
경선 일정,31
문재인 정부,30
여론 조사,30
특정 세력,29
이낙연 대표,29
이재명 지지자,29
보궐 선거,29
민주당 대표,28
기 레기,28
대선 승리,26
권리 당원,26
전수 조사,25
민주당 당,25
재난 지원금,25
역대 급,25
민주당 대선,24
개혁 검찰,24
이명 박근혜,24
민주 시민,23
개혁 언론,23
기본 소득,23
이재명 도지사,22
해외 순방,22
대통령 지지율,21
민주당 후보,20
당원 게시판,20
민주당 지지자,20
대표 사퇴,19
가짜 뉴스,19
국빈 방문,19
선거 운동,19
당장 사퇴,19
문재인 이낙연,18
야당 대표,18
민주당 국회의원,18
대권 후보,18
대선 주자,18
부동산 정책,18
검찰 언론,17
민주당 말아먹다,17
당 지지율,17
김구 김대중,17
공 수처,17
언론 검찰,17
민주당 당원,17
제발 정신,17
제발 사퇴,17
나라 이낙연,16
디 어문,16
다음 대선,16
국민 재난,16
이재명 지지,16
가망 없다,16
차기 대통령,16
사법 개혁,15
부동산 투기,15
특임 장관,15
집단 면역,15
버스 정류장,15
정권 연장,15
대권 주자,15
경선 룰,15
최고 위원,15
건물 붕괴,15
손해 배상,15
광주 참사,15
권익 위,15
송영길 사퇴,14
당원 투표,14
대표 송영길,14
해당 행위,14
당 지도부,14
서울 시장,14
능력 없다,14
빨리 사퇴,14
기 획단,14
이준석 대표,14
민주당 망하다,14
낙 연이,14
국정 운영,14
정권 교체,14
대표 직,13
공감 능력,13
친구 비,13
지지율 떨어지다,13
당원 동지,13
대선 기,13
집권 여당,13
대선 준비,13
여당 당,13
개혁 법안,13
찢 파리,12
하루 이틀,12
이낙연 대통령,12
대표 선거,12
이낙연 정세균,12
후보 중심,12
경기도 지사,12
경선 연기론,11
개인 정보,11
정계 은퇴,11
법사 위원장,11
경선 흥행,11
정상 회담,11
송영길 뽑다,11
보수 언론,11
포털 개혁,11
민주당 대통령,11
똥 거품,11
제발 민주당,10
박스 떼다,10
특정 후보,10
적폐 청산,10
이준석 당,10
일반 국민,10
다음 정권,10
사진 찍다,10
당지 지율,10
대표 자리,10
자격 없다,10
못 차리다,10
광주 건물,10
이낙연 후보,10
혜경궁 김,10
대표 시절,10
거대 여당,10
코로나 시국,10
김대중 대통령,10
대통령 선거,10
민주주의 원칙,10
다음 선거,9
쓰레기 언론,9
당무 위원회,9
부동산 규제,9
연기 찬성,9
부동산 전수,9
하루 종일,9
법안 통과,9
검찰 총장,9
개혁 법,9
판문점 선언,9
절대 반대,9
발목 잡다,9
기획 단장,9
구태 정치,9
붕괴 참사,9
김양호 판사,9
토지 공개념,9
지지율 높다,9
민주당 지도부,9
영 길이,9
비서 실장,9
후보 경선,9
특별 당규,9
대선 기획,9
리플리 증후군,9
정부 정책,9
후보 뽑다,9
민주당 정신,9
백신 접종,9
대통령 만들다,8
정말 민주당,8
국민 경선,8
투기 의혹,8
스페인 국빈,8
쌍욕 재명,8
보편 지급,8
초선 의원,8
후보 선출,8
대통령 당선,8
민주 진영,8
국회 연설,8
개혁 사법,8
내부 총질,8
자진 사퇴,8
자전거 타다,8
민주당 지지,8
이재명 이낙연,8
이재명 대통령,8
이재명 같다,8
뒷방 늙다,8
이낙연 총리,8
바로 잡다,8
도대체 당,8
참 한심,8
지지율 하락,8
운전사 본능,8
대표 자격,8
왜 민주당,8
언론 보도,8
정기 국회,8
오스트리아 스페인,8
논문 표절,8
차기 대선,8
욕설 파일,8
당 차원,8
민주당 정치인,7
민주당 권리,7
민주당 송영길,7
민주당 이미지,7
백신 맞다,7
대표 연설,7
민주당 간판,7
민주당 경선,7
대표 탄핵,7
부산 시장,7
박근혜 사면,7
정상 회의,7
당대 표직,7
인천 시장,7
당 말아먹다,7
능력 부족,7
집값 상승,7
외교 성과,7
임기 끝,7
이낙연 지지,7
이준석 같다,7
엑셀 레이터,7
조국 전법,7
이슈 선점,7
고소 고발,7
조중동 손절,7
종 부세,7
죄 송영길,7
당 이미지,7
기재 부,7
당규 개정,7
전혀 없다,7
정부 여당,7
군 면제,7
정말 한심,7
야당 의원,7
대선 망치다,7
정권 뺏기다,7
청년 정치인,7
송영길 이재명,7
재보 선,6
정신 병원,6
민주 대권,6
정말 답답,6
민주당 전체,6
일반 당원,6
정권 창출,6
민주당 수박,6
정치 인생,6
일정 연기,6
점명 지지자,6
자리 차지,6
제발 부탁,6
주제 파악,6
항상 응원,6
서울 포럼,6
이재명 송영길,6
파리 떼,6
선언 비준,6
붕괴 사고,6
태극기 부대,6
부동산 특위,6
청년 세대,6
시스템 공천,6
시험 연기,6
참으로 한심,6
어떻게 당,6
참사 운전사,6
언론 포털,6
얼마나 많다,6
엑셀 밟다,6
찢 끄레기,6
영 길씨,6
유럽 순방,6
의원 직,6
이낙연 수신제,6
지지 글,6
박광온 법사,6
바우처 법,6
이낙연 지지자,6
토착 왜구,6
주택 공급,6
이유 없다,6
지자 체장,6
힘 이준석,6
문재인 정권,6
대한민국 대통령,6
그냥 사퇴,6
규제 풀다,6
기사 탓,6
국정 감사,6
국민 여론,6
도통 령,6
광주 시민,6
기자 회견,6
김한규 변호사,6
꼭 필요,6
꼰대 정당,6
경선 후보,6
경선 치루다,6
당원 의견,6
근거 없다,6
강제 입원,6
개혁 포털,6
당정 청,5
사법 언론,5
기존 정치인,5
대통령 소식,5
사면 발언,5
가장 좋다,5
이재명 경기도지사,5
순간 민주당,5
이재명 나오다,5
대표 당선,5
이재명 데리다,5
부동산 관련,5
복지 서울,5
기분 좋다,5
복지 대전,5
서울 부산,5
꼼수 부리다,5
음주운전 논문,5
대전 포럼,5
송영 길,5
쓰레기 같다,5
송무 능,5
언론 지형,5
언론 플레이,5
손실 보상,5
이재명 후보,5
유 튜버,5
연기 주장,5
연기 필요,5
예외 조항,5
왜 반대,5
욕 나오다,5
위 조사,5
당 망치다,5
전체 국민,5
글 올리다,5
검사 사칭,5
경선 시기,5
차기 정권,5
경선 떨어지다,5
창출 이루다,5
처벌 법,5
천촌 문중,5
청년 특임,5
총리 시절,5
코로나 방역,5
집단 지성,5
투기 세력,5
판문점 비준,5
피해 자분,5
하루 아침,5
형수 쌍욕,5
가짜 약장수,5
가장 중요,5
후보 확정,5
경선 원칙,5
진보 정당,5
장대 발,5
제대로 보도,5
병역 비리,5
정권 넘어가다,5
국위 선양,5
정말 부끄럽다,5
교섭단체 연설,5
광주 사고,5
정신 없다,5
관심 없다,5
조국 사과,5
직무 유기,5
공중 파,5
조국 추미애,5
조국 탓,5
존재 이유,5
중앙 정부,5
지방 선거,5
계곡 정비,5
지지자 수준,5
대표 선출,5
사리 분별,5
민주당 정권,5
민주당 소속,5
민주당 국,5
못 가리다,5
몸 사리다,5
민주 정권,5
민주당 꼰대,5
반 페미,5
대한민국 국민,5
댓글 달다,5
민주 당원,5
바보 같다,5
민생 개혁,5
민주당 탈당,5
민주당 망신,5
민주당 망치다,5
못 시키다,5
대표 임기,5
입법 활동,4
우동 사리,4
민주당 당게,4
질질 끌려가다,4
노 대통령,4
반 민주당,4
왜 언론,4
왜 조용,4
네이버 다음,4
민주당 당헌,4
우 쭈쭈,4
지지율 올라가다,4
오렌지 뻐꾸기,4
지지율 상승,4
운전자 탓,4
박영순 의원,4
국내 언론,4
메이 킹,4
윤리 위원회,4
지지율 깎다,4
박근혜 탄핵,4
의원 나리,4
경선 후,4
영화 같다,4
계속 똥,4
쩍 팔리다,4
못 느끼다,4
경기 도민,4
참사 관련,4
반드시 승리,4
리더 쉽,4
반대표 던지다,4
찬반 투표,4
정권 내주다,4
당 자체,4
국회 의장,4
차기 대권,4
국회 차원,4
당 꼬라지,4
여당 인사,4
당 게시판,4
차 차기,4
찢 지사,4
다음 대통령,4
연기 절대,4
군사 정권,4
군소 후보,4
지지 세력,4
남양주 시장,4
제대로 사과,4
의원 총회,4
이재명 이재명,4
광주 붕괴,4
공영 방송,4
자식 불알,4
정치 개혁,4
민주당 찍다,4
급 성과,4
민주당 지지층,4
민주당 맞다,4
이준석 자전거,4
이해찬 같다,4
이해찬 당,4
이해찬 이재명,4
이해찬 체재,4
과대 해석,4
관련 뉴스,4
제발 당,4
그리 좋다,4
그리 없다,4
