,neg_words,count,documents
0,떨어지다,104,"['이준석 손바닥에서 노는 거지생각 좀 하고 살자전략도 떨어지고인물 경쟁력도 떨어지고국힘 따라쟁이 하면 민주당 망하는 거지', '좋은 글 잘 봤습니다꼼수 쓰눈 사람 주변엔 꼼수 꾼들만 있고꼼슈 귝민이 되고 꼼수 나라가 될겁니다 이러면 국격이 떨어지겠죠.이죄명은 이명박 보다 열배는 더 사기꾼 이라 봅니다', '오늘 당비 빠져나간걸 보고 또 생각했죠 지금은 이낙연 대표님 외에는 답이 없구나.찢 경선 떨어지고 딴 당 차려서 나가서 대선 나가주라 그리고 꼭 검증 받고 사라져주라']"
1,망하다,75,"['국힘당은 어차피 망한거 죽은 자식 불알 만지면살아날까 하는 실낱 같은 마지막 카드죠. 우리는 이낙연 의원 님애게 화력 모아서 마지막 남은 썩은 보수 숨통을 끓어 버려야 합니다', '송영길 이낙엽 두인간이 민주당 망하게 할려고 작당했구나.정권넘겨주고 민주당장악해서 부귀영화누릴려고.미친 것들.더이상 두고 볼 수 없는 지경이다.송영길당대표 탄핵을 주장합나다', '당 대표라는 사람이 할말 못할말 못가리고 그냥 뱉는데 제정신이면 저럴 수가 있나요?? 당대표 잘못 둬서 민주당 망하게 생겼네요민주당에서 제발 꺼져주세요 ㅠ']"
2,걱정,73,"['도대체 당대표 돼서 한 게 입실수밖에 없네. 이준석보다 민주당 대표가 걱정이다. 우리당 대표가 똑똑함 뭔 걱정인가 에구', '아무리 헛말을 해도 정도가 있지 이게 뭡니까 인사사고 난 곳에다가 저런 말을 어찌 합니까?비대위 꾸리세요 이제보니 대선이 문제가 아니라 당 존립이 걱정이네.솔직히 이젠 무섭습니다.', '2030들이 집 못 사서 재난의 시대 라는 여당 대표???40 50들이 집 못 사는 것은 무슨 시대라 해야 할까???더불어민주당 대표의 무식함이 언론을 찌른다. 매우 걱정스럽다.']"
3,승리,73,"['나는민심을 가장 많이접하는 사람이다 검찰 사법 언론개혁만이 민주당살길이요 대선 승리의 길이니 눈치 보지 말고 언론의식하지 말고 고강도개혁 속히해라 명심하시요', '민주도 경선연기 대찬성하며 이낙연대전 대표님 조국전법무장관 시너지 효과로 정귄재창출 이룰 최적의 조화이며 대선 승리를 민주가 민주곁에 있다할 것 입니다', '100퍼 공감합니다. 우리끼리 여기서 정신승리해봤자관심없는 정알못들은 분위기 휩쓸려서 국짐찍습니다. 민주당 지금 이 고비입니다.잘해야 됩니다.']"
4,쓰레기,72,"['대통령님이 대한민국의 미래를 위한 판을 다 만들었는데 사정잡배같은 양아치와 쓰레기들이 대한민국의 역사를 거꾸로 돌리게 만들수 없다 이낙연만이 이걸 이어서 꽃을 피울수 있다', '광주지역 어른들께 잘보여서 대의원표 많이확보해놓고 그런 쓰레기같은 말을 하고 싶나요?자격없습니다 제발 당대표 하지 마세요 우리 옆집 고양이가 맡아도 당신보다 더 잘할겁니다', '이재명이 지긍 당 말아먹는거 안보여요?어디서 싸구려인사를 민다고ㅜㅜ진짜 고스톱 쓰리고 피박 개평 개고기 양고기같은 소리나하는 천박한 쓰레기를아유 챙피해']"
5,힘들다,70,"['저건 운전자유가족이 송영길에게 고소 걸어도 할말없을 망언입니다.능력에 안맞는 자리에 앉으면 주위 사람들이 힘들어집니다.진정 민주당을 위한 다면 전과4범 데리고 함께 당을 나가십시요', '입법 경험없는 찢사님은 힘들죠.그리고 행정 업무도 잘한게 없잖아요??방역만 해도 뭘잘했나요??밑에 두분은 찢사님델고 기본소득당 가셔서 바로 대권 후보 만드세요여기선 경선 힘들어요', '일부러 이러기도 쉽지 않을 텐데요 현장에서 마음떠나는 민심을 붙들기도 힘든데.이제 내마음도 당을 떠나고 싶네요.ㅜ일부러 마음이 떠나기를 바라는 건지.어이할꼬.']"
6,부끄럽다,70,"['한 가족이 사냥당하고 있는데분노하지 않는 자외면하는 자검찰 윤석렬과 한 통속이다 고 생각한다 많은 사람들이 그의 책을 생각만 해도눈물이 난다 인간으로 부끄럽게 살지는 말자', '맞습니다 이재명은 민주당에선 절대 가망없죠불광동휘발류오늘도 글로 응가 싸지르는구나 가족한데 패륜쌍욕 날리고 불륜으로 송사 걸린자지지하면서 그딴 소리 안 부끄럽나 몰라', '국힘보다 못한 민주당 국힘은 눈치나 빠르지국힘은 의리나 있지민주당 목표는 대통령 이겨먹고 당 폭파시키기인듯정말 부끄럽습니다 왜 부끄러움은 권당의 몫인가요']"
7,비판,68,"['욕먹기 싫으면 똑바로 할생각을 해야지 당원이 비판하면 주눅든다 고? 비판때매 일못하시면 내려 오셔야죠. 입열면 꼭 헛소리 한마디씩 하시네.', '이재명 나옴 홍준표가 쌍욕파일 튼다는 게 이게 먼 망신이냐고요 국짐 비판 맘껏 하고 싶으니까 내부 적폐부터 몰아 냅시다. 그래야 당의 명분이 선다는 민주당의 해악 이재명은 출당하라', '저도 저렴한 언행은 삼가면서 비판 하고 있지만 추미애 이해찬이 거쳐 품은 소중한 당의 자산인정동영의 후예가 아직도 민주당에 있다는 게 저의 마음을 끊어 파는중이라서 그렇습니다.']"
8,무시,60,"['여긴 여전하네 여기가 당내 민심을 대표하는 건 아니니 무시하면 되고 경선연기를 바라는 건 이후보 빼고 다 일듯 하니 송대표는 당선 됐을 때 초심을 잃지 마시길 바랍니다.', '아님 조기경선해서 대선후보 중심으로 가던가개혁 흐리고막말 사고에동지들 배신하고 당원들 무시하고 당대표가 그러면 안 되잖아요민주당 원인게 부끄러워 집니다', '아니 표현할 말이 그리 없어요? 액셀을 어쩌구?와 진짜 어찌해야 되요?특정세력은 무시한다 더니. 국짐 프락치 아니고 서야.무시하니 머리가 비셨나?']"
9,헛소리,57,"['그게 이런 참사에 대해서 당 대표가 할 말이냐? 버스 기사님이 도대체 무슨 신이야? 어디 말 같지도 않은 헛소리를 당당하게 하는 건지 제발 이런 수준의 대표를 보고 싶지 않습니다.', '쟤 503 두시간 이후.방송나와서 헛소리 한것만 모아서 하루에 하나씩 저격해도.끝날삘인데.이걸 아무도 안하네. 젊은애가 타 당대표 되니 동질감 느끼냐???', '맨날 똥볼만 차고 헛소리나 하고 야당복에 그럭저럭 먹고 사는 그런자가어찌 당을 이끌고 국민을 위해 일을 하나요???진짜 무능한 자들만 남아있는 듯 하네요.']"
10,어렵다,54,"['부자나 가난한 사람에게 똑같이 기본소득을 주면 양극화가 해소된다 는 궤변이 젤 어이없죠. 어려운 이에게 더 지원해야 빈부격차가 줄겠죠.', '문프께서 어렵게 쌓아놓은 국격을 이어받을 분이 필요합니다 신복지로 내 삶을 지켜주는 대통령여니뿐', '정권 초 정현백 장관의 메갈리아 집회에 가서 메갈리아를 옹호하는 것 부터 시작해서 진선미 장관의 메갈의 사회적 운동으로의 역활성.정춘숙 남인숙 인재근의 꾸준한 메갈발언들.거기에 이제 한술더 떠서 권인숙까지.2030남성들이 원래는 문재인 대통령과 민주당을 지지했어요. 하지만 정권초부터 꾸준히 계속된. 불합리하고 부정의한 메갈옹호 정책들.이제 정말 2030남성들은 그 억울함과 분노가 도를 넘었어요.이부분 잘 헤라려서 정책에 반영하지 않으면 앞으로 민주당은 정치못합니다. 기존에 2030 지지를 상대적으로 더 받으면서도 항상 어려운 게임이였는데.2030남성들이 70 가 국민의짐을 지지하게 되면 이게임은 정말 할필요도 없는 게임입니다. 진짜 살벌하게 민주당이 압살되는 결과가 올겁니다. 민주당 정말 페미메갈정책 반성하고 수정해야 됩니다.정말 답답하네요.']"
11,망치다,53,"['대통령님이 해외순방에서 눈부신 성과를 내고 역대급의 대우를 받아도 기사하나 쓰지 않는 언론 가만히 놔두고 하루가 멀다하고 말실수에.당 더 망치지 말고 송영길 대표는 사퇴하세요.', '문재인 대통령님 저렇게 온몸바쳐서 저렇게 나랏일 하시는데 가만히 앉아서 입으로 그걸 망쳐요?뭐라구요?진짜 보자보자하니까. 빨리 사퇴하세요. 예의차리는 것도 여기 까지 입니다', '도대체 무슨 생각으로 그렇게 말한 거죠?다른당이어도 들고 일어날 판에민주당 그것도 당대표라는 사람이 할 말이에요??도움은 못 될 망정 망치지는 말아야죠']"
