from,to,depth,documents
"당원게시판
in minju","당원게시판
in minju",0,"['대통령의 외교성과나 치적을 아무리 쌓아도머저리같은 당 대표때문에 민주당이 갈려나가는구나통탄할일이다 최고의 대통령에 머저리 당대표라니 능력에 부치면 사퇴할것이지', '민주당 당헌당규에 당대표 탄핵은 6개월 후엔 가능하다 고 되어 있다는 걸 당사에 재확인했습니다. 물론 당원들의 의견이 모아져야겠죠 대통령도 탠핵시키는 데 까짓 당대표쯤.', '송영길을 민주당 대표로 인정못하겠습니다.저 인간은 민주당을 말아먹을 인간입니다.대통령에게는 날세우고ㅡ다른 곳에서 헛말하는 인간 눈뜨고 못봐주겠습니다.우리 참지 맙시다']"
"당원게시판
in minju",민주당,1,"['민주당 송영길 목표는 민주당 망가뜨리기인가대통령이 죽어가는 민주당 계속 심폐소생해서 여기까지 데리고 왔거늘기어코 대통령 등에 칼꽂고 망길을 가려고 하네', '현실만 보고 평가 하는 2030 과 평가 하지 맙시다.그렇게 부러우면 나가세요댁 글은 민주당을 혼란만 부추기는 거에요민주당 망해도 민주당 스럽게 갑니다', '민주당 당원은 민주당의 이념과 가치를 추구하는 사람 이낙연.뻐꾸기 오렌지들은 본인들의 이념과 가치에 맞게 민주당에서 나가 본인들 정치 하시길.']"
"당원게시판
in minju",대표,1,"['이해찬당대표도 말 실수가 엄청 많았지만 송영길당대표 정도는 아니었는데 송영길은 말만 하면 당원이 걱정하기 바쁘니 참 역대급 당대표다.대체 누가 뽑았니? 책임져라', '송영길씨 당신이 물러나는 게 민주당쇄신이다.국짐당과 정기대표 모임한더는 나하고자빠진 덩대표를 당원둘은 필요 없다 그만하고 당대표 물러나라.', '송영길 대표 어떻게 당대표가 허구언날 말 실수에 실효성 없는 헛웃음 나오는 정책 남발입니까? 당 지지율만 깎아먹는 송영길 대표는 사퇴하시오']"
"당원게시판
in minju",대통령,1,"['송영길이랑 송영길 뽑은 사람들이랑 다같이 손잡고 민주당 나가시오.그리고 노무현 대통령님과 문재인 대통령님을 위한 다면 절대절대 이재명 뽑으면 안 됩니다.무늬만 민주당. 나가라 진짜', '민주당은 뭐하고 있습니까?대통령만큼 일못하면 대통령이 성과낸거 보도자료 뿌리고홍보라도 해라맨날 대통령한테 업혀 다닐래?', '대통령님 지금 g7정상회담 기레기들이 의도적으로 노출안시키는데 여당 머하냐? 대통령님은 쉬지 않고 일하시는데 도움은 못될망정 초선족들 전과4범 이해찬 송영길역사가 심판할것이다']"
"당원게시판
in minju",이재명,1,"['그래서 이재명은 한 마디했냐? 이재명은 조선일보에게 상 받고 좋아라하고 조선일보가 이재명 부부 결혼기념일 챙기더라.얼마나 친구비를 뿌려댔으면', '이재명 나옴 홍준표가 쌍욕파일 튼다는 게 이게 먼 망신이냐고요 국짐 비판 맘껏 하고 싶으니까 내부 적폐부터 몰아 냅시다. 그래야 당의 명분이 선다는 민주당의 해악 이재명은 출당하라', '이재명은 문재인 대통령을 죽일거다.이낙연 의원의 살아온 길을 봐라.그가 배신한 적이 있는 가?이재명 지사의 살아온 길을 봐라.그가 물어뜯은 사람들은 누군가?그릇이 다르다 그릇이.']"
"당원게시판
in minju",국민,1,"['벌써부터 차기 정권의 세금폭탄 공포가 확산되는 가운데 국민 세금으로 부자한테까지 전국민 재난지원금 지급하는 거 지지율 상승효과 는 커녕 오히려 국민 반감만 커질 것이다.', '집권 민주당이 조중동을 어찌 처리하느냐에 달려 있다.1조중동에 민주당과 국민들이 질질 끌려가는 사회?.2조중동이 상식적인 국민들 눈치 보는 사회?.지금은 1이다.속히 2로 가자.', '민주는 국민들에게 행복지수를 팍팍 올린문재인데통령님과 국민들이 많은 호감을 받고 있는 이낙연대선대표주자를 비롯 대한민국 조국에 대한 사랑의 열정은민주가슴에 살아 숨 쉬리라']"
"당원게시판
in minju",경선,1,"['경선 연기 반대 안할테니까가서 이재명부터 사퇴시키세요.지켜야 할 경선 룰을 고쳐서전과범이 도지사가 됐으니까요.경선룰에 손대는건 괜찮고경선 연기는 안 되고?? 참 뻔뻔한 놈들같아요', '누가 정권연장을 절실히 원하는 의원인지 알 수. 있어요.경선 연기 주장 하는 의원이 진짜 민주당 의원입니다.이기기 위한 경선 되어야 합니다 고로 경선 흥행 해야 합니다', '코로나 극복이 우선입니다 어수선한 분위기에 경선 해봤자 국민들에게 욕이나 먹지득은 하나도 없습니다 그리고 거의 모든 후보가 경선연기를 주장하는데 당연히 경선연기 해야죠']"
"당원게시판
in minju",언론,1,"['역사상 처음으로 수교 130년 만에 오스트리아를 첫 국빈 방문하는 대통령님 이 소식에 왜 국내 언론 및 포털 조용할까요? 민주당이 움직여야 합니다. 언론개혁 포털 개혁 시급합니다', '정말 심각한 언론 입니다 언론을 개혁해야 정권이 다시 유지될 수 있를듯합니다 꼭 언론개혁 힘차게 밀어붙치시길 바레봅니다', '이들은 언론이라는 역할을 포기한 듯 하다. 조선에 무슨 더 할 말이 있을까? 어서 빨리 언론개혁 입법 서둘러 주기를 바랄 수 밖에 그런날이 오기를 손꼽아 기다린다.']"
"당원게시판
in minju",개혁,1,"['대통령 사진만 걸고 은혜만 취하려고 하지 말고 일좀 하시지?언론개혁사법개혁검찰개혁개혁이 민생이다 이번에 김양호 판사 봤지?개혁안하면 다음엔 당신들이야', '국민의힘도 권익위 조사 신청했다고 하니 이제 민주당의 핵심과제 사법개혁 언론개혁 박차를 가해봅시다. 오늘 6월 11일 입니다. 남은 29일 개혁 입법 완수를 위해 다같이 달립시다.', '도대체 이것들은 검찰개혁 언론개혁 시법개혁 이런데는 1도 관심없고 오로지 이재명 까기만 하고 있오요. 변 냄새 풀풀 풍기면서']"
"당원게시판
in minju",이낙연,1,"['내 삶을 지켜주는 나라 이낙연신복지 이낙연수신제가 이낙연문프를 지지하는 마음으로 항상 응원하고 끝까지 지지합니다 1일 1지지 글 55 이낙연 내삶을지켜주는 나라', '내 삶을 지켜주는 나라 이낙연신복지 이낙연수신제가 이낙연문프를 지지하는 마음으로 항상 응원하고 끝까지 지지합니다 1일 1지지 글 57 이낙연 내삶을지켜주는 나라', '내 삶을 지켜주는 나라 이낙연신복지 이낙연수신제가 이낙연문프를 지지하는 마음으로 항상 응원하고 끝까지 지지합니다 1일 1지지 글 56 이낙연 내삶을지켜주는 나라']"
