,pos_words,count,documents
0,지지,318,"['내 삶을 지켜주는 나라 이낙연신복지 이낙연수신제가 이낙연문프를 지지하는 마음으로 항상 응원하고 끝까지 지지합니다 1일 1지지 글 56 이낙연 내삶을지켜주는 나라', '내 삶을 지켜주는 나라 이낙연신복지 이낙연수신제가 이낙연문프를 지지하는 마음으로 항상 응원하고 끝까지 지지합니다 1일 1지지 글 55 이낙연 내삶을지켜주는 나라', '내 삶을 지켜주는 나라 이낙연신복지 이낙연수신제가 이낙연문프를 지지하는 마음으로 항상 응원하고 끝까지 지지합니다 1일 1지지 글 57 이낙연 내삶을지켜주는 나라']"
1,능력,158,"['이야 능력이 안 됨 입을 닫으세요.액셀이요? 액셀? 공감 능력은 지능 문제 라죠?제발 나가라', '저건 운전자유가족이 송영길에게 고소 걸어도 할말없을 망언입니다.능력에 안맞는 자리에 앉으면 주위 사람들이 힘들어집니다.진정 민주당을 위한 다면 전과4범 데리고 함께 당을 나가십시요', 'ㅜ ㅜ역시 우려하던바대로말실수 아니죠.인성이 그런 겁니다.공감 능력 부족민주당은 계속 후퇴하는 거죠.내가 싫어하는 그 찌그러기 당으로 가고 있네요.송영길 뽑은 사람들 행복하십니까?']"
2,이기다,93,"['누가 정권연장을 절실히 원하는 의원인지 알 수. 있어요.경선 연기 주장 하는 의원이 진짜 민주당 의원입니다.이기기 위한 경선 되어야 합니다 고로 경선 흥행 해야 합니다', 'g7국가정상회의 기사보다 이준석 타령이 수십배인거 보고도 모르나?언론이렇게 노골적인데 민주당은 대선 이길생각없는 건가싶군요.당대표부터. 허.', '전과 4범이 후보 되는 것을 보는 것보다 치욕스러운 일은 없다고 생각한다 경선 이기고 대선 지고 싶은 사람이 경선연기 반대한다고 본다']"
3,흥행,66,"['국짐당 당대표 선거 흥행은어떻게 설명하실 건가요차라리 이재명 도지사님 외다른 후보님들이 지지율 끌어올릴 시간을 달라고 정직하게 말씀하시는 게외려 설득력이 있지 않을까 싶네요', '누가 정권연장을 절실히 원하는 의원인지 알 수. 있어요.경선 연기 주장 하는 의원이 진짜 민주당 의원입니다.이기기 위한 경선 되어야 합니다 고로 경선 흥행 해야 합니다', '경선 미루면 흥행이 된다고 어떻게 보장하나요?학기 내내 공부 안 하다가 시험 일주일 연기하면 공부하겠다 고 떼쓰는 거나 뭐가 다를까요?']"
4,정상,65,"['대통령님 지금 g7정상회담 기레기들이 의도적으로 노출안시키는데 여당 머하냐? 대통령님은 쉬지 않고 일하시는데 도움은 못될망정 초선족들 전과4범 이해찬 송영길역사가 심판할것이다', '인류 역사 최초의 조폭정부가 들어서겠죠.아찔합니다.개버릇 남 못 준다고.외국 여성 정상들 만나서 습관처럼 만나서 반갑다 이 르뇨나..이러는거 아닌지 모르겠슴. 작성자 파쿠58', '지극히 온당하다고 생각합니다 정상적인 사람이라면정권 재 창출이 아니라 정권을 연장 하는 겁니다.문프에 이어 서이니 다음 여니가 옳고 정확합니다.뻐꾸기는 느네 집으로 가']"
5,도움,55,"['대통령님 지금 g7정상회담 기레기들이 의도적으로 노출안시키는데 여당 머하냐? 대통령님은 쉬지 않고 일하시는데 도움은 못될망정 초선족들 전과4범 이해찬 송영길역사가 심판할것이다', '도대체 무슨 생각으로 그렇게 말한 거죠?다른당이어도 들고 일어날 판에민주당 그것도 당대표라는 사람이 할 말이에요??도움은 못 될 망정 망치지는 말아야죠', '밥 묵고 할짓 없으면 동네 휴지라도 줍든가. 쫌 사회에 도움되는 일을 해볼 생각은 없니? 방구석에 쳐박혀 루저 처럼 살지 말고 변가눔아']"
6,성공,54,"['g7의 성공적인 진행에 대해 민주당은 할말이 없나요?혹다른 사람 편인가요?????????아니면 기레기와 같은 마음인가요매일 뺏기기만 하고 지키지도 못할거 정치 왜하시나요', '이재명 띄우고자 이낙연을 까는 이런 네거티브가 성공한다면 민주당은 성공할리 없다.', '작세들 요즘바뻐 시간도 얼마 안남았는데 민주당이 정상적으로 잘되고 있으니 초조함을 그냥막 드러내네명박이 처럼성공보수 그립지?늙은이들 미쳐돌아가드라']"
7,최고,51,"['언론개혁없이 대선은 없습니다.최고 성과g7의 내용은 없고자전거 기사는 왜봐야 하고 국짐 부동산조사는 어떻게든 피하려고 하고 어떻게든 지지율반등막아야 하고 강력한 행동이 필요합니다', '대통령의 외교성과나 치적을 아무리 쌓아도머저리같은 당 대표때문에 민주당이 갈려나가는구나통탄할일이다 최고의 대통령에 머저리 당대표라니 능력에 부치면 사퇴할것이지', '정통회장 이재명놔두고 무슨 소리예요정동영의 후예 이재명이 섭섭해하십니다암튼 과거세탁은 최고인듯 거기에 덮어쒸우기까지 전과4범빠 찓파뤼 비아주씨']"
8,품격,46,"['품격1도없는 양아치 정치인 쌍욕씨가문프뒤를잇는다는 생각만해도 끔찍시대정신은 공정하고 품격 있는 대통령그러므로 차기는 쌍욕재명아닌품격능력낙연임', '지도자의 품격은 곧 그 사회의 품격을 나타냅니다. 그러하기에 더 철저하게 검증하고 인격과 능력이 훌륭한 검증된 후보를 골라내야 합니다.', '포기하지 마시고 우리 문프님이 인정하신분 결이나 태도가 한결같고 품격까지 갖추신 이낙연전대표님을 차기 대통령으로 밀어 주셔아해요 꼭 그렇게 되야만 민주주의가 뒷걸음 치지 않습니다']"
9,인정,44,"['포기하지 마시고 우리 문프님이 인정하신분 결이나 태도가 한결같고 품격까지 갖추신 이낙연전대표님을 차기 대통령으로 밀어 주셔아해요 꼭 그렇게 되야만 민주주의가 뒷걸음 치지 않습니다', '맨날 대깨랑 일베들이랑 그 전과 얘기 백날 해봤자 아 무 소용 읍따 이낙연으로는 국민들한테 인정 못받는거 암시롱 일을 해봤어야지. 꼰대들의 세상은 이미 저물었다. 잘가라', '송영길을 민주당 대표로 인정못하겠습니다.저 인간은 민주당을 말아먹을 인간입니다.대통령에게는 날세우고ㅡ다른 곳에서 헛말하는 인간 눈뜨고 못봐주겠습니다.우리 참지 맙시다']"
