word,count
민주당,1871
대표,1360
대통령,857
이재명,801
국민,704
경선,666
언론,630
개혁,614
이낙연,602
대선,555
송영길,470
후보,463
당원,457
연기,402
의원,402
지지율,373
정치,348
이준석,325
지지,318
사퇴,292
정권,282
모르다,277
나가다,257
보이다,248
검찰,242
정신,227
인간,220
정부,220
정책,216
지지자,211
원칙,203
지키다,202
나라,190
기사,189
조국,187
민주,185
바라다,180
선거,179
부동산,179
야당,174
문재인,171
능력,158
이유,156
필요,156
여당,156
지사,155
반대,146
차리다,146
자리,143
세력,136
대한민국,134
똥파리,132
상황,131
뉴스,127
발언,121
정치인,118
윤석열,116
국회의원,116
올리다,116
탈당,114
본인,112
사과,111
청년,109
떨어지다,104
마음,103
다음,102
문재,101
조사,100
버스,99
다니다,96
장관,96
사고,95
이기다,93
다르다,90
노무현,90
하루,90
수준,89
따르다,86
가능,86
미치다,85
창출,84
국가,83
민심,81
이해찬,81
정당,81
시장,80
여론,80
재명,80
코로나,79
무능,79
입법,78
이미지,78
주장,78
권리,78
도지사,78
보도,77
탄핵,75
망하다,75
느끼다,75
공정,75
내년,74
적폐,74
바꾸다,74
책임,73
승리,73
걱정,73
게시판,72
쓰레기,72
광주,72
당장,72
행동,72
사진,71
시민,71
대권,71
모습,71
중요,71
힘들다,70
말아먹다,70
당선,70
부끄럽다,70
당규,69
오르다,69
인물,68
국회,68
비판,68
조중동,67
어쩌다,67
투표,67
당헌,67
흥행,66
의견,65
지나다,65
정상,65
머리,65
기본,64
보수,64
말씀,64
시절,64
나이,64
박근혜,63
법안,63
검증,61
관심,61
경제,61
파리,61
성과,61
통령,60
무시,60
일정,60
세대,60
준비,60
얘기,59
쌍욕,59
세계,59
중도,58
결정,58
차기,58
관련,57
헛소리,57
민주주의,57
해외,57
선택,56
집값,56
공격,55
시작,55
세상,55
도움,55
총리,55
백신,54
자격,54
어렵다,54
꼰대,54
역사,54
선출,54
이해,54
경기도,54
성공,54
개인,53
망치다,53
변화,53
통과,53
눈치,53
보내다,53
자체,53
운영,52
초선,52
권력,52
방송,51
지도부,51
피해자,51
떠나다,51
물러나다,51
최고,51
기득,51
원하다,51
응원,51
공감,50
인사,50
거짓말,50
순방,50
망언,49
방법,49
처리,49
내용,49
집권,48
도덕,48
포털,48
현실,48
댓글,48
시대,48
복지,48
집단,48
실수,48
중심,48
지도자,48
반문,47
생기다,47
사면,47
국격,47
싸우다,47
품격,46
알리다,46
막말,46
시기,46
홍보,46
참사,46
한국,46
진행,46
지역,45
끝나다,45
외교,45
미래,45
특정,45
세우다,45
당내,44
인정,44
버리다,44
서울,44
일본,44
이후,44
운동,44
죄명,43
나서다,43
추진,43
양정철,43
자랑,43
신뢰,43
미루다,43
김대중,43
기대,43
꼼수,43
친구,43
사건,43
내부,42
주자,42
얼굴,42
연설,42
이슈,42
돌아가다,42
행위,42
똑같다,42
인성,42
상식,42
혁신,41
부족,41
의혹,41
이동학,41
가족,41
가리다,41
들어가다,40
판사,40
약속,40
이명박,40
여성,40
재난,40
내려오다,39
당하다,39
결국,39
이름,39
결과,39
무섭다,39
보궐,39
역대,39
판단,39
부탁,39
상대,39
이루다,39
조폭,38
어리다,38
챙기다,38
꺼지다,38
찬성,38
부르다,38
소식,38
이야기,38
부럽다,38
본능,38
데리다,38
밝히다,38
레기,38
빠지다,38
공천,38
총선,37
지급,37
세금,37
내리다,37
정하다,37
당게,37
투기,37
걸리다,37
출신,37
더럽다,36
내세우다,36
순간,36
반성,36
사랑,36
진심,36
모으다,35
지원,35
정보,35
진보,35
민생,35
돌리다,35
가짜,35
청와대,35
새롭다,35
뿌리다,35
지원금,35
좋아하다,35
행보,34
책임지다,34
나쁘다,34
올라가다,34
비리,34
비난,34
문통,34
의심,34
김한규,34
최악,34
계시다,34
핑계,34
준석,34
터지다,33
방향,33
업적,33
방식,33
발전,33
오렌지,33
정세균,33
바뀌다,33
정의,33
상승,33
출당,33
방문,33
국정,33
기자,33
유지,32
수사,32
감사,32
작정,32
분노,32
참석,32
노력,32
잡히다,32
논리,32
욕하다,32
전략,32
수박,32
인생,32
서민,32
목표,32
건물,32
포기,32
소득,32
촛불,32
추미애,32
불법,31
전국,31
일어나다,31
미국,31
공부,31
주택,31
토론,31
양심,31
기회,31
패배,31
도배,31
시키다,30
시험,30
살리다,30
목적,30
임기,30
떠들다,30
유튜브,30
짓거리,30
의미,30
주제,30
나아가다,30
확인,30
자료,30
조직,30
뺏기다,30
사태,30
사법,30
모자라다,29
위원장,29
위기,29
거품,29
요구,29
언급,29
거리,29
김해영,29
한마디,29
의지,29
가치,29
정체,29
꼬라지,29
권당,29
이익,29
치루다,29
경쟁,29
동지,28
실패,28
대상,28
마지막,28
해결,28
모이다,28
만나다,28
독재,28
엑셀,28
외치다,28
기간,28
위원회,28
전체,28
출마,28
일반,28
바람,28
부정,28
국빈,28
포럼,28
파악,27
선언,27
이용,27
단체,27
해당,27
고민,27
기업,27
기본소득,27
문파,27
프로,27
관리,27
안정,27
버티다,27
분열,27
비교,26
전과자,26
동의,26
남불,26
종부,26
넘어가다,26
신고,26
필패,26
적극,26
존재,26
접종,26
타령,26
희망,26
웃기다,26
효과,26
페미,26
정동영,26
바닥,26
전수,26
제시,26
개발,26
예정,26
기억,26
움직이다,25
아파트,25
제정신,25
대변인,25
연장,25
윤석렬,25
들어오다,25
아프다,25
따지다,25
진실,25
난리,25
고치다,25
당비,25
빠르다,25
사기,25
치르다,25
사라지다,25
최근,25
사업,25
발표,25
혼자,25
잘못,25
경험,25
뭉치다,25
공공,24
공급,24
참여,24
사이트,24
죽이다,24
해보다,24
붕괴,24
검사,24
사용,24
주도,24
취급,24
제도,24
친문,24
차원,24
예산,24
당시,24
신념,24
그릇,24
실망,24
기존,24
입장,24
변하다,24
모두,24
수술실,24
과거,24
프레임,24
피해,24
배우다,24
단어,24
과정,24
이명,24
목소리,24
손절,23
일부,23
범죄,23
기다리다,23
엄중,23
소신,23
피하다,23
남자,23
원인,23
두렵다,23
방역,23
상태,23
무식,23
붙이다,23
점명,23
제발,23
절차,23
공개,23
관계,23
일으키다,23
대책,23
이끌다,23
의하다,23
넘기다,23
민국,23
경기,23
더불다,22
던지다,22
내뱉다,22
나누다,22
무너지다,22
도와주다,22
스페인,22
끌리다,22
단독,22
논란,22
의사,22
재판,22
카드,22
열리다,22
바쁘다,22
처음,22
인식,22
행정,22
징벌,22
지방,22
운운,21
수처,21
자전거,21
인기,21
괜찮다,21
행태,21
영입,21
바보,21
구분,21
예상,21
행사,21
행복,21
주변,21
손해,21
완화,21
부리다,21
리더,21
향하다,21
추천,21
손잡다,21
장애,21
차이,21
거짓,21
의리,21
김양호,21
판결,21
최소한,20
표현,20
공약,20
전환,20
처벌,20
분양,20
호감,20
키우다,20
시행,20
위험,20
설치다,20
부분,20
설치,20
김진표,20
조롱,20
자빠지다,20
윤리,20
운전사,20
시스템,20
집중,20
갈등,20
아들,20
욕심,20
짜증,20
지적,19
외면,19
증거,19
해명,19
닥치다,19
차별,19
청산,19
조치,19
왜곡,19
사유,19
모양,19
모지리,19
본선,19
바라보다,19
가슴,19
의식,19
거치다,19
부자,19
발생,19
다물다,19
아버지,19
구김,19
교체,19
대안,19
쪽팔리다,19
김구,19
언행,19
은퇴,18
최대,18
인재,18
하늘,18
지나가다,18
낙엽,18
포함,18
존경,18
초청,18
드러나다,18
욕설,18
압도,18
큰일,18
창당,18
병원,18
아래,18
투명,18
자식,18
극복,18
가망,18
당과,18
갖추다,18
내놓다,18
강제,18
시즌,18
세월,18
지지층,18
확정,18
남기다,18
위원,18
여니,18
유럽,18
공식,18
회담,18
오스트리아,17
나대다,17
태도,17
음주운전,17
권익,17
설명,17
기분,17
내려놓다,17
파일,17
달리다,17
평가,17
다루다,17
절대,17
언어,17
지켜보다,17
배상,17
개정,17
학교,17
한숨,17
급하다,17
운전자,17
폐지,17
시점,17
대전,17
당대,17
신문,17
맞추다,17
띄우다,17
휘둘리다,17
직원,17
가볍다,17
심판,17
싸움,17
대응,17
들리다,17
거론,17
넘치다,17
심하다,17
호남,17
동아일보,17
찾아보다,17
어문,17
착각,17
취하다,17
돌아서다,17
나견,17
액셀,17
유리,17
치우다,17
강하다,17
감각,17
논의,17
영상,17
분위기,16
부패,16
분란,16
올바르다,16
보선,16
관료,16
혜경궁,16
서명,16
강성,16
천박,16
저지르다,16
날리다,16
고통,16
중진,16
제외,16
상상,16
지껄이다,16
총장,16
고발,16
지우다,16
장난,16
극우,16
잡범,16
수구,16
특임,16
근거,16
기관,16
부산,16
평등,16
실현,16
명심,16
자산,16
면역,16
신경,16
시국,16
뒤집다,16
느낌,16
시도,16
현장,16
따라가다,16
높이다,16
혐오,16
대통,16
특별,15
통합,15
치료,15
남성,15
추구,15
사이,15
추가,15
의도,15
옹호,15
형수,15
노동자,15
주위,15
처먹다,15
가깝다,15
우리나라,15
사법부,15
구태,15
선점,15
유권자,15
하락,15
태극기,15
개헌,15
망신,15
지선,15
까먹다,15
위상,15
판문점,15
수단,15
당정,15
말리다,15
안타깝다,15
획단,15
앞서다,15
교육,15
소속,15
정확,15
임금,15
대접,15
연이,15
열일,15
길이,15
활동,15
비준,15
조심,15
그동안,15
아깝다,15
정류장,15
때리다,14
흘리다,14
각종,14
본질,14
보호,14
도시,14
구하다,14
회의,14
팔리다,14
강화,14
악마,14
감옥,14
달성,14
연정,14
완성,14
변호사,14
연기론,14
불륜,14
운전기사,14
돌아오다,14
비하,14
물건,14
북한,14
앞세우다,14
정계,14
놀이,14
애쓰다,14
기준,14
지내다,14
인격,14
지치다,14
교수,14
모임,14
계파,14
없애다,14
설득,14
채우다,14
재산,14
남경필,14
중대,14
노릇,14
기반,14
유불리,14
놀아나다,14
내각,14
자진,14
현재,13
특위,13
압박,13
양아치,13
세작,13
회복,13
정리,13
토지,13
패거리,13
애초,13
현상,13
악셀,13
조항,13
증후군,13
유기,13
총질,13
철거,13
유일,13
전두환,13
홍영표,13
화이팅,13
가르다,13
분석,13
예전,13
영화,13
쇄신,13
가져오다,13
아이,13
진영,13
아침,13
참패,13
부모,13
삭제,13
도박,13
구조,13
계승,13
명이,13
살아나다,13
명분,13
냄새,13
막히다,13
남발,13
먹칠,13
우습다,13
옮기다,13
싫어하다,13
먹히다,13
범죄자,13
규정,13
규제,13
그간,13
미필,13
어울리다,13
금리,13
금융,13
기획,13
기생,13
발목,13
망가지다,13
대출,13
박탈,13
돼지,13
고르다,13
당지,13
보편,13
바치다,13
박스,13
개판,13
누르다,13
가입,13
대학,12
이준,12
깨지다,12
싸지르다,12
배신,12
아쉽다,12
협의,12
뻐꾸기,12
평화,12
이틀,12
대신,12
인상,12
역할,12
깨닫다,12
동네,12
다수,12
양보,12
신중,12
실력,12
뻔하다,12
먹이다,12
비하다,12
생활,12
동시,12
뒷방,12
사칭,12
부치다,12
살아오다,12
위치,12
레임덕,12
실행,12
조선,12
안철수,12
네거티브,12
흐름,12
약장수,12
날짜,12
대다수,12
앉히다,12
가격,12
하버드,12
계획,12
공무원,12
제거,12
제명,12
면제,12
고집,12
지자,12
인터뷰,12
분야,12
개무,12
순리,12
좌고우면,12
놓치다,12
박광온,12
대놓다,12
지도,12
소환,12
소통,12
건강,12
철학,12
정작,12
증명,12
올라오다,12
엄청나다,12
작자,12
작전,12
역겹다,12
시청,12
비전,12
국제,12
부대,12
흔들다,12
놔두다,12
김용민,12
침묵,12
전문,12
스스로,12
노통,12
감독,12
마찬가지,12
물어뜯다,11
성남시,11
늦추다,11
성남,11
확장,11
혼란,11
마련,11
무리,11
모시다,11
박주민,11
송사,11
수도,11
후손,11
등장,11
명예,11
독도,11
숟가락,11
실시간,11
만세,11
김부선,11
여기저기,11
김명수,11
아웃,11
노인,11
여름,11
협력,11
장면,11
재벌,11
타협,11
치매,11
전화,11
잘나다,11
정비,11
정의당,11
정직,11
고향,11
고소,11
고생,11
조작,11
추락,11
경찰,11
경쟁자,11
주식,11
찌르다,11
주인,11
격차,11
거부,11
거래,11
거대,11
체제,11
지속,11
진정,11
차지,11
그네,11
자연,11
패륜,11
