,neg_words,count,documents
0,패배,18,"['n 이재명이 왜?니가야 합니까? 이번 보선 패배를 책임지고 이낙연의원이 사퇴해야죠n이낙연의원이 당대표 된뒤로 제대로 되는 일하나도 없습니다n이정도로 무능하다면 그만둬야죠', 'n 뭐가 무서워서 최선을 다한 이낙연 의원님 자꾸 저격하시나요? 선거 패배의 실질적 원인인 이재명지사가 나가야 하는 거 아닌가요 ???', 'n ?n약주 많이 학셨나요?n조국추미애가n왜 언급될까요?nn이재명 lh 건이 선거 패배의 핵심 요인인건 공인된거.아닙니까?n?']"
1,쓰레기,16,"['n 민주당이 힘을 내기 위해선 범죄자 비롯 손꾸락인지 뭔지 쓰레기들 청소부터요.n청소 깨끗이 하고 다시 세워야죠', 'n하고 자빠졌네 n너같은 뿌락치 개똥파리새퀴들은 설명해줄 필요도 없는 쓰레기n그냥 가래나 처 먹어 카아아악 퉷', 'n 팩트도없고.찢쓰레기들이 찢 찬양하는 거보면 과연 생각이라는 게 있을까 싶음.신천지수준.']"
2,부끄럽다,14,"['n 늘 대통령님과 뜻을 함께 하신 낙연대표님이세요n함부로 말하지 마세요nn이재명지사야 말로 혜경궁이때 부터 얼마나 많은 반문질을 했는지 패륜막말 전과4범 n안사요 부끄러워요', 'n 뭐니뭐해도 내부의 적 최고봉은 이재명아니던가요n반정부질의 선두주자n그리고 이런 가짜뉴스나 올리고 부끄럽지 않나요?', 'n 수박?똥파리? 부끄러운줄 알아야지n느그 그분은 조신에서 결혼기념일도 챙기주든데??']"
3,망하다,13,"['n 이낙연 대표님 때 민주당이 제일 일 많이 했음 고작 몇개월 안되는 기간 동안 제일 일 많이 했음. 당대표 제대로 뽑아야 민주당이 망하지 않는다는 걸 알 수 있다', 'n 네 잘 못 알고 있네요n이재명 때문이에요n이재명 지지하면 앞으로 민주당은 망해요 그러니까 공부하시고n앞으로 정신차리시면 돼요n좋은 정보 알려드리는 겁니다', 'n 낙엽이 민주당 망하게 하는 것 절대반대n명박이 사면 주장한 낙엽은 떨어져야함n여시재 낙엽이 절대 반대n민평당과 손잡는 낙엽이 반대']"
4,욕하다,13,"['n 이재명.이해찬 욕하지 마라 그래도 그들은 당원과 국민의 요구에 부응했다.이낙연1년은 그야말로 민주당을 나락으로 떤어뜨린 주벙이다빨리 언론 개혁입법 통과 시켜라', 'n 이재명 지지자들이 다른 사람들 조롱하고 비난하고 욕해도 괜찮고 다른 사람들이 정당한 비판하는 건 듣기 싫고? 내로남불이야 뭐야n', 'n n설명해 줘도 못 알아먹는데n기운 뺄 일 있나n못 생기고 욕하고 음주운전 검사사칭 nsns 중독자는 나가라n창피하다n']"
5,망치다,12,"['n 신현영도요n공천을 무슨 다트 던져서 했나. 혈압이.n어디서 저런 모지리만 모으기도 쉽지 않아요.n공천 망칠때부터 이미 큰 그림을 그렸는지도 모르겠어요', 'n 입법은 민주당이 해야지 그래야 개혁이 되는 거지 삼권분립 몰라?? 지금 이해 충돌 방지법 망쳐놓는 것도 민주당이잖아 밀어 붙여야지', 'n 애꿎은 이낙연 의원님 탓 하지 말고 n선거 중에 lh 터트린 인간이나 성토 하라. n그 인간이 보궐 선거 망쳤다.']"
6,힘들다,12,"['n 당신이나 나가시오n제일 힘든 시기에 잘하고 잘싸워n지켜운 사람들 보고 나가라n주작질 그만 하고 당신이나 나가시오', 'n 이낙엽은 아웃 책임지는 행보 전혀 없어요n조국장관 추미애장관 힘들게 검찰개혁할 때 뭐했나요.n이낙엽 아웃', 'n 정말 180을 가지고도 n 이리 무능하기 힘들텐데. 스스로 적폐가 아니고 서야. 답답하다. 민주당 당당아']"
7,더럽다,11,"['n 정의 파님 김부선씨 고소좀해주세요n이지모 거짓뉴스 대책반은 뭐하나요ㅜㅜn가짜뉴스가 판치는데n정말 넘 더럽네요n전과4범 음주운전도 경악스러운데 n 이것마저 사실이면 안 되쟈나요n', 'n 이해찬도 2년 동안 못한걸 4개월 차고 넘치게 했는데n당대표 나오자마자 이렇게 개판만든건 이재명패거리들n역겹고 더럽고 비열하고n국짐당 보다 더한 너희들이야', 'n 아우n더러워n저런자를 민주당 대권 후보?n창피는 고사하거 결정적 시점에 개검과 언론에 의해서 한 달내로 탄핵당한다에 500원 건다.']"
8,삭제,10,"['n 당신은 오사까? 친일?n이름부터 개명하시든지.n그대는 권리당 원으로 삭제하라 마라 강요할 근거가 어디에 있는 지요?', 'n 당신의 소중한 지사님이 찢으신다면서 요?n여자의 .를n디어문은 댓글 다 삭제하고 어디갔대요?n쫄보같이n', 'n dearmoon? 뽀록니니까 게시글 삭제하고 줄행랑쳤난 점고추 빠지게 도망가더라. 던서운 색ㅡ히']"
9,당하다,10,"['n 남국이 하나만 해라. 지네 당원들도 설득 모시키는 게 누구 일베 설득한다고 라?n서초집회 사라진 돈 보이스피싱 당했다던 돈은 찾았니?n요즘도 새벽에 기본소득 공부하고?', 'n 아무리 사람이 없어도 여배우 한테 이런 조롱이나 당하면서도 그 고발 좋아하는 인간이 김부선은 어쩌디 못하네. 김부선이 당당하게 외치더라. 고소하라고n', 'n 정말 창피한 일입니다.n하다 못해 홍준표한테까지 양아치 소리를 들어도 찍 소리도 못하고 김부선한테 못난이짠돌이라고 조롱을 당해도 고소도 못하네요.n']"
