,neg_words,count,documents
0,쓰레기,404,"['n 양아치 이재명 나가라n양아치 이재명 나가라n양아치 이재명 나가라n쓰레기 이재명 나가라n쓰레기 이재명 나가라n쓰레기 이재명 나가라.', 'n 쓰레기 말을 그만해라. 이재명이든 이낙연이든 민주당의 인재를 함부로 말하지 마라. 당신같은 사람이 민주당 갈라치기 때문에 힘든거다. 쓰레기짓 그만하고 조용히 있으라.n', 'n 백신독립당으로 창당 해라n코로나로19로 거리고 싶어n안달복달 경기도1등 좋겠다.n이 참에 쓰레기 다뎁고 나가n선거 패배 안기더니 쓰레기n분리배출 기회 까지.n']"
1,더럽다,355,"['n 불륜 패륜 욕설 사칭 혜경궁 분노조절장애 전과4범잡범.등등n더러운걸 더럽다 고 말도 못하면서 김어준을 지켜야 한다 고 요???n당원 게시판에 이런 글을 올려요??n의도가 참.', 'n 불륜 패륜 욕설 사칭 혜경궁 분노조절장애 전과4범잡범.등등n 더러운걸 더럽다 고 말도 못하면서 김어준을 지켜야 한다 고 요???n당원 게시판에 이런 글을 올려요???', 'n 찢은 일베출신 이재명 입에서.n똥은 그 지지자 입에서.n찢과 똥은 한 곳에서.n그들 입은 너무 더러워n더러운건 치워야지n종량제 봉투값도 아깝지']"
2,패배,320,"['n 똥밀필패 똥파리가 밀면 반드시 패한다 전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 이건 과학이죠 n홍영표 패배 예상', 'n 똥밀필패 똥파리가 밀면 반드시 패한다 전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 이건 과학이죠 n예언 홍영표 패배', 'n 분열의 아이콘 똥파리nn똥밀필패 똥파리가 밀면 반드시 패한다 nn전해철 경선패배 김진표 당대표 패배 이낙연 지지율 급락 nn이건 과학입니다nn이재명지사 귀한 줄 알아야 합니다']"
3,부끄럽다,307,"['n 민주당 찢계의원들아 부끄러운줄 알아라n이 짤이 현실이 아닐것 같냐?n저런 인간한테 줄서서 콩고물이라도n얻어 먹으려하는 국개는 되지말아라n인간이라면 부끄러운줄 알아라 쯪쯪', 'n 여긴 게시판이지 님 일기장이 아니에요. n본인 지지하는 사람 지지하면 되지n적어놓은 글 보면 보는 사람이 다 부끄럽네요. nn본인은 이런글 적고 안부끄러워요?nnd', 'n 공자님께서 부끄러움을 모르면 사람이 아니라고 했다. 너는 왜 네가 쓴 글이 부끄럽지 않니? 정말 수준 떨어진다. 얘.n그 수준이니 10만원 짜리 이재명 따라 다니는 거지겠지만.']"
4,비판,307,"['n 당신이 더 극렬하네요.n다른 당원들은 정치인을 비판하는 데n당신은 같은 당원을 공격하네요.n정치인을 비판하는 건 당원의 권리자 의무입니다.n같은 당원 공갹하지 마세요.', 'n 와 이게시판에서 가장 수준 높고 합리적인 비판이다n이번 선거참패를 이재명탓으로 돌리는 정신나간인간도 있던데n이런 비판이 그나마 당게 수준을 조금이나마 올려주네요', 'n 탈당하지 마시고 건전한 비판이 필요합니다.n신임 대표로 통합의 협치를 지켜보고 비판을 해주시기 바랍니다.n공과는 구분되어야 한다고 생각합니다']"
5,떨어지다,303,"['n 저거 함 mbc에서 방송하면 지지율 한자리수로 떨어질건데.어제 혜경궁이 등장해서 방송안해도 떨어질거 같다.', 'n 참 유유상종이라더만. 딱 그러네. 지역비하 발언도 서슴치 않고.n싹 다 데리고 나가서 뭘하든 해라.n진짜 격떨어져서.n인간적으로 나라지도자는 반듯한 결격 사유가 없는 사람으로.', 'n 정동영은 양반 입니다.n경기도지사 득표율도 겨우 겨우 됐죠.n그때도 김부선 터져서 거의 떨어졌는데n누구 덕에?n문프 덕에 당선 됐죠.n근데n인간이 아닌지라패륜 반문짓을 일삼죠.']"
6,망하다,294,"['n 그때도. 정동영이 지가 선거 망해놓고n노통 몰아붙이기 시작하던 그 무렵에도n노통 지지율은 40프로대였습니다. n모든 것이 반복되고 있어요. n양아치 하나 도려내지 못한 결과로.', 'n 동감합니다. 협치할 생각이 없는 자들입니다. 시간 끌다가 이 정부 망하기를 바라고 있는 것들에게 무슨 말을 하겠어요n그냥 강하게 밀고 나가야 합니다. 그 점에서 참 답답합니다.', 'n 내년 대선에서 조중동 방송 통해 전과 4범n형수에게 욕 퍼붓는 패륜아n만날 이 소리 녹음기 마냥 틀어댈건데 그리도 붙잡고 있고 싶냐?n아예 민주당 망하라고 고사를 지내는 구나']"
7,망치다,268,"['n 이재명 이해찬 이것들 이번 선거 망치고 대선도 망치려고 하는 거지? 꿈도 꾸지마라 늬들 더러운꼴 보기 싫어 나가고 싶어도 늬들 좋아할거 같아서 끝까지 버티련다', 'n 뜻대로 돼서 좋겠네?n이재명 대통령만들기 프로젝트가n이번 보궐 망치는 거엤어?n오렌지는 꺼져 줄래?nnlh터뜨려 보궐 망친n이재며나가라 n너도 같이n', 'n 당신이 쓴 글에 이낙연 엄중함에 망쳤다 고 썻는데 내가 보기엔 민주당이 전과4범 이재명을 보호한 추미애 이해찬부터 망침']"
8,욕하다,262,"['n 욕하지 마세요.n그러닌까 이재명지지자가 일베라며 욕 먹는거 아닙니까.n논리적으로 따지시라구요.n그 도지사가 멀 잘했는지.n저급한 입으로 욕하지 마시고.', 'n 조선일보가 결혼기념일 축하해주는 이재명이나 욕하세요 그러고 조중동 기레기라고 욕할 자격있나?', 'n 된찌야. 너 참 웃긴다. nnice월류 글에나 댓글 달아라. n어떻게 된게 편가르기니 어쩌구 하는 건 문프 욕하는 글에는 다는 걸 못봤어요. n하긴 이재명지지자니 그렇지 뭐.n']"
9,헛소리,240,"['n 아이고 무슨 헛소리를 이리도 능청스럽게 하십니까n민주당이 이모양이 된건 이낙연이 당대표 되면서 부터였어요.n이낙연은 당원들 앞에 무릎꿇고 사죄를 하고 대선 경선하라 하세요.', 'n 가짜뉴스 지가 만들어서 퍼트리고 있구만 nn카톡으로 막 헛소리 막 오고 그러세용? 교회도 족 같은거 댕기니까 그렇다이가 nn원팀은 느그 당대표 송영길이가 매일 깨고 있네?n', 'n 헛소리 하지 말고 델고 나가세요nn쓸데없는 찢거리 하지 마시고요nn그 주식인증이나 저렇게 해보시죠?nn자칭 코나아이 주주님아?nn애도 인증하는 데 nn델고 나가세요nn홧팅n']"
