from,to,depth,documents
"community
in minju_03","community
in minju_03",0,"['n 이글에 이낙연 언급한 적 없고 .이재명지사도 언급한 적 없지.도둑이 지발 저린다 고 찔리냐? n알아서 이재명 이낙연 얘기하고 자폭하게?n민주당 게시판 담당자 진짜 일 안할래?', 'n 윤석렬로 프레임 몰고 가시겠다 고? n이낙연을 찍지 웬 윤석렬?n이재명도지사님 민주당 경선은 통과나 될지? nn 주변 극우 꼴통들 이재명도지사님에 대해서 엄청 부정적임.n', 'n 쓰레기 말을 그만해라. 이재명이든 이낙연이든 민주당의 인재를 함부로 말하지 마라. 당신같은 사람이 민주당 갈라치기 때문에 힘든거다. 쓰레기짓 그만하고 조용히 있으라.n']"
"community
in minju_03",이재명,1,"['n 이게 다 이재명 때문입니다n이게 다 이재명 때문입니다n이게 다 이재명 때문입니다n이게 다 이재명 때문입니다n이게 다 이재명 때문입니다n이게 다 이재명 때문입니다', 'n 이재명만큼 정의롭고 이재명만큼 일 잘하고 이재명만큼 청렴하고 이재명만큼 추진력 짱인 한국정치인 단 한 명도 없는 게 현실이죠 n친문들은 이재명지사님 매우 귀한줄 알아야 합니다', 'n 양아치 이재명 나가라n양아치 이재명 나가라n양아치 이재명 나가라n쓰레기 이재명 나가라n쓰레기 이재명 나가라n쓰레기 이재명 나가라.']"
"community
in minju_03",민주당,1,"['n 민주당에 회비 꼬박꼬박 내는자가 권리당 원임n이재명이 민주당을 흐리고 있음은 자명한 것n민주당은 민주당권리당원 의견이 1차임을 명심해야함', 'n 이재명의 높은 지지율은 민주당 당원에게서 나온게 아니라 정의당 이나 기타 정당에서 더 많이 나오죠? 오히려 민주당 안에서 지지율이 낮게 나오는데. 민주당에 있을 이유가 있나요?', 'n 민주당을 진정으로 지지한다면 민주당의 잘못을 지적하고 바른 방향으로 나아가도록 따끔한 충고가 필요합니다. 무조건 민주당 지지 무조건 내편지지는 국민으로부 신뢰를 받지 못합니다.']"
"community
in minju_03",이낙연,1,"['n 정신차리세요 이낙연은 절대 문재인 대통령을 지킬 사람이 아닙니다. 이낙연의 말을 보세요 자신의 이익을 위해 문대통령을 입에 올릴 뿐.n이낙연은 절대 믿을 수 없는 사람입니다', 'n 이낙연을 추켜세우고 싶으면 갸가 잘한걸 드러내라nn나무깎아내려봐짜 이낙연이 경선에서 못이긴다nn이 간단한걸 아직도 몰라?? nnn답답하네nn니들땜에 이낙연은 또 나가리각인겨', 'n 이낙연당대표 시절 민주당 180석 갖고 개처발라버리고 입법한게 420여개n홍영표 당대표되면 이낙연 시즌2래요n갑시다 n이낙연당대표 시즌2홍영표 당대표 당대표 홍영표']"
"community
in minju_03",나가다,1,"['n 어차피 대통령은 이재명이다 이낙연 선거참패 책임지고 나가라 나갈때 초선5적과 똥파리들 꼭 껴안고 나가라 이낙연은 어차피 민주당깨고 나가서 윤석렬과 손잡는다', 'n 어쩌라고? 느그 일베 찢사님 델고 나가면 nn되는걸 안하고 계시네??nn뭔 쓸데없이 말만 많구요??nn델고 나가세요nn민주적이지도 않잖아요 nn나가서 박스떼기나 하시던지요n', 'n 이재명 하나만 나가면 지난번 안철수 나갈 때처럼 너같은 똥파리들이 우루루 나갈거고 민주당이 깨끗해지지 않겠어? 이재명같은 말종한테 들러붙은 것들이 누구더러 똥파리래 어이없게']"
"community
in minju_03",대통령,1,"['n 사면은 소신이라고. n대통령 임기 내에 사면 시키라고 압박하던 놈n적폐와 싸우라고 밀어줬더니 대통령과 싸우고 자빠졌던 놈n지가 다음 대통령이라 생각 했으니 그랬지. 아오 열받아', 'n 불공정 숟가락질 쌍욕이재명을 차기 대통령으로 하자고?nn나라 망할일 있냐? nn그렇게 대통령 허고 싶으믄 탈당햐nn밈주당에서는 권당들때문에 경선통과 못해서 대통령 못할거니까', 'n 민주당 다음 행보 예상nn 민주당 지지율 이반은 문재인 대통령 탓n 문재인 대통령은 민주당에서 탈당하라n 문재인 대통령의 실정을 바로 잡을자 ooo을 믿어주시기 바랍니다']"
"community
in minju_03",당원,1,"['n 오렌지당원만 그가 법사위원장 되길 바라지 나머지 당원들은 원하지 않습니다 당원들이 다 원한다 고 말씀하지 마세요. 전 박광온 님 만족하고 잘 됐다고 보는 당원인데요 뭐.', 'n 당신이 더 극렬하네요.n다른 당원들은 정치인을 비판하는 데n당신은 같은 당원을 공격하네요.n정치인을 비판하는 건 당원의 권리자 의무입니다.n같은 당원 공갹하지 마세요.', 'n 댁은 누구세요?n진짜 민주당 당원 맞나요?n당원의 탈을쓰고 당원 흉내내는거 아님?n아니 어따대고 일 잘하고 있는 김용민 의원을n제명하라 하나요?언능 댁이나 여기서 나가시길.']"
"community
in minju_03",대표,1,"['n 이낙연당대표 시절 민주당 180석 갖고 개처발라버리고 입법한게 420여개n홍영표 당대표되면 이낙연 시즌2래요n갑시다 n이낙연당대표 시즌2홍영표 당대표 당대표 홍영표', 'n 이낙연 당대표 시절n너무 답답했다n이낙연 대표는 중요한 순간에는 자가격리??n문재인 대표 시절 이후 항상 승리하던n선거를 말아먹은 유일한 당대표n180석 가지고 답답한 당운영', 'n 향수님 누가 당대표 였나요? nn이재명 지사가 당대표였나요 이해찬 전전대표가 당대표 였나요.nn당연히 이낙연 전대표가 책임을 져야죠.']"
"community
in minju_03",의원,1,"['n 답답합니다. 당내 중진 의원이라는 일부 의원들이 헛짓거리 하더니 초선들 사태파악도 못하고 저리 날뛰게 두고.저건 다 당내 일부 중진 의원들 탓임', 'n 법사위원장 박광온의원 뽑아놓고 왠 딴소리? 지도부가 박광온 의원 역먹이는 거냐? 민주당 의원들 당원게시판 보는가? 안보는 것들 게으름을 피우나?', 'n 국민들에게 필요한 건xa0여자 할당받은 의원이 아니라xa0능력 있는 의원xa0입니다.xa0 페미공생하는 의원들이 민주당을 망칩니다.']"
"community
in minju_03",지지,1,"['n 아직도 쌍욕의 실체를 모르시군요?n조중동과 다를봐가 없다면 쌍욕을 들고 나오시요n이지사를 지지하지 않는 분이라면 그냥 지지하신 분만n지지하시는 게 헌명한 선택이요', 'n 일베들이 일베 가입한 이재명 지지하는 것 처럼n전국의 불륜 패륜남들이 이재명 지지하는 듯 nn아마 당게에서 이재명 지지하는 분들 이재명이랑 결이 같은 분들인 듯', 'n 문대통령 덕분에 민주당 지지하지 솔직히 민주당 의원들지지하지 않아요. 착각하지 마시길 언제든지 민주당 지지 철회할 수 있어요.']"
