,pos_words,count,documents
0,지지,1802,"['n 아직도 쌍욕의 실체를 모르시군요?n조중동과 다를봐가 없다면 쌍욕을 들고 나오시요n이지사를 지지하지 않는 분이라면 그냥 지지하신 분만n지지하시는 게 헌명한 선택이요', 'n 일베들이 일베 가입한 이재명 지지하는 것 처럼n전국의 불륜 패륜남들이 이재명 지지하는 듯 nn아마 당게에서 이재명 지지하는 분들 이재명이랑 결이 같은 분들인 듯', 'n 문대통령 덕분에 민주당 지지하지 솔직히 민주당 의원들지지하지 않아요. 착각하지 마시길 언제든지 민주당 지지 철회할 수 있어요.']"
1,좋아하다,309,"['n 그러니 이재명지사님은 김부선 명예훼손으로 맞고소 하시라고 하세요n고소 좋아하시는 분인줄 알았는데 아니신가봐요?n사이다 엄청 좋아하시다면서요', 'n 너네 한꼬집 말고는 자점이 다 싫어해n니들이 좋아한다 고 남들도 다 좋아하는 줄 착각하지 말라구n유어어도 마찬가지야n그 나물에 그밥', 'n 재명이 좋아하는 애들은 왜 그렇게 똥소리를 좋아하니?? n느네 평소에 똥 즐겨 먹니?? n막 모여서 찢똥 나눠 먹어? 귀한거라고?']"
2,이기다,292,"['n 민주당 경선에서 이기고n정작 국짐과의 싸움에서n낙동강 오리알될 인사는 절대 안 되겠지요.n극짐과 싸워 이길 후보n극짐과 치별화된 후보는n이재명박은 아니지요.', 'n 극히 상식적이어서 공감하고 동의합니다. n상식적이지 않은 분들이 꽤나 있고n목소리도 크지만 결국 상식이 이깁니다n상식이 이겨야 개혁도 완수됩니다', 'n 부선궁은 지금 걸린 명예훼손 재판만 이기면 됩니다 n혜경궁 건희궁은 둘이 싸워서 아무나 이겨라 n어차피 진흙탕 싸움이라n타격은 둘다 입겠죠 n']"
3,최고,239,"['n 우와 이게 법사위원장 내 놓으라는 국민의 힘과 뭐가 달라요? 정당에서 기준에 맞게 한 건데. 그리고 대통령 지키자는 말은 없네?? . 누가 진짜 만주당일까?? 작성자 이니최고야', 'n 최고의원 중앙위에서 뽑는 건 어떻게 생각하세요?nn대통령에게는 별별걸 다 인정하라하시는데n중앙위가 최고의 원을 지들끼리 쿵짝해서 뽑겠다는 데n이거에 대한 의견은 없어요?', 'n 니들이 가장 야비한 점은 이재명이 발악하면서 우리 정부 발목 잡고 있는데도 악착같이 대통령을 가져다 붙인다는 점이야. 내가 이재명을 싫어하는 최고의 이유가 반문질이야.n']"
4,능력,217,"['n 송무능 할줄 아는건 비난. 그러고도 정치인이오 능력이 안 되면 당대표를 하지 마셔야지 욕심은 있고 능력은 없고 할줄 아는 게 정부까기?', 'n 능력 있고 n일잘한다고n이명박을 뽑았지요.n최고 권력자는 n능력 품성 두루 겸비해야 하는데 말이지요.', 'n 능력 없고 언플에 강하며 혼자 대선놀이중인n사람도 좀 쳐냅시다n아주 민주당 말아 먹으려고 작정한거지nn리쉬 찢파리님은 글 좀 정리해서 쓰세요n횡설수설 절정입니다n술 드셨어요?n']"
5,감사,183,"['n 썪은 정치인나리님들n드디어 본색을 드러내 시는군요.n 감사합니다.nn꼭 응징할께요.n한방에 훅 갈 겁니다.n민주시민 우습게보시면 n조만간 천지개벽하는 날에 n당신들 벌 받습니다', 'n 조국장관님께서 회고록에 감사하다 고 n언급한 집회는 서초동 집회다nn검찰개혁 민심을 갈라놓은 n여의도 집회는 회고록에 n따로 언급도 안하심 nn케로로 자위하는 꼴 딱하네 . n', 'n 저는 횡성한우 투뿔 등심 사드릴 수 있습니다n감사와 진심은 고기로 n서로 얼굴도 모르고 움직이는 문파지만n혹시 우리 만나게 된다면 살며시 알려주세요n제가 고기사준다 그랬다 고']"
6,사랑,178,"['n 갈라치기 말고 제발 정신차리시고 나가세요 민주당 영원하고 사랑해요.검찰개혁 언론개혁 꼭 우리 의원들이 하실 거라 믿습니다. 우리 민주당 의원들 사랑해요', 'n 팟캐 유튜브에 뇌의탁하니 이런 게 보일리가 있나 nn조중도이 젤 사랑하는 민주당 사람이다 아냐 n이재명한테 많이 속아라nlh폭로하고 지지율 떡락햇다 n이재명한테 물어봐n', 'n 푸하하n이재명과 바퀴벌래 너무 환상의 콤비여유.nn사랑에 굶주린 사람이 힘을 가지면 매우 위험한 악마가 될 수밖에 없다는 것은 오랜 시간을 거쳐 증명된 역사입니다.']"
7,인정,168,"['n 유력 주자가 언플로 된 거 이제 인정 좀 하자 그놈의 언론에 돈 쏟아 부어서 된 거 이제 인정을 하자 인간아 야 이 인간아', 'n 문성근 이 김부선 한테 그런 애기 들은 거억 없다고 하자 김부선이 자기 착각이라 인정 하고 그뒤로 문성근은 떵파리들에게 온갖 육두 문자에 시달림 이런 게 팩트고 현실이란다', 'n 마음에 들고 안들고의 문제가 아니죠.n지금 대권주자 1위가 무슨 의미가 있나요?n이재명은 본게임 들어가면 털릴일만 남았는데 n행정의 달인요? 언플의 달인 이라면 인정할게요']"
8,친구,162,"['n 우리 케로로 열등감 쪄네 따봉수 올라가게 친구 데꼬오덩가 근데 우리 케로로가 입으로 똥싸개라서 친구는 있나?', 'n 이낙연대표님 정말 수고 많으셨어요n언론홍보비 지출해서 도정에도 결석하고 혼자 대선놀음하는 누구와 달리 n언론친구비는 못썼지만n국민들과 당원들은 알아갑니다 n이낙연의원님의 노고를', 'n 가깝게 지내는 극우친구가 그러더군요.n극우들이 요즘 똘똘 뭉쳐서 이재명 본선에 올리기에 총 동원되었답니다.n무얼 의미할까요?n민주당에 핵폭탄을 제조하고 있다는 프로젝트란거죠.']"
9,정상,159,"['n 니들 뭐하냐. n보니까 이지모가 만든 조작 성명서 가지고 당게 정상화네 폐쇄네 하던 것들이네. nn이재명의 성과?n그런 거 올리려면 이런 거 올려야지.n보궐 망친 lh제보n', 'n 개인 의견 제시한 정상적인 글에 반대 보소. 의견이 다르면 왜 다른지 설명할 생각은 없고 이유없이 반대 박은 사람은 민주당이 분열되기를 바라는 건가? 게시판 왜 이렇죠?', 'n 응 재명이가 저지른거 정상적인 법적 절차를 거쳐 응분의 댓가를 받는 게 옳은 수순 맞습니다 저런 수준이 대선 후보인 나라는 없습니다 있다면 부패가 만연한 후진국 정도?']"
