word,count
국민의 힘,104
민주당 대선 후보,59
민주당에서 나가다,53
분노 조절 장애,52
김진표 당 대표,51
패배 김진표 당,51
당 대표 패배,51
패배 이낙연 지지율,51
대표 패배 이낙연,51
경선 패배 김진표,51
전해철 경선 패배,51
이낙연 지지율 급락,51
똥파리 언급 필요,50
언급 필요 없다,50
주동자에게 책임,50
개혁 언론 개혁,48
국민의 짐,48
혜경궁 분노 조절,47
사칭 혜경궁 분노,47
패륜 욕설 사칭,46
욕설 사칭 혜경궁,46
불륜 패륜 욕설,46
검찰 개혁 언론,45
이해찬 정계 은퇴,44
낙 연이 형,44
이재명을 지지,42
이낙연 노무현 정권,40
김대중 노무현 문재인,39
마음의 빚,39
이재명이 민주당,39
이명 박근혜 사면,38
개혁 검찰 개혁,37
정신 못 차리다,34
언론 개혁 검찰,34
민주당의 수치,32
베 출신 이재명,30
이재명이 나가다,30
이낙연 당 대표,29
재난 지원금 선별,28
당 대표 선거,25
닥 표 간장,25
권리 당원 게시판,25
조 국전 장관,25
민주당을 망치다,24
보궐 선거 패배,24
이재명이 대선,24
민주당의 해악,23
민주당의 소중,23
자격이 없다,23
표 간장 정치,23
글에 반대,23
정계 은퇴 나오다,22
간장 정치 신세계,22
보궐 선거 참패,21
차기 대통령 이낙연,21
이유로 비난,20
민주당에 기생,20
민주당 대권 후보,20
이낙연 국회 연설,20
노무현 정권 미숙,20
국민 재난 지원금,20
당 대표 시절,20
인간을 지지,19
노무현 정권 정책,19
연설 노무현 정권,19
국회 연설 노무현,19
노무현 문재인 대통령,19
정의를 위하다,19
후보로 나오다,18
반 서민 정권,18
파라 떵 파라,18
무능 미숙 분열,18
지원금 선별 지급,18
분열의 리더십,18
노무현의 언론,18
대표를 해골,18
민주당을 떠나다,18
정신을 차리다,17
국민의 당,17
국회에서 발표,17
성명서를 국회,17
현실을 부정,17
당을 망치다,17
민주당을 지지,17
개혁 법안 처리,17
홍영표 당 대표,17
허구의 세계,16
거짓말이 진실,16
이낙연 선대 위원장,16
이명박 박근혜 사면,16
행동을 반복,16
개혁이 민생,16
민주당 권리 당원,16
세계를 진실,16
글에 비추,16
글을 올리다,16
이해찬 당 대표,16
당에서 나가다,16
타인에게 주목,16
장애로 타인,16
민주당을 사랑,16
리플리 증후군 현실,16
전적으로 동의,16
음주운전 검사 사칭,16
가치관 신념 판단,16
이재명을 제명,15
이재명이 후보,15
송영길 당 대표,15
뒤에서 칼,15
엄중 낙 연,15
수준에 맞다,15
후퇴 사법 개혁,14
이낙연 대선 후보,14
후퇴 언론 개혁,14
이재명이 싫다,14
불륜으로 송사,14
이재명이 대통령,14
조국에 마음,14
언론 개혁 후퇴,14
사법 개혁 후퇴,14
당 대표 후보,14
박광온 법사 위원장,13
재명이 데리다,13
민주당을 나가다,13
전남 곡성 권리,13
개혁 법안 통과,13
마음에 빚,13
민주당 당원 게시판,13
인간이 민주당,13
이낙연을 지지,13
이낙연 전당 대표,13
대통령을 지키다,13
입법 왕 이낙연,13
정부 여당 공격,12
리더십으로 국민,12
조국 추미 애,12
조폭 연루 설,12
권리 당원 성명서,12
검찰 언론 개혁,12
개혁 후퇴 사법,12
윤석열 한동훈 윤대진,12
민주당의 정체,12
선거 패배 원인,12
이낙연이 당,12
양정철 접촉 후,12
양정철 백원우 노영민,12
이해찬이 공천,11
처벌 법 누더기,11
뇌를 맡기다,11
진보 유 튜버,11
유 튜 버들,11
언론 검찰 개혁,11
중대 재해 처벌,11
이낙연 차기 대통령,11
조국에게 마음,11
당원이 뽑다,11
문통을 지키다,11
민주당 당 대표,11
이재명 이해찬 나가다,11
이재명 이해찬 민,11
공 수처 법,11
이재명 지지자 수준,11
재해 처벌 법,11
베 충 표절,11
재명을 지지,11
반이 재명,11
강제 입원 시도,11
국 짐 당과,10
강병원 최고 위원,10
한동훈 윤대진 김어준,10
게시판에 글,10
재명이 민주당,10
총각 사칭 불,10
당을 떠나다,10
지사를 지지,10
정청래 법사 위원장,10
민주당 대통령 후보,10
윤석열 대통령 만들다,10
민주당을 분열,10
민주당의 가치,10
민주당의 대선,10
성남 시장 시절,10
이유를 모르다,10
이낙연이 민주당,10
엘에 이치,10
윤대진 김어준 주진우,10
후퇴 중대 재해,10
