date,positive,negative,total,pos_rate,neg_rate
2021-04-30,34,25,59,0.576271186440678,0.423728813559322
2021-04-29,34,21,55,0.6181818181818182,0.38181818181818183
2021-04-28,28,12,40,0.7,0.3
2021-04-27,20,10,30,0.6666666666666666,0.3333333333333333
2021-04-26,29,0,29,1.0,0.0
2021-04-25,24,55,79,0.3037974683544304,0.6962025316455697
2021-04-24,47,10,57,0.8245614035087719,0.17543859649122806
2021-04-23,35,24,59,0.5932203389830508,0.4067796610169492
2021-04-22,40,27,67,0.5970149253731343,0.40298507462686567
2021-04-21,63,23,86,0.7325581395348837,0.26744186046511625
2021-04-20,46,12,58,0.7931034482758621,0.20689655172413793
2021-04-19,60,22,82,0.7317073170731707,0.2682926829268293
2021-04-18,34,24,58,0.5862068965517241,0.41379310344827586
2021-04-17,78,53,131,0.5954198473282443,0.40458015267175573
2021-04-16,79,60,139,0.5683453237410072,0.4316546762589928
2021-04-15,113,105,218,0.518348623853211,0.481651376146789
2021-04-14,68,51,119,0.5714285714285714,0.42857142857142855
2021-04-13,144,129,273,0.5274725274725275,0.4725274725274725
2021-04-12,86,148,234,0.36752136752136755,0.6324786324786325
2021-04-11,117,178,295,0.39661016949152544,0.6033898305084746
2021-04-10,61,118,179,0.3407821229050279,0.659217877094972
2021-04-09,84,83,167,0.5029940119760479,0.49700598802395207
2021-04-08,103,134,237,0.4345991561181435,0.5654008438818565
2021-04-07,32,55,87,0.367816091954023,0.632183908045977
2021-05-01,34,25,59,0.576271186440678,0.423728813559322
2021-05-02,33,22,55,0.6,0.4
2021-05-03,28,0,28,1.0,0.0
2021-05-04,21,0,21,1.0,0.0
2021-05-05,15,0,15,1.0,0.0
2021-05-06,23,0,23,1.0,0.0
2021-05-07,23,0,23,1.0,0.0
2021-05-08,28,0,28,1.0,0.0
2021-05-09,31,0,31,1.0,0.0
2021-05-10,29,0,29,1.0,0.0
2021-05-11,20,0,20,1.0,0.0
2021-05-12,24,0,24,1.0,0.0
2021-05-13,15,0,15,1.0,0.0
2021-05-14,26,0,26,1.0,0.0
2021-05-15,42,13,55,0.7636363636363637,0.23636363636363636
2021-05-16,31,0,31,1.0,0.0
2021-05-17,23,0,23,1.0,0.0
2021-05-18,33,0,33,1.0,0.0
2021-05-19,22,0,22,1.0,0.0
2021-05-20,30,0,30,1.0,0.0
2021-05-21,20,0,20,1.0,0.0
2021-05-22,16,0,16,1.0,0.0
2021-05-23,18,0,18,1.0,0.0
2021-05-24,25,17,42,0.5952380952380952,0.40476190476190477
2021-05-25,21,0,21,1.0,0.0
2021-05-26,0,0,0,,
2021-05-27,0,0,0,,
2021-05-28,12,0,12,1.0,0.0
2021-05-29,39,0,39,1.0,0.0
