word,count
이재명,7630
민주당,6021
이낙연,3797
나가다,2559
대통령,2463
당원,2179
대표,2071
의원,1853
지지,1802
똥파리,1792
개혁,1622
지지자,1586
지사,1443
모르다,1433
선거,1428
재명,1419
후보,1336
이해찬,1332
국민,1194
인간,1190
초선,1117
조국,1071
탈당,1045
대선,1017
정신,992
지키다,960
지지율,949
언론,915
보이다,802
검찰,769
파리,768
게시판,706
정치,704
수준,688
오렌지,657
차리다,635
꺼지다,569
김어준,550
수박,547
노무현,542
올리다,530
문재,529
정부,526
경선,521
어문,520
권리,511
사면,488
본인,485
정권,479
장관,478
죄명,478
당게,467
책임,457
댓글,442
반대,439
바라다,438
홍영표,435
내부,429
투표,429
경기도,419
쓰레기,404
민주,402
필요,400
아웃,400
나라,390
이유,380
데리다,374
다니다,368
정책,366
송영길,365
응원,364
마음,363
위원장,362
미치다,358
말씀,357
더럽다,355
도지사,345
쌍욕,344
윤석열,343
다음,342
혜경궁,336
얘기,331
제명,330
기본,328
불륜,322
패배,320
다르다,317
공감,313
좋아하다,309
통과,308
비판,307
부끄럽다,307
문재인,307
보궐,306
떨어지다,303
필패,295
출당,294
망하다,294
이기다,292
이해,288
문파,287
뉴스,286
출신,275
김부선,273
대권,270
망치다,268
국회의원,267
친문,266
정치인,265
적폐,265
입법,264
세력,264
욕하다,262
세상,258
정청래,257
통령,254
엄중,253
조사,251
보내다,250
발언,249
차기,249
시키다,248
머리,244
조중동,244
어쩌다,244
용어,241
비난,240
헛소리,240
김진표,240
욕설,240
무능,240
분열,239
최고,239
이름,238
총질,238
기사,238
경기,237
공격,233
법안,230
자리,226
문통,222
웃기다,221
능력,217
의견,217
동의,216
부동산,216
사퇴,215
시장,214
대한민국,212
힘들다,211
박근혜,211
가능,209
주장,208
사과,205
시작,204
걱정,203
시민,203
당선,203
운동,202
결과,202
버리다,201
인성,199
싸우다,199
행동,199
외치다,198
창당,198
똑같다,198
들어오다,198
나쁘다,196
정동영,196
걸리다,196
민심,195
하루,194
떠나다,194
가짜,193
가족,193
추미애,192
주제,192
시절,191
당하다,187
누르다,187
법사,186
책임지다,186
떠들다,183
형수,183
감사,183
천박,183
여론,182
밝히다,181
조작,180
인물,180
단어,179
야당,179
반문,178
사랑,178
조롱,178
우원식,173
한줌,173
논리,172
이명박,171
권당,171
여니,171
이야기,169
분노,169
바꾸다,168
총리,168
인정,168
사칭,167
소송,167
거짓말,166
알리다,165
따르다,165
내용,165
원하다,164
근거,164
돌리다,163
전해철,163
친구,162
행위,162
증거,161
챙기다,160
공천,160
빠지다,160
사태,159
무섭다,159
정상,159
들어가다,159
뻐꾸기,158
정체,158
무상,157
난리,157
인사,157
내리다,156
사건,156
지나다,156
타령,155
처리,154
중요,154
총선,154
충이,153
여성,152
찬성,151
반성,151
상식,151
정의,151
느끼다,150
주자,149
양아치,149
언급,149
상황,149
승리,149
세금,148
선택,147
연이,147
비하,147
도덕,147
현실,147
동감,146
무시,146
지급,146
터트리다,145
자체,144
모습,143
음주운전,143
고소,142
기억,141
윤석렬,141
갈라치기,141
재판,139
오세훈,138
죽이다,138
남경필,138
추천,137
양심,136
선별,136
여당,136
조응천,136
은퇴,135
비교,134
오적,134
진실,134
검사,133
고발,133
김용민,132
의심,132
지도부,132
당내,132
권력,131
판단,131
배우다,131
분탕질,131
당비,130
말아먹다,130
무식,130
짓거리,130
표현,129
사라지다,129
사진,129
해당,129
터지다,129
만나다,129
더불다,128
참패,127
당장,127
국회,127
뿌리다,126
잡범,126
촛불,125
공정,125
실명,124
적극,124
지역,123
레기,123
돌아가다,123
기본소득,122
관심,122
진보,122
프로,122
호남,122
부르다,122
품격,122
선족,121
자격,121
민생,121
계시다,121
리쉬,121
끝나다,121
청와대,120
생기다,120
위원,120
장애,120
방송,120
도움,120
털보,119
꼬라지,119
무리,119
세작,119
비추,119
서울,119
의리,118
연애,118
전과자,118
오르다,118
끄레기,118
백신,118
눈치,117
애쓰다,117
작성자,117
확인,117
진심,117
관련,117
홍준표,117
순간,116
패하다,116
후퇴,116
자식,116
강성,115
자랑,115
결국,115
파악,115
미래,114
수사,114
경제,114
바보,114
이용,113
거짓,113
원인,113
측근,112
화이팅,111
터뜨리다,110
민사,110
자산,110
인증,110
자빠지다,110
패륜,110
유튜브,110
패거리,110
가르다,110
나서다,109
상대,109
문자,109
아이,109
힘내다,108
낙엽,107
부탁,107
기분,107
남기다,106
냄새,106
배후,106
비추다,106
정당,105
도배,105
열리다,104
김대중,104
박광온,104
낙지,103
프락치,103
국가,103
조폭,102
변호사,102
사용,102
지원,102
넘기다,102
역사,102
정계,102
부대,102
막말,102
격리,102
의미,101
윤리,100
지원금,100
일부,100
숟가락,100
기다리다,100
뭉치다,100
맡기다,99
존경,99
전국,99
정리,99
일반,99
인생,98
붙이다,98
잘못,98
도민,98
존재,98
어렵다,98
틀리다,97
가입,97
얼굴,97
투명,96
백혜련,96
어울리다,95
목소리,95
고생,95
홍보,95
준비,94
이소영,94
집값,94
결정,94
허위,94
소득,94
역겹다,93
시대,93
태극기,93
가리다,93
튜버,92
페미,92
희망,92
아깝다,92
씌우다,92
중도,92
모욕,91
안철수,91
지령,91
재난,91
추종,90
선대,90
명이,90
이후,90
보편,90
내보내다,90
해골,90
사기,90
정보,89
모지리,88
부리다,88
내각,88
과거,88
아프다,88
성남,88
양반,87
운운,87
박스,87
주택,87
저질,87
시기,87
조선일보,87
대의원,87
혼자,86
키우다,86
저급,86
포기,86
프레임,86
따지다,86
찾아보다,85
비리,85
개인,85
실패,85
코로나,85
광주,85
파일,84
모으다,84
부정,84
활동,84
이명,84
던지다,84
유시민,84
폭로,83
완전,83
공부,83
개판,83
모양,83
부산,83
실망,83
의혹,82
민주주의,82
넘어가다,82
차이,82
싫어하다,82
기회,82
원칙,82
선동,82
수치,82
손잡다,81
발광,81
이해충돌,81
관계,81
공작,81
입장,81
보수,81
고치다,80
한마디,80
윤호중,80
정통,80
뒤집다,80
역적,79
부도덕,79
전화,79
바뀌다,79
박영선,79
공개,79
박주민,79
창출,79
폭탄,79
노통,79
기생,78
아이디,78
설치다,78
방법,78
원내대표,78
영표,78
기대,78
손가락,77
시즌,77
청산,77
병원,77
처음,77
유은혜,77
집단,77
남자,77
성공,77
잡히다,76
기생충,76
모이다,76
애기,76
신념,76
청년,76
공약,76
출마,76
성명서,76
세우다,76
세계,75
계파,75
삭제,75
작세,75
방역,75
징계,74
대상,74
지겹다,74
지켜보다,74
제정신,74
알아보다,74
복지,74
모자라다,73
무죄,73
신경,73
디어리,73
통진,73
안타깝다,73
마지막,73
악마,73
탄핵,73
가치,72
보선,72
처벌,72
기자,72
해결,72
혐오,72
검증,71
동지,71
기준,71
나가라,71
장악,71
심하다,71
관리,70
번호,70
퇴출,70
유일,70
원흉,69
수처,69
짜증,69
작전,69
기간,69
살리다,69
괜찮다,68
박완주,68
이제명,68
단체,68
우습다,68
날리다,68
임기,68
일으키다,68
왜곡,68
지도자,68
잘나다,68
움직이다,68
사위,68
모두,68
요구,68
벌레,67
종자,67
과학,67
망신,67
제목,67
분란,67
양정철,67
방지법,67
고맙다,66
비방,66
설명,66
범인,66
싸움,66
빠르다,66
비대위,66
대통,66
나견,66
흔들다,66
착각,66
포털,65
성과,65
어리다,65
올라오다,65
드럽다,65
제약,65
옹호,65
부모,64
조직,64
아들,64
덩어리,64
조절,64
목적,64
일본,64
교수,63
주인,63
연기,63
차별,63
사법,63
거리,63
파라,63
전남,63
지껄이다,63
찬양,63
의도,63
이루다,63
귀하다,62
취급,62
대신,62
뱃지,62
모시다,62
아침,62
배신,62
노력,62
의하다,62
부끄러움,62
전하다,62
반복,62
분위기,61
주군,61
신뢰,61
동네,61
그동안,61
실체,61
제거,61
나이,61
범죄자,61
유포,61
버티다,61
마시다,61
축하,60
도정,60
강병원,60
해악,60
이미지,60
소름,60
다행,60
주변,60
독재,60
덕분,59
표절,59
이익,59
인격,59
여시,59
홍남기,59
서민,59
꺼내다,59
쇄신,58
참여,58
사고,58
드러나다,58
부분,58
감옥,58
바람,58
핑계,58
발목,58
하늘,58
나대다,58
특정,58
부족,58
전당,57
망상,57
급락,57
평등,57
버러지,57
치우다,57
김남국,57
물러나다,57
합리,56
막히다,56
거품,56
당시,56
올라가다,56
최악,56
바쁘다,55
내세우다,55
찌질,55
찢어지다,55
진영,55
집권,55
주동자,54
세월,54
싸지르다,54
저지르다,54
들리다,54
박멸,54
아래,54
중국,54
지적,54
방해,54
닥치다,54
차단,54
알바,54
약속,53
나누다,53
신고,53
나타나다,53
자녀,53
지능,53
진행,53
협박,53
대놓다,53
흐리다,53
사이다다,53
중대,53
고민,53
구분,53
보소,53
추가,53
없애다,52
존중,52
칭찬,52
쪽팔리다,52
전체,52
대책,52
정의당,52
끼치다,52
추진,52
포럼,52
조장,52
해명,52
정확,52
강제,52
범죄,52
다중,52
수고,52
지자,52
송사,52
공장,51
지르다,51
느낌,51
발표,51
지나가다,51
자유,51
미국,51
예의,51
창피,51
예전,51
바르다,50
박수,50
심판,50
두렵다,50
의식,50
전두환,50
지요,50
희생,50
외면,50
끼우다,50
때리다,50
기득,50
어이없다,50
불리,50
닉네임,50
더럽히다,50
임명,50
건강,50
보호,50
대장,50
몰아내다,50
작업,49
중진,49
참고,49
거르다,49
청소,49
튜브,49
이동형,49
향하다,49
극우,49
비호,49
보도,49
바닥,49
관리자,49
자료,49
선출,49
정세균,49
기소,49
디어,48
토론,48
사이다,48
통수,48
아쉽다,48
행보,48
갖추다,48
위험,48
집회,48
아버지,48
공무원,48
놔두다,48
선궁,48
거지,48
해보다,48
종부,48
그릇,48
나중,48
운영,48
납부,48
물타기,48
정성호,48
세대,47
세뇌,47
작자,47
대안,47
쫓아내다,47
집안,47
대출,47
트윗,47
제발,47
압도,47
불안,47
바퀴벌레,47
오영환,47
감싸다,47
경찰,47
김해영,47
달리다,47
김태년,47
드러내다,46
정답,46
지내다,46
상태,46
개헌,46
김부겸,46
언어,46
대응,46
선생,46
넘치다,46
장난,46
만약,46
방향,46
한국,45
남성,45
품위,45
조치,45
구나,45
이끌다,45
소속,45
총장,45
시점,45
당규,45
놀아나다,45
여기저기,45
국정,45
중앙,45
세연,45
부부,44
제한,44
총각,44
노릇,44
내년,44
박정희,44
선언,44
평생,44
스파이,44
케로로,44
대회,44
불가,44
큰일,44
러시아,44
용서,44
지역구,44
들이다,44
쉴드,44
다수,44
손절,44
지지층,44
상관,44
포함,43
남불,43
지우다,43
맞추다,43
권한,43
추미,43
변파,43
유력,43
유지,43
최소한,43
후원금,43
띄우다,43
제도,43
피하다,43
정경,43
낙선,42
도와주다,42
재선,42
교육,42
대세,42
언행,42
명예,42
투기,42
수구,42
놀이,42
우기다,42
앞장서다,42
뜬금없다,42
설득,42
꼼수,42
논문,42
거론,42
부치다,41
일당,41
가슴,41
오만,41
문정부,41
소신,41
질러,41
욕심,41
입원,41
끌리다,41
밥그릇,41
행복,41
반정부,41
돌아오다,41
검색,41
내놓다,41
저주,41
이철희,41
네거티브,40
과정,40
왜구,40
장철민,40
경험,40
게시,40
완수,40
나대지,40
여배우,40
구라,40
태도,40
숨기다,40
전략,40
보비,40
모임,40
추진력,40
일어나다,40
미안,40
색히,40
자영업,40
그리다,40
명박,40
가져오다,40
당헌,40
발악,39
앞세우다,39
비아,39
변하다,39
애초,39
가깝다,39
미루다,39
윤미향,39
연관,39
후원,39
소문,39
전라도,39
예산,39
패악,39
소통,38
평화,38
시도,38
인척,38
사죄,38
작정,38
이지모,38
폭력,38
참석,38
여기다,38
구걸,38
줄이다,38
시끄럽다,38
수작질,38
탈퇴,38
일삼다,38
누더기,38
조심,38
버릇,38
종교,38
괴롭히다,38
새롭다,38
발전,38
김경수,38
친일파,38
업적,38
자중,38
김종민,38
속이다,38
고르다,38
분석,37
역대,37
정화,37
불법,37
살아오다,37
돌아서다,37
반박,37
앞뒤,37
사안,37
주목,37
놀리다,37
오해,37
극좌,37
구김,37
판결,37
인식,37
의지,37
캠프,37
소개,37
침묵,37
수장,37
평가,37
천하,37
즐기다,36
가볍다,36
취하다,36
명단,36
중심,36
원님,36
효과,36
기권,36
경쟁,36
외교,36
사이,36
합치다,36
입당,36
정하다,36
인기,36
멈추다,36
본질,36
연장,36
처먹다,36
계정,36
사전,36
딴지,36
색기,36
장경태,36
행사,35
신중,35
차원,35
물건,35
비율,35
꼴통,35
최선,35
욕쟁이,35
레임덕,35
나부랭이,35
충격,35
대가리,35
거부,35
임대,35
독선,35
구리다,35
개정,35
동아일보,35
개돼지,35
다물다,35
뺏기다,35
소원,35
제기,35
털리다,35
급하다,35
들키다,35
강하다,35
질문,35
행태,35
핵심,35
몰리다,34
부류,34
그만두다,34
반응,34
마찬가지,34
치르다,34
먹이다,34
발의,34
기회주의자,34
아줌마,34
숫자,34
행정,34
따까리,34
체크,34
친일,34
부인,34
부선,34
포장,34
증명,34
당과,34
기관,34
유리,34
회장,34
스피커,34
위기,34
전문,34
팔리다,34
부럽다,33
뻔하다,33
조선,33
어쩔다,33
매드,33
굴리다,33
이재용,33
작년,33
박원순,33
철회,33
떨거지,33
상주,33
날뛰다,33
위원회,33
대다수,33
겁나다,33
현재,33
채우다,33
건드리다,33
뒤통수,33
저격,33
우당,33
계승,33
전적,33
음모,33
격하다,33
장대,33
절대,33
외부,33
벗어나다,33
어이,33
편하다,32
장사,32
밀리다,32
유능,32
최근,32
악귀,32
이재,32
챙피,32
내려오다,32
신세계,32
눈물,32
트위터,32
박형준,32
조정,32
기획,32
동부,32
드립,32
바리,32
부패,32
보복,32
캡쳐,31
포니,31
일상,31
의사,31
놀랍다,31
가르치다,31
흠결,31
혈세,31
해체,31
한자,31
서초동,31
사업,31
연합,31
계시판,31
대패,31
멸칭,31
못되다,31
소설,31
명심,31
교주,31
구만,31
박히다,31
결론,31
본선,31
각종,31
열폭,31
행세,30
상처,30
상상,30
대변,30
구하다,30
구속,30
극성,30
특혜,30
국수호,30
배신자,30
불만,30
근본,30
악질,30
대학,30
오렌,30
흘리다,30
보태다,30
분탕,30
인권,30
먹히다,30
간장,30
간첩,30
이자,30
엄청나다,30
매국노,30
폐륜,30
음해,30
문장,30
드루,30
부자,30
뿌리,30
동교동,30
진정,30
한숨,30
김혜경,30
요청,30
높이다,29
이득,29
답변,29
무너지다,29
이슈,29
호도,29
기업,29
지치다,29
광신도,29
내주다,29
스타일,29
아군,29
손해,29
나머지,29
실수,29
실세,29
내치다,29
감추다,29
전과,29
총수,29
버스,29
역할,29
편들다,29
본색,29
잔당,29
자세,29
차지,29
도망가다,29
맞춤법,29
결혼기념일,29
약점,29
완화,29
가즈아다,29
흔들리다,29
제시,29
수록,28
결혼,28
떠오르다,28
작성,28
패스,28
편향,28
지방,28
보통,28
자칭,28
리더,28
리더십,28
같잖다,28
영혼,28
내뱉다,28
말리다,28
말투,28
전과범,28
신정현,28
옵티머스,28
고개,28
소환,28
어머니,28
확정,28
고통,28
후회,28
나아가다,28
계곡,28
형제,28
부합,28
생활,28
내일,28
소수,28
팔아먹다,28
교체,28
위장,28
재산,28
외곽,28
명아,27
가관,27
사리,27
물어보다,27
당정,27
지시,27
상품권,27
꿈꾸다,27
모독,27
직전,27
쉰내,27
니나,27
인터뷰,27
폐지,27
앞두다,27
초딩,27
주진우,27
최성,27
꼰대,27
소식,27
천지,27
가격,27
완료,27
중지,27
현삼,27
개념,27
연결,27
계속,27
민족,27
과제,27
엉망,27
강원도,27
피해,27
의무,27
확신,27
연설,27
회원,27
시사,27
준이,27
영향,27
기도,27
화폐,27
행적,27
군사,27
주범,26
노리다,26
보고,26
민초,26
대박,26
엄마,26
진리,26
비중,26
기동민,26
받아들이다,26
바래다,26
물어뜯다,26
살피다,26
최성해,26
친형,26
탄생,26
기록,26
연씨,26
생각나다,26
주도,26
원내,26
친목,26
이준석,26
대화,26
들통,26
망덕,26
모함,26
약하다,26
간자,26
누리다,26
거리다,26
신문,26
스캔들,26
박용진,26
벌리다,26
하락,26
감동,26
꼬리,26
올바르다,26
개발,26
할배,26
된장,26
김현미,26
국전,26
작품,26
후손,26
동원,26
인상,26
검토,26
계획,26
성향,26
도둑,25
완성,25
뒤지다,25
어처구니,25
바라보다,25
꼬이다,25
도전,25
도통,25
앉히다,25
독재자,25
제외,25
돼지,25
감정,25
갈등,25
바치다,25
퍼붓다,25
의회,25
배설,25
떨어뜨리다,25
선수,25
패륜아,25
국무총리,25
멋지다,25
신나다,25
페미니즘,25
수석,25
한방,25
나무,25
까불다,25
스트레스,25
금지,25
비토,25
폭행,25
이똥,25
전혜숙,25
지속,25
타파,25
유권자,25
투쟁,25
태어나다,25
토착,25
최강욱,25
타인,25
티비,25
퇴임,25
자르다,25
명령,25
혁명,25
아파트,25
노브,25
노래,25
구경,25
인터넷,25
정작,24
아끼다,24
방식,24
전문가,24
빨갱이,24
건너가다,24
문중,24
중간,24
부추기다,24
말기,24
그림,24
깽판,24
튀어나오다,24
경고,24
언론인,24
이념,24
의탁,24
시전,24
퍼지다,24
플레이,24
신청,24
부담,24
한글,24
그네,24
군요,24
구요,24
환영,24
심정,24
따라가다,24
환상,24
홍익인간,24
평소,24
스스로,24
속도,24
