word,count
모르다,263
보이다,219
밝히다,213
바라다,134
더럽다,133
더불다,118
들어가다,106
웃기다,94
나가다,94
보내다,94
차리다,88
더듬다,82
떨어지다,78
미치다,75
나쁘다,73
당하다,72
열리다,69
버리다,66
올리다,66
떠들다,66
다르다,64
망하다,63
싸우다,61
어쩌다,61
나서다,60
다니다,58
좋아하다,58
죽이다,57
지키다,56
끝나다,54
바꾸다,53
터지다,52
빠지다,51
걸어가다,50
힘들다,49
세우다,49
지나다,48
들어오다,48
무섭다,47
모으다,46
돌아오다,46
힘내다,45
돌리다,45
터트리다,45
생기다,45
이기다,44
가리다,44
바뀌다,43
만지다,40
내리다,40
시끄럽다,40
설치다,39
돌아가다,39
털리다,37
기다리다,36
넘어가다,35
역겹다,35
구하다,35
떠나다,34
시키다,34
가즈아다,34
배우다,34
부르다,34
따르다,33
새롭다,33
사라지다,33
올라가다,32
이루다,32
틀리다,32
지겹다,31
피하다,31
걸리다,31
멋지다,31
느끼다,30
바르다,30
망치다,30
드러나다,30
부리다,30
책임지다,30
던지다,30
키우다,29
뿌리다,29
흘리다,29
지나가다,28
씌우다,28
오르다,28
해보다,28
꺼지다,27
추하다,27
때리다,27
부끄럽다,27
넘기다,27
저지르다,27
따지다,26
없애다,26
원하다,26
붙이다,26
만나다,26
까발리다,25
우습다,25
욕하다,25
일으키다,25
알리다,25
어렵다,25
변하다,25
무너지다,24
챙기다,23
외치다,23
똑같다,23
찌그러지다,22
엄청나다,22
고맙다,22
뒤집다,22
버티다,22
반기다,22
넘치다,22
놀아나다,22
뭉개다,21
처먹다,21
두렵다,21
먹히다,21
구리다,21
흔들리다,20
손잡다,20
내세우다,19
모이다,19
맡기다,19
싫어하다,19
살리다,19
속이다,19
더럽히다,19
애쓰다,19
나대다,19
흔들다,19
아프다,18
뻔하다,18
띄우다,18
자빠지다,18
다물다,18
잘나다,18
자르다,18
일삼다,18
터뜨리다,18
들이다,18
써먹다,18
흐리다,17
겁나다,17
지켜보다,17
말아먹다,17
내밀다,17
나타나다,17
모시다,17
감싸다,16
재밌다,16
생각나다,16
의하다,16
잡히다,16
도와주다,16
날리다,16
심하다,16
살아오다,16
가깝다,15
지내다,15
가볍다,15
고치다,15
강하다,14
어울리다,14
안타깝다,14
일어나다,14
가르다,14
합치다,14
정하다,14
먹이다,13
파헤치다,13
늘어지다,13
내놓다,13
날뛰다,13
굴리다,13
꺼내다,13
피우다,13
숨기다,13
씨부리다,13
계시다,13
거치다,13
다스리다,13
커지다,13
들리다,13
조지다,13
퍼뜨리다,12
고르다,12
풍기다,12
급하다,12
뭉치다,12
휘둘리다,12
괜찮다,12
뒤지다,12
팔아먹다,12
내려오다,12
어이없다,12
말리다,12
임하다,12
들먹이다,11
노리다,11
태어나다,11
이끌다,11
수많다,11
움직이다,11
몰아내다,11
아깝다,11
모자라다,11
건드리다,11
갖추다,11
막히다,11
감추다,11
놀리다,11
떠돌다,11
돌아다니다,11
드럽다,11
치우다,11
처하다,11
벌이다,11
닥치다,11
바쁘다,11
까불다,10
쪽팔리다,10
벌어지다,10
거칠다,10
그만두다,10
높이다,10
깨지다,10
알아보다,10
앉히다,10
받아들이다,10
올바르다,10
달리다,10
지우다,10
접하다,10
찌르다,10
올라오다,10
꿈꾸다,10
취하다,10
보태다,10
봐주다,10
갔다오다,10
지껄이다,10
여기다,10
채우다,9
거르다,9
어리다,9
찾아내다,9
찾아보다,9
두껍다,9
견디다,9
못되다,9
늦추다,9
다가오다,9
부풀리다,9
누리다,9
치르다,9
물어뜯다,9
치루다,9
끼치다,9
상관없다,9
드러내다,9
쫓아내다,9
휘두르다,9
놔두다,9
달려들다,9
몰리다,9
지치다,8
징그럽다,8
팔리다,8
흐르다,8
우기다,8
지르다,8
욕보이다,8
힘쓰다,8
떠벌리다,8
새빨갛다,8
맞추다,8
떠오르다,8
돌아서다,8
달라지다,8
물러나다,8
늘리다,8
누르다,8
능하다,8
내뱉다,8
남기다,8
끌어내리다,8
괴롭히다,8
내보내다,8
앞장서다,8
논하다,7
맞서다,7
무너뜨리다,7
멋있다,7
멈추다,7
건너다,7
짜집다,7
마시다,7
때려잡다,7
대들다,7
끌어들이다,7
묻히다,7
박히다,7
아쉽다,7
섬기다,7
바로잡다,7
장난치다,7
벌리다,7
쌓이다,7
사기치다,7
불리다,7
벗어나다,7
빠르다,7
넘보다,6
밀리다,6
살피다,6
아끼다,6
살아가다,6
대놓다,6
처넣다,6
쓸어버리다,6
살아남다,6
나아가다,6
판치다,6
댕기다,6
옮기다,6
펼치다,6
기웃거리다,6
기어나오다,6
향하다,6
헤치다,6
훔치다,6
굴하다,6
안스럽다,6
가하다,6
사이다다,6
엄하다,6
더하다,6
들어서다,6
덤비다,6
망가지다,6
잡아먹다,6
부추기다,6
줄이다,6
즐기다,6
떨어뜨리다,6
즐겁다,6
헐뜯다,5
까먹다,5
몰려오다,5
행하다,5
중하다,5
꼬시다,5
그리다,5
못생기다,5
격하다,5
걸어오다,5
건네다,5
약하다,5
죄짓다,5
가만있다,5
깎아내리다,5
벼르다,5
벗기다,5
놀라다,5
두들기다,5
다루다,5
따라가다,5
어리석다,5
눈감다,5
상하다,5
놀랍다,5
비하다,5
편들다,5
짜르다,5
집어넣다,5
떨리다,5
날라가다,5
팀킬다,5
뛰어나다,5
끝내다,5
바래다,5
