word,count
국민,1120
대통령,931
파일,805
정치,746
대선,494
총장,493
나라,478
검찰,434
정권,429
검증,382
공작,364
인간,353
사찰,349
후보,343
수사,274
조국,270
장모,258
지지,242
대권,231
불법,230
여당,229
대표,216
내용,216
출마,195
지지율,189
조사,187
야당,184
공정,180
공개,180
좌파,173
의혹,172
검사,171
응원,165
보수,157
언론,156
본인,156
조작,151
가족,146
정부,142
정의,142
선동,140
사건,139
선거,135
비리,134
교체,133
정신,133
사기,131
수준,130
출신,127
세상,126
재앙,121
장관,121
아들,118
쓰레기,115
야권,110
고발,109
시작,105
국가,103
정치인,99
방송,95
인물,94
여권,93
기관,91
책임,88
의원,86
의사,85
권력,83
선언,83
입당,82
얘기,81
내부,81
범죄,80
필요,79
해명,79
기사,78
작성,77
이유,77
여론,76
주자,76
개혁,76
인사,76
경선,75
네거티브,75
기대,74
뉴스,73
집단,73
군대,73
구속,72
복당,71
출처,71
영부인,70
중요,70
부동산,69
막말,68
난리,67
최고,66
고소,66
시절,66
댓글,66
거짓,65
감옥,65
대응,64
가짜,64
자리,64
공감,63
당선,63
진실,62
부선,62
관련,62
마누라,62
탄핵,61
실체,60
처벌,59
공격,59
거짓말,59
문재,59
임명,58
양아치,58
세력,58
증거,58
머리,58
경제,58
빨갱이,58
내년,57
가능,57
대통,57
바보,56
상대,56
도전,56
준비,55
과거,55
정보,55
상식,55
생태,55
이미지,55
판단,55
재명,54
파쇄,54
행동,54
총질,53
차기,53
다음,53
시대,53
결국,52
시장,52
정책,52
부인,51
심판,50
이용,50
정당,49
능력,49
정치판,49
이야기,49
유포,48
국회의원,48
사퇴,48
문건,48
자격,48
얼굴,48
결혼,48
기자,48
허위,47
준석,47
경험,47
개인,47
관심,47
부정,46
적폐,46
지지자,46
공산당,46
개돼지,46
결과,45
조직,45
짓거리,45
구나,45
순간,44
입장,44
운동,44
촛불,44
아줌마,44
선택,43
집안,43
충성,43
이름,43
반대,43
냄새,43
상황,42
배신,42
무능,42
의심,41
축하,41
청문회,41
마음,41
민주,41
괴문서,41
모습,40
확인,40
자료,40
집권,39
문서,39
전문,39
문죄,38
형수,38
민주주의,38
드루,38
나중,37
개입,37
윤가,37
한마디,37
관계,36
프레임,36
인정,36
중도,36
역사,36
환영,36
소나,36
지사,35
가치,35
주장,35
헛소리,35
국정,35
음모,35
자체,35
진보,35
욕심,35
감방,35
꼰대,35
미래,35
돼지,34
정리,34
걱정,34
말씀,34
꼬라지,34
재미,33
감사,33
여야,32
아웃,32
저질,32
정상,32
단체,31
시민,31
구라,31
선전,31
세계,31
과정,31
근거,31
폭탄,30
분열,30
인생,30
국정원,30
해결,30
대가리,30
발언,30
조심,30
철저,29
자식,29
처음,29
병역,29
제기,29
도움,29
모양,29
처리,29
총각,29
바람,29
주제,29
독재,29
언급,29
수법,29
수처,29
와이프,29
불리,28
신뢰,28
이슈,28
싸움,28
교활,28
예전,28
희망,27
포기,27
인기,27
도덕,27
개검,27
패거리,27
전략,27
세월,27
재판,27
국회,27
명이,27
토론,27
미추,27
이해,27
수록,26
법치,26
대변인,26
존재,26
여부,26
자유,26
소설,26
부탁,26
