word,count
윤석열,1356
민주당,603
홍준표,412
이재명,406
김부선,263
장성철,256
윤석렬,245
대한민국,244
송영길,212
추미애,201
쥴리,187
문재인,183
이준석,157
김대업,134
박근혜,132
화이팅,127
유승민,124
최재형,120
남불,114
윤봉길,94
유튜브,92
튜버,89
김무성,87
준표,73
청와대,70
황교안,66
안철수,62
엑스파일,57
조선,55
북한,52
이명박,50
레기,45
이낙연,44
한국,44
김종인,40
이회창,39
조선일보,38
김어준,38
조중동,36
서울,34
노무현,34
오세훈,34
라시,30
정치검찰,28
반기문,27
줄리,27
중국,26
하태경,24
최순,23
코로나,22
이명,22
원희룡,21
윤미향,21
일본,20
김건희,20
전두환,20
음모론,20
전라도,17
파이팅,17
허경영,17
네이버,17
압수수색,16
죽이기,16
박정희,14
경남,13
나경원,13
파평,13
문정부,13
박원순,13
카더라,12
유트,12
미애,12
미국,12
경기도,12
리얼미터,12
울산,11
강남,11
떡검,11
명예훼손,11
애미,10
한동훈,10
다르크,10
대구,10
경북,10
박지원,10
경상도,10
정세균,9
전광훈,9
김정은,9
부산,9
페라,9
이정희,9
안희정,9
국당,8
베트남,8
김영삼,8
윤건영,8
태블릿,8
여의도,8
태경,8
김대엽,8
윤석,8
레드,7
클라스,7
김용민,7
최은순,7
건희,7
양재택,7
김재원,7
개콘,7
유시민,7
아바타,7
김경수,7
박영선,7
스가,7
홍가,7
비젼,7
김대중,6
김동연,6
페레,6
오거돈,6
삼성,6
신지호,6
노태우,6
주둥,6
디스,6
정신줄,6
장제원,6
성남,6
이성윤,6
김진태,5
옵티머스,5
홍대표,5
성철,5
설훈,5
광우,5
광주,5
박범계,5
살아라,5
김학,5
김남국,5
자들,5
정청래,5
대처,5
내라,5
총풍,5
제주도,5
