,neg_words,count,documents
0,불법,230,"['불법 사찰이 아니라 그냥 유튜버가 기사난거 정리한거였구만. . 거봐라. 바른 정권에선 불법사찰 같은건 하나도 없어 있다면 윤짜장이 검찰총장할때 한게 불법 사찰이겠지', '울산선거 불법 사찰 불법 개입과머가 다른 데 똑같네 청화대나 민주당 이나 정권 교체되면 두고보자 진짜 빨갱이들 정리 안하면 나라 망한다 사형제도 부활 시켜서 사형 시켜야 된다', '형사가 이집저집 기웃 거리면 도둑질 할것 같은 인간을 예의주시 하는 게 불법 사찰이냐 앞으로 수사기관들은 범죄자들 동태 파악 못하겠네ㅜㅜ 범죄 혐의자 감시도 불법사찰이다']"
1,더럽다,133,"['더러운 저질 공작정치는 이제는 국민들이 똑똑해져서 안통한다는 거임 얼마나 자신이 없음 더러운 네거티브를 하는 건지 한심한 것들', '추미애보다 더러운 인간 있으면 나와보라 해라문재인은 좀있음 빵에갈거고대한민국에 문재인담으로 더러운 것추미애', '점재명이는 가짜총각 행세한 죄 형을 강제로 정신병원에 입원시키려고 한 죄 형수 성기를 찢어죽인다고 한 죄 참으로 더러운 인간 김부선씨 사기꾼 혼인빙자간음혐의로 고소하세요']"
2,재앙,121,"['윤석열 지지하는 것은 문재앙정권의 오만하고 비리 공정을 바로 잡고자 지지하는 거임 그만큼 썪어빠진 정부라고 국민들이 생각하는데 문재앙측근과 여당은 모르는 건지 미치광이들인지', '기레기님아 그냥 유튜브가 아니라 조국문재앙빠 유튜버지. 유튜버라는 게 중요한 거야? 조국문재앙빠라는 게 중요한 거지.', '입장 없다 고??? 알았으면 국정농단이고 몰랐어도 곰증 실패인데 사과 한마디 없다 고??? 재앙이네 재앙이야']"
3,쓰레기,115,"['팩트.1문정부 임기동안 성추행 성폭행 사건 다 여당2부동산폭등 비리 다 여당3태양광 사업 폭망4자녀비리 다 여당기타등등 쓰레기 역대급 쓰레기정부', '공갈tv에서 만들어 낸 허접한 쓰레기를 장머시기가 배달하고 .참 같쟎은 구태다. 뭔가 있으면 음습하게 마타도어하지 말고 확실하게 까봐라 의혹 당사자는 명확히 해명 하면 되는 일이다', '난 윤석열이가 영웅이건 쓰레기건 관심없다. 영웅이면 더 좋겠지만.아니래도 좋다. 죄진 이번 정권 놈들.다 감방 처 넣으면 그걸로 통 뽑을거다. 내 생각이니 태클걸지마 대깨들아']"
4,범죄,80,"['이런 방송이 범죄 아닌가 대한민국 법과 국민을 대놓고 우롱하고 볂명하고 정치공작하는 방송은 이제 퇴출이 되어야 되는 21세기형 범죄 여론몰이 는 이제 국민이 단죄해야 합니다.', '줄리의 과거 결혼에 대해서 주식조작 장모의 사기극윤석열의범죄 형의범죄모두 다 까발려보자검증 들어 가즈아', '형사가 이집저집 기웃 거리면 도둑질 할것 같은 인간을 예의주시 하는 게 불법 사찰이냐 앞으로 수사기관들은 범죄자들 동태 파악 못하겠네ㅜㅜ 범죄 혐의자 감시도 불법사찰이다']"
5,떨어지다,78,"['더불어더듬당 똥쭐타는구나 헤헤헤 국민들은 이제 안속는다 메롱 맘껏해봐라 니네 표만 뚝뚝뚝 떨어진다 자 들어봐라 표떨어지는 소리 푸하하', '허위사실 유포할수록 윤석열인기가 떨어지는 게 아니라 유포자측 상대당이 저급해보인다 추미애가 윤석열을 총장 쫓아내려다 대선후보만들고 x파일 유포자가 대선후보 인기 올려주네', '나라꼴이 우스워진다. 도대체 어떤 국민들인가? 수준 나락으로 떨어지는 느낌을 지울 수가 없다. 나중에 그 화를 누가 감당하려고.또다시 촛불을 들어야 하는 가?']"
6,나쁘다,73,"['정말 나쁜 놈들 아무것도 없는데 x파일있다 하고 당시 이회찬 대권 병풍 아무것도 없는데 똥바가지쉬에 결국 대권선거 패배해잖아요 죄파들 믿을것없다 국민들이 정신차려야된다.', '더불어추행당.난리군훗날 보복이 두려워 총공세하는 군니네들 저질러 놓은게 워낙 많아국민들은 두번 속질 않는다.집단으로 나쁜짓 한 니네들 보다 나쁠게 하나도 없다', '이준석 뭐하노 장성철 자기편을 공격하는 이런 은 직에서 당장 내려오게 해야 된다 누구사주받고 했는지 전국민이다 아는데 x파일 있음 어디서입수했는지 밝혀라 나쁜']"
7,당하다,72,"['김부선 비호감이긴한데 이재명에 대한 것만은 김부선말이 맞는듯. 틀린말하는 거면 이재명이 가만히 있을 사람은 아니지. 암튼 이재명 무서운 사람이니 자살당하지 않도록 몸도심하도록.', '꼴값 떠네. 넌 마 친형과 처가 비리 수사는 시작도 안했어. 니가 남집안을 그야말로 쥐잡듯 때려잡은만큼 너도 당해봐야지. 아니 최소한 일반인보다 깨끗한지는 털려봐야지', '맏아들 ? 그럼 나는 삼촌 ? 정당은 개인의 전유물이 아님을 잘 아는 사람이 복당해서 첫마디가 맏아들 ? 그러니 사람들이 싫어 하는 거야. 언제 철 들까']"
8,떠들다,66,"['윤석열 x파일을 처음으로 공개적으로 언론에서 떠든게 민주당 당대표 송영길이다 한 달 전쯤이었지 이것만봐도 문재앙 민주당 정권이 불법 사찰을 통해서 정치공작을 벌였다는 게 들어난다', '불쌍한 구김당 것들아.윤짜장이 너의 당 사람이냐????당원이 되건든 그때 가서 떠들어라.인재도 없는 것들이 밖에서 사람 꿔오는 데만 혈안이 돼서야 어디 정당이라 할 수 있냐???', '맏아들? 그럼 애비는 누구니 겸손할줄 모르고 일부가 지지하니 생각나고 나오는데로 떠들면 사이다 인줄아네 이제 나잇값좀 해라 기껏 올려논 국힘 지지율 까먹으면 니책임이다']"
9,버리다,66,"['가령 설사 윤석렬의 처가 화류계 출신이자 치자면. 이혼해서 버리면 대통령감 될수 있나? 가령 설사 내 장인이 공산당이었다 치자면. 내 처를 버리면 계속 대통령 할 수 있는 가?', '지레 겁먹고 얼른 불어버리네 공작정치의 대가들이 오리발 내밀다가 덤탱이 뒤집어쓸거 같으니 미리 자수해서 광명찾으려나 여하튼 더듬어만진당과 대깨문들 김대업의 후손들 답구나', '어디서 깜도 안 되는 윤석열을 기레기들이 xfile 뉴스에 올리는 것 자체가 이미 관종의 뉴스가 되버린 것이다. 근본 사람도리도 없는 탐욕스런 작자를 대통령 당치않다.']"
