word,count
윤석열,1356
국민,1120
대통령,931
파일,805
정치,746
민주당,603
대선,494
총장,493
나라,478
검찰,434
정권,429
홍준표,412
이재명,406
검증,382
공작,364
인간,353
사찰,349
후보,343
수사,274
조국,270
김부선,263
모르다,263
장모,258
장성철,256
윤석렬,245
대한민국,244
지지,242
대권,231
불법,230
여당,229
보이다,219
내용,216
대표,216
밝히다,213
송영길,212
추미애,201
출마,195
지지율,189
조사,187
쥴리,187
야당,184
문재인,183
공개,180
공정,180
좌파,173
의혹,172
검사,171
응원,165
보수,157
이준석,157
언론,156
본인,156
조작,151
가족,146
정의,142
정부,142
선동,140
사건,139
선거,135
비리,134
바라다,134
김대업,134
정신,133
더럽다,133
교체,133
박근혜,132
사기,131
수준,130
화이팅,127
출신,127
세상,126
유승민,124
장관,121
재앙,121
최재형,120
더불다,118
아들,118
쓰레기,115
남불,114
야권,110
고발,109
들어가다,106
시작,105
국가,103
정치인,99
방송,95
나가다,94
윤봉길,94
웃기다,94
보내다,94
인물,94
여권,93
유튜브,92
기관,91
튜버,89
책임,88
차리다,88
김무성,87
의원,86
의사,85
권력,83
선언,83
입당,82
더듬다,82
내부,81
얘기,81
범죄,80
해명,79
필요,79
떨어지다,78
기사,78
작성,77
이유,77
여론,76
주자,76
개혁,76
인사,76
경선,75
미치다,75
네거티브,75
기대,74
뉴스,73
나쁘다,73
집단,73
군대,73
준표,73
구속,72
당하다,72
복당,71
출처,71
청와대,70
중요,70
영부인,70
열리다,69
부동산,69
막말,68
난리,67
고소,66
떠들다,66
최고,66
버리다,66
댓글,66
올리다,66
시절,66
황교안,66
감옥,65
거짓,65
대응,64
다르다,64
자리,64
가짜,64
망하다,63
당선,63
공감,63
부선,62
마누라,62
안철수,62
진실,62
관련,62
탄핵,61
싸우다,61
어쩌다,61
나서다,60
실체,60
문재,59
처벌,59
공격,59
거짓말,59
좋아하다,58
세력,58
빨갱이,58
증거,58
다니다,58
임명,58
양아치,58
머리,58
경제,58
가능,57
죽이다,57
내년,57
대통,57
엑스파일,57
상대,56
지키다,56
바보,56
도전,56
이미지,55
조선,55
생태,55
정보,55
준비,55
판단,55
과거,55
상식,55
파쇄,54
행동,54
끝나다,54
재명,54
총질,53
다음,53
바꾸다,53
차기,53
시대,53
시장,52
북한,52
터지다,52
결국,52
정책,52
부인,51
빠지다,51
심판,50
이명박,50
이용,50
걸어가다,50
힘들다,49
이야기,49
능력,49
정치판,49
세우다,49
정당,49
결혼,48
사퇴,48
국회의원,48
들어오다,48
유포,48
기자,48
문건,48
자격,48
지나다,48
얼굴,48
허위,47
관심,47
준석,47
무섭다,47
경험,47
개인,47
공산당,46
적폐,46
부정,46
지지자,46
돌아오다,46
개돼지,46
모으다,46
힘내다,45
레기,45
짓거리,45
터트리다,45
돌리다,45
생기다,45
결과,45
구나,45
조직,45
입장,44
아줌마,44
한국,44
이기다,44
촛불,44
가리다,44
순간,44
이낙연,44
운동,44
이름,43
바뀌다,43
선택,43
냄새,43
집안,43
반대,43
충성,43
상황,42
무능,42
배신,42
괴문서,41
청문회,41
축하,41
의심,41
민주,41
마음,41
확인,40
만지다,40
김종인,40
내리다,40
자료,40
시끄럽다,40
모습,40
설치다,39
전문,39
문서,39
집권,39
이회창,39
돌아가다,39
형수,38
문죄,38
민주주의,38
드루,38
조선일보,38
김어준,38
개입,37
한마디,37
나중,37
윤가,37
털리다,37
역사,36
인정,36
환영,36
소나,36
관계,36
중도,36
조중동,36
프레임,36
기다리다,36
역겹다,35
음모,35
가치,35
지사,35
미래,35
진보,35
감방,35
구하다,35
헛소리,35
국정,35
꼰대,35
자체,35
넘어가다,35
욕심,35
주장,35
서울,34
떠나다,34
돼지,34
노무현,34
오세훈,34
시키다,34
걱정,34
말씀,34
정리,34
가즈아다,34
꼬라지,34
부르다,34
배우다,34
사라지다,33
따르다,33
새롭다,33
감사,33
재미,33
올라가다,32
아웃,32
이루다,32
여야,32
저질,32
정상,32
틀리다,32
세계,31
지겹다,31
선전,31
구라,31
단체,31
근거,31
멋지다,31
걸리다,31
과정,31
피하다,31
시민,31
느끼다,30
망치다,30
던지다,30
분열,30
바르다,30
부리다,30
발언,30
드러나다,30
책임지다,30
해결,30
인생,30
국정원,30
라시,30
폭탄,30
대가리,30
조심,30
뿌리다,29
자식,29
총각,29
병역,29
독재,29
언급,29
도움,29
주제,29
바람,29
모양,29
수처,29
흘리다,29
제기,29
처리,29
처음,29
키우다,29
철저,29
와이프,29
수법,29
교활,28
이슈,28
지나가다,28
신뢰,28
오르다,28
예전,28
해보다,28
불리,28
씌우다,28
정치검찰,28
싸움,28
희망,27
반기문,27
패거리,27
줄리,27
부끄럽다,27
개검,27
미추,27
세월,27
때리다,27
넘기다,27
도덕,27
재판,27
꺼지다,27
저지르다,27
국회,27
명이,27
이해,27
토론,27
추하다,27
포기,27
인기,27
전략,27
기회,26
존재,26
만나다,26
자유,26
여부,26
당시,26
측근,26
법치,26
수록,26
따지다,26
원하다,26
우파,26
소문,26
소설,26
장난,26
대변인,26
기념관,26
승리,26
판사,26
현실,26
붙이다,26
없애다,26
부탁,26
공무원,26
중국,26
공화국,26
방어,25
기득,25
변하다,25
파악,25
우습다,25
까발리다,25
욕하다,25
일으키다,25
진심,25
평론가,25
결정,25
물타기,25
알리다,25
지원,25
보호,25
실패,25
보도,25
어렵다,25
인성,25
명예,25
만약,24
무너지다,24
동원,24
취재,24
나이,24
검새,24
배신자,24
하태경,24
세금,24
거리,24
망신,24
친문,24
개소리,24
하늘,24
모두,24
범죄자,24
구태,24
민국,24
지도자,23
부패,23
아군,23
똑같다,23
챙기다,23
결론,23
간첩,23
프로,23
민심,23
위조,23
최순,23
목적,23
폭로,23
먼지,23
동네,23
적극,23
외치다,23
성추행,23
친구,23
문정,23
무리,23
넘치다,22
죄명,22
작성자,22
찌그러지다,22
놀아나다,22
법무부,22
부족,22
감사원장,22
당장,22
고맙다,22
그동안,22
엄청나다,22
완전,22
성공,22
코로나,22
뒤집다,22
꼴통,22
수작,22
양심,22
역풍,22
반기다,22
버티다,22
이명,22
거품,22
의미,22
대상,21
철수,21
주가,21
처먹다,21
일당,21
음해,21
주변,21
개판,21
공짜,21
두렵다,21
행위,21
먹히다,21
무시,21
윤미향,21
착각,21
뭉개다,21
원희룡,21
권리,21
꼬리,21
조폭,21
구리다,21
남자,21
일본,20
혐의,20
기본,20
투표,20
왜구,20
전형,20
음모론,20
김건희,20
정체,20
인권,20
하락,20
반성,20
민간,20
토착,20
역대,20
흔들리다,20
작전,20
전두환,20
진위,20
소장,20
손잡다,20
속이다,19
의도,19
모이다,19
발악,19
싫어하다,19
더럽히다,19
엄벌,19
발정,19
등장,19
호스티스,19
연애,19
혼란,19
흑색선전,19
내세우다,19
추미,19
운운,19
원칙,19
애쓰다,19
작품,19
나대다,19
흔들다,19
행태,19
맡기다,19
살리다,19
공약,19
행보,19
시기,19
청소,19
집권당,18
청산,18
들이다,18
가정,18
처단,18
써먹다,18
표창장,18
잘나다,18
부대,18
더듬이,18
열사,18
뻔하다,18
일삼다,18
발표,18
자르다,18
자빠지다,18
후배,18
통합,18
제목,18
평생,18
동의서,18
본질,18
교도소,18
공안,18
최악,18
띄우다,18
사랑,18
터뜨리다,18
뿌리,18
투기,18
다물다,18
문가,18
흠집,18
리더,18
시즌,18
아프다,18
허경영,17
입수,17
파이팅,17
원전,17
네이버,17
전라도,17
겁나다,17
회장,17
나타나다,17
내밀다,17
타령,17
탄생,17
주머니,17
주사,17
콜라,17
수집,17
말아먹다,17
무죄,17
사진,17
헌법,17
비판,17
법무,17
병원,17
극우,17
티비,17
느낌,17
사생활,17
당내,17
지켜보다,17
방법,17
당원,17
합리,17
모시다,17
흐리다,17
석아,17
경찰,17
기억,16
스타일,16
불공정,16
재밌다,16
행세,16
제발,16
기소,16
압수수색,16
신경,16
특혜,16
쌍욕,16
공직자,16
날리다,16
잡히다,16
전직,16
생각나다,16
응답,16
심하다,16
살아오다,16
명심,16
이자,16
명아,16
감싸다,16
대신,16
죽이기,16
무식,16
자유민주주의,16
달인,16
잘못,16
혼자,16
재산,16
저급,16
연기,16
의하다,16
날조,16
나머지,16
낙마,16
의견,16
사이,16
서민,16
사과,16
사법,16
척결,16
도와주다,16
수구,16
실망,15
모함,15
조치,15
오마이,15
가볍다,15
표현,15
운영,15
동의,15
용기,15
지내다,15
자살,15
변호사,15
무상,15
유력,15
옛날,15
작업,15
약점,15
집구석,15
양반,15
파렴치,15
고치다,15
언행,15
장모님,15
전체,15
여기저기,15
개헌,15
전수,15
상승,15
가깝다,15
짜증,15
마지막,15
비난,15
불안,15
고식,15
불당,15
수장,15
중심,15
르네상스,15
정하다,14
잣대,14
법대,14
윤전,14
박정희,14
천하,14
단일,14
신고,14
황교,14
호텔,14
정직,14
누님,14
백신,14
버릇,14
