word,count
이낙연,4339
민주당,2968
이재명,1956
정세균,1906
서울,914
윤석열,856
이광재,613
송영길,475
추미애,436
최재형,388
박용진,326
양승조,317
남북,301
여의도,271
홍준표,247
충남,245
마리나,222
세종,221
김두관,216
한국,186
경기도지사,185
뉴시스,174
박성민,152
경북,146
이준석,143
중구,113
대한민국,111
하우스,106
클럽,105
최문순,103
유승민,103
연합뉴스,92
코로나,87
균형발전,85
전남,78
청와대,78
이인영,78
임종석,77
충청,71
아산,67
조선일보,63
안철수,61
투데이,60
광주,58
경기도,54
전혜숙,54
대한,52
노무현,52
리더스,51
유튜브,51
리얼미터,48
홍기원,47
제페토,46
충청남도,46
균계,45
아시아,45
강원,45
안중근,43
대구,43
영남,41
대전,40
부산,39
오세훈,38
미국,38
강훈식,37
김동연,35
서울대,35
청주,35
오영훈,34
강남,33
데일리안,33
박완주,32
프레스센터,32
경남,32
염태영,32
데일리,31
김종민,31
박병석,31
충북,31
고려대,30
강원도지사,29
구미시,29
문재인,28
이해찬,28
김한규,27
원희룡,27
김명수,26
민형배,26
페이스북,25
심상정,25
최상수,24
김근식,24
황교안,23
수원,23
영등포구,22
김진환,21
싱크탱크,21
윤미향,21
이병화,20
