word,count
경선 연기,1568
민주당 대표,767
대선 주자,706
경선 일정,612
이낙연 정세균,603
대선 경선,410
민주당 대선,402
이낙연 더불다,376
대선 후보,351
의원 총회,347
경기 지사,313
이재명 경기,305
대권 주자,273
이광재 의원,235
대표 정세균,235
기자 이낙연,231
경선 연기론,227
서울 여의도,226
도심 공항,221
최고 위원,217
대선 출마,196
출판 기념회,196
당무 위,192
민주당 경선,191
이재명 경기도지사,184
여론 조사,179
다음 뉴스,172
민주당 이낙연,170
정세균 이광재,166
지지 모임,159
민주당 의원,150
당 대표,149
서울 뉴스,147
서울 마리나,146
양승조 충남,144
여의도 서울,142
출마 선언,139
박용진 의원,138
송영길 대표,134
공동 토론회,128
기자 더불다,124
메타 버스,122
총회 소집,118
기념 촬영,116
서울 중구,115
법무부 장관,115
합의 이행,115
컨벤션 센터,113
연기 논의,112
이재명 지사,111
민정 책,108
남북 합의,107
차기 대선,106
클럽 하우스,105
마리나 클럽,105
마리나 컨벤션,104
여권 대선,103
김두관 의원,103
책 포럼,103
국무총리 이광재,102
검찰 총장,101
당 지도부,98
충남 지사,98
송 대표,96
당헌 당규,96
대안 모색,96
정책 연대,92
통상 대표,91
상공 회의소,91
정면 충돌,89
장관 급,89
후보 적합,87
최재형 감사원장,87
연기 의총,85
정세균 이낙연,84
급 통상,84
서울 뉴시스,83
총리 실,82
실 직속,82
모색 주제,80
후보 경선,80
민주당 대권,79
주제 공동,79
오전 서울,79
청년 비서관,79
대표 지지,77
경선 연기파,76
대표 서울,76
연기 여부,76
소집 요구서,76
문화 협력,74
경제 문화,74
경선 시기,74
지방 정부,74
협력 재단,74
남북 경제,74
국회 사진,73
여의도 마리나,73
의총 소집,73
일정 확정,73
이낙연 지지,71
이재명 이낙연,71
집단 행동,70
이낙연 의원,70
이낙연 민주당,68
이행 토론회,68
청년 대변인,68
교류 협력,67
위 소집,67
후보 선출,67
포인트 하락,66
소집 요구,66
홍준표 의원,64
대표 왼쪽,63
이낙연 이광재,63
송영길 경선,63
경북 포럼,62
복지 경북,62
오후 서울,62
국제 컨퍼런스,61
남북 교류,60
홍준표 무소속,59
통일부 장관,58
당무 위원회,58
무소속 의원,58
연기 불가,57
박 비서관,56
정책 비전,56
일정 연기,56
국제 질서,56
정부 협의회,55
기자 회견,55
한국 외교,55
민주당 지도부,55
세종 포럼,54
대학 교수,54
협력 지방,53
정책 토론회,53
대권 도전,53
대한 상공,52
중구 대한,52
통상 정책,52
전국 남북,52
포럼 출범,51
광화문 리더스,51
대전환 한국,51
연기 갈등,51
복지 세종,51
리더스 포럼,51
복지 포럼,50
현직 대학,49
파일 논란,49
직속 장관,49
도시 세종,49
최종 결정,49
총리 이광재,48
최고 위서,48
대표 신설,48
외교 정책,48
경선 흥행,48
이인영 통일부,48
비이 재명,47
국무총리 김두관,46
반 이재명,46
연성 강국,45
국제 통상,45
공동 주최,45
통상 환경,45
정세 균계,45
충청남도 도지사,45
양승조 충청남도,44
지사 정세균,44
지명 직,44
민주당 청년,44
신설 제안,44
사진 기자단,44
직 최고,43
강원 지사,43
연기 놓다,43
김두관 박용진,42
지사 이낙연,42
최문순 강원,41
의견 수렴,41
이재명 연대,41
대표 김두관,41
이낙연 총리,41
힘 복당,40
차기 대권,40
적합 도,40
비전 제시,39
협의회 남북,39
추미애 대선,39
연기 내홍,39
아시아 투데이,39
녹 취록,39
