from,to,depth,documents
"이낙연
in news","이낙연
in news",0,"['이낙연 전 대표 정세균 전 총리 경선 시기 논의 거부는 당헌 위배지도부 압박', '이재명계이낙연 정세균계 경선연기 놓고 충돌 송영길 대표 이번 주 초 결단', '강훈식 경선 시기 이낙연 전 대표 의견 수렴한 것']"
"이낙연
in news",이낙연,1,"['이낙연이 조국 전 장관을 쳤다 최성해 주장에.이낙연 측 인격 명예 말살 법적 대응', '180일 전 룰 진실공방송 영길 이낙연도 동의 vs 이낙연 지혜 모아달라고만', '열린 공감tv 최성해 이낙연이 조국 쳤다 했다 vs 이낙연 허위사실']"
"이낙연
in news",대표,1,"['이낙연 전 대표 총리실 직속 장관급 통상대표 신설 제안.국가 차원 접근 필요', '더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '이낙연 더불어민주당 전 대표 총리실 직속 장관급 통상대표 신설제안']"
"이낙연
in news",경선,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '천지일보 이슈종합 쿠팡 덕평물류센터 실종 소방대장 백신 1400만명 7월 1859세 재감염 종부세 양도세 비과세 경선 연기 우정사업본부 택배노조 검찰 조직개편']"
"이낙연
in news",민주당,1,"['민주당 문재인 대통령 g7 기사 적다며 언론 때리기.국기 구별 못 하고 예방률 50 안 되는 백신 면담 보도해 달라는 건가? 너무한 것 아닌가 라고 비판하기 전.', '더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도']"
"이낙연
in news",대선,1,"['차기 대선 경제분야 국정과제 여론조사 단독 차기 대선 1순위는 경제발전과 일자리확대 2순위 서민주거안정', '더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '금일 건설 부동산 주요 기사 공급방안 vs 희망고문 대선주자들 부동산 공약 경쟁치열.내년 4월 광화문광장 개장 속 2023년엔 월대 복원']"
"이낙연
in news",의원,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '홍기원 의원 국제통상 환경 진단 및 대안 모색 위한 진단 대한민국 통상정책 토론회 개최', '김두관 의원 내달 1일 대선 도전 공식 선언 과감한 자치분권과 급진적 균형발전 선언']"
"이낙연
in news",이재명,1,"['헤드라인 판도라 상자 vs 빈 박스 윤석열의 x파일.이재명 vs 이재명 경선 논의 앞둔 폭풍전야', '대선으로 가는 길 자중지란 민주당 이재명vs반 이재명 연대 경선연기 갈등 격화', '경선 연기 놓고 이재명 연대 결성 움직임 이재명도 5년 전엔 연기 주장']"
"이낙연
in news",정세균,1,"['윤석열 차기 대선후보 지지율 5.2p 급락윤석열 33.9 이재명 27.2 이낙연 13.0 정세균 4.7', '여랑야랑이낙연 정세균 과거를 묻지 마세요? 윤석열의 내우외환 문 대통령의 콘서트?', '정세균 이낙연 이광재 비 이재명계 시동 통큰 양보하길 여긴 가짜약 아닌 진짜약']"
"이낙연
in news",연기,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '천지일보 이슈종합 쿠팡 덕평물류센터 실종 소방대장 백신 1400만명 7월 1859세 재감염 종부세 양도세 비과세 경선 연기 우정사업본부 택배노조 검찰 조직개편', '천지일보 이슈종합 쿠팡 덕평물류센터 실종 소방대장 백신 1400만명 7월 1859세 재감염 종부세 양도세 비과세 경선 연기 우정사업본부 택배노조 검찰 조직']"
"이낙연
in news",주자,1,"['금일 건설 부동산 주요 기사 공급방안 vs 희망고문 대선주자들 부동산 공약 경쟁치열.내년 4월 광화문광장 개장 속 2023년엔 월대 복원', '오전 포털사이트 상위 검색 순위 여당 유력주자 이낙연 제페토에서 대선 출정식 소식에 메타버스 이목 집중', '박성민의 deep read오버페이스 불안한 이재명과 활주로 짧은 주자들 간 시간 쟁투']"
