word,count
이재명 경기 지사,302
민주당 대선 주자,214
국민의 힘,191
이낙연 정세균 이광재,160
대선 경선 연기,151
대선 경선 일정,145
여의도 서울 마리나,142
기자 이낙연 더불다,139
서울 여의도 서울,131
의원 총회 소집,117
연기를 주장,115
경선 연기 논의,106
마리나 클럽 하우스,105
남북 합의 이행,104
마리나 컨벤션 센터,104
서울 마리나 클럽,103
토론회에 참석,103
민정 책 포럼,103
민주당 경선 연기,98
여권 대선 주자,91
민주당 대선 경선,88
민주당 대선 후보,87
경선 연기 의총,85
급 통상 대표,83
장관 급 통상,83
총리 실 직속,82
양승조 충남 지사,80
대안 모색 주제,80
모색 주제 공동,78
대선 후보 적합,78
국무총리 이광재 의원,75
소집을 요구,74
문화 협력 재단,74
경제 문화 협력,74
남북 경제 문화,73
주제 공동 토론회,71
서울 여의도 마리나,71
경선 일정 확정,69
합의 이행 토론회,68
민주당 대권 주자,68
대선 후보 경선,67
당무 위 소집,67
여의도 마리나 컨벤션,67
경선 연기 여부,62
복지 경북 포럼,62
반이 재명,61
민주당 대표 정세균,59
남북 교류 협력,58
홍준표 무소속 의원,58
대표 지지 모임,56
질서의 대전환,55
지방 정부 협의회,55
이낙연 지지 모임,54
협력 지방 정부,53
대선 출마 선언,53
교류 협력 지방,53
대한 상공 회의소,52
서울 중구 대한,52
외교의 길,52
전국 남북 교류,52
중구 대한 상공,52
출마를 선언,51
광화문 리더스 포럼,51
차기 대선 후보,51
경선 연기 갈등,51
세종의 사당,51
복지 세종 포럼,50
직속 장관 급,49
현직 대학 교수,49
통상 대표 신설,48
실 직속 장관,48
이인영 통일부 장관,47
경선 일정 연기,46
총리 이광재 의원,45
대표 서울 뉴스,45
정책에 공감,45
민주당 경선 일정,45
국회 사진 기자단,44
대전환 한국 외교,44
지명 직 최고,43
양승조 충청남도 도지사,43
직 최고 위원,43
국제 통상 환경,43
차기 대선 주자,41
총회 소집 요구서,41
이낙연 총리 실,41
대표 신설 제안,41
최문순 강원 지사,41
민주당 청년 대변인,41
경선 연기 놓다,41
연기를 요구,40
경선 연기 내홍,39
협의회 남북 경제,39
이낙연이 조국,39
오전 서울 여의도,39
오후 서울 중구,39
정부 협의회 남북,39
이재명 이낙연 정세균,38
외교 정책 비전,37
경선 일정 논의,36
정책 비전 제시,36
회의소 국제 회의장,35
구미 전자 정보,35
경선 연기 불가,35
통상 교섭 본부,35
전자 정보 기술원,35
서울 마리나 컨벤션,35
환경에 능동,35
상공 회의소 국제,35
이재명 경기도지사 이낙연,34
요구서를 제출,34
김두관 의원 박용진,34
오전 서울 중구,34
유력 대선 주자,34
오세훈 서울 시장,34
의원 박용진 의원,34
최고 위원 회의,34
의총 소집 요구,32
정세균 이낙연 이광재,32
의총서 경선,32
부의 통상,32
지사의 출판,32
본부를 대신,31
폴리 텍 대학,31
대선 주자 선호,31
이재명 경선 연기,31
서울 뉴스 핌,31
후보 경선 일정,31
대한민국 통상 정책,31
직속의 장관,30
상징 도시 세종,30
서울 뉴시스 국회,30
선거 여론 조사,30
송영길 경선 연기,30
경기 지사 이낙연,30
경선 연기 결정,30
책 포럼 심포지엄,30
뉴시스 국회 사진,30
국민의 당,30
경북 포럼 출범,29
중앙 선거 여론,29
후보 적합 도,29
총회를 열다,29
대학 교수 연구자,28
양승조 출판 기념회,28
국민의 삶,28
경선 연기 주장,28
경선 연기 결론,28
지사 출판 기념회,28
경선을 연기,28
정세균 경선 연기,26
일자리 정책 특강,26
대선 경선 연기론,26
기사에 조국,26
도시 세종 시,26
오후 경북 구미시,26
한국 폴리 텍,26
균형발전의 상징,26
대선 후보 선출,25
정책 연구 그룹,25
충남 지사 정세균,25
의총서 논의,25
포럼이 균형발전,25
연기를 논의,25
대표 서울 뉴시스,25
경선 일정 결정,25
이광재 김두관 의원,25
당무 위 의결,25
핌 최상수 기자,24
의견을 수렴,24
뉴스 핌 최상수,24
사진 취 재단,24
전혜숙 최고 위원,24
경선 연기 논란,24
텍 대학 아산,24
출범의 깃발,24
경선 연기 연판장,24
대학 아산 캠퍼스,24
국회 사진 취,24
결론을 내리다,23
조사에서 이재명,23
인사를 나누다,23
경선 연기 찬성,23
김두관 박용진 의원,23
연대를 선언,23
시에서 성대,23
교수 연구자 그룹,22
대통령의 땀,22
대선 주자 이낙연,22
서울 중구 안중근,22
국토의 균형발전,22
포럼이 이낙연,22
대표 김두관 의원,22
연기 논의 의총,22
염태영 수원 시장,22
위 소집 요구,22
이재명 경기도 지사,22
협력 재단 이사장,21
경선 연기 반대,21
공감을 표하다,21
소월로 안중근,21
민주 경선 연기,21
민주당 경선 연기론,21
서울 중구 소월,21
정세균 이광재 서울,20
김진환 기자 이낙연,20
협력 재단 주최,20
송영길 경선 일정,20
아시아 투데이 이병화,20
여론 조사 결과,20
의원 최문순 강원,20
경선 연기 찬반,20
임종석 남북 경제,20
투데이 이병화 기자,20
